id,row_kind,row_label,metric_1_name,metric_1_value,metric_2_name,metric_2_value,metric_3_name,metric_3_value,source_path,note
T74-TBL-01,scenario,static_bias_theta,winner,hybrid_residual_b,winner_final_ler_mean,0.8109015277777778,runner_up_final_ler_mean,0.8253704166666667,runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/comparison.csv,"winner=hybrid_residual_b; runner-up=ukf"
T74-TBL-01,scenario,linear_ramp,winner,hybrid_residual_b,winner_final_ler_mean,0.7877551388888888,runner_up_final_ler_mean,0.8112008333333334,runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/comparison.csv,"winner=hybrid_residual_b; runner-up=ukf"
T74-TBL-01,scenario,step_sigma_theta,winner,hybrid_residual_b,winner_final_ler_mean,0.7887997222222223,runner_up_final_ler_mean,0.8115475,runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/comparison.csv,"winner=hybrid_residual_b; runner-up=ukf"
T74-TBL-01,scenario,periodic_drift,winner,hybrid_residual_b,winner_final_ler_mean,0.8063919444444444,runner_up_final_ler_mean,0.8215580555555555,runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/comparison.csv,"winner=hybrid_residual_b; runner-up=ukf"
T74-TBL-02,mode,ukf,avg_ler,0.8173818055555555,delta_ler_vs_ukf,0.0,delta_ler_vs_hybrid_full,0.018836840277777767,runs/p4_benchmark/T57_fr7_feature_teacher_ablation_20260524_000000/summary_pack/table.csv,"Strongest classic baseline"
T74-TBL-02,mode,hybrid_full,avg_ler,0.7985449652777777,delta_ler_vs_ukf,-0.018836840277777767,delta_ler_vs_hybrid_full,0.0,runs/p4_benchmark/T57_fr7_feature_teacher_ablation_20260524_000000/summary_pack/table.csv,"Full teacher-guided residual-b model"
T74-TBL-02,mode,hybrid_no_hist_deltas,avg_ler,0.8267226736111111,delta_ler_vs_ukf,0.009340868055555562,delta_ler_vs_hybrid_full,0.02817770833333333,runs/p4_benchmark/T57_fr7_feature_teacher_ablation_20260524_000000/summary_pack/table.csv,"Removing histogram deltas hurts"
T74-TBL-02,mode,hybrid_no_teacher_prediction,avg_ler,0.8072512847222222,delta_ler_vs_ukf,-0.010130520833333323,delta_ler_vs_hybrid_full,0.008706319444444444,runs/p4_benchmark/T57_fr7_feature_teacher_ablation_20260524_000000/summary_pack/table.csv,"Removing teacher prediction weakens but does not collapse performance"
T74-TBL-02,mode,hybrid_no_teacher_params,avg_ler,0.7496207638888889,delta_ler_vs_ukf,-0.06776104166666663,delta_ler_vs_hybrid_full,-0.048924201388888866,runs/p4_benchmark/T57_fr7_feature_teacher_ablation_20260524_000000/summary_pack/table.csv,"Best bounded frozen-set variant"
T74-TBL-02,mode,hybrid_no_teacher_deltas,avg_ler,0.80032875,delta_ler_vs_ukf,-0.017053055555555474,delta_ler_vs_hybrid_full,0.0017837847222222925,runs/p4_benchmark/T57_fr7_feature_teacher_ablation_20260524_000000/summary_pack/table.csv,"Close to hybrid_full"
T74-TBL-03,seed,20260425,seed_category,quiet,baseline_gap_gv5_minus_full,0.0009065167562966048,i1_mean_gap_minus_baseline,0.163289,docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/figure_data.csv,"I1 verdict=harmful"
T74-TBL-03,seed,20260427,seed_category,classic,baseline_gap_gv5_minus_full,-0.14535237630208342,i1_mean_gap_minus_baseline,0.287166,docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/figure_data.csv,"I1 verdict=harmful"
T74-TBL-03,seed,20260428,seed_category,classic,baseline_gap_gv5_minus_full,-0.07899755777722617,i1_mean_gap_minus_baseline,0.057395,docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/figure_data.csv,"I1 verdict=harmful"
T74-TBL-03,seed,20260429,seed_category,classic,baseline_gap_gv5_minus_full,-0.12794836549650213,i1_mean_gap_minus_baseline,0.322245,docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/figure_data.csv,"I1 verdict=harmful"
T74-TBL-03,seed,20260430,seed_category,classic,baseline_gap_gv5_minus_full,-0.17077655879459047,i1_mean_gap_minus_baseline,-0.024372,docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/figure_data.csv,"I1 verdict=mixed_or_no_clear_effect"
T74-TBL-03,seed,20260510,seed_category,universal,baseline_gap_gv5_minus_full,-0.0039533200167914395,i1_mean_gap_minus_baseline,-0.035533,docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/figure_data.csv,"I1 verdict=helpful"
T74-TBL-04,surface,canonical_static_theta_v2,chain_complete,true,n_train,13107,n_val,1638,artifacts/t50_training_repro_pack/training_reproducibility_pack.json,"Canonical dataset/float-model/train-report chain present"
T74-TBL-04,surface,canonical_runtime_b_residual_v1,chain_complete,true,n_train,1638,n_val,204,artifacts/t50_training_repro_pack/training_reproducibility_pack.json,"Runtime residual anchor chain present"
T74-TBL-04,surface,bounded_cpu_rerun,train_backend,numpy,train_device,cpu,test_r2_mean,0.8600420869960878,artifacts/t50_training_repro_pack/training_reproducibility_pack.json,"n_train=2048; n_val=512; epochs=5; patience=3"
T74-TBL-05,surface,runtime_env,runtime_available,true,preferred_runtime_package,tensorflow,package_version,2.21.0,artifacts/t48_true_tflite_runtime_gate/t48_true_tflite_runtime_gate.json,"Isolated env=.venvs/t48_tf221"
T74-TBL-05,surface,float_preserved_tflite,executed,true,max_abs_diff,0.11934027632297362,mean_abs_diff,0.006730998762145316,artifacts/t48_true_tflite_runtime_gate/t48_true_tflite_runtime_gate.json,"status=ok"
T74-TBL-05,surface,int8_preserved_tflite,executed,true,max_abs_diff,0.2038934768686289,mean_abs_diff,0.008712156489137833,artifacts/t48_true_tflite_runtime_gate/t48_true_tflite_runtime_gate.json,"status=ok"
T74-TBL-06,surface,t49_replay,final_gate_verdict,NO_GO_REAL_BOARD_HOST_OR_DEVICE_PATH_UNAVAILABLE,host_device_truth,missing_openable_board_path,strongest_statement,current_host_read_only_probe_only,artifacts/t49_real_board_smoke_execution_gate/t49_real_board_smoke_execution_gate.json,"No writable or executable real-board fact"
T74-TBL-06,surface,t71_regeneration,final_gate_verdict,NO_GO_REAL_BOARD_HOST_OR_DEVICE_PATH_UNAVAILABLE,verdict_match_vs_t49,true,strongest_statement_match_vs_t49,true,artifacts/t71_real_board_gate_regeneration_pack/current_host_regenerated_gate.json,"Checked-in regeneration stays NO_GO"
T74-TBL-06,surface,t72_provenance_hardening,replay_verdict,NO_GO_REAL_BOARD_HOST_OR_DEVICE_PATH_UNAVAILABLE,regenerated_verdict,NO_GO_REAL_BOARD_HOST_OR_DEVICE_PATH_UNAVAILABLE,remaining_risk,R32,artifacts/t72_real_board_transfer_pack_provenance_hardening/replay_vs_regeneration_comparison.json,"R31 closed; R32 remains"
T74-TBL-07,surface,frozen_anchor,authoritative_table,T24,winner,hybrid_residual_b,runner_up,ukf,docs/evidence_packs/statcalib_fr8/fr8_statcalib_bounded_closure_pack.md,"FR8 must not rewrite frozen table"
T74-TBL-07,surface,strongest_clean_answer,classification,persistent_clean_tie_set,tie_member_1,statcalib_window_variance_t001,tie_member_2,statcalib_window_variance_t003,docs/evidence_packs/statcalib_fr8/fr8_statcalib_bounded_closure_pack.md,"tie_member_3=statcalib_window_variance_t005"
T74-TBL-07,surface,promotion_gate,verdict,no_promotion_keep_extension_lane_only,unique_threshold_gate,future_selection_task_required,unique_clean_reference_point_exists,false,docs/evidence_packs/statcalib_fr8/fr8_statcalib_bounded_closure_pack.md,"Extension lane only"
