point_id,device,cutoff,batch_size,full_cycles,half_cycles,status,feasible,preferred,runtime_median_seconds,runtime_p90_seconds,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes,peak_rss_bytes,rss_delta_bytes,observed_memory_fraction,mean_reward,mean_ground_outcome_fraction,minimum_trajectory_probability,minimum_gradient_norm,maximum_gradient_norm,maximum_trace_error,maximum_hermiticity_error,minimum_final_eigenvalue,policy_parameter_count,real_dtype,warmup_steps,repeats,grid_points,score_baseline,seed,runtime_repeat_1_seconds,runtime_repeat_2_seconds,runtime_repeat_3_seconds
cuda-c8-b8-h2-float64,cuda,8,8,2,4,pass,True,True,0.19517130000167526,0.19926353999762797,27030016,31457280,1630679040,1066377216,0.0031484375,0.3362083677008599,0.6666666666666666,0.018185206601578234,0.3276548737941952,0.6039811300764244,2.220446049250313e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.18736520000675227,0.19517130000167526,0.20028659999661613
cuda-c12-b8-h2-float64,cuda,12,8,2,4,pass,True,True,0.20516070000303444,0.2053903799940599,39814656,44040192,1627963392,1063657472,0.004637583492366412,0.37083749124330617,0.75,0.02618981569219373,0.4670303321687629,0.6259139862372795,2.220446049250313e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.20516070000303444,0.20544779999181628,0.20236759999534115
cuda-c16-b1-h2-float64,cuda,16,1,2,4,pass,True,True,0.19480539999494795,0.20938420000311453,42694656,46137344,1645731840,1081937920,0.004973043893129771,0.7469404124149076,1.0,0.5317463202398841,0.7514987399120364,0.8625767669207799,1.1102230246251565e-16,0.0,-7.60441493254104e-17,72913,float64,1,3,2049,0.35,314159,0.21302890000515617,0.19103139999788254,0.19480539999494795
cuda-c16-b4-h2-float64,cuda,16,4,2,4,pass,True,True,0.19812060000549536,0.19826803999894765,49879552,54525952,1645330432,1081012224,0.0058099355916030535,0.5770671312140628,0.875,0.07249373602864302,0.4793497632073885,0.6013463195612015,2.220446049250313e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.19812060000549536,0.1983048999973107,0.19668019999517128
cuda-c16-b8-h2-float64,cuda,16,8,2,4,pass,True,True,0.19885260000592098,0.20019507999531924,60989952,83886080,1635299328,1071198208,0.007104067270992366,0.4850547801975343,0.7708333333333334,0.011033245916005185,0.7383184658125864,0.7858896390864956,2.220446049250313e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.19306889998551924,0.19885260000592098,0.20053069999266881
cuda-c16-b8-h3-float64,cuda,16,8,3,6,pass,True,True,0.30229059999692254,0.3106171599996742,79274496,102760448,1636724736,1072484352,0.009233838263358779,0.49129279826849387,0.7916666666666666,0.0028215850343724395,0.5483020606441964,0.8549855941338765,2.220446049250313e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.30229059999692254,0.3126988000003621,0.285373199993046
cuda-c16-b8-h4-float64,cuda,16,8,4,8,pass,True,True,0.40897709999990184,0.42000261999492067,97595904,119537664,1635487744,1071083520,0.011367903148854962,0.4992335393396991,0.8020833333333334,0.0009048034743293446,0.7239791186182194,0.9646219868577814,2.220446049250313e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.40897709999990184,0.4227589999936754,0.3860577000014018
cuda-c16-b8-h5-float64,cuda,16,8,5,10,pass,True,True,0.5136731000093278,0.5159603799984325,115954688,138412032,1639755776,1075449856,0.013506321564885496,0.48957936193912327,0.8041666666666667,0.00030829538426536084,0.8602147791458622,1.1552282728911474,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.5136731000093278,0.49706599999626633,0.5165321999957087
cuda-c16-b8-h6-float64,cuda,16,8,6,12,pass,True,True,0.6172819999919739,0.6529764799925033,134349824,157286400,1642139648,1077870592,0.01564897423664122,0.4555728312459972,0.7951388888888888,5.908198937299441e-05,1.084838526877467,1.2578009020709608,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.5918337000039173,0.6619000999926357,0.6172819999919739
cuda-c16-b8-h7-float64,cuda,16,8,7,14,pass,True,True,0.7185968999983743,0.7477665000013076,152781824,176160768,1649618944,1085222912,0.017795920801526716,0.40902309766358563,0.8005952380952381,1.4201926987589218e-05,0.9568530357822064,1.1815095787925998,3.3306690738754696e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.7050023999909172,0.7185968999983743,0.7550589000020409
cuda-c16-b8-h8-float64,cuda,16,8,8,16,pass,True,True,0.8279938000050606,0.8456706800061511,171250688,192937984,1652510720,1088606208,0.019947161259541983,0.43925568078432403,0.7890625,1.264566031467887e-06,1.1426458864886653,1.7800983796523842,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.8279938000050606,0.8500899000064237,0.8210702999931527
cuda-c16-b8-h9-float64,cuda,16,8,9,18,pass,True,True,0.9309618999977829,0.9554218199948081,189756928,211812352,1650917376,1087139840,0.022102755248091605,0.3771950692815183,0.7777777777777777,2.9296888195718987e-07,1.1265557617200994,1.9802518885891554,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.9309618999977829,0.927424699999392,0.9615367999940645
cuda-c16-b8-h10-float64,cuda,16,8,10,20,pass,True,True,1.0627668000088306,1.0643180000042776,208299520,230686720,1660641280,1096298496,0.024262583492366412,0.3282093114499572,0.7645833333333334,7.722026613919391e-08,0.873184086673125,1.8893620164844203,5.551115123125783e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,1.0606527000054484,1.0627668000088306,1.0647058000031393
cuda-c16-b16-h2-float64,cuda,16,16,2,4,pass,True,True,0.2077988999953959,0.2191205799987074,83205632,102760448,1629466624,1065762816,0.009691734255725191,0.5824206058795599,0.8697916666666666,0.011012429554614433,0.5281509200663566,0.773186959069471,2.220446049250313e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.20329140000103507,0.2077988999953959,0.22195099999953527
cuda-c16-b16-h3-float64,cuda,16,16,3,6,pass,True,True,0.29849749999993946,0.3154588600009447,110547456,130023424,1636741120,1073041408,0.012876490935114504,0.4862016722238481,0.8506944444444443,0.002545930154889274,0.6958518197469906,0.8449298825348076,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.29198430001270026,0.29849749999993946,0.319699200001196
cuda-c16-b16-h4-float64,cuda,16,16,4,8,pass,True,True,0.39893019999726675,0.40386651999433526,137956352,157286400,1639325696,1075310592,0.016069060114503816,0.47060306288705966,0.8255208333333334,0.0005257306034135748,0.6929858667055852,0.9672384080237287,2.220446049250313e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.3779233999957796,0.4051005999936024,0.39893019999726675
cuda-c16-b16-h5-float64,cuda,16,16,5,10,pass,True,True,0.5122056999971392,0.5149443400005111,165433344,184549376,1638301696,1074049024,0.01926956106870229,0.43300895875184403,0.8083333333333332,0.00012248114876594525,0.8703130315208172,0.9713547179183555,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.5156290000013541,0.5122056999971392,0.5066961999982595
cuda-c16-b16-h6-float64,cuda,16,16,6,12,pass,True,True,0.6054730000032578,0.6079816400015261,192977408,211812352,1645268992,1081212928,0.022477874522900763,0.4318088259869805,0.8003472222222222,3.255226779530719e-05,0.8585714365367181,1.100057821765747,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.5841295999998692,0.6054730000032578,0.6086088000010932
cuda-c16-b16-h7-float64,cuda,16,16,7,14,pass,True,True,0.7125266999937594,0.7168705399963073,220589568,241172480,1644363776,1080201216,0.025694119751908398,0.40568074868963594,0.7946428571428571,6.37565685722949e-06,0.7899753736677143,1.1187439559052548,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.6948358000081498,0.7179564999969443,0.7125266999937594
cuda-c16-b16-h8-float64,cuda,16,16,8,16,pass,True,True,0.8138091000000713,0.8248515000072075,248268800,268435456,1647484928,1083977728,0.02891817748091603,0.37979751304012604,0.7864583333333334,1.5738173014487359e-06,0.7631759206666358,0.992652229397341,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.8276121000089915,0.8095229000027757,0.8138091000000713
cuda-c16-b16-h9-float64,cuda,16,16,9,18,pass,True,True,0.914073100007954,0.9355018199974439,276016128,295698432,1655803904,1091248128,0.032150166984732824,0.36883789085209423,0.7800925925925926,2.9209251618781964e-07,0.9359177147179476,1.0794134431234534,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.9408589999948163,0.914073100007954,0.8960999999981141
cuda-c16-b16-h10-float64,cuda,16,16,10,20,pass,True,True,1.0498466999997618,1.0513832600001478,303830528,322961408,1659953152,1096372224,0.03538996898854962,0.3958435072717525,0.7843750000000002,8.2066334379722e-08,0.8650879023951248,0.9848471315496312,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,1.0517674000002444,1.0498466999997618,1.036589700001059
cuda-c16-b32-h2-float64,cuda,16,32,2,4,pass,True,True,0.213972500001546,0.22121922000078484,127634432,140509184,1622343680,1058476032,0.014866770038167939,0.5610503655784437,0.8567708333333334,0.002933893023167977,0.5101148063935939,0.6215510315843525,2.220446049250313e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.22303090000059456,0.213972500001546,0.20689090000814758
cuda-c16-b32-h4-float64,cuda,16,32,4,8,pass,True,True,0.44167790000210516,0.4451852600031998,218662912,230686720,1632854016,1068810240,0.025469704198473282,0.4546934713790411,0.8111979166666666,0.00016331079052332286,0.7387743408237681,0.832093529836044,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.44606210000347346,0.44167790000210516,0.43612800000119023
cuda-c16-b32-h6-float64,cuda,16,32,6,12,pass,True,True,0.6751779000042006,0.6814858999918215,310199296,322961408,1639923712,1075634176,0.03613179866412214,0.42587393226724557,0.796875,1.026019781005748e-05,0.8564404138755788,0.8978346518559993,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.6751779000042006,0.6500260000029812,0.6830628999887267
cuda-c16-b32-h8-float64,cuda,16,32,8,16,pass,True,True,0.9028796999918995,0.9104488200013293,402243584,415236096,1642352640,1078169600,0.046853053435114506,0.3778541255294059,0.7727864583333334,7.414647628376796e-07,0.8901693477362398,0.9847308218057613,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.9123411000036867,0.885227600010694,0.9028796999918995
cuda-c16-b32-h10-float64,cuda,16,32,10,20,pass,True,True,1.1640445000084583,1.1748260999971536,494795776,507510784,1651417088,1087598592,0.05763346851145038,0.34694482991491354,0.7630208333333334,1.0643578423469842e-07,0.8625158708809223,1.1027464653734331,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,1.1640445000084583,1.1372994999983348,1.1775214999943273
cuda-c16-b64-h2-float64,cuda,16,64,2,4,pass,True,True,0.30476119999366347,0.305392959996243,216542720,228589568,1626099712,1061826560,0.02522274570610687,0.5451242121686642,0.84375,0.0021952797071898692,0.5247319248724425,0.5813784279673112,2.220446049250313e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.3055508999968879,0.29801560001214966,0.30476119999366347
cuda-c16-b64-h10-float64,cuda,16,64,10,20,pass,True,True,1.6101161999977194,1.6203911599935963,877231616,889192448,1653764096,1089404928,0.10217932967557251,0.3380136483301086,0.7473958333333334,4.0747942025464434e-08,0.888421152353074,1.076872886023886,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,1.6101161999977194,1.6229598999925656,1.5983416000090074
cuda-c16-b128-h2-float64,cuda,16,128,2,4,pass,True,True,0.5053154000052018,0.5082816399954027,394394624,411041792,1623506944,1059426304,0.04593881202290076,0.5503871313960355,0.8489583333333334,0.0022087712974747245,0.532364823560994,0.5815791897441493,3.3306690738754696e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,0.5028143000090495,0.5090231999929529,0.5053154000052018
cuda-c16-b128-h10-float64,cuda,16,128,10,20,pass,True,False,2.5752431000000797,2.577807020000182,1642355712,1658847232,1653215232,1089114112,0.1913004532442748,0.34007202415266075,0.7490885416666667,2.516277058702749e-09,0.9745180120847803,1.0381692646518965,4.440892098500626e-16,0.0,0.0,72913,float64,1,3,2049,0.35,314159,2.5752431000000797,2.5784480000002077,2.5693356999981916
