lane,scenario,evaluation_seed,samples,trace_sha256,regime,burst_active,p_outlier,standard_error_rate,static_error_rate,oracle_error_rate,static_minus_oracle,static_minus_oracle_ci_low,static_minus_oracle_ci_high,leakage_cycles,leakage_flag_sensitivity,leakage_flag_specificity,optimistic_flagged_error_lower_bound,conservative_leakage_as_failure_rate
regime_matrix,quiet,20260731,20000,c03cd1b2cbeec80a2d27a10e505c6879893d7d04cc0d3a30a3673b0ba30e8d6a,quiet,False,0.0,0.0058,0.0081,0.0058,0.0023,0.0012269300328925986,0.0033730699671074013,,,,,
regime_matrix,quiet,20260732,20000,414361a31f7d6bbcd3d80ad0520eb98b6b99ad93f69b28327717155aa71ff724,quiet,False,0.0,0.0059,0.00895,0.0059,0.00305,0.0019551351410398146,0.004144864858960186,,,,,
regime_matrix,quiet,20260733,20000,bcbf0f8ca24606d05e474133b6eee6db6b0f0350ec7c6bc7ccb6a6c8233205fb,quiet,False,0.0,0.00545,0.00805,0.00545,0.0026,0.0015181474002976712,0.003681852599702329,,,,,
regime_matrix,quiet,20260734,20000,70f96a57d60b8c12249abf1eb622f4481556252f476edfa789040d8d120014a6,quiet,False,0.0,0.0056,0.00745,0.0056,0.00185,0.0008085543808463733,0.002891445619153627,,,,,
regime_matrix,shifted,20260731,20000,f087239f6c55e65aa19c84f4b3aa4d99346cc23c85e0272b43b765f356806504,shifted,False,0.0,0.1065,0.06115,0.0203,0.04085,0.037665920522490064,0.04403407947750993,,,,,
regime_matrix,shifted,20260732,20000,f049a1e339a8879528cef808ac50dd587bd2f567b5f630464d5ffaef93b043b8,shifted,False,0.0,0.10655,0.0591,0.01995,0.03915,0.03594979401236315,0.04235020598763684,,,,,
regime_matrix,shifted,20260733,20000,7ee8bf7d3dccf666587f23427e27fc3c52d143191f4a79548355f183a9747059,shifted,False,0.0,0.1055,0.0612,0.01895,0.04225,0.0390603856033457,0.0454396143966543,,,,,
regime_matrix,shifted,20260734,20000,cf2dda9ed0efd7b2f35aa353c37c79ae06ac152195ebd652eb5d6f7e4db23838,shifted,False,0.0,0.1025,0.0618,0.01925,0.04255,0.03936718098058292,0.04573281901941707,,,,,
regime_matrix,correlated,20260731,20000,e9fb80b608f1b28d854943567801255ad1a8984a7e6520c68ca7f32a30f721b2,correlated,False,0.0,0.12045,0.15195,0.00385,0.1481,0.14313635873073638,0.15306364126926364,,,,,
regime_matrix,correlated,20260732,20000,1e2c9a1b4df4683b29566c7c80420ac98e99a4e833d32ef4e011044a671354ce,correlated,False,0.0,0.1222,0.1532,0.004,0.1492,0.14422335449922793,0.15417664550077206,,,,,
regime_matrix,correlated,20260733,20000,82948677eafb59b1c4f22286d4e5950f401a76a6157983d691d36bf0a8729ea5,correlated,False,0.0,0.12235,0.1509,0.0035,0.1474,0.14245949887550088,0.15234050112449912,,,,,
regime_matrix,correlated,20260734,20000,02fe7b17006076ad6f05a61e18b321655540f348363ab8b4c7a5ed311ebcb9ab,correlated,False,0.0,0.11805,0.1471,0.00365,0.14345,0.13853290402242593,0.14836709597757405,,,,,
regime_matrix,burst_mixture,20260731,20000,4f9792389edf4706b6d49bd70a4dd0065c10177aebd134edb3bfc1bba3cc91c1,burst,True,0.12,0.1052,0.0834,0.06925,0.01415,0.011482301448835629,0.01681769855116437,,,,,
regime_matrix,burst_mixture,20260732,20000,43e55d4e96bf427891ff2081c550dd2d63d30ad784360db38ea0cd58883ebfc5,burst,True,0.12,0.1073,0.08595,0.0716,0.01435,0.011675315495537943,0.017024684504462057,,,,,
regime_matrix,burst_mixture,20260733,20000,6952c99e4381acf90e5cfa42c3dcb806fef0e536554dae3bbe68a60c872c608e,burst,True,0.12,0.1069,0.08455,0.07175,0.0128,0.0101472341117692,0.015452765888230802,,,,,
regime_matrix,burst_mixture,20260734,20000,7d486ef1fd2cb45037b8369528bc4d2b79bb96d28e5ce31909164ade83a2e3d8,burst,True,0.12,0.11,0.08985,0.07285,0.017,0.014391967215173416,0.019608032784826587,,,,,
protocol_leakage_flag,mixed_burst_leakage,20260741,2000,3a043d20e0a7f2abaed665eb667932127963e2a03da45fa6dbad29e2b07bcc6a,mixed,mixed,0.0,,,,,,,346,1.0,1.0,0.1605,0.3335
protocol_leakage_flag,mixed_burst_leakage,20260742,2000,ab82879928de7e82a0ae8fd53c6fa50a23c112deed3006ae01f3db62a774df93,mixed,mixed,0.0,,,,,,,467,1.0,1.0,0.1505,0.384
protocol_leakage_flag,mixed_burst_leakage,20260743,2000,707b99454619ebb9a2c30d758d85dfbbffce7780b6bd0e21789cf17fc312b93a,mixed,mixed,0.0,,,,,,,436,1.0,1.0,0.164,0.382
protocol_leakage_flag,mixed_burst_leakage,20260744,2000,3c324b49e8b41864e21903937d0f2b987d59f79d5e475c25363f3ff258b5a2a6,mixed,mixed,0.0,,,,,,,367,1.0,1.0,0.161,0.3445
