base_evaluation_seed,cutoff,cycles,decay_e,decay_g,decay_leakage,effective_seed,epoch,expected_fidelity,exponential_recurrence_action_accuracy,exponential_recurrence_bank_writes,exponential_recurrence_event_cost,exponential_recurrence_event_plus_write_cost,exponential_recurrence_fallback_cycles,exponential_recurrence_false_intervention_rate,exponential_recurrence_fixed_point_action_accuracy,exponential_recurrence_fixed_point_bank_writes,exponential_recurrence_fixed_point_event_cost,exponential_recurrence_fixed_point_event_plus_write_cost,exponential_recurrence_fixed_point_fallback_cycles,exponential_recurrence_fixed_point_false_intervention_rate,exponential_recurrence_fixed_point_mean_event_detection_delay_cycles,exponential_recurrence_fixed_point_transitions,exponential_recurrence_fixed_point_unsafe_miss_rate,exponential_recurrence_mean_event_detection_delay_cycles,exponential_recurrence_transitions,exponential_recurrence_unsafe_miss_rate,final_code_survival,final_fidelity,final_logical_z_signal,fsm_bank_conflicts,fsm_corrections_finite,fsm_final_bank_version,fsm_local_safe_cycles,gradient_norm,grid_index,leakage_enter,leakage_exit,memoryless_event_action_accuracy,memoryless_event_bank_writes,memoryless_event_event_cost,memoryless_event_event_plus_write_cost,memoryless_event_fallback_cycles,memoryless_event_false_intervention_rate,memoryless_event_mean_event_detection_delay_cycles,memoryless_event_transitions,memoryless_event_unsafe_miss_rate,metric_domain,phase,probability,recovery_enter,recovery_exit,recurrence_fixed_bank_conflicts,recurrence_fixed_maximum_state_error,recurrence_fixed_mode_mismatches,recurrence_float_bank_conflicts,restart_index,row_type,run_length_fsm_action_accuracy,run_length_fsm_bank_writes,run_length_fsm_event_cost,run_length_fsm_event_plus_write_cost,run_length_fsm_fallback_cycles,run_length_fsm_false_intervention_rate,run_length_fsm_mean_event_detection_delay_cycles,run_length_fsm_transitions,run_length_fsm_unsafe_miss_rate,scenario_id,seed,static_safe_normal_action_accuracy,static_safe_normal_bank_writes,static_safe_normal_event_cost,static_safe_normal_event_plus_write_cost,static_safe_normal_fallback_cycles,static_safe_normal_false_intervention_rate,static_safe_normal_mean_event_detection_delay_cycles,static_safe_normal_transitions,static_safe_normal_unsafe_miss_rate,strategy,trace_sha256,training_mean_bank_writes,training_mean_event_plus_write_cost,training_traces,trajectory,truth_health_fallback_cycles,truth_leakage_cycles,truth_normal_cycles,truth_oracle_action_accuracy,truth_oracle_bank_writes,truth_oracle_event_cost,truth_oracle_event_plus_write_cost,truth_oracle_fallback_cycles,truth_oracle_false_intervention_rate,truth_oracle_mean_event_detection_delay_cycles,truth_oracle_transitions,truth_oracle_unsafe_miss_rate,truth_x_recovery_cycles,truth_z_recovery_cycles
,,,,,,,0,0.39678747618314913,,,,,,,,,,,,,,,,,,,,,,,,,,1.207247652858531,,,,,,,,,,,,,exact_physical_fidelity,phase_one,,,,,,,,0,physical_optimization,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,0.4679797708618137,,,,,,,,,,,,,,,,,,,,,,,,,,1.0821371736417407,,,,,,,,,,,,,exact_physical_fidelity,phase_one,,,,,,,,0,physical_optimization,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,0.5221869421224979,,,,,,,,,,,,,,,,,,,,,,,,,,0.825542820094235,,,,,,,,,,,,,exact_physical_fidelity,phase_one,,,,,,,,0,physical_optimization,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,0.5613584916922173,,,,,,,,,,,,,,,,,,,,,,,,,,0.5829418925419098,,,,,,,,,,,,,exact_physical_fidelity,phase_one,,,,,,,,0,physical_optimization,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4,0.5857709724897833,,,,,,,,,,,,,,,,,,,,,,,,,,0.5221845426605152,,,,,,,,,,,,,exact_physical_fidelity,phase_one,,,,,,,,0,physical_optimization,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5,0.5973106217068257,,,,,,,,,,,,,,,,,,,,,,,,,,0.6104837227005759,,,,,,,,,,,,,exact_physical_fidelity,phase_one,,,,,,,,0,physical_optimization,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6,0.6024317911076725,,,,,,,,,,,,,,,,,,,,,,,,,,0.6623245602828586,,,,,,,,,,,,,exact_physical_fidelity,phase_one,,,,,,,,0,physical_optimization,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,7,0.6044154829851328,,,,,,,,,,,,,,,,,,,,,,,,,,0.7076316545128819,,,,,,,,,,,,,exact_physical_fidelity,phase_one,,,,,,,,0,physical_optimization,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8,0.6060587420861978,,,,,,,,,,,,,,,,,,,,,,,,,,0.7393663858987517,,,,,,,,,,,,,exact_physical_fidelity,phase_one,,,,,,,,0,physical_optimization,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9,0.6101313919115865,,,,,,,,,,,,,,,,,,,,,,,,,,0.7105122259035889,,,,,,,,,,,,,exact_physical_fidelity,phase_one,,,,,,,,0,physical_optimization,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
