row_type,lane,variant,training_seed,evaluation_seed,cycle,metric,value
evaluation_curve,primary,full_history,101,20011,0,fidelity_curve,1.0
evaluation_curve,primary,full_history,101,20011,1,fidelity_curve,0.5524851413769021
evaluation_curve,primary,full_history,101,20011,2,fidelity_curve,0.5743978501659228
evaluation_curve,primary,full_history,101,20011,3,fidelity_curve,0.572115293707152
evaluation_curve,primary,full_history,101,20011,4,fidelity_curve,0.5951504107397356
evaluation_curve,primary,full_history,101,20011,5,fidelity_curve,0.5821928864871145
evaluation_curve,primary,full_history,101,20011,6,fidelity_curve,0.5708876144545441
evaluation_curve,primary,full_history,101,20011,7,fidelity_curve,0.5711575771692211
evaluation_curve,primary,full_history,101,20011,8,fidelity_curve,0.5678142443418925
evaluation_curve,primary,full_history,101,20011,9,fidelity_curve,0.5514704245843006
evaluation_curve,primary,full_history,101,20011,10,fidelity_curve,0.5206381134316791
evaluation_curve,primary,full_history,101,20011,0,code_survival_curve,1.0
evaluation_curve,primary,full_history,101,20011,1,code_survival_curve,0.560107083201487
evaluation_curve,primary,full_history,101,20011,2,code_survival_curve,0.594749683391123
evaluation_curve,primary,full_history,101,20011,3,code_survival_curve,0.6091257588651096
evaluation_curve,primary,full_history,101,20011,4,code_survival_curve,0.6573268475466225
evaluation_curve,primary,full_history,101,20011,5,code_survival_curve,0.6552238611655341
evaluation_curve,primary,full_history,101,20011,6,code_survival_curve,0.6588280636595919
evaluation_curve,primary,full_history,101,20011,7,code_survival_curve,0.6659767520045213
evaluation_curve,primary,full_history,101,20011,8,code_survival_curve,0.6761541204622306
evaluation_curve,primary,full_history,101,20011,9,code_survival_curve,0.6632114126078505
evaluation_curve,primary,full_history,101,20011,10,code_survival_curve,0.6459061293380531
evaluation_curve,primary,full_history,101,20011,0,logical_z_curve,1.0
evaluation_curve,primary,full_history,101,20011,1,logical_z_curve,0.545037293680676
evaluation_curve,primary,full_history,101,20011,2,logical_z_curve,0.5545520267193379
evaluation_curve,primary,full_history,101,20011,3,logical_z_curve,0.5350963767869523
evaluation_curve,primary,full_history,101,20011,4,logical_z_curve,0.5330013654147672
evaluation_curve,primary,full_history,101,20011,5,logical_z_curve,0.5090322968967286
evaluation_curve,primary,full_history,101,20011,6,logical_z_curve,0.48256326908204417
evaluation_curve,primary,full_history,101,20011,7,logical_z_curve,0.47582650152978423
evaluation_curve,primary,full_history,101,20011,8,logical_z_curve,0.45893137713931725
evaluation_curve,primary,full_history,101,20011,9,logical_z_curve,0.43888338974063523
evaluation_curve,primary,full_history,101,20011,10,logical_z_curve,0.3947216811645515
evaluation_metric,primary,full_history,101,20011,,mean_ground_outcome_probability,0.87265625
evaluation_metric,primary,full_history,101,20011,,mean_control_residual_rms,0.15625276546905614
evaluation_metric,primary,full_history,101,20011,,mean_control_slew_rms,0.017934483204711405
evaluation_metric,primary,full_history,101,20011,,maximum_trace_error,4.440892098500626e-16
evaluation_metric,primary,full_history,101,20011,,maximum_hermiticity_error,0.0
evaluation_metric,primary,full_history,101,20011,,minimum_final_eigenvalue,0.0
evaluation_curve,primary,full_history,101,20021,0,fidelity_curve,1.0
evaluation_curve,primary,full_history,101,20021,1,fidelity_curve,0.5209431182275173
evaluation_curve,primary,full_history,101,20021,2,fidelity_curve,0.5894305652870794
evaluation_curve,primary,full_history,101,20021,3,fidelity_curve,0.577303687929564
evaluation_curve,primary,full_history,101,20021,4,fidelity_curve,0.5689568692562323
evaluation_curve,primary,full_history,101,20021,5,fidelity_curve,0.5551457029519367
evaluation_curve,primary,full_history,101,20021,6,fidelity_curve,0.5516028555206248
evaluation_curve,primary,full_history,101,20021,7,fidelity_curve,0.5272002644872398
evaluation_curve,primary,full_history,101,20021,8,fidelity_curve,0.5208232745262922
evaluation_curve,primary,full_history,101,20021,9,fidelity_curve,0.5060798191565179
evaluation_curve,primary,full_history,101,20021,10,fidelity_curve,0.510471903678066
evaluation_curve,primary,full_history,101,20021,0,code_survival_curve,1.0
evaluation_curve,primary,full_history,101,20021,1,code_survival_curve,0.5301166751057096
evaluation_curve,primary,full_history,101,20021,2,code_survival_curve,0.6115949670340599
evaluation_curve,primary,full_history,101,20021,3,code_survival_curve,0.6247575629359042
evaluation_curve,primary,full_history,101,20021,4,code_survival_curve,0.6371240823789273
evaluation_curve,primary,full_history,101,20021,5,code_survival_curve,0.6411170025042675
evaluation_curve,primary,full_history,101,20021,6,code_survival_curve,0.6528912340595963
evaluation_curve,primary,full_history,101,20021,7,code_survival_curve,0.6387257623585558
evaluation_curve,primary,full_history,101,20021,8,code_survival_curve,0.6563220657585789
evaluation_curve,primary,full_history,101,20021,9,code_survival_curve,0.651533467245309
evaluation_curve,primary,full_history,101,20021,10,code_survival_curve,0.6639822277900274
evaluation_curve,primary,full_history,101,20021,0,logical_z_curve,1.0
evaluation_curve,primary,full_history,101,20021,1,logical_z_curve,0.5119986804611254
evaluation_curve,primary,full_history,101,20021,2,logical_z_curve,0.5677515104078205
evaluation_curve,primary,full_history,101,20021,3,logical_z_curve,0.5300475485868548
evaluation_curve,primary,full_history,101,20021,4,logical_z_curve,0.5011005490718028
evaluation_curve,primary,full_history,101,20021,5,logical_z_curve,0.46918900858302803
evaluation_curve,primary,full_history,101,20021,6,logical_z_curve,0.44980877622258836
evaluation_curve,primary,full_history,101,20021,7,logical_z_curve,0.41534027417875496
evaluation_curve,primary,full_history,101,20021,8,logical_z_curve,0.38494546367964716
