row_type,lane_id,cutoff,noise_profile,mode,cycle,time_us,metric,value
curve,cutoff12_high,12,high,measurement_feedback,0,0.0,fidelity,1.0
curve,cutoff12_high,12,high,measurement_feedback,0,0.0,code_survival,1.0
curve,cutoff12_high,12,high,measurement_feedback,0,0.0,logical_z_signal,0.9997719696551096
curve,cutoff12_high,12,high,measurement_feedback,0,0.0,conditional_logical_z,0.9997719696551096
curve,cutoff12_high,12,high,measurement_feedback,1,10.0,fidelity,0.41207681925542117
curve,cutoff12_high,12,high,measurement_feedback,1,10.0,code_survival,0.4172170054096645
curve,cutoff12_high,12,high,measurement_feedback,1,10.0,logical_z_signal,0.4071857526332468
curve,cutoff12_high,12,high,measurement_feedback,1,10.0,conditional_logical_z,0.9759567499733909
curve,cutoff12_high,12,high,measurement_feedback,2,20.0,fidelity,0.3967874761831488
curve,cutoff12_high,12,high,measurement_feedback,2,20.0,code_survival,0.4134515179479694
curve,cutoff12_high,12,high,measurement_feedback,2,20.0,logical_z_signal,0.38033967720772166
curve,cutoff12_high,12,high,measurement_feedback,2,20.0,conditional_logical_z,0.9199136070304265
curve,cutoff12_high,12,high,measurement_feedback,3,30.0,fidelity,0.3329382828014754
curve,cutoff12_high,12,high,measurement_feedback,3,30.0,code_survival,0.36903923216506984
curve,cutoff12_high,12,high,measurement_feedback,3,30.0,logical_z_signal,0.2970198808369812
curve,cutoff12_high,12,high,measurement_feedback,3,30.0,conditional_logical_z,0.8048463549374755
curve,cutoff12_high,12,high,measurement_feedback,4,40.0,fidelity,0.31258634140868663
curve,cutoff12_high,12,high,measurement_feedback,4,40.0,code_survival,0.36686553048854625
curve,cutoff12_high,12,high,measurement_feedback,4,40.0,logical_z_signal,0.2584174107740639
curve,cutoff12_high,12,high,measurement_feedback,4,40.0,conditional_logical_z,0.7043927251217509
curve,cutoff12_high,12,high,measurement_feedback,5,50.0,fidelity,0.2881272553263456
curve,cutoff12_high,12,high,measurement_feedback,5,50.0,code_survival,0.3580440943548264
curve,cutoff12_high,12,high,measurement_feedback,5,50.0,logical_z_signal,0.21826582733614636
curve,cutoff12_high,12,high,measurement_feedback,5,50.0,conditional_logical_z,0.6096059976340289
curve,cutoff12_high,12,high,measurement_feedback,6,60.0,fidelity,0.274498026967896
curve,cutoff12_high,12,high,measurement_feedback,6,60.0,code_survival,0.35809017821039735
curve,cutoff12_high,12,high,measurement_feedback,6,60.0,logical_z_signal,0.1908586847531154
curve,cutoff12_high,12,high,measurement_feedback,6,60.0,conditional_logical_z,0.5329905603860925
curve,cutoff12_high,12,high,measurement_feedback,7,70.0,fidelity,0.26157191836779403
curve,cutoff12_high,12,high,measurement_feedback,7,70.0,code_survival,0.3565946083555275
curve,cutoff12_high,12,high,measurement_feedback,7,70.0,logical_z_signal,0.16643895815608883
curve,cutoff12_high,12,high,measurement_feedback,7,70.0,conditional_logical_z,0.4667455823957606
curve,cutoff12_high,12,high,measurement_feedback,8,80.0,fidelity,0.25220381948833176
curve,cutoff12_high,12,high,measurement_feedback,8,80.0,code_survival,0.35704441431901035
curve,cutoff12_high,12,high,measurement_feedback,8,80.0,logical_z_signal,0.14716630068166525
curve,cutoff12_high,12,high,measurement_feedback,8,80.0,conditional_logical_z,0.41217925496007285
curve,cutoff12_high,12,high,measurement_feedback,9,90.0,fidelity,0.24399228869583525
curve,cutoff12_high,12,high,measurement_feedback,9,90.0,code_survival,0.3570223085916012
curve,cutoff12_high,12,high,measurement_feedback,9,90.0,logical_z_signal,0.13070745653028895
curve,cutoff12_high,12,high,measurement_feedback,9,90.0,conditional_logical_z,0.366104451696338
curve,cutoff12_high,12,high,measurement_feedback,10,100.0,fidelity,0.23745824557855108
curve,cutoff12_high,12,high,measurement_feedback,10,100.0,code_survival,0.3574628613478212
curve,cutoff12_high,12,high,measurement_feedback,10,100.0,logical_z_signal,0.1171320665569695
curve,cutoff12_high,12,high,measurement_feedback,10,100.0,conditional_logical_z,0.3276761846400507
curve,cutoff12_high,12,high,measurement_feedback,11,110.0,fidelity,0.2318613448131079
curve,cutoff12_high,12,high,measurement_feedback,11,110.0,code_survival,0.3576862271203314
curve,cutoff12_high,12,high,measurement_feedback,11,110.0,logical_z_signal,0.10566619696410695
curve,cutoff12_high,12,high,measurement_feedback,11,110.0,conditional_logical_z,0.2954158951402933
curve,cutoff12_high,12,high,measurement_feedback,12,120.0,fidelity,0.2272647486345092
curve,cutoff12_high,12,high,measurement_feedback,12,120.0,code_survival,0.3580182492135299
curve,cutoff12_high,12,high,measurement_feedback,12,120.0,logical_z_signal,0.09609086292068493
curve,cutoff12_high,12,high,measurement_feedback,12,120.0,conditional_logical_z,0.2683965499852893
curve,cutoff12_high,12,high,measurement_feedback,13,130.0,fidelity,0.22336185526071625
curve,cutoff12_high,12,high,measurement_feedback,13,130.0,code_survival,0.3582324338265283
curve,cutoff12_high,12,high,measurement_feedback,13,130.0,logical_z_signal,0.08803197634120473
curve,cutoff12_high,12,high,measurement_feedback,13,130.0,conditional_logical_z,0.24573982707504824
curve,cutoff12_high,12,high,measurement_feedback,14,140.0,fidelity,0.22011993979760258
curve,cutoff12_high,12,high,measurement_feedback,14,140.0,code_survival,0.3584631552946269
curve,cutoff12_high,12,high,measurement_feedback,14,140.0,logical_z_signal,0.08128015505992477
curve,cutoff12_high,12,high,measurement_feedback,14,140.0,conditional_logical_z,0.2267461909526496
curve,cutoff12_high,12,high,measurement_feedback,15,150.0,fidelity,0.21737996723746106
curve,cutoff12_high,12,high,measurement_feedback,15,150.0,code_survival,0.35862648258791663
curve,cutoff12_high,12,high,measurement_feedback,15,150.0,logical_z_signal,0.07560679861340978
curve,cutoff12_high,12,high,measurement_feedback,15,150.0,conditional_logical_z,0.2108232444737957
curve,cutoff12_high,12,high,measurement_feedback,16,160.0,fidelity,0.2150940268418428
curve,cutoff12_high,12,high,measurement_feedback,16,160.0,code_survival,0.3587828164300319
curve,cutoff12_high,12,high,measurement_feedback,16,160.0,logical_z_signal,0.0708510348553187
curve,cutoff12_high,12,high,measurement_feedback,16,160.0,conditional_logical_z,0.1974761098101133
curve,cutoff12_high,12,high,measurement_feedback,17,170.0,fidelity,0.21316787064701306
curve,cutoff12_high,12,high,measurement_feedback,17,170.0,code_survival,0.35889949426064544
curve,cutoff12_high,12,high,measurement_feedback,17,170.0,logical_z_signal,0.06685929514596216
curve,cutoff12_high,12,high,measurement_feedback,17,170.0,conditional_logical_z,0.18628974466430032
curve,cutoff12_high,12,high,measurement_feedback,18,180.0,fidelity,0.21155806834378033
curve,cutoff12_high,12,high,measurement_feedback,18,180.0,code_survival,0.3590048856164799
curve,cutoff12_high,12,high,measurement_feedback,18,180.0,logical_z_signal,0.0635140444220202
curve,cutoff12_high,12,high,measurement_feedback,18,180.0,conditional_logical_z,0.1769169361384998
curve,cutoff12_high,12,high,measurement_feedback,19,190.0,fidelity,0.21020464208912476
curve,cutoff12_high,12,high,measurement_feedback,19,190.0,code_survival,0.35908630842417305
curve,cutoff12_high,12,high,measurement_feedback,19,190.0,logical_z_signal,0.06070883188776991
curve,cutoff12_high,12,high,measurement_feedback,19,190.0,conditional_logical_z,0.16906473586861798
curve,cutoff12_high,12,high,measurement_feedback,20,200.0,fidelity,0.20907279512171628
curve,cutoff12_high,12,high,measurement_feedback,20,200.0,code_survival,0.3591574858411602
curve,cutoff12_high,12,high,measurement_feedback,20,200.0,logical_z_signal,0.05835915036536505
curve,cutoff12_high,12,high,measurement_feedback,20,200.0,conditional_logical_z,0.1624890268643176
curve,cutoff12_high,12,high,measurement_feedback,21,210.0,fidelity,0.20812283309109414
curve,cutoff12_high,12,high,measurement_feedback,21,210.0,code_survival,0.35921377901852264
curve,cutoff12_high,12,high,measurement_feedback,21,210.0,logical_z_signal,0.0563904693405897
curve,cutoff12_high,12,high,measurement_feedback,21,210.0,conditional_logical_z,0.15698303526848273
curve,cutoff12_high,12,high,measurement_feedback,22,220.0,fidelity,0.20732833952211568
curve,cutoff12_high,12,high,measurement_feedback,22,220.0,code_survival,0.35926202575058097
curve,cutoff12_high,12,high,measurement_feedback,22,220.0,logical_z_signal,0.054742466296244914
curve,cutoff12_high,12,high,measurement_feedback,22,220.0,conditional_logical_z,0.15237476374486092
curve,cutoff12_high,12,high,measurement_feedback,23,230.0,fidelity,0.2066624324681722
curve,cutoff12_high,12,high,measurement_feedback,23,230.0,code_survival,0.3593007970651552
curve,cutoff12_high,12,high,measurement_feedback,23,230.0,logical_z_signal,0.053362792853252364
curve,cutoff12_high,12,high,measurement_feedback,23,230.0,conditional_logical_z,0.14851843716777396
curve,cutoff12_high,12,high,measurement_feedback,24,240.0,fidelity,0.2061056350603659
curve,cutoff12_high,12,high,measurement_feedback,24,240.0,code_survival,0.35933362325116225
curve,cutoff12_high,12,high,measurement_feedback,24,240.0,logical_z_signal,0.052208583665493975
curve,cutoff12_high,12,high,measurement_feedback,24,240.0,conditional_logical_z,0.14529278722409428
curve,cutoff12_high,12,high,measurement_feedback,25,250.0,fidelity,0.20563948517486105
curve,cutoff12_high,12,high,measurement_feedback,25,250.0,code_survival,0.3593602907820431
curve,cutoff12_high,12,high,measurement_feedback,25,250.0,logical_z_signal,0.051243039664363645
curve,cutoff12_high,12,high,measurement_feedback,25,250.0,conditional_logical_z,0.14259516418146279
curve,cutoff12_high,12,high,measurement_feedback,26,260.0,fidelity,0.20524987318052335
curve,cutoff12_high,12,high,measurement_feedback,26,260.0,code_survival,0.35938270014900403
curve,cutoff12_high,12,high,measurement_feedback,26,260.0,logical_z_signal,0.05043580342133963
curve,cutoff12_high,12,high,measurement_feedback,26,260.0,conditional_logical_z,0.14034009817508852
curve,cutoff12_high,12,high,measurement_feedback,27,270.0,fidelity,0.20492401119667814
curve,cutoff12_high,12,high,measurement_feedback,27,270.0,code_survival,0.3594010410945982
curve,cutoff12_high,12,high,measurement_feedback,27,270.0,logical_z_signal,0.04976100969653712
curve,cutoff12_high,12,high,measurement_feedback,27,270.0,conditional_logical_z,0.13845538550746572
curve,cutoff12_high,12,high,measurement_feedback,28,280.0,fidelity,0.20465179233544215
curve,cutoff12_high,12,high,measurement_feedback,28,280.0,code_survival,0.35941638406231374
curve,cutoff12_high,12,high,measurement_feedback,28,280.0,logical_z_signal,0.04919721828842545
curve,cutoff12_high,12,high,measurement_feedback,28,280.0,conditional_logical_z,0.13688084480838775
curve,cutoff12_high,12,high,measurement_feedback,29,290.0,fidelity,0.20442431489686985
curve,cutoff12_high,12,high,measurement_feedback,29,290.0,code_survival,0.35942900640060216
curve,cutoff12_high,12,high,measurement_feedback,29,290.0,logical_z_signal,0.04872626006169846
curve,cutoff12_high,12,high,measurement_feedback,29,290.0,conditional_logical_z,0.1355657423134919
curve,cutoff12_high,12,high,measurement_feedback,30,300.0,fidelity,0.20423439362691945
curve,cutoff12_high,12,high,measurement_feedback,30,300.0,code_survival,0.3594395383889303
curve,cutoff12_high,12,high,measurement_feedback,30,300.0,logical_z_signal,0.04833302804330353
curve,cutoff12_high,12,high,measurement_feedback,30,300.0,conditional_logical_z,0.1344677557175275
curve,cutoff12_high,12,high,measurement_feedback,31,310.0,fidelity,0.204075815471414
curve,cutoff12_high,12,high,measurement_feedback,31,310.0,code_survival,0.35944823453199853
curve,cutoff12_high,12,high,measurement_feedback,31,310.0,logical_z_signal,0.04800477042839907
curve,cutoff12_high,12,high,measurement_feedback,31,310.0,conditional_logical_z,0.13355127614105897
curve,cutoff12_high,12,high,measurement_feedback,32,320.0,fidelity,0.20394349911567933
curve,cutoff12_high,12,high,measurement_feedback,32,320.0,code_survival,0.3594554809602085
curve,cutoff12_high,12,high,measurement_feedback,32,320.0,logical_z_signal,0.04773086448593817
curve,cutoff12_high,12,high,measurement_feedback,32,320.0,conditional_logical_z,0.13278658141040264
curve,cutoff12_high,12,high,measurement_feedback,33,330.0,fidelity,0.20383310296342338
curve,cutoff12_high,12,high,measurement_feedback,33,330.0,code_survival,0.3594614802511424
curve,cutoff12_high,12,high,measurement_feedback,33,330.0,logical_z_signal,0.04750236981907812
curve,cutoff12_high,12,high,measurement_feedback,33,330.0,conditional_logical_z,0.13214870696545838
curve,cutoff12_high,12,high,measurement_feedback,34,340.0,fidelity,0.20374104742426688
curve,cutoff12_high,12,high,measurement_feedback,34,340.0,code_survival,0.35946647683780075
curve,cutoff12_high,12,high,measurement_feedback,34,340.0,logical_z_signal,0.047311830617380764
curve,cutoff12_high,12,high,measurement_feedback,34,340.0,conditional_logical_z,0.13161680898196498
curve,cutoff12_high,12,high,measurement_feedback,35,350.0,fidelity,0.20366429795587215
curve,cutoff12_high,12,high,measurement_feedback,35,350.0,code_survival,0.3594706219023312
curve,cutoff12_high,12,high,measurement_feedback,35,350.0,logical_z_signal,0.04715298585819136
curve,cutoff12_high,12,high,measurement_feedback,35,350.0,conditional_logical_z,0.13117340607323094
curve,cutoff12_high,12,high,measurement_feedback,36,360.0,fidelity,0.2036003403497336
curve,cutoff12_high,12,high,measurement_feedback,36,360.0,code_survival,0.3594740741599817
curve,cutoff12_high,12,high,measurement_feedback,36,360.0,logical_z_signal,0.04702061135483508
curve,cutoff12_high,12,high,measurement_feedback,36,360.0,conditional_logical_z,0.1308039014071119
curve,cutoff12_high,12,high,measurement_feedback,37,370.0,fidelity,0.20354705441130416
curve,cutoff12_high,12,high,measurement_feedback,37,370.0,code_survival,0.3594769427043003
curve,cutoff12_high,12,high,measurement_feedback,37,370.0,logical_z_signal,0.046910327753463744
curve,cutoff12_high,12,high,measurement_feedback,37,370.0,conditional_logical_z,0.1304960685393705
curve,cutoff12_high,12,high,measurement_feedback,38,380.0,fidelity,0.20350267846001616
