record_id,split,seed,as_of_cycle,future_start_cycle,future_end_cycle_exclusive,offline_regime_label,candidate_failures,oracle_failures,oracle_trials,fallback_score,offline_fallback_required,update_cost,source_bank_action,scope,prediction_mean_q,offline_future_target_mean_q,uncertainty_se_mean_q,prediction_mean_p,offline_future_target_mean_p,uncertainty_se_mean_p,prediction_sigma_q,offline_future_target_sigma_q,uncertainty_se_sigma_q,prediction_sigma_p,offline_future_target_sigma_p,uncertainty_se_sigma_p,prediction_rho_qp,offline_future_target_rho_qp,uncertainty_se_rho_qp,prediction_tail_rate,offline_future_target_tail_rate,uncertainty_se_tail_rate,prediction_x_e_rate,offline_future_target_x_e_rate,uncertainty_se_x_e_rate,prediction_z_e_rate,offline_future_target_z_e_rate,uncertainty_se_z_e_rate,prediction_leakage_rate,offline_future_target_leakage_rate,uncertainty_se_leakage_rate,regime_p_normal,regime_p_burst,regime_p_leakage,regime_p_calibration_shift
seed20261341-asof255,training,20261341,255,256,288,calibration_shift,1,0,32,0.9389270047052102,0,0.05,hold_active,offline_future_aligned_calibration_record,0.26373827036084374,-0.11535313058303864,0.0402506053555979,0.2219294018501139,0.06879833635245602,0.10222529132670767,0.35737061273497245,0.48689013631875633,0.04407026142601981,0.4628773143902389,0.38541198149927464,0.04162296464219563,0.15445324064149732,0.5446910939914036,0.10220928536227279,0.11328125,0.03125,0.03156593113459174,0.21484375,0.34375,0.03510454200025431,0.36328125,0.25,0.0437590782106211,0.08203125,0.0,0.044174816822546044,0.9959948728966418,0.0006397456197232426,0.00028735941410102983,0.00307802206953385
seed20261341-asof287,training,20261341,287,288,320,burst,3,5,32,0.8953072466968959,0,0.05036399418623381,hold_active,offline_future_aligned_calibration_record,0.24390077049913939,-0.21036777844053556,0.04296409097537062,0.23045055247287327,-0.11918089079624039,0.07810151270733393,0.3807647212809001,0.8129237767818318,0.04407120093960439,0.44145330719935516,0.591103319856853,0.03698865683032206,0.2279119683393011,0.1129784437728192,0.08396985125235766,0.10546875,0.375,0.03218537635046645,0.2421875,0.3125,0.03638221943992502,0.33203125,0.4375,0.03962305318099285,0.06640625,0.0,0.03805387868712639,0.9917782334952218,0.0028267717885318267,0.0009060922705802097,0.004488902445666067
seed20261341-asof319,training,20261341,319,320,352,normal,0,0,32,0.8953072466968959,0,0.0503631672146405,hold_active,offline_future_aligned_calibration_record,0.23925068421609996,0.10394343762489133,0.06388204446511989,0.2669148966788064,0.4730266955710116,0.06674163672426411,0.43320522759759905,0.4337786390245737,0.056416068359978665,0.45380731381094824,0.3413943214341127,0.03865590701906265,0.21703496411391363,0.7733716360591909,0.0869805431775662,0.15234375,0.0625,0.03626469682197671,0.24609375,0.15625,0.039460207243378904,0.35546875,0.53125,0.030921725578378204,0.06640625,0.0,0.041245282496523226,0.7928451709438452,0.11367668058506215,0.05775705540198112,0.03572109306911155
seed20261341-asof351,training,20261341,351,352,384,normal,2,1,32,0.8953072466968959,0,0.05012344086964758,hold_active,offline_future_aligned_calibration_record,0.22218498750386173,-0.2699195773441945,0.055068067395238826,0.2933484139508633,0.3688946549129306,0.06736133771315185,0.4389271049617267,0.594013670149224,0.05009449719680186,0.4535673499447157,0.3934422433030236,0.04574079382315581,0.24591988956338118,0.034408309602036016,0.08801700391714569,0.13671875,0.25,0.037079533790012525,0.25,0.46875,0.03392914793055357,0.3828125,0.25,0.03760857581780254,0.06640625,0.0,0.03808529161985411,0.9767364346792468,0.016328735328175886,0.004285510861388173,0.0026493191311891305
seed20261341-asof383,training,20261341,383,384,416,normal,1,2,30,0.7368025913671197,1,0.05034206853602005,hold_active,offline_future_aligned_calibration_record,0.17502429020324684,-0.5321772038964593,0.08145092012020969,0.2731786155051461,0.018655918245978453,0.051816933891540545,0.4983835892654358,0.39803683574899235,0.06424064133454722,0.44933644166818787,0.4655867212747205,0.035683398236673915,0.20755036365591265,0.23024814475621452,0.10706777072934195,0.14453125,0.21875,0.04315607103388471,0.28125,0.375,0.03634017169039429,0.3671875,0.15625,0.038494128903891874,0.0390625,0.0625,0.022850144843931306,0.9179043274176376,0.046219562192981914,0.027102435320454435,0.00877367506892612
seed20261341-asof415,training,20261341,415,416,448,normal,0,0,31,0.7003967238645127,0,0.05038106260939442,hold_active,offline_future_aligned_calibration_record,0.09963916948585827,0.05343934771058101,0.10515527091808731,0.28550657884016917,0.22546725659870015,0.0593490874474352,0.5775339953653539,0.44713511195974787,0.05350856956367519,0.43333376189924394,0.3349710227686633,0.043489935350329106,0.2079119468928782,0.1820083684848761,0.09477471197763578,0.16796875,0.0625,0.03586199656433389,0.296875,0.34375,0.041057493216430076,0.328125,0.25,0.03925959198898218,0.03515625,0.03125,0.02653201621995342,0.9526816376981856,0.033916545243663304,0.011273546697130963,0.002128270361020146
seed20261341-asof447,training,20261341,447,448,480,normal,1,1,32,0.7368025913671197,0,0.05016745206290617,hold_active,offline_future_aligned_calibration_record,0.000512943803660626,0.2776812533823265,0.09224347627469638,0.25219678655783273,-0.15907031547972306,0.0603854402130419,0.5708484633026997,0.5513625815082123,0.04242495943064864,0.4283414492273024,0.3929071181175603,0.03912700384779922,0.23191120655349887,0.4590493448364043,0.07530612419128492,0.16796875,0.15625,0.03633142297804657,0.30859375,0.5625,0.043675282312347366,0.3125,0.3125,0.045643571332515884,0.0390625,0.0,0.024753041060840846,0.9892469008245526,0.004602928821526497,0.0015822511894981349,0.004567919164422835
seed20261341-asof479,training,20261341,479,480,512,leakage,3,4,24,0.6730738182010497,1,0.05025008365275918,hold_active,offline_future_aligned_calibration_record,0.012674218640524204,-0.22331039041827339,0.08423698389248126,0.17913586100551337,0.056986944897704284,0.0696747302323046,0.567402472571014,0.6180737688864602,0.045888337077325245,0.4487997047599832,0.5896297293658127,0.03444224309632659,0.19988911040649318,0.9426694703607658,0.12345876299986475,0.1484375,0.375,0.03968260704519214,0.34765625,0.34375,0.04174216560190553,0.3046875,0.125,0.04365656210475748,0.01171875,0.25,0.008776135500063587,0.9299233615614583,0.012345449291405698,0.0077310477227204,0.050000141424415556
seed20261341-asof511,training,20261341,511,512,544,calibration_shift,0,2,32,0.814451205834264,0,0.05033665144149664,hold_active,offline_future_aligned_calibration_record,-0.1051155632935008,0.129669846724205,0.09109764729250663,0.14455414537006828,0.1110729994935753,0.06886860082542128,0.5910224639783762,0.4885257311660571,0.031415476763204137,0.48561796606577357,0.4114890628014132,0.03441650950512988,0.2911376034689349,0.16841567124130918,0.16813073515511662,0.19140625,0.125,0.03205766404719094,0.36328125,0.1875,0.03570308963940432,0.2890625,0.34375,0.048084577712595104,0.04296875,0.0,0.022186988570529507,0.40750667446152355,0.08162715943832197,0.4896957866642104,0.0211703794359442
seed20261341-asof543,training,20261341,543,544,576,normal,3,3,32,0.7689063883104138,0,0.05016711738913831,hold_active,offline_future_aligned_calibration_record,-0.06296713414665223,-0.2814557806149858,0.10594312809287297,0.15184222121312674,0.26730099187697154,0.07340027985270647,0.5978468249908587,0.5411147427887238,0.03634625713099404,0.48818189183618416,0.5908812482610978,0.032241830236186646,0.2375305557654224,-0.0029476861568476843,0.1317854388822602,0.203125,0.3125,0.03598167594923163,0.34375,0.4375,0.04402102989765162,0.30078125,0.34375,0.04638268015783954,0.04296875,0.0,0.02314633962842602,0.8646057877849525,0.034922412316794334,0.07034681514039003,0.03012498475786296
