split,data_seed,trajectory_index,half_cycle_index,history_length,history_sha256,latest_observed_outcome,teacher_student_squared_error,teacher_latest_squared_error,scope,offline_teacher_target_layer1_phi,student_prediction_layer1_phi,offline_teacher_target_layer1_theta,student_prediction_layer1_theta,offline_teacher_target_layer1_beta_real,student_prediction_layer1_beta_real,offline_teacher_target_layer1_beta_imag,student_prediction_layer1_beta_imag,offline_teacher_target_layer2_phi,student_prediction_layer2_phi,offline_teacher_target_layer2_theta,student_prediction_layer2_theta,offline_teacher_target_layer2_beta_real,student_prediction_layer2_beta_real,offline_teacher_target_layer2_beta_imag,student_prediction_layer2_beta_imag,offline_teacher_target_layer3_phi,student_prediction_layer3_phi,offline_teacher_target_layer3_theta,student_prediction_layer3_theta,offline_teacher_target_layer3_beta_real,student_prediction_layer3_beta_real,offline_teacher_target_layer3_beta_imag,student_prediction_layer3_beta_imag,offline_teacher_target_layer4_phi,student_prediction_layer4_phi,offline_teacher_target_layer4_theta,student_prediction_layer4_theta,offline_teacher_target_virtual_rotation,student_prediction_virtual_rotation
training,20261501,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,none,4.727153316489504e-07,2.530521483647923e-32,offline_teacher_target_distillation_source_data,0.10940769765753414,0.11066962601373732,0.006483859568254927,0.0063792286015897206,-0.02913511872006562,-0.02946788963792808,0.0689537146454493,0.06990624144487682,0.05765861315792151,0.05821824961279425,0.029119702501004364,0.029377284671967662,-0.00388889198163285,-0.0039557710182667166,0.028701873547235853,0.02884938790792417,-0.026132002582426136,-0.026381642915260368,-0.014707552586256285,-0.014587813881395685,0.008596520331406806,0.008492304252768687,0.06180304082121701,0.06368855543982156,0.04522785089569843,0.045761188670830455,-0.007757976493585373,-0.007484291785964223,0.00699069674067287,0.006742777357445879
training,20261501,0,1,1,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,g,5.000561359635006e-07,0.00028150326884594974,offline_teacher_target_distillation_source_data,0.16007523067955196,0.16087760884266036,0.010421235418980351,0.010519082902319375,-0.03631117897255834,-0.036804153025933366,0.09242335195735485,0.09314702325699675,0.08170906864805311,0.08221295143450835,0.03976418409153824,0.04011571620565371,0.007051739515350478,0.006957758338257821,0.03215550947985766,0.033240308911238,-0.03738649684177359,-0.03776461949786271,-0.033476320263016016,-0.0334863470023489,0.016144863964523616,0.016173395349609137,0.07330666558706359,0.07529549404871612,0.06573293190597312,0.06600465371958932,-0.010463937511180809,-0.010891162196627054,0.003474002226566015,0.0038764385863457192
training,20261501,0,2,2,96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7,g,1.687930007739962e-07,2.831743158372154e-05,offline_teacher_target_distillation_source_data,0.1920470502332017,0.1922321201887981,0.0127398123412446,0.012838964589218117,-0.041174617989707445,-0.04154106618917729,0.10724205653985848,0.10763017881642448,0.09682128489964635,0.09708398928759975,0.04661889989148673,0.046847163001871805,0.012844622560023345,0.012845999627080277,0.03553055703907366,0.03631297447899019,-0.04465485411337364,-0.04487670350485225,-0.044001881930079687,-0.04412449497850435,0.020547456789392574,0.02063629823435524,0.08229803220402006,0.08333228279146906,0.0788303634184207,0.0788564232403069,-0.012397818785578092,-0.01273944348458951,0.0021610454625473467,0.0026197266583440526
training,20261501,0,3,3,709e80c88487a2411e1ee4dfb9f22a861492d20c4765150c0c794abd70f8147c,g,3.07834093156982e-08,6.595918138827202e-06,offline_teacher_target_distillation_source_data,0.21197497716247,0.21181277900763334,0.014068837571751563,0.014138974360156091,-0.044382655959738754,-0.04459961863330029,0.11648316228286187,0.11665576998002262,0.1062259015446223,0.1063005141884405,0.0509530352517968,0.05106680865758714,0.01594787240857022,0.016022917408921915,0.03814021674814457,0.0384631552005574,-0.04925519783222879,-0.049320333741233915,-0.049933874344908175,-0.05011280061250649,0.023129664952201097,0.023229354599338076,0.08869558397407429,0.0888970553358973,0.0870854317644008,0.08701549973318093,-0.013563260350466178,-0.013742165428089417,0.0017500805329221003,0.002068736354648901
training,20261501,0,4,4,df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119,g,1.8566148863432375e-08,4.5965167384468676e-05,offline_teacher_target_distillation_source_data,0.2243510433526569,0.22404075461047618,0.014826782903290382,0.014867470737397408,-0.046461839081421485,-0.046574479208334435,0.1222248338074805,0.12228032434720915,0.11205285068297571,0.11201257894726696,0.05367122738013977,0.05371191750250898,0.01764664495106331,0.01773697872154859,0.039976051145210904,0.03996780223534076,-0.05212864187049963,-0.05209671400590456,-0.05331561533898508,-0.053483669719290736,0.024656906239196193,0.024735984137471197,0.09303244019677501,0.09275017310002244,0.09228791846113903,0.09219537236544803,-0.01420217718170305,-0.014286158002447317,0.0016772357732110145,0.0018271612506003353
training,20261501,0,5,5,8855508aade16ec573d21e6a485dfd0a7624085c1a14b5ecdd6485de0c6839a4,g,2.9737992154080864e-08,9.096350968666035e-05,offline_teacher_target_distillation_source_data,0.2320409368367602,0.23167703430500247,0.015261389479054536,0.0152757038011157,-0.047795031377416086,-0.04784961650353374,0.12579359151547984,0.12578542570356452,0.11565966276565504,0.11555270759228922,0.05537058457335719,0.055370019004943705,0.01859967236257219,0.018661776398163417,0.0412082966246695,0.04102071963738695,-0.0539103441400733,-0.05383139645336429,-0.055270349622672944,-0.055381161134984966,0.025568968791642884,0.025611372962731166,0.09589522483472522,0.09541811979248552,0.09557953853660356,0.09548386714913384,-0.014528734627013951,-0.014581282610894225,0.0017136049563080966,0.0017212455375565656
training,20261501,0,6,6,b0f66adc83641586656866813fd9dd0b8ebb63796075661ba45d1aa8089e1d44,g,3.439478622264015e-08,0.0001270043479513717,offline_teacher_target_distillation_source_data,0.23683108708495948,0.2364458341020415,0.015513313911155055,0.015504468472456841,-0.048644845029865866,-0.048672953169505755,0.12801715554606208,0.12796972951081348,0.11789470579878947,0.11774674973859744,0.056432517772649786,0.05640940934899495,0.019147093070279245,0.01916073797927604,0.042015042683785114,0.04175752702802614,-0.055011591248547,-0.05491522608283396,-0.05641597534349792,-0.05644927548727083,0.02611909252917391,0.026119995405073277,0.09775743095187284,0.09726543928531209,0.09767229309333224,0.09757160148355815,-0.014684583753749904,-0.01474139239660913,0.0017729972700670728,0.0016748080608399462
training,20261501,0,7,7,837885c8f8091aeaeb9ec3c3f85a6ff470a415e610b8ba3e49f9b33c9cf9d619,g,3.352625490007958e-08,0.00015266808447722172,offline_teacher_target_distillation_source_data,0.2398243429904289,0.23942391405903163,0.01566129400792529,0.015632663073788626,-0.0491848473541431,-0.04920456907320965,0.12940679123142101,0.12933094068198583,0.11928246563965282,0.11910653674705698,0.05709661394827956,0.05706095708942013,0.0194682190707358,0.019429945683535982,0.04253592717820302,0.04227312790027452,-0.05569170916395654,-0.05559240285800487,-0.057095945298539265,-0.0570505263072339,0.0264540380574697,0.026415517556360995,0.0989587223252426,0.09854454629229148,0.09900866711436018,0.09889702084342977,-0.014752423188932943,-0.014828254497389465,0.001826704579078517,0.0016544481049671532
training,20261501,0,8,8,af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc,g,3.2081231243550016e-08,0.00016999106559623602,offline_teacher_target_distillation_source_data,0.24170020011496163,0.2412837028125316,0.015749391307342066,0.015704500458968217,-0.04952737292506161,-0.04954782533853977,0.13027760726362989,0.13017921821846007,0.12014590868489719,0.11994928295933308,0.057512306755844136,0.05746938349099563,0.019659988393937653,0.019575192914537826,0.04286946259733057,0.0426339335366467,-0.05611186057914295,-0.05601550292130103,-0.05750390688581162,-0.057388975601293676,0.026659653859992617,0.026587223196205684,0.09972970579193166,0.09943021590258741,0.09986481988100925,0.09973847679429287,-0.014777218254678702,-0.01487537856615443,0.0018678587970134136,0.0016455215259957826
training,20261501,0,9,9,3e7077fd2f66d689e0cee6a7cf5b37bf2dca7c979af356d0a31cbc5c85605c7d,g,3.2342687244362014e-08,0.00018136237544813085,offline_teacher_target_distillation_source_data,0.24287840474021866,0.24244512703807214,0.01580247235443258,0.015744756521671545,-0.04974436074956507,-0.04976946066371997,0.13082434716333266,0.13070784654162249,0.12068401776739895,0.12047158621262735,0.05777267454350343,0.05772540790049639,0.019776180717370088,0.019653559015432663,0.04308186737385442,0.042886417025804216,-0.05637156757731057,-0.0562798558497015,-0.057750789562665196,-0.057579491640268224,0.02678672627129799,0.02668698839697322,0.10022274913016163,0.10004346456303695,0.10041439619099896,0.10027268365642253,-0.014782269972155551,-0.014900944121638532,0.001897084558456029,0.0016416077742848274
training,20261501,0,10,10,01d448afd928065458cf670b60f5a594d735af0172c8d67f22a81680132681ca,g,3.439429699619094e-08,0.00018870939129327552,offline_teacher_target_distillation_source_data,0.24361946588589528,0.24317042781706327,0.015834769120060408,0.015767315118150566,-0.04988165877919585,-0.04991256720635072,0.1311679607024909,0.1310372763473568,0.12101973671702054,0.12079529064989203,0.05793577753950213,0.057885898255692236,0.019847381963876295,0.019695840343118574,0.04321658480322312,0.043063099166743384,-0.05653218067426176,-0.05644502356489748,-0.057901161127872795,-0.05768673476868834,0.02686566153349282,0.0267449544328774,0.10053714226815083,0.1004680855674965,0.10076745367306668,0.10061183031199458,-0.014779178588075457,-0.014914813841387698,0.0019169824366923828,0.0016398918366894587
training,20261501,0,11,11,71b6c1d53832f789a7f2435a7c629245fa3761ad8487775ebf4957330213a706,g,3.749574312157865e-08,0.00019341063844091828,offline_teacher_target_distillation_source_data,0.2440858771512814,0.2436233727517707,0.015854563598094264,0.015779956450683596,-0.049968425561528876,-0.05000496891409778,0.1313839533064276,0.13124256991970445,0.12122929399849036,0.12099591081077357,0.05803791505948191,0.057986502546357774,0.019891385022116875,0.0197186526388749,0.04330174496273357,0.043186737266925734,-0.05663153724984338,-0.056548220356807934,-0.05799316400772497,-0.0577471028545211,0.02691487431410419,0.026778634125722137,0.10073710467138192,0.10076209843545136,0.10099422608776665,0.10082714101303492,-0.014773466022955928,-0.014922338384558299,0.0019301832155774478,0.0016391395043882147
training,20261501,0,12,12,15ec7bf0b50732b49f8228e07d24365338f9e3ab994b00af08e5a3bffe55fd8b,g,4.0887871663489177e-08,0.00019640001151125427,offline_teacher_target_distillation_source_data,0.24437943401235918,0.2439062334901288,0.01586675612713628,0.015787040370481502,-0.0500231856347796,-0.050064631284787595,0.13151966088101885,0.1313705044602762,0.12136010398338118,0.12112024784270378,0.05810182735982734,0.058049566917347334,0.019918745874066657,0.01973096069224399,0.04335542077567603,0.043273256366906335,-0.05669300168644301,-0.05661269771455289,-0.05804961815450767,-0.05778108457289131,0.02694563004224374,0.026798202855796954,0.10086398221109186,0.10096567660425407,0.10113975788931047,0.10096383319979493,-0.014767588401892831,-0.014926420568693966,0.0019387934555214776,0.0016388096532951315
training,20261501,0,13,13,dd46c3eebb1884ff3b5258c0a2fc9398e560a29e0780d4b53869b6254aa46a96,g,4.406408020096425e-08,0.00019829253888752705,offline_teacher_target_distillation_source_data,0.24456411213194157,0.24408287791459105,0.015874289255245023,0.015791010040575378,-0.05005769738405115,-0.05010315436583358,0.13160484567236794,0.131450230515428,0.12144173009781963,0.12119730738368553,0.058141778985684935,0.058089099176478615,0.01993582985723688,0.01973760132935279,0.0433891623711985,0.043333800443937705,-0.05673101869470946,-0.05665298316902108,-0.05808431568137815,-0.05780021317648147,0.02696487753736575,0.026809572769367913,0.10094430450554288,0.10110663666189149,0.10123302743501578,0.10105061362376341,-0.01476250158115739,-0.014928635218399561,0.0019443443452656637,0.0016386650340312393
training,20261501,0,14,14,e7ecebbc590bc88b3761fa6cd03d749f87463dabb67021a5c6768c25ec68b3f2,g,4.677611641158608e-08,0.0001994867656386034,offline_teacher_target_distillation_source_data,0.24468020071309687,0.24419319104208526,0.015878951007310165,0.015793234554842026,-0.05007941683608913,-0.050128028130588795,0.1316582501531035,0.13149991407892592,0.12149263424263244,0.12124506606638957,0.05816672231923077,0.05811388019764001,0.01994652528335208,0.01974118419171846,0.04341032101462824,0.04337616779709328,-0.05675452608984647,-0.056678153521815745,-0.05810565585416773,-0.05781098083311741,0.026976930110762177,0.02681617896885642,0.10099504491876354,0.10120423916006704,0.1012927038230354,0.10110570705787003,-0.014758458374129549,-0.014929836701026381,0.0019478932852046626,0.001638601627445882
