row_type,item_id,task_id,lane,metric,observed_value,threshold,passed,branch_id,statement,source_artifact_sha256
parent_artifact,T4.4.1-artifact,T4.4.1,,,,,True,qualified_student_retention,status and complete parent gate summary,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:all_required_parent_evidence_is_current_and_passed,T4.4.1,,all_required_parent_evidence_is_current_and_passed,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:canonical_action_contract_has_exactly_fifteen_outputs,T4.4.1,,canonical_action_contract_has_exactly_fifteen_outputs,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:zero_residual_is_nominal_and_absolute_zero_is_not_substituted,T4.4.1,,zero_residual_is_nominal_and_absolute_zero_is_not_substituted,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:all_probed_actions_obey_hard_residual_bounds,T4.4.1,,all_probed_actions_obey_hard_residual_bounds,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:fresh_restarts_and_all_data_splits_are_disjoint,T4.4.1,,fresh_restarts_and_all_data_splits_are_disjoint,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:three_or_more_fresh_72853_parameter_gru_restarts_are_retained,T4.4.1,,three_or_more_fresh_72853_parameter_gru_restarts_are_retained,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:no_parent_checkpoint_was_loaded_or_renamed,T4.4.1,,no_parent_checkpoint_was_loaded_or_renamed,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:every_optimizer_changes_its_fresh_initial_state,T4.4.1,,every_optimizer_changes_its_fresh_initial_state,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:initial_actions_are_close_to_nominal_not_absolute_zero,T4.4.1,,initial_actions_are_close_to_nominal_not_absolute_zero,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:required_fraction_of_restarts_reaches_validation_gain_gate,T4.4.1,,required_fraction_of_restarts_reaches_validation_gain_gate,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:restart_selection_is_validation_only,T4.4.1,,restart_selection_is_validation_only,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:selected_teacher_beats_nominal_on_primary_held_out_score,T4.4.1,,selected_teacher_beats_nominal_on_primary_held_out_score,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:selected_teacher_beats_nominal_on_confirmation_cutoff,T4.4.1,,selected_teacher_beats_nominal_on_confirmation_cutoff,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:selected_teacher_has_positive_paired_logical_z_lifetime_gain,T4.4.1,,selected_teacher_has_positive_paired_logical_z_lifetime_gain,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:all_held_out_density_diagnostics_are_finite_and_physical,T4.4.1,,all_held_out_density_diagnostics_are_finite_and_physical,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:all_selected_teacher_parameter_tensors_receive_gradient,T4.4.1,,all_selected_teacher_parameter_tensors_receive_gradient,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:causal_cached_and_replayed_outputs_are_exact,T4.4.1,,causal_cached_and_replayed_outputs_are_exact,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:checkpoint_reload_matches_selected_state_and_is_finite,T4.4.1,,checkpoint_reload_matches_selected_state_and_is_finite,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:source_data_contains_full_training_validation_and_held_out_records,T4.4.1,,source_data_contains_full_training_validation_and_held_out_records,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:failed_restarts_and_training_cap_hits_are_explicit,T4.4.1,,failed_restarts_and_training_cap_hits_are_explicit,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_gate,T4.4.1:claim_boundary_excludes_online_hardware_and_global_optimality,T4.4.1,,claim_boundary_excludes_online_hardware_and_global_optimality,True,,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
file_binding,T4.4.1:source_data:docs/t4_4_1_bounded_residual_rnn_teacher_source_data.csv,T4.4.1,,source_data,b59bc1c963a3e42cab4ca4f41244160ff1c7221be06be1bfdc070009765dbf88,b59bc1c963a3e42cab4ca4f41244160ff1c7221be06be1bfdc070009765dbf88,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
file_binding,T4.4.1:checkpoint:docs/t4_4_1_bounded_residual_rnn_teacher_checkpoints.pt,T4.4.1,,checkpoint,7c4e004cfb4e04e2ac4848242fbfe63217ef6b89f8780bbce723422be098711e,7c4e004cfb4e04e2ac4848242fbfe63217ef6b89f8780bbce723422be098711e,True,qualified_student_retention,,c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53
parent_artifact,T4.4.2-artifact,T4.4.2,,,,,True,qualified_student_retention,status and complete parent gate summary,9cf3ca1f8245b29a537638bea02edaa961862219aacd64e3f7f714d1a2987e2a
