row_type,record_id,lane_id,seed,method,metric,value,detail
scenario,static_gaussian,decoder_syndrome_level_paired,,,registered,1,
scenario,mean_drift,decoder_syndrome_level_paired,,,registered,1,
scenario,variance_drift,decoder_syndrome_level_paired,,,registered,1,
scenario,correlation_drift,decoder_syndrome_level_paired,,,registered,1,
scenario,loss,loss_noise_transfer,,,registered,1,
scenario,readout_ancilla_drift,protocol_readout_ancilla_fault_drift,,,registered,1,
scenario,burst_outlier,decoder_syndrome_level_paired,,,registered,1,
scenario,large_error_recovery,large_error_recovery_component,,,registered,1,
scenario,leakage,leakage_occupancy_correlation_component,,,registered,1,
scenario,calibration_shift,decoder_syndrome_level_paired,,,registered,1,
decoder_seed,static_gaussian,decoder_syndrome_level_paired,20262716201,paired_all,trace_sha256,fa50cc04daa385350892f8c00ea6741f8e5065863b4da4e3fface0a4da5566b1,"{""evaluation_samples"": 16384, ""evaluation_seed"": 20262716201, ""ewma_brier"": 0.0022287470307904888, ""ewma_covariance_tracking_rmse_lattice2"": 0.0032881251429490253, ""ewma_error_rate"": 0.00140380859375, ""ewma_mean_tracking_rmse_lattice"": 0.012229987941703636, ""ewma_nll"": 0.0042372155910534925, ""kalman_brier"": 0.0021972342363598294, ""kalman_covariance_tracking_rmse_lattice2"": 0.003145763418401647, ""kalman_error_rate"": 0.0013427734375, ""kalman_mean_tracking_rmse_lattice"": 0.012924557347063796, ""kalman_nll"": 0.00418631149208878, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.002049873253854208, ""oracle_error_rate"": 0.00115966796875, ""oracle_nll"": 0.003939322400975922, ""scenario_id"": ""static_gaussian"", ""standard_error_rate"": 0.00189208984375, ""static_brier"": 0.0028685018235608626, ""static_error_rate"": 0.00164794921875, ""static_minus_ewma_error_rate"": 0.000244140625, ""static_minus_kalman_error_rate"": 0.00030517578125, ""static_nll"": 0.00581440473678666, ""trace_sha256"": ""fa50cc04daa385350892f8c00ea6741f8e5065863b4da4e3fface0a4da5566b1"", ""window_brier"": 0.0022901501673083407, ""window_covariance_tracking_rmse_lattice2"": 0.0038144521950380203, ""window_error_rate"": 0.00140380859375, ""window_mean_tracking_rmse_lattice"": 0.013221928060078995, ""window_minus_best_recursive_error_rate"": 6.103515625e-05, ""window_nll"": 0.004346885542322463, ""windows"": 32}"
