row_type,item_id,task_id,metric,observed_value,threshold_or_role,passed,branch_id,statement,source_artifact_sha256
parent_artifact,T5.1.1,T5.1.1,,True,,True,event_aware_adaptive_map_fpga_codesign,"machine gates, file bindings and composite implementation current",915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
parent_gate,T5.1.1:required_comparator_set_is_exact_and_unique,T5.1.1,required_comparator_set_is_exact_and_unique,True,,True,event_aware_adaptive_map_fpga_codesign,,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
parent_gate,T5.1.1:all_implementation_anchors_are_live,T5.1.1,all_implementation_anchors_are_live,True,,True,event_aware_adaptive_map_fpga_codesign,,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
parent_gate,T5.1.1:all_parent_artifacts_pass,T5.1.1,all_parent_artifacts_pass,True,,True,event_aware_adaptive_map_fpga_codesign,,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
parent_gate,T5.1.1:all_rows_define_information_protocol_metric_time_compute_and_claim_scope,T5.1.1,all_rows_define_information_protocol_metric_time_compute_and_claim_scope,True,,True,event_aware_adaptive_map_fpga_codesign,,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
parent_gate,T5.1.1:only_decoder_oracle_reads_hidden_truth_online,T5.1.1,only_decoder_oracle_reads_hidden_truth_online,True,,True,event_aware_adaptive_map_fpga_codesign,,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
parent_gate,T5.1.1:hidden_truth_oracles_are_nondeployable,T5.1.1,hidden_truth_oracles_are_nondeployable,True,,True,event_aware_adaptive_map_fpga_codesign,,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
parent_gate,T5.1.1:no_correction_is_executable_zero_action_and_not_standard_sbs_alias,T5.1.1,no_correction_is_executable_zero_action_and_not_standard_sbs_alias,True,,True,event_aware_adaptive_map_fpga_codesign,,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
parent_gate,T5.1.1:finite_energy_static_is_executed_not_narrative_only,T5.1.1,finite_energy_static_is_executed_not_narrative_only,True,,True,event_aware_adaptive_map_fpga_codesign,,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
parent_gate,T5.1.1:lane_membership_is_reciprocal_and_no_global_leaderboard_exists,T5.1.1,lane_membership_is_reciprocal_and_no_global_leaderboard_exists,True,,True,event_aware_adaptive_map_fpga_codesign,,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
parent_gate,T5.1.1:run_length_and_hmm_remain_component_only,T5.1.1,run_length_and_hmm_remain_component_only,True,,True,event_aware_adaptive_map_fpga_codesign,,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
parent_gate,T5.1.1:control_oracle_is_short_horizon_nondeployable_only,T5.1.1,control_oracle_is_short_horizon_nondeployable_only,True,,True,event_aware_adaptive_map_fpga_codesign,,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
