row_type,item_id,lane_id,strategy,metric,value,unit_or_scope,passed,source_task,source_artifact_sha256
parent_artifact,T3.2.8,,,,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:measurement_half_cycle_is_5us,,,measurement_half_cycle_is_5us,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:autonomous_half_cycle_is_3p5us,,,autonomous_half_cycle_is_3p5us,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:autonomous_full_cycle_is_0p7_measurement_cycle,,,autonomous_full_cycle_is_0p7_measurement_cycle,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:measurement_window_is_2p3us,,,measurement_window_is_2p3us,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:autonomous_reset_window_is_0p8us,,,autonomous_reset_window_is_0p8us,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:autonomous_has_no_measurement_but_keeps_reset,,,autonomous_has_no_measurement_but_keeps_reset,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:literature_timing_is_not_target_hardware_measurement,,,literature_timing_is_not_target_hardware_measurement,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:paper_source_fragments_and_hash_are_live,,,paper_source_fragments_and_hash_are_live,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:nonselective_measurement_matches_all_branch_enumeration,,,nonselective_measurement_matches_all_branch_enumeration,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:duration_difference_vanishes_without_dissipation,,,duration_difference_vanishes_without_dissipation,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:all_lanes_share_exact_common_wallclock_horizon,,,all_lanes_share_exact_common_wallclock_horizon,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:measurement_and_reset_event_counts_are_protocol_native,,,measurement_and_reset_event_counts_are_protocol_native,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:reset_and_active_gate_rate_ratio_is_exactly_ten_over_seven,,,reset_and_active_gate_rate_ratio_is_exactly_ten_over_seven,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:all_density_and_lifetime_metrics_are_finite,,,all_density_and_lifetime_metrics_are_finite,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:both_cutoffs_and_all_noise_profiles_are_present,,,both_cutoffs_and_all_noise_profiles_are_present,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:no_desired_performance_direction_is_required,,,no_desired_performance_direction_is_required,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_gate,T3.2.8:timing_and_runtime_are_not_target_hardware_measurements,,,timing_and_runtime_are_not_target_hardware_measurements,True,,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
file_binding,T3.2.8:0,,,docs/t3_2_8_autonomous_sbs_wallclock_source_data.csv,e2cd8cb928454867d201b33082ea064682e60fb830a326b50f60c9ec3dfe0068,e2cd8cb928454867d201b33082ea064682e60fb830a326b50f60c9ec3dfe0068,True,T3.2.8,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441
parent_artifact,T5.1.1,,,,True,,True,T5.1.1,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
parent_gate,T5.1.1:required_comparator_set_is_exact_and_unique,,,required_comparator_set_is_exact_and_unique,True,,True,T5.1.1,915317cdd9818b97f1e21051bb817d9b6cd41b7a8d1ebdabf13403aa466d9257
