row_type,item_id,lane_or_scenario,strategy,metric,value,status_or_scope,passed,source_task,source_artifact_sha256
parent_artifact,T4.4.4,,,,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:all_parent_artifacts_and_checkpoints_are_current_passes,,,all_parent_artifacts_and_checkpoints_are_current_passes,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:new_stochastic_seeds_are_disjoint_from_teacher_and_student_fitting,,,new_stochastic_seeds_are_disjoint_from_teacher_and_student_fitting,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:ten_cycle_lane_retains_standard_all_five_mf_teacher_handcrafted_and_student,,,ten_cycle_lane_retains_standard_all_five_mf_teacher_handcrafted_and_student,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:two_cycle_exact_lane_includes_all_comparators_and_horizon_bound_oracle,,,two_cycle_exact_lane_includes_all_comparators_and_horizon_bound_oracle,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:student_point_gain_retention_meets_frozen_ninety_percent_threshold,,,student_point_gain_retention_meets_frozen_ninety_percent_threshold,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:student_gain_retention_lower_confidence_bounds_meet_threshold,,,student_gain_retention_lower_confidence_bounds_meet_threshold,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:exact_two_cycle_student_gain_retention_meets_threshold,,,exact_two_cycle_student_gain_retention_meets_threshold,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:teacher_student_pg_difference_stays_inside_frozen_tolerance,,,teacher_student_pg_difference_stays_inside_frozen_tolerance,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:student_actions_obey_all_fifteen_hard_bounds,,,student_actions_obey_all_fifteen_hard_bounds,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:all_physics_lanes_preserve_trace_hermiticity_and_positive_tolerance,,,all_physics_lanes_preserve_trace_hermiticity_and_positive_tolerance,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:all_five_mf_agents_are_reported_without_test_postselection,,,all_five_mf_agents_are_reported_without_test_postselection,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:student_compresses_teacher_stored_scalars_by_more_than_ninety_nine_percent,,,student_compresses_teacher_stored_scalars_by_more_than_ninety_nine_percent,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:cost_table_keeps_float_analytic_and_hardware_evidence_separate,,,cost_table_keeps_float_analytic_and_hardware_evidence_separate,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:source_data_contains_every_seed_branch_retention_and_cost_row,,,source_data_contains_every_seed_branch_retention_and_cost_row,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:leakage_is_explicitly_unavailable_not_silently_encoded_as_e,,,leakage_is_explicitly_unavailable_not_silently_encoded_as_e,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:g_e_and_unavailable_leakage_burdens_are_explicit_for_every_lane,,,g_e_and_unavailable_leakage_burdens_are_explicit_for_every_lane,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:control_oracle_is_never_extrapolated_into_ten_cycle_lane,,,control_oracle_is_never_extrapolated_into_ten_cycle_lane,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_gate,T4.4.4:claim_boundary_requires_t4_4_5_before_nmf_promotion,,,claim_boundary_requires_t4_4_5_before_nmf_promotion,True,,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
file_binding,T4.4.4:0,,,docs/t4_4_4_teacher_student_gain_retention_source_data.csv,b24501ffaa644e427148f13b5a329d9494ca587c6a276bae94bac23455a834a4,b24501ffaa644e427148f13b5a329d9494ca587c6a276bae94bac23455a834a4,True,T4.4.4,5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc
parent_artifact,T5.1.5,,,,True,,True,T5.1.5,088867210996973e56f11da5fb5b7e40dd98adf74cfdbb6b4c6a304d82990051
parent_gate,T5.1.5:all_parent_artifacts_are_passed_and_current,,,all_parent_artifacts_are_passed_and_current,True,,True,T5.1.5,088867210996973e56f11da5fb5b7e40dd98adf74cfdbb6b4c6a304d82990051
parent_gate,T5.1.5:twelve_protocol_rows_cover_two_methods_six_lanes,,,twelve_protocol_rows_cover_two_methods_six_lanes,True,,True,T5.1.5,088867210996973e56f11da5fb5b7e40dd98adf74cfdbb6b4c6a304d82990051
parent_gate,T5.1.5:protocol_rows_share_exact_700us_horizon,,,protocol_rows_share_exact_700us_horizon,True,,True,T5.1.5,088867210996973e56f11da5fb5b7e40dd98adf74cfdbb6b4c6a304d82990051
