row_type,seed,profile_id,amplitude_over_lattice,logical_distance,metric,value,ci_low,ci_high,status_or_scope,trace_sha256,source_task
parent_artifact,,,,,docs/t2_0_5_displacement_fault_trend.json,14f5fcb38707a15178a71528723dc51f9e86a258d97a4b780062e94a0d99a415,,,True,,T2.0.5
parent_artifact,,,,,docs/t5_1_2_mixed_scenario_matrix.json,0f0337527d56485100de967ff1ff475993e8472d875d033aff01558f3d35918d,,,True,,T5.1.2
parent_artifact,,,,,docs/t2_3_3_cross_fidelity_validation.json,bb524810e4bcb87e3d4f855ed156fac4555a5752c24555e93823c2779e40e386,,,True,,T2.3.3
parent_artifact,,,,,docs/t5_1_6_experimental_feasibility.json,1dacc4344cf7790ee3447f7d841369e2c43a560b8302f8feb340a479a181b090,,,True,,T5.1.6
implementation_binding,,,,,cnn_fpga/benchmark/displacement_large_error_causal.py,8eb60c401e786dc93d58f04845af4a5a65d8b428168c15dc30c4db00141c8f5c,,,current,,T5.2.1
implementation_binding,,,,,physics/sbs_displacement_fault.py,eb0ec42a55f573cb2f56d54808e8547ae30afbb4249e1f7fbced8cdb7b73cc5f,,,current,,T5.2.1
implementation_binding,,,,,physics/ideal_gkp_decoder.py,b60d529aaa337c3a3d6104f1790e178e4108de5be2eea12ee7d28ac21b17c53a,,,current,,T5.2.1
recovery_seed_metric,202607162101,,0.0,0.0,mean_initial_recovery_depth,0.0,,,protocol_aligned_component,d3f0978ffb2b544c9323fac88ddff4995e6036c7d2f251f4f7628a218171b22a,T5.2.1
recovery_seed_metric,202607162101,,0.0,0.0,mean_observed_same_quadrature_max_e_run,0.1044921875,,,protocol_aligned_component,d3f0978ffb2b544c9323fac88ddff4995e6036c7d2f251f4f7628a218171b22a,T5.2.1
recovery_seed_metric,202607162101,,0.0,0.0,mean_ideal_same_quadrature_max_e_run,0.0,,,protocol_aligned_component,d3f0978ffb2b544c9323fac88ddff4995e6036c7d2f251f4f7628a218171b22a,T5.2.1
recovery_seed_metric,202607162101,,0.0,0.0,mean_restricted_recovery_cycles,0.0,,,protocol_aligned_component,d3f0978ffb2b544c9323fac88ddff4995e6036c7d2f251f4f7628a218171b22a,T5.2.1
recovery_seed_metric,202607162101,,0.0,0.0,recovered_fraction_by_horizon,1.0,,,protocol_aligned_component,d3f0978ffb2b544c9323fac88ddff4995e6036c7d2f251f4f7628a218171b22a,T5.2.1
