row_type,family,seed,injected_rate,metric,value,ci_low,ci_high,status_or_scope,trace_sha256,source_task
parent_artifact,,,,docs/t2_2_2_protocol_ancilla_validation.json,a70bd1772d46f1c7c7c7f1c7bbc919bedd2a5967812d3b2d09e4f4de584c3b1a,,,True,,T2.2.2
parent_artifact,,,,docs/t5_1_2_mixed_scenario_matrix.json,0f0337527d56485100de967ff1ff475993e8472d875d033aff01558f3d35918d,,,True,,T5.1.2
parent_artifact,,,,docs/t5_1_6_experimental_feasibility.json,1dacc4344cf7790ee3447f7d841369e2c43a560b8302f8feb340a479a181b090,,,True,,T5.1.6
parent_artifact,,,,docs/t5_2_1_displacement_large_error_causal.json,4fe53738645b3f31194f25bb65b683a08cfbdefc2d87d73880c77d0e69d18ae5,,,True,,T5.2.1
implementation_binding,,,,cnn_fpga/benchmark/ancilla_readout_causal.py,f9c3ed8d554e718d418446b32f6f0b54f9708b36252505ce58ddd36602828a23,,,current,,T5.2.2
implementation_binding,,,,physics/protocol_ancilla_errors.py,2497b9a2a153a37c9c3d19c5c7b52b4424e28e12c623526630ac8c34f355afee,,,current,,T5.2.2
implementation_binding,,,,physics/sbs_observation_reset.py,d4d08b4c93ec8e2c372292a6e65f756aa6f15605238d10d8dcb5655fe0a69a6e,,,current,,T5.2.2
primary_source_anchor,,,,line:1121:phase_flip_protocol_direction,QEC circuit is fault-tolerant with respect to ancilla phase flips,,,exact_line_fragment,,Sivak2023
primary_source_anchor,,,,line:1157:big_cd_bit_flip_logical_path,generate a logical error. This mechanism accounts,,,exact_line_fragment,,Sivak2023
primary_source_anchor,,,,line:1157:readout_virtual_rotation_path,misclassification of the ancilla state generates rotational errors,,,exact_line_fragment,,Sivak2023
primary_source_anchor,,,,line:1159:independent_noise_injection_design,selectively increase the transmon phase-flip rate,,,exact_line_fragment,,Sivak2023
primary_source_anchor,,,,line:1165:qualitative_sensitivity_direction_not_numeric_reproduction_target,phase flips is 65 times smaller than to bit flips,,,exact_line_fragment,,Sivak2023
channel_intervention,ancilla_bit_flip,202607162201,0.0,channel_spec_sha256,77874708a78b1017463846580518918dfdde613b68b78e40daf27aa27054fde5,,,exactly_one_registered_channel_changes,d870fe4e5b8b8c93c34154083c03d0b7f9dedc1d783ab4d086999e9e52033e17,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.0,bit_event_rate,0.0,,,simulator_evaluator_truth,d870fe4e5b8b8c93c34154083c03d0b7f9dedc1d783ab4d086999e9e52033e17,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.0,bit_outcome_toggle_rate,0.0,,,simulator_evaluator_truth,d870fe4e5b8b8c93c34154083c03d0b7f9dedc1d783ab4d086999e9e52033e17,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.0,logical_backaction_rate,0.0,,,simulator_evaluator_truth,d870fe4e5b8b8c93c34154083c03d0b7f9dedc1d783ab4d086999e9e52033e17,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.0,phase_event_rate,0.0,,,simulator_evaluator_truth,d870fe4e5b8b8c93c34154083c03d0b7f9dedc1d783ab4d086999e9e52033e17,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.0,phase_nonzero_backaction_rate,0.0,,,simulator_evaluator_truth,d870fe4e5b8b8c93c34154083c03d0b7f9dedc1d783ab4d086999e9e52033e17,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.0,mean_abs_continuous_backaction_x,0.0,,,simulator_evaluator_truth,d870fe4e5b8b8c93c34154083c03d0b7f9dedc1d783ab4d086999e9e52033e17,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.0,phase_z_basis_outcome_toggle_rate,0.0,,,simulator_evaluator_truth,d870fe4e5b8b8c93c34154083c03d0b7f9dedc1d783ab4d086999e9e52033e17,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.0,readout_misclassification_rate,0.0,,,simulator_evaluator_truth,d870fe4e5b8b8c93c34154083c03d0b7f9dedc1d783ab4d086999e9e52033e17,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.0,nonzero_virtual_rotation_rate,0.0,,,simulator_evaluator_truth,d870fe4e5b8b8c93c34154083c03d0b7f9dedc1d783ab4d086999e9e52033e17,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.0,mean_abs_virtual_rotation_rad,0.0,,,simulator_evaluator_truth,d870fe4e5b8b8c93c34154083c03d0b7f9dedc1d783ab4d086999e9e52033e17,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.0,faulted_label_change_rate,0.0,,,simulator_evaluator_truth,d870fe4e5b8b8c93c34154083c03d0b7f9dedc1d783ab4d086999e9e52033e17,T5.2.2
channel_intervention,ancilla_bit_flip,202607162201,0.005,channel_spec_sha256,f82ce8feba2f8de2e421f6996f68e0c409ad98bb47217b616fba80f1fb90f01d,,,exactly_one_registered_channel_changes,9fdf08795714b73f27d2902767bba793306ff9995b71ac61790bff11887ab5d3,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.005,bit_event_rate,0.004150390625,,,simulator_evaluator_truth,9fdf08795714b73f27d2902767bba793306ff9995b71ac61790bff11887ab5d3,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.005,bit_outcome_toggle_rate,0.004150390625,,,simulator_evaluator_truth,9fdf08795714b73f27d2902767bba793306ff9995b71ac61790bff11887ab5d3,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.005,logical_backaction_rate,0.00146484375,,,simulator_evaluator_truth,9fdf08795714b73f27d2902767bba793306ff9995b71ac61790bff11887ab5d3,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.005,phase_event_rate,0.0,,,simulator_evaluator_truth,9fdf08795714b73f27d2902767bba793306ff9995b71ac61790bff11887ab5d3,T5.2.2
seed_metric,ancilla_bit_flip,202607162201,0.005,phase_nonzero_backaction_rate,0.0,,,simulator_evaluator_truth,9fdf08795714b73f27d2902767bba793306ff9995b71ac61790bff11887ab5d3,T5.2.2
