category,task_id,contract_id,implementation_sha256,status,path,sha256,all_required_gates_passed,stored_implementation_sha256,live_implementation_sha256,implementation_hash_matches,lane_id,cutoff,noise_profile,mode,cycle,time_us,state_label,survival,leakage,conditional_bloch_x,conditional_bloch_y,conditional_bloch_z,rho00_real,rho00_imag,rho01_real,rho01_imag,rho10_real,rho10_imag,rho11_real,rho11_imag,ptm_row,ptm_column,value,pair_sum_linearity_residual,minimum_choi_eigenvalue,minimum_survival,maximum_survival,mean_leakage,survival_spread,off_diagonal_pauli_norm,coherent_rotation_norm,nonunital_code_flow_norm,state_dependent_survival_norm,passed_physicality,axis,definition,truncated_signed_area_cycles,truncated_signed_area_us,e_fold_crossing_cycles,e_fold_crossing_us,e_fold_status,horizon_cycles,horizon_us,final_normalized_signal,minimum_normalized_signal,maximum_normalized_signal,revival_step_count,negative_point_count,qec_on_area_cycles,qec_off_area_cycles,qec_on_minus_off_area_cycles,qec_on_to_off_area_ratio,qec_on_e_fold_cycles,qec_off_e_fold_cycles,lower_cutoff,higher_cutoff,terminal_registered_pair,final_ptm_frobenius_difference,final_mean_leakage_absolute_difference,used_as_infinite_cutoff_convergence_claim,gate,passed
contract,T5.3.1,T531-SIX-STATE-MATCHED-CPTNI-CHANNEL-V1,a5089e31f8476a7d43d3b4fab57f281c1bf9539dbae89c232cc5e86c1e0caf2f,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parent,T3.2.8,,,PASS,docs/t3_2_8_autonomous_sbs_wallclock_validation.json,0e82244bec0e71b30ccc79a0e1a49e30f89cc7a94c63c0e4beeefbae31da6441,True,38fcb599ddee0fc37d95d4be6d0e26eb945e95afc68944244f1998bd1f57fd7b,38fcb599ddee0fc37d95d4be6d0e26eb945e95afc68944244f1998bd1f57fd7b,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,x_plus,1.0000000000000007,-6.661338147750939e-16,1.0,0.0,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,x_minus,1.0000000000000004,-4.440892098500626e-16,-1.0,0.0,-1.110223024625156e-16,0.5000000000000001,0.0,-0.5000000000000002,0.0,-0.5000000000000001,0.0,0.5000000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,y_plus,1.0000000000000004,-4.440892098500626e-16,5.589437531729972e-16,1.0,0.0,0.5000000000000002,-4.341913856087181e-18,2.5510811459477844e-16,-0.5000000000000002,3.038356385782191e-16,0.5000000000000002,0.5000000000000002,1.3712898978304063e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,y_minus,1.0000000000000004,-4.440892098500626e-16,5.589437531729972e-16,-1.0,0.0,0.5000000000000002,4.341913856087181e-18,2.5510811459477844e-16,0.5000000000000002,3.038356385782191e-16,-0.5000000000000002,0.5000000000000002,-1.3712898978304063e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,z_plus,1.0000000000000004,-4.440892098500626e-16,5.821188835920554e-16,0.0,1.0,1.0000000000000004,0.0,3.015226620788207e-16,0.0,2.805962215132351e-16,0.0,1.629894893615745e-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_output,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,z_minus,1.0000000000000004,-4.440892098500626e-16,6.17376722706645e-16,0.0,-1.0,5.596451343025979e-18,0.0,2.7425077563667014e-16,0.0,3.431259470699751e-16,0.0,1.0000000000000004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,,,,,,,,,,,,,,,I,I,1.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptm,,,,,,,,,,,cutoff12:high:qec_off,12,high,qec_off,0,0.0,,,,,,,,,,,,,,,I,X,1.6653345369377348e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
