category,task_id,contract_id,status,implementation_sha256,parent_task,path,sha256,all_gates_passed,stored_implementation_sha256,live_implementation_sha256,implementation_hash_matches,source_data_path,source_data_sha256,source_data_rows,source_lane_ids,source_cutoffs,reference_horizon_us,reference_full_cycles,measurements_per_full_cycle,resets_per_full_cycle,active_gates_per_full_cycle,stored_control_scalars,persistent_state_scalars,analytic_macs_per_half_cycle,matched_controller_classical_latency_us,resource_scope,row_id,lane_role,cutoff,noise_profile,horizon_us,full_cycles,half_cycles,measurement_events,reset_events,active_gate_applications,postselection_applied,postselection_acceptance_fraction,postselection_rejection_fraction,code_space_survival_is_acceptance,projector_delta,equivalent_squeezing_db,squeezing_convention,target_board_core_latency_us,target_board_transport_latency_us,target_board_end_to_end_latency_us,active_pulse_or_gate_count,active_pulse_duration_us,active_pulse_energy,passive_measurement_events,passive_reset_events,passive_active_gate_applications,scaled_reference_matches_channel_events,event_count_provenance,final_active_average_fidelity,final_passive_average_fidelity,final_average_fidelity_advantage,final_active_code_space_survival,final_passive_code_space_survival,sustained_boundary_time_us,cumulative_payback_time_us,achieved_logical_error_rate,logical_error_rate_scope,full_cost_complete,full_cost_operational_boundary_qualified,target_hardware_measured,target_survival,training_threshold,acceptance_fraction,rejection_fraction,raw_error_rate,conditional_error_rate,accepted_failures_per_input,break_even_rejection_penalty,cost_definition,conditional_metric_online_eligible,truth_upper_conditional_error_rate,truth_upper_deployable,online_correction_eligible,primary_metric_eligible,achieved_average_fidelity,conditional_error_scope,classical_latency_us,cross_lane_cost_aggregate_eligible,ci_low,ci_high,rejection_penalty,total_cost,cost_minus_raw,campaign_cycles,scenario_count,run_count,fallback_cycles,fallback_rate,reset_request_cycles,reset_request_rate,unsafe_action_cycles,observed_unsafe_action_rate,undefined_action_cycles,observed_undefined_action_rate,statistical_population_upper_bound,upper_bound_reason,blocking_fault_with_correction_count,frame_out_of_range_count,claim_scope,joined_to_online_channel_cost,joined_to_postselection_cost,device_population_rate,field,value,evidence,gate,passed
contract,T5.3.4,T534-QEC-POSTSELECTION-COST-LEDGER-V1,PASS,fe72950124ae59f03da2fe8136c13c98ab0b22637a8e231c59b2d7ffadd0f3f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parent,T3.2.4,,PASS,,T3.2.4,docs/t3_2_4_postselection_validation.json,35ef970fb8ef7cebf5137f547c2fdeaa2b6ce1b8b8669a4d04a2564ef3a20e75,True,8a5e7cc902944075fa17847ab701e4ad8dd65c0e56f568f7e374e022b7b66006,8a5e7cc902944075fa17847ab701e4ad8dd65c0e56f568f7e374e022b7b66006,True,docs/t3_2_4_postselection_source_data.csv,05d3f654695cf4b45f2a3c9aa554441cbadc4ab673632547d2c4fbb7b2825b8b,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parent,T5.1.5,,PASS,,T5.1.5,docs/t5_1_5_time_cost_fairness.json,088867210996973e56f11da5fb5b7e40dd98adf74cfdbb6b4c6a304d82990051,True,223a05a6cfbfff0d060820437c5aac0721445319bddaa82ec0a09947e0654b96,223a05a6cfbfff0d060820437c5aac0721445319bddaa82ec0a09947e0654b96,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parent,T5.1.6,,PASS,,T5.1.6,docs/t5_1_6_experimental_feasibility.json,1dacc4344cf7790ee3447f7d841369e2c43a560b8302f8feb340a479a181b090,True,8a8c3a1dad9574c795cef3d53c5c691f5af1b2bec00cb328b3d40303fc606a2b,8a8c3a1dad9574c795cef3d53c5c691f5af1b2bec00cb328b3d40303fc606a2b,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parent,T5.3.1,,PASS,,T5.3.1,docs/t5_3_1_logical_channel_reconstruction.json,715362ba2daa017ea32f08a9366aea9be1746150c4fe56f1908baee97eda3900,True,a5089e31f8476a7d43d3b4fab57f281c1bf9539dbae89c232cc5e86c1e0caf2f,a5089e31f8476a7d43d3b4fab57f281c1bf9539dbae89c232cc5e86c1e0caf2f,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parent,T5.3.2,,PASS,,T5.3.2,docs/t5_3_2_logical_channel_fidelity.json,a4fce032ef83a6ff27a3d0ef4ff87dece3a0b5ce35ffe8ec141f299fc232265f,True,4a8216e01afe3a4adfb87b4719f3640a2842a50fcbb0d64f27a256e16aaec329,4a8216e01afe3a4adfb87b4719f3640a2842a50fcbb0d64f27a256e16aaec329,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parent,T5.3.3,,PASS,,T5.3.3,docs/t5_3_3_logical_operational_boundary.json,324b291d3b8b55d4d03e182e403ccb60566c27eafb0a4c19ab7ccca47b22b188,True,61ea56ae985021263c85d6a6a62bb5d98f949cc0b1ff48590ec9188225157925,61ea56ae985021263c85d6a6a62bb5d98f949cc0b1ff48590ec9188225157925,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
standard_cost_reference,,,,,,,,,,,,,,,"['matched_controller_cutoff12_100us', 'matched_controller_cutoff16_100us']","[12, 16]",100.0,10,2,2,18,15,0,0,,fixed nominal control constants; analytic counts only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
online_qec_cost,,,,,,,,,,,,,,,,,,,,,,15,0,0,,,cutoff36:high:online_qec,online_nonpostselected_qec,36,high,300.0,30,60,60,60,540,False,1.0,0.0,False,0.34,6.360121702515085,-10 log10(2 Delta^2),,,,540,,,0,0,0,True,T5.3.1 native event_accounting cross-checked against T5.1.5 standard measurement-feedback protocol,0.5640082158479943,0.20190737165778194,0.3621008441902124,0.6510965401609575,0.3353364780678175,40.0,60.0,,not_defined_for_this_cptni_channel_lane,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
online_qec_cost,,,,,,,,,,,,,,,,,,,,,,15,0,0,,,cutoff36:medium:online_qec,online_nonpostselected_qec,36,medium,300.0,30,60,60,60,540,False,1.0,0.0,False,0.34,6.360121702515085,-10 log10(2 Delta^2),,,,540,,,0,0,0,True,T5.3.1 native event_accounting cross-checked against T5.1.5 standard measurement-feedback protocol,0.7070545429848115,0.2704754448196361,0.4365790981651754,0.7383869147238701,0.3183922744524581,40.0,90.0,,not_defined_for_this_cptni_channel_lane,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
