row_type,lane_id,record_id,seed,method,metric,value,detail
parent_binding,provenance,T5.1.2,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t5_1_2_mixed_scenario_matrix.json"", ""registered_seed_count"": 59, ""sha256"": ""0f0337527d56485100de967ff1ff475993e8472d875d033aff01558f3d35918d"", ""task_id"": ""T5.1.2""}"
parent_binding,provenance,T5.1.4,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t5_1_4_algorithm_branch_verdict.json"", ""registered_seed_count"": 1, ""sha256"": ""2c08d760a1a453898a1644ffb319c8d8dccccfaa1c2d9271feebe9bf96ebefc2"", ""task_id"": ""T5.1.4""}"
parent_binding,provenance,T5.1.6,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t5_1_6_experimental_feasibility.json"", ""registered_seed_count"": 0, ""sha256"": ""1dacc4344cf7790ee3447f7d841369e2c43a560b8302f8feb340a479a181b090"", ""task_id"": ""T5.1.6""}"
parent_binding,provenance,T5.2.2,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t5_2_2_ancilla_readout_causal.json"", ""registered_seed_count"": 12, ""sha256"": ""14847d889dacf248052860efa576793472c5da61ee48d2033180fc6932cd0c6f"", ""task_id"": ""T5.2.2""}"
parent_binding,provenance,T5.2.3,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t5_2_3_leakage_reset_causal.json"", ""registered_seed_count"": 86, ""sha256"": ""fdefd037a6010863207e9f0c07a2560df6f9dcfb16c272cacf0516342db82d3b"", ""task_id"": ""T5.2.3""}"
parent_binding,provenance,T4.2.3,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_2_3_conservative_fallback_validation.json"", ""registered_seed_count"": 0, ""sha256"": ""b03e834c4bf39ca56d85382cab65d189a7ab28ee47d51a7e1213dfcbf9cd5162"", ""task_id"": ""T4.2.3""}"
parent_binding,provenance,T4.3.3,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_3_3_closed_loop_fault_recovery_validation.json"", ""registered_seed_count"": 4, ""sha256"": ""b692bc6599652e97df1cd6aba26e80dc4cf028584735023e0026f2d9fcaa7b77"", ""task_id"": ""T4.3.3""}"
parent_binding,provenance,T2.4.2,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t2_4_2_timing_fault_validation.json"", ""registered_seed_count"": 117, ""sha256"": ""5e4e059af513de50f5d9553ac46e2617630cad51c9e648d2b4694c9f89226b7f"", ""task_id"": ""T2.4.2""}"
drift_seed_method,frozen_decoder_drift_ood,joint_sinusoidal_rotation_unseen_family,202607154101,standard,error_rate,0.0166015625,"{""base_evaluation_seed"": 202607154101, ""dynamic_seed"": 929530550319458204, ""evaluation_samples"": 32768, ""evaluation_seed"": 202614154101, ""ewma_brier"": 0.011102091728366886, ""ewma_covariance_tracking_rmse_lattice2"": 0.010628835621817332, ""ewma_error_rate"": 0.00738525390625, ""ewma_mean_tracking_rmse_lattice"": 0.053095936066067675, ""ewma_nll"": 0.020304695979953564, ""kalman_brier"": 0.013810854426944533, ""kalman_covariance_tracking_rmse_lattice2"": 0.012525500912785707, ""kalman_error_rate"": 0.00933837890625, ""kalman_mean_tracking_rmse_lattice"": 0.0618376355845392, ""kalman_nll"": 0.025980134705025887, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.005765403682083969, ""oracle_error_rate"": 0.00390625, ""oracle_nll"": 0.010652226710125366, ""scenario_id"": ""joint_sinusoidal_rotation_unseen_family"", ""shared_trace_for_all_methods"": true, ""standard_error_rate"": 0.0166015625, ""static_brier"": 0.025055047945747942, ""static_error_rate"": 0.015777587890625, ""static_minus_ewma_error_rate"": 0.008392333984375, ""static_minus_kalman_error_rate"": 0.006439208984375, ""static_nll"": 0.049735129704652534, ""trace_sha256"": ""e11ec3e46c148b2b42fe34170f6644b19a5d327c41d6a471f205227acd4c1647"", ""window_brier"": 0.009931364164185821, ""window_covariance_tracking_rmse_lattice2"": 0.00984420386460052, ""window_error_rate"": 0.0064697265625, ""window_mean_tracking_rmse_lattice"": 0.04702627208151785, ""window_minus_best_recursive_error_rate"": -0.00091552734375, ""window_nll"": 0.01830105666211314, ""windows"": 64}"
drift_seed_method,frozen_decoder_drift_ood,joint_sinusoidal_rotation_unseen_family,202607154101,static,error_rate,0.015777587890625,"{""base_evaluation_seed"": 202607154101, ""dynamic_seed"": 929530550319458204, ""evaluation_samples"": 32768, ""evaluation_seed"": 202614154101, ""ewma_brier"": 0.011102091728366886, ""ewma_covariance_tracking_rmse_lattice2"": 0.010628835621817332, ""ewma_error_rate"": 0.00738525390625, ""ewma_mean_tracking_rmse_lattice"": 0.053095936066067675, ""ewma_nll"": 0.020304695979953564, ""kalman_brier"": 0.013810854426944533, ""kalman_covariance_tracking_rmse_lattice2"": 0.012525500912785707, ""kalman_error_rate"": 0.00933837890625, ""kalman_mean_tracking_rmse_lattice"": 0.0618376355845392, ""kalman_nll"": 0.025980134705025887, ""observation_samples_per_window"": 256, ""oracle_brier"": 0.005765403682083969, ""oracle_error_rate"": 0.00390625, ""oracle_nll"": 0.010652226710125366, ""scenario_id"": ""joint_sinusoidal_rotation_unseen_family"", ""shared_trace_for_all_methods"": true, ""standard_error_rate"": 0.0166015625, ""static_brier"": 0.025055047945747942, ""static_error_rate"": 0.015777587890625, ""static_minus_ewma_error_rate"": 0.008392333984375, ""static_minus_kalman_error_rate"": 0.006439208984375, ""static_nll"": 0.049735129704652534, ""trace_sha256"": ""e11ec3e46c148b2b42fe34170f6644b19a5d327c41d6a471f205227acd4c1647"", ""window_brier"": 0.009931364164185821, ""window_covariance_tracking_rmse_lattice2"": 0.00984420386460052, ""window_error_rate"": 0.0064697265625, ""window_mean_tracking_rmse_lattice"": 0.04702627208151785, ""window_minus_best_recursive_error_rate"": -0.00091552734375, ""window_nll"": 0.01830105666211314, ""windows"": 64}"
