row_type,record_id,split,scenario,seed,threshold,metric,value,detail
parent_binding,T5.1.2,provenance,,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t5_1_2_mixed_scenario_matrix.json"", ""sha256"": ""0f0337527d56485100de967ff1ff475993e8472d875d033aff01558f3d35918d"", ""task_id"": ""T5.1.2""}"
parent_binding,T5.1.4,provenance,,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t5_1_4_algorithm_branch_verdict.json"", ""sha256"": ""2c08d760a1a453898a1644ffb319c8d8dccccfaa1c2d9271feebe9bf96ebefc2"", ""task_id"": ""T5.1.4""}"
parent_binding,T4.1.4,provenance,,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_1_4_hybrid_multiobjective_validation.json"", ""sha256"": ""d3b4719fe6f5f25f2bd72c2c5dd151db45f52206120c4724e6f411e33266610e"", ""task_id"": ""T4.1.4""}"
parent_binding,T4.2.3,provenance,,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_2_3_conservative_fallback_validation.json"", ""sha256"": ""b03e834c4bf39ca56d85382cab65d189a7ab28ee47d51a7e1213dfcbf9cd5162"", ""task_id"": ""T4.2.3""}"
parent_binding,T5.4.1,provenance,,,,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t5_4_1_held_out_ood_validation.json"", ""sha256"": ""ec6aa49e739afc33d2ac4ffcb47001df2d00e4bed581ba9e657fca456c347b28"", ""task_id"": ""T5.4.1""}"
calibration_threshold_seed,t0.0-s202607154101,calibration,all_registered_development,202607154101,0.0,absolute_catastrophic_reduction,-0.027231852213541668,"{""absolute_catastrophic_reduction"": -0.027231852213541668, ""avoided_failure_count"": 1655, ""avoided_failure_rate"": 0.016835530598958332, ""decisions"": 98304, ""fallback_count"": 98304, ""fallback_precision_for_avoided_failure"": 0.016835530598958332, ""fallback_rate"": 1.0, ""gated_failure_count"": 7372, ""gated_failure_rate"": 0.07499186197916667, ""induced_failure_count"": 4332, ""induced_failure_rate"": 0.0440673828125, ""net_avoidable_opportunity_fraction"": 0.060902913411458336, ""primary_failure_count"": 4695, ""primary_failure_rate"": 0.047760009765625, ""relative_catastrophic_reduction"": -0.5701810436634718, ""seed"": 202607154101, ""selected_without_benefit_count"": 96649, ""selected_without_benefit_rate"": 0.9831644694010416, ""static_failure_count"": 7372, ""static_failure_rate"": 0.07499186197916667, ""threshold"": 0.0, ""unnecessary_fallback_count"": 93609, ""unnecessary_fallback_rate"": 0.952239990234375}"
calibration_threshold_seed,t0.0-s202607154102,calibration,all_registered_development,202607154102,0.0,absolute_catastrophic_reduction,-0.022237141927083332,"{""absolute_catastrophic_reduction"": -0.022237141927083332, ""avoided_failure_count"": 2282, ""avoided_failure_rate"": 0.023213704427083332, ""decisions"": 98304, ""fallback_count"": 98304, ""fallback_precision_for_avoided_failure"": 0.023213704427083332, ""fallback_rate"": 1.0, ""gated_failure_count"": 7533, ""gated_failure_rate"": 0.076629638671875, ""induced_failure_count"": 4468, ""induced_failure_rate"": 0.045450846354166664, ""net_avoidable_opportunity_fraction"": 0.06866455078125, ""primary_failure_count"": 5347, ""primary_failure_rate"": 0.054392496744791664, ""relative_catastrophic_reduction"": -0.4088273798391621, ""seed"": 202607154102, ""selected_without_benefit_count"": 96022, ""selected_without_benefit_rate"": 0.9767862955729166, ""static_failure_count"": 7533, ""static_failure_rate"": 0.076629638671875, ""threshold"": 0.0, ""unnecessary_fallback_count"": 92957, ""unnecessary_fallback_rate"": 0.9456075032552084}"
calibration_threshold_seed,t0.0-s202607154103,calibration,all_registered_development,202607154103,0.0,absolute_catastrophic_reduction,-0.020975748697916668,"{""absolute_catastrophic_reduction"": -0.020975748697916668, ""avoided_failure_count"": 2205, ""avoided_failure_rate"": 0.022430419921875, ""decisions"": 98304, ""fallback_count"": 98304, ""fallback_precision_for_avoided_failure"": 0.022430419921875, ""fallback_rate"": 1.0, ""gated_failure_count"": 7305, ""gated_failure_rate"": 0.074310302734375, ""induced_failure_count"": 4267, ""induced_failure_rate"": 0.043406168619791664, ""net_avoidable_opportunity_fraction"": 0.06583658854166667, ""primary_failure_count"": 5243, ""primary_failure_rate"": 0.053334554036458336, ""relative_catastrophic_reduction"": -0.3932862864772077, ""seed"": 202607154103, ""selected_without_benefit_count"": 96099, ""selected_without_benefit_rate"": 0.977569580078125, ""static_failure_count"": 7305, ""static_failure_rate"": 0.074310302734375, ""threshold"": 0.0, ""unnecessary_fallback_count"": 93061, ""unnecessary_fallback_rate"": 0.9466654459635416}"
calibration_threshold_seed,t0.0-s202607154104,calibration,all_registered_development,202607154104,0.0,absolute_catastrophic_reduction,-0.032511393229166664,"{""absolute_catastrophic_reduction"": -0.032511393229166664, ""avoided_failure_count"": 1249, ""avoided_failure_rate"": 0.012705485026041666, ""decisions"": 98304, ""fallback_count"": 98304, ""fallback_precision_for_avoided_failure"": 0.012705485026041666, ""fallback_rate"": 1.0, ""gated_failure_count"": 7397, ""gated_failure_rate"": 0.07524617513020833, ""induced_failure_count"": 4445, ""induced_failure_rate"": 0.045216878255208336, ""net_avoidable_opportunity_fraction"": 0.05792236328125, ""primary_failure_count"": 4201, ""primary_failure_rate"": 0.042734781901041664, ""relative_catastrophic_reduction"": -0.7607712449416806, ""seed"": 202607154104, ""selected_without_benefit_count"": 97055, ""selected_without_benefit_rate"": 0.9872945149739584, ""static_failure_count"": 7397, ""static_failure_rate"": 0.07524617513020833, ""threshold"": 0.0, ""unnecessary_fallback_count"": 94103, ""unnecessary_fallback_rate"": 0.9572652180989584}"
calibration_threshold_seed,t0.0-s202607154105,calibration,all_registered_development,202607154105,0.0,absolute_catastrophic_reduction,-0.01983642578125,"{""absolute_catastrophic_reduction"": -0.01983642578125, ""avoided_failure_count"": 2272, ""avoided_failure_rate"": 0.023111979166666668, ""decisions"": 98304, ""fallback_count"": 98304, ""fallback_precision_for_avoided_failure"": 0.023111979166666668, ""fallback_rate"": 1.0, ""gated_failure_count"": 7273, ""gated_failure_rate"": 0.07398478190104167, ""induced_failure_count"": 4222, ""induced_failure_rate"": 0.042948404947916664, ""net_avoidable_opportunity_fraction"": 0.06606038411458333, ""primary_failure_count"": 5323, ""primary_failure_rate"": 0.054148356119791664, ""relative_catastrophic_reduction"": -0.3663347736238963, ""seed"": 202607154105, ""selected_without_benefit_count"": 96032, ""selected_without_benefit_rate"": 0.9768880208333334, ""static_failure_count"": 7273, ""static_failure_rate"": 0.07398478190104167, ""threshold"": 0.0, ""unnecessary_fallback_count"": 92981, ""unnecessary_fallback_rate"": 0.9458516438802084}"
