row_type,mechanism,record_id,metric,value,detail
parent_binding,provenance,T3.2.11,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t3_2_11_memory_specific_ablation_validation.json"", ""sha256"": ""68595c0345d632ba635963056e3f624b5fafec31550c5269e636382998966cbb"", ""task_id"": ""T3.2.11""}"
parent_binding,provenance,T3.2.6,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t3_2_6_regime_hmm_validation.json"", ""sha256"": ""846885105ffdb3ea8499750da30d5966d8ebe31b33127bd120e0fe272e37cf61"", ""task_id"": ""T3.2.6""}"
parent_binding,provenance,T3.2.5,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t3_2_5_run_length_fsm_validation.json"", ""sha256"": ""15112a68970b184788a9a37002b1026a8268250767782b15fc0ee478cfbb8988"", ""task_id"": ""T3.2.5""}"
parent_binding,provenance,T5.1.4,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t5_1_4_algorithm_branch_verdict.json"", ""sha256"": ""2c08d760a1a453898a1644ffb319c8d8dccccfaa1c2d9271feebe9bf96ebefc2"", ""task_id"": ""T5.1.4""}"
parent_binding,provenance,T5.4.2,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t5_4_2_uncertainty_gated_fallback.json"", ""sha256"": ""c8de321e17d0ae68560ff3814907fc32775a76c71ec8ed89e05064b81ed12ebc"", ""task_id"": ""T5.4.2""}"
file_binding,provenance,T3.2.11,sha256_bound,1,"{""binding_id"": ""T3.2.11"", ""kind"": ""parent_source"", ""path"": ""docs/t3_2_11_memory_specific_ablation_source_data.csv"", ""sha256"": ""8a1348acbcda838476e2a75272716590c2664713783e852952143e73aa4c14cb""}"
file_binding,provenance,T3.2.6,sha256_bound,1,"{""binding_id"": ""T3.2.6"", ""kind"": ""parent_source"", ""path"": ""docs/t3_2_6_regime_hmm_source_data.csv"", ""sha256"": ""60a964ea67af9b046f7db1d825195207f35d92354016bdc8b3de9d2603c4f25a""}"
file_binding,provenance,T3.2.5,sha256_bound,1,"{""binding_id"": ""T3.2.5"", ""kind"": ""parent_source"", ""path"": ""docs/t3_2_5_run_length_fsm_source_data.csv"", ""sha256"": ""25fbcb4ad23a57572ba64b8f69efd5294babdb353eecd7da39e8976f865eefb4""}"
file_binding,provenance,T5.4.2,sha256_bound,1,"{""binding_id"": ""T5.4.2"", ""kind"": ""parent_source"", ""path"": ""docs/t5_4_2_uncertainty_gated_fallback_source_data.csv"", ""sha256"": ""529e670251aa2decfc067457435bf2a986f208b02c44dad93be4551f7be0f0aa""}"
file_binding,provenance,cnn_fpga/benchmark/causal_ablation_negative_results.py,sha256_bound,1,"{""binding_id"": ""cnn_fpga/benchmark/causal_ablation_negative_results.py"", ""kind"": ""implementation"", ""path"": ""cnn_fpga/benchmark/causal_ablation_negative_results.py"", ""sha256"": ""7c2a7f61423bc9a64b7fd962ad47c0716d2e5424a1c20310fa6b56fc1fc62fd8""}"
