row_type,lane_id,unit_id,metric,value,detail
parent_binding,provenance,T2.3.7,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t2_3_7_nmf_directional_ranking.json"", ""sha256"": ""c690afed5143135dc4099b54b60f7a60128ce9594922312ef23fd33f8f7466b5"", ""task_id"": ""T2.3.7""}"
parent_binding,provenance,T4.1.1,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_1_1_slow_loop_model_selection_validation.json"", ""sha256"": ""65a6f476b6d97a26a6aff8d7f6e33ce5c5abc37b055f17e48e0e0c4604aaef11"", ""task_id"": ""T4.1.1""}"
parent_binding,provenance,T4.1.5,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_1_5_teacher_student_validation.json"", ""sha256"": ""586c72dc636db2488d9f659e4c20b26b4b84584e86712798ab401858da49a085"", ""task_id"": ""T4.1.5""}"
parent_binding,provenance,T4.4.1,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_4_1_bounded_residual_rnn_teacher_validation.json"", ""sha256"": ""c71094493a63f7a3b1287d28c0a1b71d3ce7a03e16a281a27967a87a65669d53"", ""task_id"": ""T4.4.1""}"
parent_binding,provenance,T4.4.3,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_4_3_low_dimensional_student_validation.json"", ""sha256"": ""1bb56e2d4c8839c4f25e91ece8f404427a1917114bc5e9c69249e92cd7ada26a"", ""task_id"": ""T4.4.3""}"
parent_binding,provenance,T4.4.4,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_4_4_teacher_student_gain_retention.json"", ""sha256"": ""5cd1478de22ecd998aaf678bc6f14873134e57bc8ae2fc4408df215544b86dfc"", ""task_id"": ""T4.4.4""}"
parent_binding,provenance,T5.1.4,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t5_1_4_algorithm_branch_verdict.json"", ""sha256"": ""2c08d760a1a453898a1644ffb319c8d8dccccfaa1c2d9271feebe9bf96ebefc2"", ""task_id"": ""T5.1.4""}"
file_binding,provenance,T2.3.7,sha256_bound,1,"{""binding_id"": ""T2.3.7"", ""kind"": ""parent_source"", ""path"": ""docs/t2_3_7_nmf_directional_ranking.csv"", ""sha256"": ""17d623b49d3b62d93b7bef915362864e4ea72a7e3939469fc7aeea25d13fb42b""}"
file_binding,provenance,T4.1.1,sha256_bound,1,"{""binding_id"": ""T4.1.1"", ""kind"": ""parent_source"", ""path"": ""docs/t4_1_1_slow_loop_model_selection_source_data.csv"", ""sha256"": ""0726977318febeee0ee76bee2d79bc7e0d7fb89f52a87b60dec494230aa2ed58""}"
file_binding,provenance,T4.1.5,sha256_bound,1,"{""binding_id"": ""T4.1.5"", ""kind"": ""parent_source"", ""path"": ""docs/t4_1_5_teacher_student_source_data.csv"", ""sha256"": ""a5f8c3447c07c2da6fe70ba17d68086ac5978b5f0cc15aefa500fe6605c4bc1f""}"
file_binding,provenance,T4.4.1,sha256_bound,1,"{""binding_id"": ""T4.4.1"", ""kind"": ""parent_source"", ""path"": ""docs/t4_4_1_bounded_residual_rnn_teacher_source_data.csv"", ""sha256"": ""b59bc1c963a3e42cab4ca4f41244160ff1c7221be06be1bfdc070009765dbf88""}"
file_binding,provenance,T4.4.3,sha256_bound,1,"{""binding_id"": ""T4.4.3"", ""kind"": ""parent_source"", ""path"": ""docs/t4_4_3_low_dimensional_student_source_data.csv"", ""sha256"": ""74a7ebfc224b79c0b2b874632783684d55971eff486ed1e5dc22f5554bed73ff""}"
file_binding,provenance,T4.4.4,sha256_bound,1,"{""binding_id"": ""T4.4.4"", ""kind"": ""parent_source"", ""path"": ""docs/t4_4_4_teacher_student_gain_retention_source_data.csv"", ""sha256"": ""b24501ffaa644e427148f13b5a329d9494ca587c6a276bae94bac23455a834a4""}"
file_binding,provenance,T5.1.4,sha256_bound,1,"{""binding_id"": ""T5.1.4"", ""kind"": ""parent_source"", ""path"": ""docs/t5_1_4_algorithm_branch_verdict_source_data.csv"", ""sha256"": ""63ac8474be8c6657fbae3807e864bba43353e970a6864a053cc10a25d8974961""}"
file_binding,provenance,cnn_fpga/benchmark/multi_agent_seed_selection_audit.py,sha256_bound,1,"{""binding_id"": ""cnn_fpga/benchmark/multi_agent_seed_selection_audit.py"", ""kind"": ""implementation"", ""path"": ""cnn_fpga/benchmark/multi_agent_seed_selection_audit.py"", ""sha256"": ""0d17890ebb2b8fe1c57e8e6c75158339ffcae13cd24840c1ee78e19947edd300""}"
file_binding,provenance,physics/nmf_directional_ranking.py,sha256_bound,1,"{""binding_id"": ""physics/nmf_directional_ranking.py"", ""kind"": ""implementation"", ""path"": ""physics/nmf_directional_ranking.py"", ""sha256"": ""077b2f25cfb6571c0cc6a75b5710ecfa122a20087bfe29c3765aae6cd60f2149""}"
file_binding,provenance,cnn_fpga/benchmark/slow_loop_model_selection.py,sha256_bound,1,"{""binding_id"": ""cnn_fpga/benchmark/slow_loop_model_selection.py"", ""kind"": ""implementation"", ""path"": ""cnn_fpga/benchmark/slow_loop_model_selection.py"", ""sha256"": ""ea9e475bf6492e8800c651816e0bd0fe2eb34c5e45fa83af2960f4473c85f4f8""}"
file_binding,provenance,cnn_fpga/benchmark/offline_teacher_student_distillation.py,sha256_bound,1,"{""binding_id"": ""cnn_fpga/benchmark/offline_teacher_student_distillation.py"", ""kind"": ""implementation"", ""path"": ""cnn_fpga/benchmark/offline_teacher_student_distillation.py"", ""sha256"": ""f4480e069c452850c0e2914207971a9cfd103c2eb23a2336596b84abc52f43a1""}"
file_binding,provenance,cnn_fpga/benchmark/bounded_residual_rnn_teacher.py,sha256_bound,1,"{""binding_id"": ""cnn_fpga/benchmark/bounded_residual_rnn_teacher.py"", ""kind"": ""implementation"", ""path"": ""cnn_fpga/benchmark/bounded_residual_rnn_teacher.py"", ""sha256"": ""948f411bc80148c97db994a1da26a4281b2ec34bc252a3e064647f1c81e27243""}"
file_binding,provenance,cnn_fpga/benchmark/low_dimensional_student_distillation.py,sha256_bound,1,"{""binding_id"": ""cnn_fpga/benchmark/low_dimensional_student_distillation.py"", ""kind"": ""implementation"", ""path"": ""cnn_fpga/benchmark/low_dimensional_student_distillation.py"", ""sha256"": ""6f72ac2b1ec68013e06e6a9960f3a6ccee13c71e584a68362588430f0dde65de""}"
file_binding,provenance,cnn_fpga/benchmark/teacher_student_gain_retention.py,sha256_bound,1,"{""binding_id"": ""cnn_fpga/benchmark/teacher_student_gain_retention.py"", ""kind"": ""implementation"", ""path"": ""cnn_fpga/benchmark/teacher_student_gain_retention.py"", ""sha256"": ""f974a13b93b6e1142a3cbae0e15b4b5ca5ac2cc3c985a5b3eb44f94550100041""}"
selection_registry,nmf_directional,T2.3.7,evaluation_used_for_selection,0,"{""active_claim_role"": ""all-agent directional distribution"", ""candidate_census"": ""5 MF plus 5 paired NMF agents"", ""evaluation_scope"": ""all five pairs on all primary and confirmation seeds"", ""evaluation_used_for_selection"": false, ""lane_id"": ""nmf_directional"", ""parent_task"": ""T2.3.7"", ""selection_stage"": ""validation checkpoint within each agent; no agent selection""}"
selection_registry,slow_loop_model_selection,T4.1.1,evaluation_used_for_selection,0,"{""active_claim_role"": ""matched synthetic host-estimator pilot"", ""candidate_census"": ""6 families plus all 5x2 neural restart scans"", ""evaluation_scope"": ""all six families on eight seeds"", ""evaluation_used_for_selection"": false, ""lane_id"": ""slow_loop_model_selection"", ""parent_task"": ""T4.1.1"", ""selection_stage"": ""validation NLL lexicographic family selection""}"
