trace_schema_version,hardware_cycle,input_valid,input_word_hex,input_crc_ok,input_latched_version,map_valid,map_source_cycle,map_valid_cycle,map_active_version,map_address,map_fraction_code,map_llr_code,output_valid,output_source_cycle,output_word_hex,output_crc_ok,state_word_hex,state_crc_ok,active_bank,active_version,commit_status,commit_reason,safe_boundary,trace_chain_sha256
t5.5.1-bit-accurate-hardware-trace-v1,0,True,1bf530000080013,True,0,False,,,,,,,False,,0a0300000000000000000000000000,True,7853000000000000000000000000000000000000000000000000000000,True,A,0,none,,True,ef52e9ced6187e484ba478226df711a7c5250fa6fc9c991af8ca455e7081019e
t5.5.1-bit-accurate-hardware-trace-v1,1,True,0325f000088405c,True,0,False,,,,,,,False,,0a0300000000000000000000000000,True,7853000000000000000000000000000000000000000000000000000000,True,A,0,none,,True,2bb225cbec32079ce27494783d75f8e678c91142cc11c5c7a6e199085399d1be
t5.5.1-bit-accurate-hardware-trace-v1,2,True,0baa700010800a5,True,0,False,,,,,,,False,,0a0300000000000000000000000000,True,7853000000000000000000000000000000000000000000000000000000,True,A,0,none,,True,27a7ff2ffe73c11ac441b98ba3c26daf04675c45ecf020492308ba6dbac8c686
t5.5.1-bit-accurate-hardware-trace-v1,3,True,12d2f00018840ee,True,0,False,,,,,,,False,,0a0300000000000000000000000000,True,7853000000000000000000000000000000000000000000000000000000,True,A,0,none,,True,ae8337a8b695f60ad66e524cb562d744301543219ef5191eaf57668aa743bc7a
t5.5.1-bit-accurate-hardware-trace-v1,4,True,261330002080137,True,0,False,,,,,,,False,,0a0300000000000000000000000000,True,7853000000000000000000000000000000000000000000000000000000,True,A,0,none,,True,b0b1b1363e230be43a863f3d5b2222334184653a45ee72214aaf81360f61d178
t5.5.1-bit-accurate-hardware-trace-v1,5,True,19fc70002884180,True,0,True,0,5,0,4,3,3467,False,,0a0300000000000000000000000000,True,5da5000000000000000000000000000000000000040000000000009000,True,A,0,none,,True,c695351fc80fbdb033308c4eca9fba67d18b9a2843ce83931fb37da4fd29c32d
t5.5.1-bit-accurate-hardware-trace-v1,6,True,2f98f00030801c9,True,0,True,1,6,0,23,0,11420,True,0,0594c00d8b00000000024000000011,True,636d000000000000000000000000000000000000080000000000012000,True,A,0,none,,True,24cfa8a4f80d7083ada70494d77af66f3011476d0714bbc685144d452bce5104
t5.5.1-bit-accurate-hardware-trace-v1,7,True,3efdf0003884212,True,0,True,2,7,0,41,1,29423,True,1,2175c02c9c00000000048000000011,True,469b0000000000000000000000000000000000000c000000000001b000,True,A,0,none,,True,8026cdbc7943b0847bc0bd77a8ca346335a609e5aee2eb0fd573498dfd831c31
t5.5.1-bit-accurate-hardware-trace-v1,8,True,24317000408025b,True,0,True,3,8,0,59,2,29445,True,2,3e500072ef0000000006c000000011,True,4e2f000000000000000000000000000000000000100000000000024000,True,A,0,none,,True,0cf4fcaa66601b4a04448cb353618fdb8a07af0ce6aa684c778f8fe20402bc02
t5.5.1-bit-accurate-hardware-trace-v1,9,True,020ab00048842a4,True,0,True,4,9,0,77,3,55378,True,3,250a00730500000000090000000011,True,6bd900000000000000000000000000000000000014000000000002d000,True,A,0,none,,True,bbdb7ab707e8c2805a10807a09734e0709f7bd6c37f04990316f139fe0ceee37
t5.5.1-bit-accurate-hardware-trace-v1,10,True,346e300050802ed,True,0,True,5,10,0,96,0,47468,True,4,17a340d852000000000b4000000011,True,5511000000000000000000000000000000000000180000000000036000,True,A,0,none,,True,10bea8b29ff352aacb2ca47385434d87aeb955b3c3bafdbc81f2e8b4f1e1c036
t5.5.1-bit-accurate-hardware-trace-v1,11,True,342bf0005884336,True,0,True,6,11,0,114,1,81297,True,5,362480b96c000000000d8000000011,True,70e70000000000000000000000000000000000001c000000000003f000,True,A,0,none,,True,48e661f2ed7af29746e9c628ddd3f944863b0b12c0e21a5524c96f386bcfa797
t5.5.1-bit-accurate-hardware-trace-v1,12,True,19d77000608037f,True,0,True,7,12,0,132,2,59760,True,6,1ba4c13d91000000000fc000000011,True,f82100000000000000000000000000000000000020000000000003f000,True,A,0,none,,True,0473c69c92e251e935b4bdb1eb7922db702aff53d0c2ae45f63d86398cc4446b
t5.5.1-bit-accurate-hardware-trace-v1,13,True,2638300068843c8,True,0,True,8,13,0,150,3,74754,True,7,0c1400e970000000000fc000000011,True,b03e00000000000000000000000000000000000024000000000003f000,True,A,0,none,,True,f6d0bc1fa69ad84194821279eda128588d8b3ef69d910c09def9d442c81060ca
t5.5.1-bit-accurate-hardware-trace-v1,14,True,184130007080011,True,0,True,9,14,0,169,0,42901,True,8,3d84412402000000000fc000000011,True,681f00000000000000000000000000000000000028000000000003f000,True,A,0,none,,True,a21a704695a362c0a75a2800caeba8b71f0313659f0d70155b39eb5e554bfc18
t5.5.1-bit-accurate-hardware-trace-v1,15,True,0139b000788405a,True,0,True,10,15,0,187,1,48800,True,9,155480a795000000000fc000000011,True,20000000000000000000000000000000000000002c000000000003f000,True,A,0,none,,True,f57d0d40c99f8161ce0bcbc64f116ff77a9041a3efc22cbb42c9712162a10b7d
t5.5.1-bit-accurate-hardware-trace-v1,16,True,0f76700080800a3,True,0,True,11,16,0,205,2,24876,True,10,30bb00bea0000000000fc000000011,True,c87c00000000000000000000000000000000000030000000000003f000,True,A,0,none,,True,548b5679e05e71d4ae35683789777d81e9b2f19fc22c8656a59cf7be5dbdd568
t5.5.1-bit-accurate-hardware-trace-v1,17,True,17a6b00088840ec,True,0,True,12,17,0,223,3,22845,True,11,227380612c000000000fc000000011,True,806300000000000000000000000000000000000034000000000003f000,True,A,0,none,,True,74d5729cda585271d52ea8898c504e3493c31ed5088e487c38f2ed450588a0ab
t5.5.1-bit-accurate-hardware-trace-v1,18,True,38ff70009080135,True,0,True,13,18,0,242,0,6852,True,12,1c6840593d000000000fc000000011,True,584200000000000000000000000000000000000038000000000003f000,True,A,0,none,,True,c6f6dfcf5b290e48b756d708a26c070fcf41465743972bb7ac03ade45af6b4aa
t5.5.1-bit-accurate-hardware-trace-v1,19,True,2187f000988417e,True,0,True,14,19,0,4,1,3111,True,13,153f401ac4000000000fc000000011,True,105d0000000000000000000000000000000000003c000000000003f000,True,A,0,none,,True,232ea4a87c41e0b6bfb4e43ad1ac2b0806ce65d3405076a030266776f59a92e3
t5.5.1-bit-accurate-hardware-trace-v1,20,True,28147000a0801c7,True,0,True,15,20,0,22,2,11173,True,14,0112400c27000000000fc000000011,True,59ef00000000000000000000000000000000000040000000000003f000,True,A,0,none,,True,0c10ad0e9fc355c5aa5110f0056d20d7ac37b1638929f45da4244894fd06f63a
t5.5.1-bit-accurate-hardware-trace-v1,21,True,3b89b000a884210,True,0,True,16,21,0,40,3,29067,True,15,3380802ba5000000000fc000000011,True,11f000000000000000000000000000000000000044000000000003f000,True,A,0,none,,True,5f19da45c804a3479dcbb124721eb9491589a4c978aabec4780699e88dc9d4ab
t5.5.1-bit-accurate-hardware-trace-v1,22,True,0ded3000b080259,True,0,True,17,22,0,59,0,29198,True,16,2cac40718b000000000fc000000011,True,c9d100000000000000000000000000000000000048000000000003f000,True,A,0,none,,True,1f528b429742af36bc945f0888f0d0b7a0f44843fb7ea61a0f7c0763ecda26d5
t5.5.1-bit-accurate-hardware-trace-v1,23,True,2a7eb000b8842a2,True,0,True,18,23,0,77,1,55023,True,17,0dd200720e000000000fc000000011,True,81ce0000000000000000000000000000000000004c000000000003f000,True,A,0,none,,True,6a0bf36503df69470d0155e5dc4e467ddf45ae5b36f3e3dcedc433d9cf05a97e
t5.5.1-bit-accurate-hardware-trace-v1,24,True,30b23000c0802eb,True,0,True,19,24,0,95,2,47221,True,18,1c7cc0d6ef000000000fc000000011,True,69b200000000000000000000000000000000000050000000000003f000,True,A,0,none,,True,972a5c6944bfb768d17dafcfdf5a99ca9ceff5617d21b29c2992229469aa551c
