row_type,item_id,metric,value,detail_json
parent_binding,T4.2.1,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_2_1_parametric_map_lut_validation.json"", ""sha256"": ""2cf8eb0b4aca5703f4a5513e1a8761aa811c973da1e9e47db996fb9529415a43"", ""task_id"": ""T4.2.1""}"
parent_binding,T4.2.2,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_2_2_experimental_event_fsm_validation.json"", ""sha256"": ""82a1f36aa441024a0aabea98f148629e3507e387d573c1c8fe136fb93bc3ba8c"", ""task_id"": ""T4.2.2""}"
parent_binding,T4.2.3,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_2_3_conservative_fallback_validation.json"", ""sha256"": ""b03e834c4bf39ca56d85382cab65d189a7ab28ee47d51a7e1213dfcbf9cd5162"", ""task_id"": ""T4.2.3""}"
parent_binding,T4.2.4,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_2_4_fast_path_fixed_point_validation.json"", ""sha256"": ""dc775caa9347092b66cfbbbae0f86f107272358dc75055966d206cba6f335609"", ""task_id"": ""T4.2.4""}"
parent_binding,T4.3.2,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_3_2_atomic_parameter_bank_validation.json"", ""sha256"": ""c2c3e6f51115e0cf5556b1b6fed6c094ad886e415affb103bc673bf2dfa7c6e4"", ""task_id"": ""T4.3.2""}"
parent_binding,T4.3.3,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t4_3_3_closed_loop_fault_recovery_validation.json"", ""sha256"": ""b692bc6599652e97df1cd6aba26e80dc4cf028584735023e0026f2d9fcaa7b77"", ""task_id"": ""T4.3.3""}"
parent_binding,T5.4.6,machine_pass,1,"{""machine_pass"": true, ""path"": ""docs/t5_4_6_randomized_model_mismatch.json"", ""sha256"": ""8c77a55d9f73b20efc8ea6e9640f83dc0de4548f10af6aa462d552405aca4429"", ""task_id"": ""T5.4.6""}"
implementation_binding,cnn_fpga/runtime/bit_accurate_hardware_reference.py,sha256_bound,1,"{""path"": ""cnn_fpga/runtime/bit_accurate_hardware_reference.py"", ""sha256"": ""f7fb4232d495b67f3759596a3b9d235e029df5ec16d3c467c240a6203fc2e801""}"
implementation_binding,cnn_fpga/runtime/parametric_map_lut.py,sha256_bound,1,"{""path"": ""cnn_fpga/runtime/parametric_map_lut.py"", ""sha256"": ""468728aeeedef6b7569163417440bbf309284c21eb6cebdc4fbf604594d7ab8a""}"
implementation_binding,cnn_fpga/runtime/experimental_event_fsm.py,sha256_bound,1,"{""path"": ""cnn_fpga/runtime/experimental_event_fsm.py"", ""sha256"": ""af5a0cd49b4924b20b844aa07b5f147d4f27eab0a8d5d08c025d80f19a3fb568""}"
