section,seed,name,value,unit,path,detail
source_binding,,sha256,6f367338bb150fd5d9b7df418289a4a73ee37a2e2e6f546fb594f63bd28ec708,,cnn_fpga/benchmark/target_device_synthesis.py,bytes=25920
source_binding,,sha256,7caad1ad0fd243f5e62c9ce079fd6def9c6d964bb8fe44e870e96b14a6239784,,cnn_fpga/rtl/gkp_fast_path_core.sv,bytes=25822
source_binding,,sha256,c0fb58acc208406aba6fcb98dd6cc1dfaa02040e5e074b05cdfba8f92e545260,,cnn_fpga/rtl/gkp_fast_path_synth_top.sv,bytes=5340
source_binding,,sha256,75cf6f2866062f7286fa58ccd45d95be42f2d2ebe7b5b3b173ab2c5e85ba62e8,,cnn_fpga/rtl/tang_nano_20k_27mhz.sdc,bytes=57
source_binding,,sha256,636f9520efe8c6c0fd3d7391ee80cf99ae36dd67c81768468ad9dbeb28e5a3d0,,cnn_fpga/rtl/tang_nano_20k_synth_harness.cst,bytes=1581
source_binding,,sha256,e08bbb9ac41c7b19cda554c62109398329e482c463c023721e3279d88b9c8012,,cnn_fpga/rtl/generated/t5_5_1_memory_manifest.json,bytes=1107
source_binding,,sha256,26271a951edb70f78156ba9fe2f5e472826bb4fdf6e735b7bb293909d22e1e99,,cnn_fpga/rtl/generated/t5_5_1_bank0_x.mem,bytes=1799
source_binding,,sha256,e92e6418079c2711a07352b7d9c385bebf505437b82e9048453fffb849755584,,cnn_fpga/rtl/generated/t5_5_1_bank0_z.mem,bytes=1799
source_binding,,sha256,125ff558685176188b82aca40fa6ccbfadc7744feb570adf56f42cc8b5a59b68,,cnn_fpga/rtl/generated/t5_5_1_bank1_x.mem,bytes=1799
source_binding,,sha256,2349edcb5ff5125cbe932f3d9a433e61d3f55d48f2cbc734ea27f98a9a5b916e,,cnn_fpga/rtl/generated/t5_5_1_bank1_z.mem,bytes=1799
synthesis_cell,,LUT1,0,cells,,
synthesis_cell,,LUT2,0,cells,,
synthesis_cell,,LUT3,0,cells,,
synthesis_cell,,LUT4,0,cells,,
synthesis_cell,,MUX2_LUT5,0,cells,,
synthesis_cell,,MUX2_LUT6,0,cells,,
synthesis_cell,,MUX2_LUT7,0,cells,,
synthesis_cell,,MUX2_LUT8,0,cells,,
synthesis_cell,,ALU,0,cells,,
synthesis_cell,,SDPX9B,8,cells,,
synthesis_cell,,MULT18X18,1,cells,,
synthesis_cell,,MULT9X9,1,cells,,
