candidate_id,precision_id,topk_k,student_dimension,parallel_multipliers,precision_quality_pass,topk_quality_pass,student_quality_pass,deadline_pass,student_latency_cycles,student_latency_us_at_27mhz,resource_evidence_level,measured_lut4,measured_dff,measured_bsram,measured_mult18,measured_mult9,estimated_lut4,estimated_dff,estimated_bsram,estimated_mult18,estimated_mult9,measured_fmax_mhz_minimum,topk_hardware_resources_included,final_eligible
low_p6_a4_q5_6__k1__d1__p1,low_p6_a4_q5_6,1,1,1,False,False,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3472,905,8,2,1,,False,False
low_p6_a4_q5_6__k1__d1__p2,low_p6_a4_q5_6,1,1,2,False,False,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3484,907,8,3,1,,False,False
low_p6_a4_q5_6__k1__d1__p4,low_p6_a4_q5_6,1,1,4,False,False,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3505,911,8,5,1,,False,False
low_p6_a4_q5_6__k1__d2__p1,low_p6_a4_q5_6,1,2,1,False,False,False,True,32,1.1851851851851851,calibrated_estimate_not_synthesis,,,,,,3582,944,8,2,1,,False,False
low_p6_a4_q5_6__k1__d2__p2,low_p6_a4_q5_6,1,2,2,False,False,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3605,948,8,3,1,,False,False
low_p6_a4_q5_6__k1__d2__p4,low_p6_a4_q5_6,1,2,4,False,False,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3648,956,8,5,1,,False,False
low_p6_a4_q5_6__k1__d4__p1,low_p6_a4_q5_6,1,4,1,False,False,True,True,64,2.3703703703703702,calibrated_estimate_not_synthesis,,,,,,3802,1022,8,2,1,,False,False
low_p6_a4_q5_6__k1__d4__p2,low_p6_a4_q5_6,1,4,2,False,False,True,True,32,1.1851851851851851,calibrated_estimate_not_synthesis,,,,,,3847,1030,8,3,1,,False,False
low_p6_a4_q5_6__k1__d4__p4,low_p6_a4_q5_6,1,4,4,False,False,True,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3934,1046,8,5,1,,False,False
low_p6_a4_q5_6__k2__d1__p1,low_p6_a4_q5_6,2,1,1,False,False,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3472,905,8,2,1,,False,False
low_p6_a4_q5_6__k2__d1__p2,low_p6_a4_q5_6,2,1,2,False,False,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3484,907,8,3,1,,False,False
low_p6_a4_q5_6__k2__d1__p4,low_p6_a4_q5_6,2,1,4,False,False,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3505,911,8,5,1,,False,False
low_p6_a4_q5_6__k2__d2__p1,low_p6_a4_q5_6,2,2,1,False,False,False,True,32,1.1851851851851851,calibrated_estimate_not_synthesis,,,,,,3582,944,8,2,1,,False,False
low_p6_a4_q5_6__k2__d2__p2,low_p6_a4_q5_6,2,2,2,False,False,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3605,948,8,3,1,,False,False
low_p6_a4_q5_6__k2__d2__p4,low_p6_a4_q5_6,2,2,4,False,False,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3648,956,8,5,1,,False,False
low_p6_a4_q5_6__k2__d4__p1,low_p6_a4_q5_6,2,4,1,False,False,True,True,64,2.3703703703703702,calibrated_estimate_not_synthesis,,,,,,3802,1022,8,2,1,,False,False
low_p6_a4_q5_6__k2__d4__p2,low_p6_a4_q5_6,2,4,2,False,False,True,True,32,1.1851851851851851,calibrated_estimate_not_synthesis,,,,,,3847,1030,8,3,1,,False,False
low_p6_a4_q5_6__k2__d4__p4,low_p6_a4_q5_6,2,4,4,False,False,True,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3934,1046,8,5,1,,False,False
low_p6_a4_q5_6__k4__d1__p1,low_p6_a4_q5_6,4,1,1,False,True,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3472,905,8,2,1,,False,False
low_p6_a4_q5_6__k4__d1__p2,low_p6_a4_q5_6,4,1,2,False,True,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3484,907,8,3,1,,False,False
low_p6_a4_q5_6__k4__d1__p4,low_p6_a4_q5_6,4,1,4,False,True,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3505,911,8,5,1,,False,False
low_p6_a4_q5_6__k4__d2__p1,low_p6_a4_q5_6,4,2,1,False,True,False,True,32,1.1851851851851851,calibrated_estimate_not_synthesis,,,,,,3582,944,8,2,1,,False,False
low_p6_a4_q5_6__k4__d2__p2,low_p6_a4_q5_6,4,2,2,False,True,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3605,948,8,3,1,,False,False
low_p6_a4_q5_6__k4__d2__p4,low_p6_a4_q5_6,4,2,4,False,True,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3648,956,8,5,1,,False,False
low_p6_a4_q5_6__k4__d4__p1,low_p6_a4_q5_6,4,4,1,False,True,True,True,64,2.3703703703703702,calibrated_estimate_not_synthesis,,,,,,3802,1022,8,2,1,,False,False
low_p6_a4_q5_6__k4__d4__p2,low_p6_a4_q5_6,4,4,2,False,True,True,True,32,1.1851851851851851,calibrated_estimate_not_synthesis,,,,,,3847,1030,8,3,1,,False,False
low_p6_a4_q5_6__k4__d4__p4,low_p6_a4_q5_6,4,4,4,False,True,True,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3934,1046,8,5,1,,False,False
medium_p8_a6_q7_10__k1__d1__p1,medium_p8_a6_q7_10,1,1,1,False,False,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3472,905,8,2,1,,False,False
medium_p8_a6_q7_10__k1__d1__p2,medium_p8_a6_q7_10,1,1,2,False,False,False,True,16,0.5925925925925926,calibrated_estimate_not_synthesis,,,,,,3484,907,8,3,1,,False,False
