section,item,errors,decisions,ler,relative_headroom
formal_expert,standard_binning,1050044,71958528,0.014592349637835837,
formal_expert,static_joint_map,959618,71958528,0.013335709146246015,
formal_expert,window_map,831307,71958528,0.011552584844425945,
formal_expert,ewma_adaptive_map,831087,71958528,0.011549527527856046,
formal_expert,kalman_adaptive_map,886281,71958528,0.01231655266766991,
formal_oracle,family_oracle,810528,71958528,0.011263821294398907,0.024737482357442723
formal_oracle,cell_oracle,796361,71958528,0.011066944004190858,0.04178383249888399
formal_oracle,activation_period_oracle,692586,71958528,0.009624793881275615,0.1666504228799151
formal_oracle,decision_oracle,585727,71958528,0.008139785738807775,0.29522781610108206
development,nested_selector,35396,4571136,0.007743370575716846,
development,nested_strongest_baseline,35314,4571136,0.007725431927643369,
development,activation_period_oracle,33922,4571136,0.007420912438396057,
development,hard_decision_oracle,29105,4571136,0.006367126246079749,
development,heldout_fixed_posterior_mixture,35152,4571136,0.007689992159498208,0.004587415755790905
development,expanded_candidate_action_oracle,29096,4571136,0.006365157370071685,0.0002548564308772725
