record_type,squeezing_db,seed,method,trials,failures,probability,ci_low,ci_high,details
source,,,finite_squeezing_variance,0,0,,,,Eq. (24): sigma_gkp^2=(1/2)*10^(-squeezing_dB/10)
source,,,eight_iid_primitive_shifts,0,0,,,,"Appendix C1d, Eq. (C19): xi_1,...,xi_8 iid N(0,sigma_gkp^2)"
source,,,q_net_shifts_lambda_1,0,0,,,,Eq. (25); Eq. (C19): q1=xi1+xi2; q2=xi1+xi3+xi4
source,,,p_net_shifts_lambda_1,0,0,,,,Eq. (25); Eq. (C19): p1=-xi5+xi6+xi7; p2=xi5+xi8
source,,,closest_integer_rule,0,0,,,,Eq. (27): n=floor(shift/lattice_spacing+1/2) componentwise
source,,,q_joint_ml,0,0,,,,Eqs. (29)-(30); Algorithm 1: min 3*x1^2+2*x2^2-2*x1*x2 at lambda=1
source,,,p_joint_ml,0,0,,,,Eqs. (31)-(33); Algorithm 2: min 2*x1^2+3*x2^2+2*x1*x2 at lambda=1
source,,,logical_failure_mapping,0,0,,,,"Appendix C, Eqs. (C20)-(C21): failure iff any of nq1,nq2,np1,np2 is odd"
source,,,anchors,0,0,,,,"Table I: CI/ML failure at 9,12,13 dB"
seed_cluster,9.0,61720001,PAIRED_CI_ML,2048,199/143,,,,"{""both_fail"": 109, ""ci_only"": 90, ""ml_only"": 34}"
seed_cluster,9.0,61720002,PAIRED_CI_ML,2048,194/127,,,,"{""both_fail"": 97, ""ci_only"": 97, ""ml_only"": 30}"
seed_cluster,9.0,61720003,PAIRED_CI_ML,2048,217/156,,,,"{""both_fail"": 122, ""ci_only"": 95, ""ml_only"": 34}"
seed_cluster,9.0,61720004,PAIRED_CI_ML,2048,195/124,,,,"{""both_fail"": 94, ""ci_only"": 101, ""ml_only"": 30}"
seed_cluster,9.0,61720005,PAIRED_CI_ML,2048,191/139,,,,"{""both_fail"": 109, ""ci_only"": 82, ""ml_only"": 30}"
seed_cluster,9.0,61720006,PAIRED_CI_ML,2048,192/125,,,,"{""both_fail"": 104, ""ci_only"": 88, ""ml_only"": 21}"
seed_cluster,9.0,61720007,PAIRED_CI_ML,2048,227/145,,,,"{""both_fail"": 125, ""ci_only"": 102, ""ml_only"": 20}"
seed_cluster,9.0,61720008,PAIRED_CI_ML,2048,226/169,,,,"{""both_fail"": 125, ""ci_only"": 101, ""ml_only"": 44}"
seed_cluster,9.0,61720009,PAIRED_CI_ML,2048,196/134,,,,"{""both_fail"": 102, ""ci_only"": 94, ""ml_only"": 32}"
seed_cluster,9.0,61720010,PAIRED_CI_ML,2048,222/161,,,,"{""both_fail"": 129, ""ci_only"": 93, ""ml_only"": 32}"
seed_cluster,9.0,61720011,PAIRED_CI_ML,2048,203/132,,,,"{""both_fail"": 111, ""ci_only"": 92, ""ml_only"": 21}"
seed_cluster,9.0,61720012,PAIRED_CI_ML,2048,220/158,,,,"{""both_fail"": 124, ""ci_only"": 96, ""ml_only"": 34}"
seed_cluster,9.0,61720013,PAIRED_CI_ML,2048,191/150,,,,"{""both_fail"": 119, ""ci_only"": 72, ""ml_only"": 31}"
seed_cluster,9.0,61720014,PAIRED_CI_ML,2048,217/148,,,,"{""both_fail"": 121, ""ci_only"": 96, ""ml_only"": 27}"
seed_cluster,9.0,61720015,PAIRED_CI_ML,2048,221/146,,,,"{""both_fail"": 109, ""ci_only"": 112, ""ml_only"": 37}"
seed_cluster,9.0,61720016,PAIRED_CI_ML,2048,188/137,,,,"{""both_fail"": 105, ""ci_only"": 83, ""ml_only"": 32}"
seed_cluster,9.0,61720017,PAIRED_CI_ML,2048,206/139,,,,"{""both_fail"": 108, ""ci_only"": 98, ""ml_only"": 31}"
seed_cluster,9.0,61720018,PAIRED_CI_ML,2048,210/144,,,,"{""both_fail"": 119, ""ci_only"": 91, ""ml_only"": 25}"
seed_cluster,9.0,61720019,PAIRED_CI_ML,2048,201/152,,,,"{""both_fail"": 120, ""ci_only"": 81, ""ml_only"": 32}"
seed_cluster,9.0,61720020,PAIRED_CI_ML,2048,193/142,,,,"{""both_fail"": 113, ""ci_only"": 80, ""ml_only"": 29}"
seed_cluster,9.0,61720021,PAIRED_CI_ML,2048,201/147,,,,"{""both_fail"": 114, ""ci_only"": 87, ""ml_only"": 33}"
seed_cluster,9.0,61720022,PAIRED_CI_ML,2048,213/136,,,,"{""both_fail"": 110, ""ci_only"": 103, ""ml_only"": 26}"
seed_cluster,9.0,61720023,PAIRED_CI_ML,2048,192/130,,,,"{""both_fail"": 96, ""ci_only"": 96, ""ml_only"": 34}"
seed_cluster,9.0,61720024,PAIRED_CI_ML,2048,210/135,,,,"{""both_fail"": 113, ""ci_only"": 97, ""ml_only"": 22}"
seed_cluster,9.0,61720025,PAIRED_CI_ML,2048,214/140,,,,"{""both_fail"": 110, ""ci_only"": 104, ""ml_only"": 30}"
seed_cluster,9.0,61720026,PAIRED_CI_ML,2048,226/150,,,,"{""both_fail"": 127, ""ci_only"": 99, ""ml_only"": 23}"
seed_cluster,9.0,61720027,PAIRED_CI_ML,2048,207/126,,,,"{""both_fail"": 96, ""ci_only"": 111, ""ml_only"": 30}"
seed_cluster,9.0,61720028,PAIRED_CI_ML,2048,203/144,,,,"{""both_fail"": 114, ""ci_only"": 89, ""ml_only"": 30}"
seed_cluster,9.0,61720029,PAIRED_CI_ML,2048,203/129,,,,"{""both_fail"": 104, ""ci_only"": 99, ""ml_only"": 25}"
seed_cluster,9.0,61720030,PAIRED_CI_ML,2048,206/137,,,,"{""both_fail"": 106, ""ci_only"": 100, ""ml_only"": 31}"
seed_cluster,9.0,61720031,PAIRED_CI_ML,2048,199/145,,,,"{""both_fail"": 106, ""ci_only"": 93, ""ml_only"": 39}"
seed_cluster,9.0,61720032,PAIRED_CI_ML,2048,180/128,,,,"{""both_fail"": 97, ""ci_only"": 83, ""ml_only"": 31}"
point_summary,9.0,all,CI,65536,6563,0.1001434326171875,0.09786852085214232,0.10246521762768446,TARGET_FAILURES_BOTH_METHODS
point_summary,9.0,all,ML,65536,4518,0.068939208984375,0.0670246859497323,0.0709042631842157,TARGET_FAILURES_BOTH_METHODS
seed_cluster,12.0,61720001,PAIRED_CI_ML,18432,162/73,,,,"{""both_fail"": 47, ""ci_only"": 115, ""ml_only"": 26}"
seed_cluster,12.0,61720002,PAIRED_CI_ML,18432,159/57,,,,"{""both_fail"": 39, ""ci_only"": 120, ""ml_only"": 18}"
seed_cluster,12.0,61720003,PAIRED_CI_ML,18432,180/64,,,,"{""both_fail"": 43, ""ci_only"": 137, ""ml_only"": 21}"
seed_cluster,12.0,61720004,PAIRED_CI_ML,18432,167/67,,,,"{""both_fail"": 50, ""ci_only"": 117, ""ml_only"": 17}"
seed_cluster,12.0,61720005,PAIRED_CI_ML,18432,163/64,,,,"{""both_fail"": 45, ""ci_only"": 118, ""ml_only"": 19}"
seed_cluster,12.0,61720006,PAIRED_CI_ML,18432,151/56,,,,"{""both_fail"": 41, ""ci_only"": 110, ""ml_only"": 15}"
seed_cluster,12.0,61720007,PAIRED_CI_ML,18432,149/76,,,,"{""both_fail"": 53, ""ci_only"": 96, ""ml_only"": 23}"
seed_cluster,12.0,61720008,PAIRED_CI_ML,18432,164/78,,,,"{""both_fail"": 57, ""ci_only"": 107, ""ml_only"": 21}"
seed_cluster,12.0,61720009,PAIRED_CI_ML,18432,148/68,,,,"{""both_fail"": 52, ""ci_only"": 96, ""ml_only"": 16}"
seed_cluster,12.0,61720010,PAIRED_CI_ML,18432,164/71,,,,"{""both_fail"": 54, ""ci_only"": 110, ""ml_only"": 17}"
seed_cluster,12.0,61720011,PAIRED_CI_ML,18432,147/79,,,,"{""both_fail"": 56, ""ci_only"": 91, ""ml_only"": 23}"
seed_cluster,12.0,61720012,PAIRED_CI_ML,18432,163/73,,,,"{""both_fail"": 47, ""ci_only"": 116, ""ml_only"": 26}"
seed_cluster,12.0,61720013,PAIRED_CI_ML,18432,158/63,,,,"{""both_fail"": 46, ""ci_only"": 112, ""ml_only"": 17}"
seed_cluster,12.0,61720014,PAIRED_CI_ML,18432,170/60,,,,"{""both_fail"": 40, ""ci_only"": 130, ""ml_only"": 20}"
seed_cluster,12.0,61720015,PAIRED_CI_ML,18432,151/60,,,,"{""both_fail"": 42, ""ci_only"": 109, ""ml_only"": 18}"
seed_cluster,12.0,61720016,PAIRED_CI_ML,18432,153/65,,,,"{""both_fail"": 48, ""ci_only"": 105, ""ml_only"": 17}"
seed_cluster,12.0,61720017,PAIRED_CI_ML,18432,172/72,,,,"{""both_fail"": 54, ""ci_only"": 118, ""ml_only"": 18}"
seed_cluster,12.0,61720018,PAIRED_CI_ML,18432,167/76,,,,"{""both_fail"": 59, ""ci_only"": 108, ""ml_only"": 17}"
seed_cluster,12.0,61720019,PAIRED_CI_ML,18432,180/58,,,,"{""both_fail"": 44, ""ci_only"": 136, ""ml_only"": 14}"
seed_cluster,12.0,61720020,PAIRED_CI_ML,18432,180/80,,,,"{""both_fail"": 62, ""ci_only"": 118, ""ml_only"": 18}"
seed_cluster,12.0,61720021,PAIRED_CI_ML,18432,170/74,,,,"{""both_fail"": 58, ""ci_only"": 112, ""ml_only"": 16}"
seed_cluster,12.0,61720022,PAIRED_CI_ML,18432,166/68,,,,"{""both_fail"": 53, ""ci_only"": 113, ""ml_only"": 15}"
seed_cluster,12.0,61720023,PAIRED_CI_ML,18432,145/61,,,,"{""both_fail"": 45, ""ci_only"": 100, ""ml_only"": 16}"
seed_cluster,12.0,61720024,PAIRED_CI_ML,18432,176/70,,,,"{""both_fail"": 53, ""ci_only"": 123, ""ml_only"": 17}"
seed_cluster,12.0,61720025,PAIRED_CI_ML,18432,132/54,,,,"{""both_fail"": 28, ""ci_only"": 104, ""ml_only"": 26}"
seed_cluster,12.0,61720026,PAIRED_CI_ML,18432,169/68,,,,"{""both_fail"": 53, ""ci_only"": 116, ""ml_only"": 15}"
seed_cluster,12.0,61720027,PAIRED_CI_ML,18432,144/76,,,,"{""both_fail"": 53, ""ci_only"": 91, ""ml_only"": 23}"
seed_cluster,12.0,61720028,PAIRED_CI_ML,18432,182/73,,,,"{""both_fail"": 53, ""ci_only"": 129, ""ml_only"": 20}"
