record_type,record_id,candidate_id,field,value,value_state,eligible,details
candidate,legacy_residual_tinycnn,legacy_residual_tinycnn,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""noise_model"", ""time_basis"", ""compute_budget"", ""precision"", ""evidence_level""]"
signature,legacy_residual_tinycnn:code_family,legacy_residual_tinycnn,code_family,single-mode square approximate GKP,MATCH,True,required=single-mode square approximate GKP
signature,legacy_residual_tinycnn:modes_or_distance,legacy_residual_tinycnn,modes_or_distance,one oscillator,MATCH,True,required=one oscillator
signature,legacy_residual_tinycnn:decision_target,legacy_residual_tinycnn,decision_target,five-window residual b_q/b_p parameter regression,MISMATCH,False,required=per-round logical coset/correction and typed safety decision
signature,legacy_residual_tinycnn:input_semantics,legacy_residual_tinycnn,input_semantics,21-channel 5x32-cycle histograms plus teacher parameters/deltas,MISMATCH,False,required=frozen parent q/p syndrome code and registered observed history
signature,legacy_residual_tinycnn:history_horizon,legacy_residual_tinycnn,history_horizon,five 32-cycle windows with edge-repeat warmup,MISMATCH,False,required=registered causal per-round/window horizon
signature,legacy_residual_tinycnn:output_action,legacy_residual_tinycnn,output_action,two continuous b_q/b_p residual estimates,MISMATCH,False,required=logical Pauli/frame correction plus typed safety action
signature,legacy_residual_tinycnn:noise_model,legacy_residual_tinycnn,noise_model,four legacy static/ramp/step/periodic parameter scenarios,MISMATCH,False,required=frozen parent secondary replay trace
signature,legacy_residual_tinycnn:observability,legacy_residual_tinycnn,observability,observed-only,MATCH,True,required=observed-only
signature,legacy_residual_tinycnn:online_privilege,legacy_residual_tinycnn,online_privilege,causal inference without future or hidden truth,MATCH,True,required=causal inference without future or hidden truth
signature,legacy_residual_tinycnn:time_basis,legacy_residual_tinycnn,time_basis,one update per histogram window,MISMATCH,False,required=every registered decoded round
signature,legacy_residual_tinycnn:compute_budget,legacy_residual_tinycnn,compute_budget,unmatched host TinyCNN budget,MISMATCH,False,required=matched registered production decoder budget
signature,legacy_residual_tinycnn:precision,legacy_residual_tinycnn,precision,float32 checkpoint evaluated in NumPy float64,MISMATCH,False,required=production fixed-point
signature,legacy_residual_tinycnn:evidence_level,legacy_residual_tinycnn,evidence_level,project checkpoint diagnostic replay,MISMATCH,False,required=project checkpoint replay
candidate,legacy_static_theta_tinycnn,legacy_static_theta_tinycnn,eligibility,INELIGIBLE_TASK_SIGNATURE,INELIGIBLE,False,"[""decision_target"", ""input_semantics"", ""history_horizon"", ""output_action"", ""noise_model"", ""time_basis"", ""compute_budget"", ""precision"", ""evidence_level""]"
