analog_allocated_bytes_first_measured_decode,analog_errors,analog_ler,analog_runtime_seconds,analog_seconds_per_decode,certified_integer_box_bound,ci,cpd_allocated_bytes_first_measured_decode,cpd_errors,cpd_ler,cpd_runtime_seconds,cpd_seconds_per_decode,crossing_sigma,dimension,distance,distance_gap,errors,evidence,fidelity,ler,lower_distance,may_be_replaced_by_three_size_fit,median_allocated_bytes_per_measured_decode,median_seconds_per_decode,method,mismatch,official,official_distance,offset,oracle_distance,p95_seconds_per_decode,pair,paired_error_difference,quantity,record_type,sample,samples,seed,seed_clusters,seed_ler_standard_error,sigma,trials,value,value_state
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.4995573536072948,,0.4995573536072948,,,,,exact_cvp,1,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.3841845192317924,,0.3841845192317924,,,,,exact_cvp,2,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.9067233084808435,,0.9067233084808435,,,,,exact_cvp,3,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.1803635918831522,,0.1803635918831522,,,,,exact_cvp,4,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.7472945599576089,,0.7472945599576089,,,,,exact_cvp,5,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.4852135907710059,,0.4852135907710059,,,,,exact_cvp,6,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,1.2662899753579464,,1.2662899753579464,,,,,exact_cvp,7,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,2,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.9628347139575548,,0.9628347139575548,,,,,exact_cvp,8,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.03697183914546684,,0.03697183914546684,,,,,exact_cvp,9,,,,,,,,OFFICIAL_CODE_REPRODUCTION
,,,,,1,,,,,,,,1,,0.0,,,,,,,,,official_cpd,False,,0.9172403480390148,,0.9172403480390148,,,,,exact_cvp,10,,,,,,,,OFFICIAL_CODE_REPRODUCTION
