section,key,metric,value,detail
method,current_adaptive_weighted_cpd,errors,9421,all train d=3 families
method,current_adaptive_weighted_cpd,rounds,79872,all train d=3 families
method,current_adaptive_weighted_cpd,p_L,0.11795122195512821,all train d=3 families
method,current_adaptive_weighted_cpd,p_X,0.05520082131410257,all train d=3 families
method,current_adaptive_weighted_cpd,p_Y,0.006998697916666667,all train d=3 families
method,current_adaptive_weighted_cpd,p_Z,0.055751702724358976,all train d=3 families
method,static_mixture_exact_mld,errors,8944,all train d=3 families
method,static_mixture_exact_mld,rounds,79872,all train d=3 families
method,static_mixture_exact_mld,p_L,0.11197916666666667,all train d=3 families
method,static_mixture_exact_mld,p_X,0.05219601362179487,all train d=3 families
method,static_mixture_exact_mld,p_Y,0.006623096955128205,all train d=3 families
method,static_mixture_exact_mld,p_Z,0.05316005608974359,all train d=3 families
method,estimator_upgrade_weighted_cpd,errors,9523,all train d=3 families
method,estimator_upgrade_weighted_cpd,rounds,79872,all train d=3 families
method,estimator_upgrade_weighted_cpd,p_L,0.11922826522435898,all train d=3 families
method,estimator_upgrade_weighted_cpd,p_X,0.05617738381410257,all train d=3 families
method,estimator_upgrade_weighted_cpd,p_Y,0.006873497596153846,all train d=3 families
method,estimator_upgrade_weighted_cpd,p_Z,0.05617738381410257,all train d=3 families
method,periodic_likelihood_mwpm,errors,12211,all train d=3 families
method,periodic_likelihood_mwpm,rounds,79872,all train d=3 families
method,periodic_likelihood_mwpm,p_L,0.15288211137820512,all train d=3 families
method,periodic_likelihood_mwpm,p_X,0.07068810096153846,all train d=3 families
method,periodic_likelihood_mwpm,p_Y,0.00940254407051282,all train d=3 families
method,periodic_likelihood_mwpm,p_Z,0.07279146634615384,all train d=3 families
method,plugin_exact_logical_coset_mld,errors,13380,all train d=3 families
method,plugin_exact_logical_coset_mld,rounds,79872,all train d=3 families
method,plugin_exact_logical_coset_mld,p_L,0.16751802884615385,all train d=3 families
method,plugin_exact_logical_coset_mld,p_X,0.07716095753205128,all train d=3 families
method,plugin_exact_logical_coset_mld,p_Y,0.011005108173076924,all train d=3 families
method,plugin_exact_logical_coset_mld,p_Z,0.07935196314102565,all train d=3 families
method,posterior_predictive_exact_mld,errors,13381,all train d=3 families
method,posterior_predictive_exact_mld,rounds,79872,all train d=3 families
method,posterior_predictive_exact_mld,p_L,0.16753054887820512,all train d=3 families
method,posterior_predictive_exact_mld,p_X,0.07713591746794872,all train d=3 families
method,posterior_predictive_exact_mld,p_Y,0.011005108173076924,all train d=3 families
method,posterior_predictive_exact_mld,p_Z,0.07938952323717949,all train d=3 families
method,risk_aware_observed_only_action,errors,8944,all train d=3 families
method,risk_aware_observed_only_action,rounds,79872,all train d=3 families
method,risk_aware_observed_only_action,p_L,0.11197916666666667,all train d=3 families
method,risk_aware_observed_only_action,p_X,0.05219601362179487,all train d=3 families
method,risk_aware_observed_only_action,p_Y,0.006623096955128205,all train d=3 families
method,risk_aware_observed_only_action,p_Z,0.05316005608974359,all train d=3 families
family_headroom,burst_outlier,baseline_p_L,0.13492838541666666,static_mixture_exact_mld
family_headroom,burst_outlier,proposed_p_L,0.13492838541666666,static_mixture_exact_mld
family_headroom,burst_outlier,relative_improvement,0.0,static_mixture_exact_mld
family_headroom,compound_ood,baseline_p_L,0.13248697916666666,static_mixture_exact_mld
family_headroom,compound_ood,proposed_p_L,0.13248697916666666,static_mixture_exact_mld
family_headroom,compound_ood,relative_improvement,0.0,static_mixture_exact_mld
family_headroom,correlation_drift,baseline_p_L,0.10237630208333333,static_mixture_exact_mld
family_headroom,correlation_drift,proposed_p_L,0.10237630208333333,static_mixture_exact_mld
family_headroom,correlation_drift,relative_improvement,0.0,static_mixture_exact_mld
family_headroom,heavy_tail,baseline_p_L,0.12581380208333334,static_mixture_exact_mld
family_headroom,heavy_tail,proposed_p_L,0.12581380208333334,static_mixture_exact_mld
family_headroom,heavy_tail,relative_improvement,0.0,static_mixture_exact_mld
family_headroom,likelihood_mismatch,baseline_p_L,0.10904947916666667,static_mixture_exact_mld
family_headroom,likelihood_mismatch,proposed_p_L,0.10904947916666667,static_mixture_exact_mld
family_headroom,likelihood_mismatch,relative_improvement,0.0,static_mixture_exact_mld
family_headroom,mean_drift,baseline_p_L,0.10400390625,static_mixture_exact_mld
family_headroom,mean_drift,proposed_p_L,0.10400390625,static_mixture_exact_mld
family_headroom,mean_drift,relative_improvement,0.0,static_mixture_exact_mld
family_headroom,ou_drift,baseline_p_L,0.10709635416666667,static_mixture_exact_mld
family_headroom,ou_drift,proposed_p_L,0.10709635416666667,static_mixture_exact_mld
family_headroom,ou_drift,relative_improvement,0.0,static_mixture_exact_mld
family_headroom,periodic_drift,baseline_p_L,0.10904947916666667,static_mixture_exact_mld
family_headroom,periodic_drift,proposed_p_L,0.10904947916666667,static_mixture_exact_mld
family_headroom,periodic_drift,relative_improvement,0.0,static_mixture_exact_mld
family_headroom,random_walk,baseline_p_L,0.1015625,static_mixture_exact_mld
family_headroom,random_walk,proposed_p_L,0.1015625,static_mixture_exact_mld
family_headroom,random_walk,relative_improvement,0.0,static_mixture_exact_mld
family_headroom,stationary_control,baseline_p_L,0.09781901041666667,static_mixture_exact_mld
family_headroom,stationary_control,proposed_p_L,0.09781901041666667,static_mixture_exact_mld
family_headroom,stationary_control,relative_improvement,0.0,static_mixture_exact_mld
family_headroom,step_calibration_shift,baseline_p_L,0.11197916666666667,static_mixture_exact_mld
family_headroom,step_calibration_shift,proposed_p_L,0.11197916666666667,static_mixture_exact_mld
family_headroom,step_calibration_shift,relative_improvement,0.0,static_mixture_exact_mld
family_headroom,telegraph_drift,baseline_p_L,0.11083984375,static_mixture_exact_mld
family_headroom,telegraph_drift,proposed_p_L,0.11083984375,static_mixture_exact_mld
family_headroom,telegraph_drift,relative_improvement,0.0,static_mixture_exact_mld
family_headroom,variance_drift,baseline_p_L,0.10872395833333333,static_mixture_exact_mld
family_headroom,variance_drift,proposed_p_L,0.10872395833333333,static_mixture_exact_mld
family_headroom,variance_drift,relative_improvement,0.0,static_mixture_exact_mld
regret,estimator,before_p_L,0.11795122195512821,current_adaptive_weighted_cpd -> estimator_upgrade_weighted_cpd
regret,estimator,after_p_L,0.11922826522435898,current_adaptive_weighted_cpd -> estimator_upgrade_weighted_cpd
regret,estimator,absolute_improvement,-0.0012770432692307682,current_adaptive_weighted_cpd -> estimator_upgrade_weighted_cpd
regret,estimator,relative_to_path_start,-0.010826876127799588,current_adaptive_weighted_cpd -> estimator_upgrade_weighted_cpd
regret,metric_likelihood,before_p_L,0.11922826522435898,estimator_upgrade_weighted_cpd -> periodic_likelihood_mwpm
regret,metric_likelihood,after_p_L,0.15288211137820512,estimator_upgrade_weighted_cpd -> periodic_likelihood_mwpm
regret,metric_likelihood,absolute_improvement,-0.033653846153846145,estimator_upgrade_weighted_cpd -> periodic_likelihood_mwpm
regret,metric_likelihood,relative_to_path_start,-0.28532002972083637,estimator_upgrade_weighted_cpd -> periodic_likelihood_mwpm
regret,logical_coset_sum,before_p_L,0.15288211137820512,periodic_likelihood_mwpm -> plugin_exact_logical_coset_mld
