section,key,metric,value,detail
module,gkp_fast_path_production_top,is_converged,False,production management plus single-mode core
capability,gkp_fast_path_production_top,single_mode_map_lut,True,cnn_fpga/rtl/gkp_fast_path_production_top.sv
capability,gkp_fast_path_production_top,six_cycle_ii1,True,cnn_fpga/rtl/gkp_fast_path_production_top.sv
capability,gkp_fast_path_production_top,event_action_fail_closed,True,cnn_fpga/rtl/gkp_fast_path_production_top.sv
capability,gkp_fast_path_production_top,complete_image_crc32,True,cnn_fpga/rtl/gkp_fast_path_production_top.sv
capability,gkp_fast_path_production_top,versioned_compare_and_swap,True,cnn_fpga/rtl/gkp_fast_path_production_top.sv
capability,gkp_fast_path_production_top,inactive_bank_write_isolation,True,cnn_fpga/rtl/gkp_fast_path_production_top.sv
capability,gkp_fast_path_production_top,cancel_drain_snapshot,True,cnn_fpga/rtl/gkp_fast_path_production_top.sv
capability,gkp_fast_path_production_top,regime_policy_overlay,False,cnn_fpga/rtl/gkp_fast_path_production_top.sv
capability,gkp_fast_path_production_top,lkg_bank_selection,False,cnn_fpga/rtl/gkp_fast_path_production_top.sv
capability,gkp_fast_path_production_top,no_raw_trust_or_cfg_bypass,True,cnn_fpga/rtl/gkp_fast_path_production_top.sv
capability,gkp_fast_path_production_top,actual_target_synthesis_surface,False,cnn_fpga/rtl/gkp_fast_path_production_top.sv
module,gkp_fast_path_qualification_top,is_converged,False,long-run raw-pin core qualification wrapper
capability,gkp_fast_path_qualification_top,single_mode_map_lut,True,cnn_fpga/rtl/gkp_fast_path_qualification_top.sv
capability,gkp_fast_path_qualification_top,six_cycle_ii1,True,cnn_fpga/rtl/gkp_fast_path_qualification_top.sv
capability,gkp_fast_path_qualification_top,event_action_fail_closed,True,cnn_fpga/rtl/gkp_fast_path_qualification_top.sv
capability,gkp_fast_path_qualification_top,complete_image_crc32,False,cnn_fpga/rtl/gkp_fast_path_qualification_top.sv
capability,gkp_fast_path_qualification_top,versioned_compare_and_swap,False,cnn_fpga/rtl/gkp_fast_path_qualification_top.sv
capability,gkp_fast_path_qualification_top,inactive_bank_write_isolation,False,cnn_fpga/rtl/gkp_fast_path_qualification_top.sv
capability,gkp_fast_path_qualification_top,cancel_drain_snapshot,False,cnn_fpga/rtl/gkp_fast_path_qualification_top.sv
capability,gkp_fast_path_qualification_top,regime_policy_overlay,False,cnn_fpga/rtl/gkp_fast_path_qualification_top.sv
capability,gkp_fast_path_qualification_top,lkg_bank_selection,False,cnn_fpga/rtl/gkp_fast_path_qualification_top.sv
capability,gkp_fast_path_qualification_top,no_raw_trust_or_cfg_bypass,False,cnn_fpga/rtl/gkp_fast_path_qualification_top.sv
capability,gkp_fast_path_qualification_top,actual_target_synthesis_surface,False,cnn_fpga/rtl/gkp_fast_path_qualification_top.sv
module,route_a_integrated_qualification_top,is_converged,False,single-mode policy plus raw-pin core qualification wrapper
capability,route_a_integrated_qualification_top,single_mode_map_lut,True,cnn_fpga/rtl/route_a_integrated_qualification_top.sv
capability,route_a_integrated_qualification_top,six_cycle_ii1,True,cnn_fpga/rtl/route_a_integrated_qualification_top.sv
capability,route_a_integrated_qualification_top,event_action_fail_closed,True,cnn_fpga/rtl/route_a_integrated_qualification_top.sv
capability,route_a_integrated_qualification_top,complete_image_crc32,False,cnn_fpga/rtl/route_a_integrated_qualification_top.sv
capability,route_a_integrated_qualification_top,versioned_compare_and_swap,False,cnn_fpga/rtl/route_a_integrated_qualification_top.sv
capability,route_a_integrated_qualification_top,inactive_bank_write_isolation,False,cnn_fpga/rtl/route_a_integrated_qualification_top.sv
capability,route_a_integrated_qualification_top,cancel_drain_snapshot,False,cnn_fpga/rtl/route_a_integrated_qualification_top.sv
capability,route_a_integrated_qualification_top,regime_policy_overlay,True,cnn_fpga/rtl/route_a_integrated_qualification_top.sv
capability,route_a_integrated_qualification_top,lkg_bank_selection,True,cnn_fpga/rtl/route_a_integrated_qualification_top.sv
capability,route_a_integrated_qualification_top,no_raw_trust_or_cfg_bypass,False,cnn_fpga/rtl/route_a_integrated_qualification_top.sv
capability,route_a_integrated_qualification_top,actual_target_synthesis_surface,False,cnn_fpga/rtl/route_a_integrated_qualification_top.sv
module,route_a_hardware_pareto_synth_top,is_converged,False,"small-pin synthesis activity harness, no-student profile is primary"
capability,route_a_hardware_pareto_synth_top,single_mode_map_lut,True,cnn_fpga/rtl/route_a_hardware_pareto_synth_top.sv
capability,route_a_hardware_pareto_synth_top,six_cycle_ii1,True,cnn_fpga/rtl/route_a_hardware_pareto_synth_top.sv
capability,route_a_hardware_pareto_synth_top,event_action_fail_closed,True,cnn_fpga/rtl/route_a_hardware_pareto_synth_top.sv
capability,route_a_hardware_pareto_synth_top,complete_image_crc32,False,cnn_fpga/rtl/route_a_hardware_pareto_synth_top.sv
capability,route_a_hardware_pareto_synth_top,versioned_compare_and_swap,False,cnn_fpga/rtl/route_a_hardware_pareto_synth_top.sv
capability,route_a_hardware_pareto_synth_top,inactive_bank_write_isolation,False,cnn_fpga/rtl/route_a_hardware_pareto_synth_top.sv
capability,route_a_hardware_pareto_synth_top,cancel_drain_snapshot,False,cnn_fpga/rtl/route_a_hardware_pareto_synth_top.sv
capability,route_a_hardware_pareto_synth_top,regime_policy_overlay,True,cnn_fpga/rtl/route_a_hardware_pareto_synth_top.sv
capability,route_a_hardware_pareto_synth_top,lkg_bank_selection,True,cnn_fpga/rtl/route_a_hardware_pareto_synth_top.sv
capability,route_a_hardware_pareto_synth_top,no_raw_trust_or_cfg_bypass,False,cnn_fpga/rtl/route_a_hardware_pareto_synth_top.sv
capability,route_a_hardware_pareto_synth_top,actual_target_synthesis_surface,True,cnn_fpga/rtl/route_a_hardware_pareto_synth_top.sv
module,gkp_fast_path_synth_top,is_converged,False,static single-mode core synthesis activity harness
capability,gkp_fast_path_synth_top,single_mode_map_lut,True,cnn_fpga/rtl/gkp_fast_path_synth_top.sv
capability,gkp_fast_path_synth_top,six_cycle_ii1,True,cnn_fpga/rtl/gkp_fast_path_synth_top.sv
capability,gkp_fast_path_synth_top,event_action_fail_closed,True,cnn_fpga/rtl/gkp_fast_path_synth_top.sv
capability,gkp_fast_path_synth_top,complete_image_crc32,False,cnn_fpga/rtl/gkp_fast_path_synth_top.sv
capability,gkp_fast_path_synth_top,versioned_compare_and_swap,False,cnn_fpga/rtl/gkp_fast_path_synth_top.sv
capability,gkp_fast_path_synth_top,inactive_bank_write_isolation,False,cnn_fpga/rtl/gkp_fast_path_synth_top.sv
capability,gkp_fast_path_synth_top,cancel_drain_snapshot,False,cnn_fpga/rtl/gkp_fast_path_synth_top.sv
capability,gkp_fast_path_synth_top,regime_policy_overlay,False,cnn_fpga/rtl/gkp_fast_path_synth_top.sv
capability,gkp_fast_path_synth_top,lkg_bank_selection,False,cnn_fpga/rtl/gkp_fast_path_synth_top.sv
capability,gkp_fast_path_synth_top,no_raw_trust_or_cfg_bypass,False,cnn_fpga/rtl/gkp_fast_path_synth_top.sv
capability,gkp_fast_path_synth_top,actual_target_synthesis_surface,True,cnn_fpga/rtl/gkp_fast_path_synth_top.sv
parent,T6.2.1,verdict_matches,True,b8f7d0a1e694e32749c6c585b19a2e1ef962c080152fdb236221e33cf2b89602
parent,T6.2.1,direct_sources_live,,legacy report records source paths and generated model hash but not input source hashes
parent,T6.2.2,verdict_matches,True,207b4e82b65a286e5ee23f16f387730a783ea34101d8cf7b9f80ae6e39d2b2cd
parent,T6.2.2,direct_sources_live,,legacy report binds generated CXXRTL model/trace but not the input source files
parent,T6.7.3,verdict_matches,True,76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c
parent,T6.7.3,direct_sources_live,True,hash-bound
parent,T6.9.1,verdict_matches,True,fa0182f238976531dfb01c5fbd18fe3ee31c418ab006b1fcbf68d76c549b0887
parent,T6.9.1,direct_sources_live,True,hash-bound
parent,T6.19.1,verdict_matches,True,cbab97d1057bf67249b2e8f97efc04433f4d3240b0407ae4a352e5845c21c07b
parent,T6.19.1,direct_sources_live,True,hash-bound
parent,T6.20.2,verdict_matches,True,33433227b6c6ec32c25d530f33502f17fbdf307dbb04a5960fe5117e5984dad6
parent,T6.20.2,direct_sources_live,True,hash-bound
reuse,T6.2.1,decision,REFERENCE_ONLY_NOT_REUSABLE_FOR_CONVERGED_TOP,"production management was exercised for 1,681 cycles without a policy overlay and the legacy report lacks direct source hashes"
reuse,T6.2.2,decision,CORE_LONG_RUN_REGRESSION_ONLY,the million-cycle wrapper drives raw cfg/trust/commit pins and does not instantiate gkp_fast_path_production_top
reuse,T6.7.3,decision,POLICY_CORE_LONG_RUN_REGRESSION_ONLY,the live policy+core top bypasses production CRC staging and trust ownership
reuse,T6.9.1,decision,OLD_HARNESS_PR_REFERENCE_ONLY,"three-seed P&R is live for route_a_hardware_pareto_synth_top, which wraps the raw-pin qualification top"
reuse,T6.19.1,decision,STATIC_CORE_PROFILE_REFERENCE_ONLY,"the only eligible hardware row profiles gkp_fast_path_synth_top, not production management plus policy"
bridge,BRIDGE-CANDIDATE-IMAGE,payload,single-mode X/Z MAP image: 514 ordered 22-bit words plus schema/CRC32/version,contract reuse only; a multimode decoder needs a separately proven schema adapter
bridge,BRIDGE-ATOMIC-ACTIVE-VIEW,payload,latched active bank and version with old-or-new transaction semantics,single-mode RTL only
bridge,BRIDGE-REGIME-COMMAND,payload,"quantized four-state regime posterior, event flags, boundary and LKG selector",single-mode policy command; not multimode posterior integration
bridge,BRIDGE-EVENT-ACTION,payload,action/reason/version/state words,single-mode event/action contract only
gate,all_parent_verdicts_and_reported_gates_live,passed,True,PASS_BOUNDARY_FROZEN_CONVERGED_PRODUCTION_TOP_REQUIRED
