section,key,metric,value,detail
family,nominal_ii1,cycles,100000,mismatch=0;latency=0;digest=90e85c1ec770e9a5
family,smooth_router_commits,cycles,100000,mismatch=0;latency=0;digest=ee3fb08106d514ec
family,tail_hysteresis,cycles,100000,mismatch=0;latency=0;digest=fcb0c8446980a14a
family,calibration_integrity,cycles,100000,mismatch=0;latency=0;digest=31880f0c5ad7033a
family,telegraph_commit_race,cycles,100000,mismatch=0;latency=0;digest=6d9e70acbd8fe336
family,burst_crc_deadline,cycles,100000,mismatch=0;latency=0;digest=405d144b8534b3b9
family,leakage_reset,cycles,100000,mismatch=0;latency=0;digest=4b1db76e628d3315
family,management_full_image,cycles,100000,mismatch=0;latency=0;digest=2d9ecacacef88816
family,management_fault_snapshot,cycles,100000,mismatch=0;latency=0;digest=adf9481aed4ba9eb
family,compound_transport,cycles,100000,mismatch=0;latency=0;digest=4cc2e239113578f3
gate,qualifying_scale,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,exact_t6_25_2_source_topology_anchor,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,yosys_structural_check_clean,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,all_public_outputs_bit_exact,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,cxxrtl_full_scale,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,all_expected_bytes_mutation_checked,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,six_cycle_source_to_action_and_five_cycle_map,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,ii1_has_no_bubbles,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,no_undefined_action_or_crc_error,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,transport_faults_accounted_and_drained,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,all_policy_actions_and_reasons_covered,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,all_manager_reject_reasons_covered,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,full_image_abort_snapshot_cancel_paths_covered,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,host_policy_atomic_commit_sources_covered,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,core_fault_and_recovery_covered,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,no_silent_version_wrap_with_formal_near_wrap_anchor,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,all_source_bindings_live,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,claim_boundary_preboard_only,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
gate,all_semantic_mutations_rejected,passed,True,PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION
mutation,hide_mismatch,rejected,True,independent gate recomputation
mutation,short_family,rejected,True,independent gate recomputation
mutation,erase_comparator_byte,rejected,True,independent gate recomputation
mutation,change_latency,rejected,True,independent gate recomputation
mutation,drop_final_output,rejected,True,independent gate recomputation
mutation,insert_ii1_bubble,rejected,True,independent gate recomputation
mutation,undefined_action,rejected,True,independent gate recomputation
mutation,silent_overflow,rejected,True,independent gate recomputation
mutation,erase_policy_reason,rejected,True,independent gate recomputation
mutation,erase_reject_reason,rejected,True,independent gate recomputation
mutation,erase_full_image,rejected,True,independent gate recomputation
mutation,erase_snapshot,rejected,True,independent gate recomputation
mutation,erase_host_commit,rejected,True,independent gate recomputation
mutation,erase_policy_commit,rejected,True,independent gate recomputation
mutation,erase_injectable_fault,rejected,True,independent gate recomputation
mutation,insert_composition_protected_fault,rejected,True,independent gate recomputation
mutation,erase_fault_recovery,rejected,True,independent gate recomputation
mutation,insert_version_wrap,rejected,True,independent gate recomputation
mutation,break_formal_anchor,rejected,True,independent gate recomputation
mutation,corrupt_binding,rejected,True,independent gate recomputation
mutation,promote_board_claim,rejected,True,independent gate recomputation
binding,configs/phase6d/t6_25_3_converged_long_rtl.json,sha256,93eb6b537164c148fb646626e9d2a8b4e15205bcd52bb3cbc05974c7a510333f,782
binding,cnn_fpga/benchmark/converged_long_rtl_qualification.py,sha256,5e61ba4b1a1bd9e321438ebdc85761cafbf77c25bbf10a242f854c90c5d5af11,55315
binding,cnn_fpga/runtime/converged_production_reference.py,sha256,0508324c57d78bd212586878f6933a710f34165f5c5fb1499a721f35c752bf96,26137
binding,cnn_fpga/runtime/fast_production_core_reference.py,sha256,a63ab0b1ca0b855651fa9d4d4e7a1edbd00c3b28dd3b8199af18746f28fd8dc4,16837
binding,cnn_fpga/runtime/route_a_fixed_policy_reference.py,sha256,da9e23b86819065c461ec826c6793f6f1fa7dc0a9fc8c1df4521b97eca50e707,14304
binding,cnn_fpga/rtl/converged_long_cxxrtl_driver.cc,sha256,50435578efc0cd395e6e52149851d921973d20e7df2b95ea44079abd099919d0,17415
binding,cnn_fpga/rtl/gkp_route_a_converged_production_top.sv,sha256,67bd18122a60d9107e048b2f97f49d52d39be784835ffcff85d404f105618269,13007
binding,cnn_fpga/rtl/gkp_fast_path_core.sv,sha256,7caad1ad0fd243f5e62c9ce079fd6def9c6d964bb8fe44e870e96b14a6239784,25822
binding,cnn_fpga/rtl/route_a_policy_overlay.sv,sha256,741df9dcf1d9afcab2730b10ee17def016e3a1c7655c5c28249cb60933c2a369,14392
binding,cnn_fpga/rtl/route_a_commit_admission.sv,sha256,63389a55908d307b19f97c24e17aaee0f03422351a2a04706a6e57b53895d2bb,2316
binding,cnn_fpga/rtl/gkp_parameter_bank_manager.sv,sha256,6952e16a0dee4026b5535fbcb9a659d161ac7f52231b8f5b25061b818545dec7,25829
binding,cnn_fpga/rtl/generated/t5_5_1_bank0_x.mem,sha256,26271a951edb70f78156ba9fe2f5e472826bb4fdf6e735b7bb293909d22e1e99,1799
binding,cnn_fpga/rtl/generated/t5_5_1_bank0_z.mem,sha256,e92e6418079c2711a07352b7d9c385bebf505437b82e9048453fffb849755584,1799
binding,cnn_fpga/rtl/generated/t5_5_1_bank1_x.mem,sha256,125ff558685176188b82aca40fa6ccbfadc7744feb570adf56f42cc8b5a59b68,1799
binding,cnn_fpga/rtl/generated/t5_5_1_bank1_z.mem,sha256,2349edcb5ff5125cbe932f3d9a433e61d3f55d48f2cbc734ea27f98a9a5b916e,1799
