cycle,label,exact,actual_cfg_begin_ack,expected_cfg_begin_ack,actual_cfg_word_ack,expected_cfg_word_ack,actual_cfg_finalize_ack,expected_cfg_finalize_ack,actual_cfg_abort_ack,expected_cfg_abort_ack,actual_commit_request_ack,expected_commit_request_ack,actual_commit_complete,expected_commit_complete,actual_commit_cancel_ack,expected_commit_cancel_ack,actual_management_snapshot_ack,expected_management_snapshot_ack,actual_management_state_valid,expected_management_state_valid,actual_management_reject,expected_management_reject,actual_management_reject_reason,expected_management_reject_reason,actual_cfg_session_active,expected_cfg_session_active,actual_commit_pending,expected_commit_pending,actual_management_snapshot_busy,expected_management_snapshot_busy,actual_active_bank,expected_active_bank,actual_active_version,expected_active_version,actual_management_state_word,expected_management_state_word
0,reset_release_idle,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
1,initial_snapshot_request,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
2,initial_snapshot_0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
3,initial_snapshot_1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
4,initial_snapshot_2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
5,initial_snapshot_3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
6,initial_snapshot_4,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
7,initial_snapshot_5,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
8,initial_snapshot_6,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
9,initial_snapshot_7,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
10,initial_snapshot_8,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
11,initial_snapshot_9,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
12,initial_snapshot_10,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
13,initial_snapshot_11,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
14,initial_snapshot_12,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
15,initial_snapshot_13,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
16,initial_snapshot_14,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
17,initial_snapshot_15,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
18,initial_snapshot_16,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0000000000000000000000000000000000000000,0000000000000000000000000000000000000000
19,initial_snapshot_valid,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
20,request_conflict,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
21,active_bank_reject,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
22,version_reject,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
23,v1_begin,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
24,v1_word_0,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
25,v1_word_1,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
26,v1_word_2,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
27,v1_word_3,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
28,v1_word_4,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
29,v1_word_5,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
30,v1_word_6,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
31,v1_word_7,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
32,v1_word_8,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
33,v1_word_9,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
34,v1_word_10,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
35,v1_word_11,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
36,v1_word_12,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
37,v1_word_13,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
38,v1_word_14,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
39,v1_word_15,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
40,v1_word_16,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
41,v1_word_17,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
42,v1_word_18,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
43,v1_word_19,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
44,v1_word_20,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
45,v1_word_21,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
46,v1_word_22,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
47,v1_word_23,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
48,v1_word_24,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
49,v1_word_25,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
50,v1_word_26,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
51,v1_word_27,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
52,v1_word_28,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
53,v1_word_29,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
54,v1_word_30,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
55,v1_word_31,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
56,v1_word_32,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
57,v1_word_33,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
58,v1_word_34,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
59,v1_word_35,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
60,v1_word_36,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
61,v1_word_37,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
62,v1_word_38,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
63,v1_word_39,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
64,v1_word_40,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
65,v1_word_41,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
66,v1_word_42,True,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6e7b000000000000000000000000000800060000,6e7b000000000000000000000000000800060000
