family_id,family,cycles,input_valid,output_valid,cxxrtl_mismatches,undefined_actions,output_crc_errors,state_crc_errors,commit_attempts,commit_acks,commit_rejections,rollback_commit_rejections,llr_min_hits,llr_max_hits,counter_saturation_hits,fault_to_healthy_recoveries,last_fault_output_cycle,last_healthy_output_cycle,fault_mask_coverage_hex,max_fifo_depth,pause_cycles,backpressure_cycles,overflow_events,drop_events,duplicate_events,reorder_events,sequence_faults,deadline_faults,explicit_fault_markers,silent_overflow,pending_transport,actual_digest,expected_digest
0,nominal_random,100000,98969,98963,0,0,0,0,0,0,0,0,0,0,99738,0,-1,99999,0x0000,0,0,0,0,0,0,0,0,0,0,0,0,96bac643b30f23e0,96bac643b30f23e0
1,boundary_and_frame_wrap,100000,99009,99003,0,0,0,0,0,0,0,0,0,0,99738,0,-1,99997,0x0000,0,0,0,0,0,0,0,0,0,0,0,0,51b93422923d3c68,51b93422923d3c68
2,leakage_reset_hysteresis,100000,100000,99994,0,0,0,0,0,0,0,0,0,0,95961,1563,99988,99999,0x3000,0,0,0,0,0,0,0,0,0,0,0,0,df13330bc83610db,df13330bc83610db
3,integrity_ood_stale,100000,100000,99994,0,0,0,0,0,0,0,0,0,0,99657,8332,99998,99989,0x131f,0,0,0,0,0,0,0,0,0,0,0,0,bd3895a0bf83708b,bd3895a0bf83708b
4,deadline_pause_recovery,100000,81232,81220,0,0,0,0,0,0,0,0,0,0,91946,781,99999,99973,0x0200,0,0,0,0,0,0,0,0,0,0,0,0,81b48e16f6ecc098,81b48e16f6ecc098
5,version_trust_commit_race,100000,99880,99874,0,0,0,0,60,10,50,10,0,0,99729,0,-1,99999,0x0000,0,0,0,0,0,0,0,0,0,0,0,0,448ee1c95b932427,448ee1c95b932427
6,fifo_overflow_backpressure,100000,95200,95194,0,0,0,0,0,0,0,0,0,0,95377,17,84805,99999,0x0303,8,4800,4800,4793,0,0,0,16,128,4809,0,0,6608a99f643d8a88,6608a99f643d8a88
7,drop_duplicate_reorder,100000,99796,99790,0,0,0,0,0,0,0,0,0,0,89457,43,80224,99999,0x0303,8,204,204,194,19,15,12,54,0,267,0,0,33d9763a0a139729,33d9763a0a139729
8,compound_fault_recovery,100000,98893,98887,0,0,0,0,0,0,0,0,0,0,78085,422,97516,99999,0x231f,8,1107,1107,1081,39,20,18,104,216,1224,0,0,fa49fe89ef776baa,fa49fe89ef776baa
9,saturation_extreme_lut,100000,99473,99467,0,0,0,0,1,1,0,0,49800,49668,99214,83,99999,99832,0x2307,0,0,0,0,0,0,0,0,0,0,0,0,2b5084c269d20779,2b5084c269d20779
