row_type,method_id,case_id,field,value,status
method,standard_binning,canonical,conforms,True,observed_only_budgeted_candidate
method,static_joint_map,canonical,conforms,True,observed_only_budgeted_candidate
method,window_map,canonical,conforms,True,observed_only_budgeted_candidate
method,ewma_adaptive_map,canonical,conforms,True,observed_only_budgeted_candidate
method,kalman_adaptive_map,canonical,conforms,True,observed_only_budgeted_candidate
method,legacy_cnn_residual,canonical,conforms,True,observed_only_budgeted_candidate
method,proposed_route_a,canonical,conforms,True,observed_only_budgeted_candidate
method,hidden_state_oracle,canonical,conforms,True,nondeployable_upper_bound_only
method_mismatch,standard_binning,online_privilege,online_privilege,method_contract_mismatch,rejected
method_mismatch,standard_binning,input_schema_id,input_schema_id,method_contract_mismatch,rejected
method_mismatch,standard_binning,action_schema_id,action_schema_id,method_contract_mismatch,rejected
method_mismatch,standard_binning,map_lut_contract_id,map_lut_contract_id,method_contract_mismatch,rejected
method_mismatch,standard_binning,bank_contract_id,bank_contract_id,method_contract_mismatch,rejected
method_mismatch,standard_binning,cadence_contract_id,cadence_contract_id,method_contract_mismatch,rejected
method_mismatch,standard_binning,budget_contract_id,budget_contract_id,method_contract_mismatch,rejected
method_mismatch,standard_binning,deadline_contract_id,deadline_contract_id,method_contract_mismatch,rejected
method_mismatch,standard_binning,benchmark_deployability,benchmark_deployability,method_contract_mismatch,rejected
method_mismatch,standard_binning,current_rtl_compatibility,current_rtl_compatibility,method_contract_mismatch,rejected
method_mismatch,static_joint_map,online_privilege,online_privilege,method_contract_mismatch,rejected
method_mismatch,static_joint_map,input_schema_id,input_schema_id,method_contract_mismatch,rejected
method_mismatch,static_joint_map,action_schema_id,action_schema_id,method_contract_mismatch,rejected
method_mismatch,static_joint_map,map_lut_contract_id,map_lut_contract_id,method_contract_mismatch,rejected
method_mismatch,static_joint_map,bank_contract_id,bank_contract_id,method_contract_mismatch,rejected
method_mismatch,static_joint_map,cadence_contract_id,cadence_contract_id,method_contract_mismatch,rejected
method_mismatch,static_joint_map,budget_contract_id,budget_contract_id,method_contract_mismatch,rejected
method_mismatch,static_joint_map,deadline_contract_id,deadline_contract_id,method_contract_mismatch,rejected
method_mismatch,static_joint_map,benchmark_deployability,benchmark_deployability,method_contract_mismatch,rejected
method_mismatch,static_joint_map,current_rtl_compatibility,current_rtl_compatibility,method_contract_mismatch,rejected
method_mismatch,window_map,online_privilege,online_privilege,method_contract_mismatch,rejected
method_mismatch,window_map,input_schema_id,input_schema_id,method_contract_mismatch,rejected
method_mismatch,window_map,action_schema_id,action_schema_id,method_contract_mismatch,rejected
method_mismatch,window_map,map_lut_contract_id,map_lut_contract_id,method_contract_mismatch,rejected
method_mismatch,window_map,bank_contract_id,bank_contract_id,method_contract_mismatch,rejected
method_mismatch,window_map,cadence_contract_id,cadence_contract_id,method_contract_mismatch,rejected
method_mismatch,window_map,budget_contract_id,budget_contract_id,method_contract_mismatch,rejected
method_mismatch,window_map,deadline_contract_id,deadline_contract_id,method_contract_mismatch,rejected
method_mismatch,window_map,benchmark_deployability,benchmark_deployability,method_contract_mismatch,rejected
method_mismatch,window_map,current_rtl_compatibility,current_rtl_compatibility,method_contract_mismatch,rejected
method_mismatch,ewma_adaptive_map,online_privilege,online_privilege,method_contract_mismatch,rejected
method_mismatch,ewma_adaptive_map,input_schema_id,input_schema_id,method_contract_mismatch,rejected
method_mismatch,ewma_adaptive_map,action_schema_id,action_schema_id,method_contract_mismatch,rejected
method_mismatch,ewma_adaptive_map,map_lut_contract_id,map_lut_contract_id,method_contract_mismatch,rejected
method_mismatch,ewma_adaptive_map,bank_contract_id,bank_contract_id,method_contract_mismatch,rejected
method_mismatch,ewma_adaptive_map,cadence_contract_id,cadence_contract_id,method_contract_mismatch,rejected
method_mismatch,ewma_adaptive_map,budget_contract_id,budget_contract_id,method_contract_mismatch,rejected
method_mismatch,ewma_adaptive_map,deadline_contract_id,deadline_contract_id,method_contract_mismatch,rejected
method_mismatch,ewma_adaptive_map,benchmark_deployability,benchmark_deployability,method_contract_mismatch,rejected
method_mismatch,ewma_adaptive_map,current_rtl_compatibility,current_rtl_compatibility,method_contract_mismatch,rejected
method_mismatch,kalman_adaptive_map,online_privilege,online_privilege,method_contract_mismatch,rejected
method_mismatch,kalman_adaptive_map,input_schema_id,input_schema_id,method_contract_mismatch,rejected
method_mismatch,kalman_adaptive_map,action_schema_id,action_schema_id,method_contract_mismatch,rejected
method_mismatch,kalman_adaptive_map,map_lut_contract_id,map_lut_contract_id,method_contract_mismatch,rejected
method_mismatch,kalman_adaptive_map,bank_contract_id,bank_contract_id,method_contract_mismatch,rejected
method_mismatch,kalman_adaptive_map,cadence_contract_id,cadence_contract_id,method_contract_mismatch,rejected
method_mismatch,kalman_adaptive_map,budget_contract_id,budget_contract_id,method_contract_mismatch,rejected
method_mismatch,kalman_adaptive_map,deadline_contract_id,deadline_contract_id,method_contract_mismatch,rejected
method_mismatch,kalman_adaptive_map,benchmark_deployability,benchmark_deployability,method_contract_mismatch,rejected
method_mismatch,kalman_adaptive_map,current_rtl_compatibility,current_rtl_compatibility,method_contract_mismatch,rejected
