row_type,split_or_family,item_id,value,detail
split,calibration,seeds,12,fit static images and non-policy nuisance parameters only
split,pilot_validation,seeds,12,"select one common baseline, policy threshold tuple and no other formal choices"
split,formal_evaluation,seeds,24,"locked confirmatory evaluation; never fit, select, tune or replace thresholds"
scenario_cell,calibration,calibration:mean_drift:00,0.08,mean_drift|rate=0.0125|duration=16
scenario_cell,calibration,calibration:mean_drift:01,0.16,mean_drift|rate=0.0125|duration=32
scenario_cell,calibration,calibration:mean_drift:02,0.08,mean_drift|rate=0.025|duration=32
scenario_cell,calibration,calibration:mean_drift:03,0.16,mean_drift|rate=0.025|duration=16
scenario_cell,calibration,calibration:variance_drift:00,0.08,variance_drift|rate=0.0125|duration=16
scenario_cell,calibration,calibration:variance_drift:01,0.16,variance_drift|rate=0.0125|duration=32
scenario_cell,calibration,calibration:variance_drift:02,0.08,variance_drift|rate=0.025|duration=32
scenario_cell,calibration,calibration:variance_drift:03,0.16,variance_drift|rate=0.025|duration=16
scenario_cell,calibration,calibration:correlation_drift:00,0.08,correlation_drift|rate=0.0125|duration=16
scenario_cell,calibration,calibration:correlation_drift:01,0.16,correlation_drift|rate=0.0125|duration=32
scenario_cell,calibration,calibration:correlation_drift:02,0.08,correlation_drift|rate=0.025|duration=32
scenario_cell,calibration,calibration:correlation_drift:03,0.16,correlation_drift|rate=0.025|duration=16
scenario_cell,calibration,calibration:periodic_drift:00,0.08,periodic_drift|rate=0.0125|duration=16
scenario_cell,calibration,calibration:periodic_drift:01,0.16,periodic_drift|rate=0.0125|duration=32
scenario_cell,calibration,calibration:periodic_drift:02,0.08,periodic_drift|rate=0.025|duration=32
scenario_cell,calibration,calibration:periodic_drift:03,0.16,periodic_drift|rate=0.025|duration=16
scenario_cell,calibration,calibration:step_calibration_shift:00,0.08,step_calibration_shift|rate=0.0125|duration=16
scenario_cell,calibration,calibration:step_calibration_shift:01,0.16,step_calibration_shift|rate=0.0125|duration=32
scenario_cell,calibration,calibration:step_calibration_shift:02,0.08,step_calibration_shift|rate=0.025|duration=32
