cycle_index,policy_mode,primary_reason,posterior,posterior_source_window_id,active_bank,active_bank_version,active_semantics_sha256,decision_source,online_update_frozen,commit_gate_open,fallback_active,reset_request,rollback_requested,rollback_completed,trusted_switch_requested,trusted_switch_completed,candidate_received,candidate_accepted,safety_stage_accepted,candidate_reason,staged_version,commit_status,commit_reason,readback_status,source_cycle,action_cycle,source_to_action_cycles,fast_deadline_miss,host_budget_violation,fault_flags
5,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,0,6,6,False,False,
6,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,1,7,6,False,False,
7,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,2,8,6,False,False,
8,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,3,9,6,False,False,
9,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,4,10,6,False,False,
10,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,5,11,6,False,False,
11,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,6,12,6,False,False,
12,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,7,13,6,False,False,
13,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,8,14,6,False,False,
14,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,9,15,6,False,False,
15,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,10,16,6,False,False,
16,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,11,17,6,False,False,
17,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,12,18,6,False,False,
18,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,13,19,6,False,False,
19,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,14,20,6,False,False,
20,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,15,21,6,False,False,
21,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,16,22,6,False,False,
22,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,17,23,6,False,False,
23,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,18,24,6,False,False,
24,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,19,25,6,False,False,
25,recovering,posterior_uncertain,0.25000000|0.25000000|0.25000000|0.25000000,,A,0,a8fe0d95d3293eb346ff1803c4f566091ac34cb24d4a25a9d0eeb33779d7f624,initial_static_calibration,True,False,True,False,False,False,True,False,False,False,False,not_supplied,,none,none,none,20,26,6,False,False,
