family_id,family,cycles,input_valid,output_valid,rtl_mismatches,undefined_actions,core_crc_errors,route_crc_errors,posterior_updates,router_boundaries,auto_commit_requests,host_commit_attempts,host_auto_commit_collisions,host_commit_policy_blocks,unified_replay_cycles,directed_boundary_cycles,commit_acks,commit_rejections,tail_latch_entries,tail_recoveries,leakage_entries,integrity_entries,ewma_cycles,window_cycles,fault_bit_mask_hex,transport_overflow_events,transport_sequence_faults,silent_overflow,actual_digest,expected_digest
0,smooth_mean,100000,100000,99988,0,0,0,0,3125,49,21,0,0,0,100000,0,21,0,4,4,0,0,73328,26672,0x0002,0,0,0,f458ae319c44d3a6,f458ae319c44d3a6
1,smooth_variance,100000,100000,99988,0,0,0,0,3125,49,2,0,0,0,100000,0,2,0,0,0,0,0,99872,128,0x0002,0,0,0,974d420db45a22aa,974d420db45a22aa
2,smooth_correlation,100000,100000,99988,0,0,0,0,3125,179,0,0,0,0,95840,4160,0,0,0,0,0,0,100000,0,0x0002,0,0,0,c11a62705890aa8d,c11a62705890aa8d
3,smooth_periodic,100000,100000,99988,0,0,0,0,3125,49,30,0,0,0,100000,0,30,0,5,5,0,0,54160,45840,0x0002,0,0,0,49bd85687220641c,49bd85687220641c
4,fault_step,100000,100000,99988,0,0,0,0,3125,49,0,0,0,0,100000,0,0,0,2,1,0,0,100000,0,0x0002,0,0,0,9af90a905bb4fb94,9af90a905bb4fb94
5,fault_telegraph,100000,100000,99988,0,0,0,0,3125,49,0,0,0,0,100000,0,0,0,4,4,0,0,100000,0,0x0002,0,0,0,77feacbdb59928ad,77feacbdb59928ad
6,fault_burst,100000,100000,99988,0,0,0,0,3125,49,4,0,0,0,99987,13,4,0,20,19,0,13,99872,128,0x0002,0,0,0,abd8877874334722,abd8877874334722
7,fault_readout_reset,100000,100000,99988,0,0,0,0,3125,74,42,75,14,75,99975,25,28,14,4,3,0,25,99776,224,0x131f,0,0,0,ebd172132dfe6618,ebd172132dfe6618
8,fault_leakage,100000,100000,99988,0,0,0,0,3125,49,0,0,0,0,100000,0,0,0,4,3,25,0,100000,0,0x3002,0,0,0,5ffda8b02bdec67f,5ffda8b02bdec67f
9,fault_compound,100000,90018,90006,0,0,0,0,3125,49,0,0,0,0,100000,0,0,0,4,3,3,21,100000,0,0x0303,1451,72,0,3c242e3125c18a8e,3c242e3125c18a8e
