row_type,key,family,value,detail
method_summary,standard_binning,aggregate,0.0009786111337167244,"{""p95_window_ler"": 0.005859375, ""p_L"": 0.0009786111337167244, ""p_X"": 0.0006578586719654224, ""p_Y"": 2.472488968460648e-06, ""p_Z"": 0.00031827997278284146, ""worst_window_ler"": 0.033203125}"
family_ler,standard_binning,mean_drift,0.000946327492042824,same formal trace
family_ler,standard_binning,variance_drift,0.0005620320638020833,same formal trace
family_ler,standard_binning,correlation_drift,2.8257016782407408e-05,same formal trace
family_ler,standard_binning,periodic_drift,0.0023778279622395835,same formal trace
method_summary,static_joint_map,aggregate,0.0009681913587782118,"{""p95_window_ler"": 0.005859375, ""p_L"": 0.0009681913587782118, ""p_X"": 0.0006402686790183738, ""p_Y"": 2.6844165943287038e-06, ""p_Z"": 0.00032523826316550923, ""worst_window_ler"": 0.03125}"
family_ler,static_joint_map,mean_drift,0.0007926093207465276,same formal trace
family_ler,static_joint_map,variance_drift,0.0006576820656105323,same formal trace
family_ler,static_joint_map,correlation_drift,3.5462556061921295e-05,same formal trace
family_ler,static_joint_map,periodic_drift,0.002387011492693866,same formal trace
method_summary,topk_k4_static_map,aggregate,0.0009681913587782118,"{""p95_window_ler"": 0.005859375, ""p_L"": 0.0009681913587782118, ""p_X"": 0.0006402686790183738, ""p_Y"": 2.6844165943287038e-06, ""p_Z"": 0.00032523826316550923, ""worst_window_ler"": 0.03125}"
family_ler,topk_k4_static_map,mean_drift,0.0007926093207465276,same formal trace
family_ler,topk_k4_static_map,variance_drift,0.0006576820656105323,same formal trace
family_ler,topk_k4_static_map,correlation_drift,3.5462556061921295e-05,same formal trace
family_ler,topk_k4_static_map,periodic_drift,0.002387011492693866,same formal trace
method_summary,proposed_route_a,aggregate,0.000992739642107928,"{""p95_window_ler"": 0.00390625, ""p_L"": 0.0009927396421079283, ""p_X"": 0.0007410049438476562, ""p_Y"": 1.0243168583622686e-06, ""p_Z"": 0.00025071038140190975, ""worst_window_ler"": 0.115234375}"
family_ler,proposed_route_a,mean_drift,0.00024159749348958334,same formal trace
family_ler,proposed_route_a,variance_drift,0.0005583586516203703,same formal trace
family_ler,proposed_route_a,correlation_drift,1.6954210069444442e-05,same formal trace
family_ler,proposed_route_a,periodic_drift,0.0031540482132523147,same formal trace
method_summary,hidden_state_oracle,aggregate,0.00016233656141493053,"{""p95_window_ler"": 0.001953125, ""p_L"": 0.00016233656141493056, ""p_X"": 8.703161168981481e-05, ""p_Y"": 6.004616066261574e-07, ""p_Z"": 7.470448811848958e-05, ""worst_window_ler"": 0.013671875}"
family_ler,hidden_state_oracle,mean_drift,2.882215711805555e-05,same formal trace
family_ler,hidden_state_oracle,variance_drift,0.0005483274106626157,same formal trace
family_ler,hidden_state_oracle,correlation_drift,1.5400074146412038e-05,same formal trace
family_ler,hidden_state_oracle,periodic_drift,5.6796603732638884e-05,same formal trace
grid_chunk,q0:32,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 0, ""q_stop"": 32}"
grid_chunk,q32:64,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 32, ""q_stop"": 64}"
grid_chunk,q64:96,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 3.552713678800501e-15, ""q_start"": 64, ""q_stop"": 96}"
grid_chunk,q96:128,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 2.6645352591003757e-15, ""q_start"": 96, ""q_stop"": 128}"
grid_chunk,q128:160,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 2.6645352591003757e-15, ""q_start"": 128, ""q_stop"": 160}"
grid_chunk,q160:192,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 2.6645352591003757e-15, ""q_start"": 160, ""q_stop"": 192}"
grid_chunk,q192:224,complete_adc_domain,0,"{""hard_disagreements"": 0, ""p_llr_max_abs_error"": 7.105427357601002e-15, ""points"": 32768, ""q_llr_max_abs_error"": 2.6645352591003757e-15, ""q_start"": 192, ""q_stop"": 224}"
