row_type,key,family,seed,value,detail
method,ewma_adaptive_map,aggregate,,0.011972523698903094,"{""p95_window_ler"": 0.10546875, ""p_L"": 0.012541271391369048, ""p_X"": 0.004952365128451554, ""p_Y"": 0.0031104920402405755, ""p_Z"": 0.004478414222676918, ""worst_window_ler"": 0.3515625}"
family,ewma_adaptive_map,burst_outlier,,0.05614810519748264,
family,ewma_adaptive_map,compound_ood,,0.052484724256727434,
family,ewma_adaptive_map,correlation_drift,,1.6954210069444442e-05,
family,ewma_adaptive_map,leakage_persistence,,1.949734157986111e-05,
family,ewma_adaptive_map,mean_drift,,0.0002924601236979167,
family,ewma_adaptive_map,nominal_static,,2.882215711805555e-05,
family,ewma_adaptive_map,periodic_drift,,0.0022650824652777775,
family,ewma_adaptive_map,readout_reset_fault,,1.9921196831597223e-05,
family,ewma_adaptive_map,step_calibration_shift,,0.01288053724500868,
family,ewma_adaptive_map,telegraph_drift,,0.006950802273220486,
family,ewma_adaptive_map,variance_drift,,0.0005908542209201389,
method,external_bocd_window_ewma_router,aggregate,,0.011969094324593593,"{""p95_window_ler"": 0.10546875, ""p_L"": 0.012537678713521, ""p_X"": 0.004949579793940145, ""p_Y"": 0.0031106131417410715, ""p_Z"": 0.004477485777839782, ""worst_window_ler"": 0.3515625}"
family,external_bocd_window_ewma_router,burst_outlier,,0.05615107218424479,
family,external_bocd_window_ewma_router,compound_ood,,0.05248090955946181,
family,external_bocd_window_ewma_router,correlation_drift,,1.6954210069444442e-05,
family,external_bocd_window_ewma_router,leakage_persistence,,1.949734157986111e-05,
family,external_bocd_window_ewma_router,mean_drift,,0.00029203626844618056,
family,external_bocd_window_ewma_router,nominal_static,,2.882215711805555e-05,
family,external_bocd_window_ewma_router,periodic_drift,,0.0022252400716145835,
family,external_bocd_window_ewma_router,readout_reset_fault,,1.9921196831597223e-05,
family,external_bocd_window_ewma_router,step_calibration_shift,,0.012881384955512151,
family,external_bocd_window_ewma_router,telegraph_drift,,0.006951226128472223,
family,external_bocd_window_ewma_router,variance_drift,,0.0005929734971788194,
method,kalman_adaptive_map,aggregate,,0.012673272026909724,"{""p95_window_ler"": 0.10546875, ""p_L"": 0.013275429054542823, ""p_X"": 0.00528777591765873, ""p_Y"": 0.003433954148065476, ""p_Z"": 0.004553698988818617, ""worst_window_ler"": 0.455078125}"
family,kalman_adaptive_map,burst_outlier,,0.056131998697916664,
family,kalman_adaptive_map,compound_ood,,0.05268987019856771,
family,kalman_adaptive_map,correlation_drift,,1.737806532118055e-05,
family,kalman_adaptive_map,leakage_persistence,,1.9073486328125e-05,
family,kalman_adaptive_map,mean_drift,,0.00025219387478298607,
family,kalman_adaptive_map,nominal_static,,2.7974446614583332e-05,
family,kalman_adaptive_map,periodic_drift,,0.005806393093532987,
family,kalman_adaptive_map,readout_reset_fault,,1.9073486328125e-05,
family,kalman_adaptive_map,step_calibration_shift,,0.015409681532118054,
family,kalman_adaptive_map,telegraph_drift,,0.008438534206814235,
family,kalman_adaptive_map,variance_drift,,0.0005938212076822916,
