seed,state_id,initial_state,pauli_axis,expected_eigenvalue,batch_index,half_cycle,full_cycle,signed_pauli,measurement_probability,reward,rho_trace_real,rho_trace_imag
68401,plus_z,zero logical,Z,1.0,0,1,0.5,0.3903922438621521,0.7482649087905884,0.5202900171279907,1.0000000316649675,-4.718447854656915e-16
68401,plus_z,zero logical,Z,1.0,1,1,0.5,0.3903922438621521,0.7482649087905884,0.5202900171279907,1.0000000316649675,-4.718447854656915e-16
68401,plus_z,zero logical,Z,1.0,0,2,1.0,0.6000292301177979,0.4544662833213806,0.5203518867492676,0.999999986961484,-3.941291737419306e-15
68401,plus_z,zero logical,Z,1.0,1,2,1.0,0.6000292301177979,0.5455337166786194,0.5203518867492676,0.9999999962747097,5.551115123125783e-16
68401,plus_z,zero logical,Z,1.0,0,3,1.5,0.34998413920402527,0.5480186939239502,0.26482200622558594,0.9999999701976776,2.6645352591003757e-15
68401,plus_z,zero logical,Z,1.0,1,3,1.5,0.441832959651947,0.4623202085494995,0.26482200622558594,1.0,-4.3298697960381105e-15
68401,plus_z,zero logical,Z,1.0,0,4,2.0,0.35080385208129883,0.5722110867500305,0.2721492648124695,1.0000000894069672,-2.220446049250313e-15
68401,plus_z,zero logical,Z,1.0,1,4,2.0,0.2512330412864685,0.5031964778900146,0.2721492648124695,0.9999999525025487,2.6645352591003757e-15
68401,plus_z,zero logical,Z,1.0,0,5,2.5,0.5816045999526978,0.5132306218147278,0.5251705646514893,1.0000000479631126,-4.440892098500626e-16
68401,plus_z,zero logical,Z,1.0,1,5,2.5,0.5207500457763672,0.38991695642471313,0.5251705646514893,0.9999999385327101,-4.440892098500626e-15
68401,plus_z,zero logical,Z,1.0,0,6,3.0,0.05305749177932739,0.4783821702003479,0.25453630089759827,0.9999999683350325,-3.9968028886505635e-15
68401,plus_z,zero logical,Z,1.0,1,6,3.0,0.3880586624145508,0.3772408366203308,0.25453630089759827,1.0000000149011612,1.4654943925052066e-14
68401,plus_z,zero logical,Z,1.0,0,7,3.5,0.3409094214439392,0.5102390050888062,0.2429458498954773,0.999999969266355,-4.385380947269368e-15
68401,plus_z,zero logical,Z,1.0,1,7,3.5,0.34299135208129883,0.5954875946044922,0.2429458498954773,0.9999999664723873,1.5182299861749016e-14
68401,plus_z,zero logical,Z,1.0,0,8,4.0,0.4210253953933716,0.5658248662948608,0.4701553285121918,0.9999999720603228,-4.440892098500626e-16
68401,plus_z,zero logical,Z,1.0,1,8,4.0,0.12689194083213806,0.2949495315551758,0.4701553285121918,0.9999999888241291,1.2434497875801753e-14
68401,plus_z,zero logical,Z,1.0,0,9,4.5,0.07960177212953568,0.5303637385368347,0.22995275259017944,0.9999999906867743,-5.329070518200751e-15
68401,plus_z,zero logical,Z,1.0,1,9,4.5,0.30226144194602966,0.5009490847587585,0.22995275259017944,1.0000000018626451,3.552713678800501e-15
68401,plus_z,zero logical,Z,1.0,0,10,5.0,0.39945054054260254,0.497424840927124,0.40970873832702637,1.000000037252903,-8.881784197001252e-16
68401,plus_z,zero logical,Z,1.0,1,10,5.0,0.4800475537776947,0.5370621681213379,0.40970873832702637,1.000000037252903,-8.881784197001252e-16
68401,plus_z,zero logical,Z,1.0,0,11,5.5,0.09458233416080475,0.675573468208313,0.3636658191680908,1.0000000204890966,1.021405182655144e-14
68401,plus_z,zero logical,Z,1.0,1,11,5.5,0.035061538219451904,0.5220383405685425,0.3636658191680908,0.9999999813735485,-1.2878587085651816e-14
68401,plus_z,zero logical,Z,1.0,0,12,6.0,0.3255792260169983,0.5418601036071777,0.4383922517299652,1.0000000167638063,1.3322676295501878e-15
68401,plus_z,zero logical,Z,1.0,1,12,6.0,0.3656037747859955,0.6580133438110352,0.4383922517299652,1.0000000447034836,-2.7755575615628914e-15
68401,plus_z,zero logical,Z,1.0,0,13,6.5,-0.05215713381767273,0.447847843170166,0.32057565450668335,1.0000000931322575,-4.884981308350689e-15
68401,plus_z,zero logical,Z,1.0,1,13,6.5,-0.17535915970802307,0.3561980724334717,0.32057565450668335,0.9999999441206455,-6.716849298982197e-15
68401,plus_z,zero logical,Z,1.0,0,14,7.0,0.2424604892730713,0.5665610432624817,0.07190821319818497,1.0000000298023224,1.7763568394002505e-15
68401,plus_z,zero logical,Z,1.0,1,14,7.0,0.28497615456581116,0.4762006998062134,0.07190821319818497,0.9999999161809683,1.3322676295501878e-15
68401,plus_z,zero logical,Z,1.0,0,15,7.5,0.18594902753829956,0.31706833839416504,0.21728065609931946,1.0000000540167093,-1.7763568394002505e-15
68401,plus_z,zero logical,Z,1.0,1,15,7.5,-0.023134976625442505,0.5410915613174438,0.21728065609931946,1.000000024214387,-5.773159728050814e-15
68401,plus_z,zero logical,Z,1.0,0,16,8.0,-0.004360824823379517,0.4970606565475464,0.3719526529312134,1.0000000279396772,-2.6645352591003757e-15
68401,plus_z,zero logical,Z,1.0,1,16,8.0,0.5547652244567871,0.5459030866622925,0.3719526529312134,1.0000000298023224,-6.439293542825908e-15
68401,plus_z,zero logical,Z,1.0,0,17,8.5,0.0938398689031601,0.6371437311172485,0.2221270054578781,1.0000000558793545,-1.1657341758564144e-14
68401,plus_z,zero logical,Z,1.0,1,17,8.5,-0.005030646920204163,0.4420740604400635,0.2221270054578781,0.999999962747097,-4.440892098500626e-15
68401,plus_z,zero logical,Z,1.0,0,18,9.0,-0.5057743787765503,0.38217735290527344,0.0812356173992157,1.0000000298023224,3.552713678800501e-15
68401,plus_z,zero logical,Z,1.0,1,18,9.0,0.3436974585056305,0.5429856777191162,0.0812356173992157,0.999999912455678,5.773159728050814e-15
68401,plus_z,zero logical,Z,1.0,0,19,9.5,0.2544187903404236,0.46006596088409424,0.23442956805229187,1.0000000596046448,1.4960255256823984e-14
68401,plus_z,zero logical,Z,1.0,1,19,9.5,0.05067066848278046,0.5881919264793396,0.23442956805229187,1.0000000074505806,-3.552713678800501e-15
68401,plus_z,zero logical,Z,1.0,0,20,10.0,-0.28624311089515686,0.5546302795410156,0.3934333920478821,1.0000000782310963,-4.440892098500626e-16
68401,plus_z,zero logical,Z,1.0,1,20,10.0,0.6053915023803711,0.5721731781959534,0.3934333920478821,0.9999999962747097,-2.6645352591003757e-15
68401,plus_z,zero logical,Z,1.0,0,21,10.5,0.09527638554573059,0.3604511618614197,0.2067456841468811,1.0000000521540642,6.217248937900877e-15
68401,plus_z,zero logical,Z,1.0,1,21,10.5,0.005406998097896576,0.45579659938812256,0.2067456841468811,1.0000000521540642,1.4988010832439613e-15
68401,minus_z,one logical,Z,-1.0,0,1,0.5,0.05057681351900101,0.6229467391967773,0.7399351596832275,1.000000026077032,-1.3322676295501878e-15
68401,minus_z,one logical,Z,-1.0,1,1,0.5,0.47344332933425903,0.37705326080322266,0.7399351596832275,0.9999999839346856,-1.8318679906315083e-15
68401,minus_z,one logical,Z,-1.0,0,2,1.0,-0.5866207480430603,0.4691063165664673,0.04748077690601349,1.0000000186264515,1.8318679906315083e-15
68401,minus_z,one logical,Z,-1.0,1,2,1.0,-0.2888103127479553,0.25020116567611694,0.04748077690601349,0.9999999655410647,-8.43769498715119e-15
68401,minus_z,one logical,Z,-1.0,0,3,1.5,-0.19180312752723694,0.6992311477661133,0.0521605908870697,1.0000000521540642,-3.774758283725532e-15
68401,minus_z,one logical,Z,-1.0,1,3,1.5,-0.14613741636276245,0.5462936758995056,0.0521605908870697,0.9999999888241291,-5.773159728050814e-15
68401,minus_z,one logical,Z,-1.0,0,4,2.0,-0.3540772795677185,0.5616059899330139,0.06311237812042236,1.000000087544322,-6.661338147750939e-16
68401,minus_z,one logical,Z,-1.0,1,4,2.0,-0.4106897711753845,0.6259388327598572,0.06311237812042236,0.9999999329447746,2.6645352591003757e-15
68401,minus_z,one logical,Z,-1.0,0,5,2.5,-0.3547942340373993,0.38281571865081787,0.09582695364952087,1.0000000763684511,1.509903313490213e-14
68401,minus_z,one logical,Z,-1.0,1,5,2.5,-0.18571384251117706,0.32756221294403076,0.09582695364952087,1.0000000419095159,-7.105427357601002e-15
68401,minus_z,one logical,Z,-1.0,0,6,3.0,-0.14310111105442047,0.5868570804595947,0.20231451094150543,0.9999999906867743,-3.552713678800501e-15
68401,minus_z,one logical,Z,-1.0,1,6,3.0,-0.2962239682674408,0.5021965503692627,0.20231451094150543,0.9999999422580004,1.7763568394002505e-14
68401,minus_z,one logical,Z,-1.0,0,7,3.5,-0.5260419249534607,0.5811500549316406,0.059389907866716385,1.0000000223517418,3.774758283725532e-15
68401,minus_z,one logical,Z,-1.0,1,7,3.5,-0.5519541501998901,0.5822230577468872,0.059389907866716385,0.9999999450519681,-8.881784197001252e-16
68401,minus_z,one logical,Z,-1.0,0,8,4.0,0.0743599385023117,0.5528430342674255,0.08627136796712875,1.0000000167638063,-1.7763568394002505e-15
68401,minus_z,one logical,Z,-1.0,1,8,4.0,-0.14914368093013763,0.5067676901817322,0.08627136796712875,0.9999999720603228,8.881784197001252e-16
68401,minus_z,one logical,Z,-1.0,0,9,4.5,-0.009621597826480865,0.7368422746658325,0.1366107016801834,1.0000000596046448,7.105427357601002e-15
68401,minus_z,one logical,Z,-1.0,1,9,4.5,-0.2941897511482239,0.44805851578712463,0.1366107016801834,0.9999999813735485,-3.9968028886505635e-15
68401,minus_z,one logical,Z,-1.0,0,10,5.0,0.0476103276014328,0.6594477295875549,0.13937541842460632,0.9999999962747097,5.329070518200751e-15
68401,minus_z,one logical,Z,-1.0,1,10,5.0,-0.45362138748168945,0.44597336649894714,0.13937541842460632,0.9999999888241291,2.220446049250313e-15
68401,minus_z,one logical,Z,-1.0,0,11,5.5,0.13913890719413757,0.6220582723617554,0.07288354635238647,1.0000000456348062,9.992007221626409e-16
68401,minus_z,one logical,Z,-1.0,1,11,5.5,-0.29115206003189087,0.5043262243270874,0.07288354635238647,0.999999962747097,8.881784197001252e-16
68401,minus_z,one logical,Z,-1.0,0,12,6.0,-0.02136169746518135,0.26824235916137695,0.026620250195264816,1.0,4.9960036108132044e-15
68401,minus_z,one logical,Z,-1.0,1,12,6.0,-0.3810301423072815,0.4144369959831238,0.026620250195264816,1.000000011175871,-1.7763568394002505e-15
68401,minus_z,one logical,Z,-1.0,0,13,6.5,0.014427687972784042,0.541989803314209,0.09286943078041077,1.0000000074505806,6.217248937900877e-15
68401,minus_z,one logical,Z,-1.0,1,13,6.5,-0.19100049138069153,0.4792015552520752,0.09286943078041077,0.9999999776482582,8.43769498715119e-15
68401,minus_z,one logical,Z,-1.0,0,14,7.0,0.11913368105888367,0.42654430866241455,0.2379349172115326,1.000000011175871,-8.881784197001252e-16
68401,minus_z,one logical,Z,-1.0,1,14,7.0,-0.38451147079467773,0.6063833832740784,0.2379349172115326,0.999999986961484,-6.661338147750939e-15
68401,minus_z,one logical,Z,-1.0,0,15,7.5,0.04922015964984894,0.3495067358016968,0.20143988728523254,1.0000000186264515,-6.661338147750939e-15
68401,minus_z,one logical,Z,-1.0,1,15,7.5,-0.13943415880203247,0.4164625406265259,0.20143988728523254,0.9999999888241291,1.7763568394002505e-15
68401,minus_z,one logical,Z,-1.0,0,16,8.0,-0.19556033611297607,0.49374985694885254,0.10722479224205017,0.9999999785795808,1.582067810090848e-14
68401,minus_z,one logical,Z,-1.0,1,16,8.0,-0.38206514716148376,0.5265781283378601,0.10722479224205017,1.0000000074505806,-3.552713678800501e-15
68401,minus_z,one logical,Z,-1.0,0,17,8.5,-0.24882973730564117,0.3607081174850464,0.19678857922554016,1.0000000447034836,5.329070518200751e-15
68401,minus_z,one logical,Z,-1.0,1,17,8.5,-0.2732076346874237,0.4634758234024048,0.19678857922554016,1.0000000447034836,2.858824288409778e-15
68401,minus_z,one logical,Z,-1.0,0,18,9.0,-0.38982975482940674,0.5640590786933899,0.07809670269489288,1.0000000298023224,-2.6922908347160046e-14
68401,minus_z,one logical,Z,-1.0,1,18,9.0,-0.275759220123291,0.547050952911377,0.07809670269489288,1.0000000223517418,-5.329070518200751e-15
68401,minus_z,one logical,Z,-1.0,0,19,9.5,-0.06770147383213043,0.6236743330955505,0.1516161561012268,1.0000000149011612,-2.220446049250313e-15
68401,minus_z,one logical,Z,-1.0,1,19,9.5,-0.18691885471343994,0.4982297420501709,0.1516161561012268,0.9999999925494194,1.0658141036401503e-14
68401,minus_z,one logical,Z,-1.0,0,20,10.0,-0.3238317370414734,0.4444403648376465,0.13078837096691132,0.9999999981373549,2.2620794126737565e-15
68401,minus_z,one logical,Z,-1.0,1,20,10.0,-0.1723191738128662,0.717479944229126,0.13078837096691132,1.0000000167638063,1.7763568394002505e-15
68401,minus_z,one logical,Z,-1.0,0,21,10.5,-0.30831700563430786,0.517277717590332,0.12087750434875488,0.9999999944120646,3.9968028886505635e-15
68401,minus_z,one logical,Z,-1.0,1,21,10.5,-0.2774238586425781,0.5186320543289185,0.12087750434875488,1.0,-2.0539125955565396e-15
68401,plus_x,x logical,X,1.0,0,1,0.5,0.7408186793327332,0.7701550722122192,0.6682148575782776,1.0000000373984221,2.4424906541753444e-15
68401,plus_x,x logical,X,1.0,1,1,0.5,0.36282843351364136,0.22984492778778076,0.6682148575782776,1.000000031432137,4.440892098500626e-16
68401,plus_x,x logical,X,1.0,0,2,1.0,0.19628596305847168,0.4755507707595825,0.2800002992153168,1.0000000037252903,1.7763568394002505e-15
68401,plus_x,x logical,X,1.0,1,2,1.0,-0.058157362043857574,0.6811684370040894,0.2800002992153168,1.0000000521540642,-2.4702462297909733e-15
68401,plus_x,x logical,X,1.0,0,3,1.5,0.49427977204322815,0.6335146427154541,0.12715256214141846,1.0000000577419996,3.3306690738754696e-16
68401,plus_x,x logical,X,1.0,1,3,1.5,0.2675933241844177,0.5092494487762451,0.12715256214141846,0.9999999776482582,-1.9984014443252818e-15
68401,plus_x,x logical,X,1.0,0,4,2.0,0.412156879901886,0.5117863416671753,0.19721220433712006,1.0000000223517418,3.552713678800501e-15
68401,plus_x,x logical,X,1.0,1,4,2.0,-0.17056013643741608,0.5278891921043396,0.19721220433712006,0.9999999981373549,0.0
68401,plus_x,x logical,X,1.0,0,5,2.5,0.12890829145908356,0.4336913824081421,0.2700296640396118,1.0000000596046448,6.189493362285248e-15
68401,plus_x,x logical,X,1.0,1,5,2.5,0.3498441278934479,0.31910592317581177,0.2700296640396118,0.9999999590218067,-1.1879386363489175e-14
68401,plus_x,x logical,X,1.0,0,6,3.0,0.23145148158073425,0.4461069107055664,0.17046958208084106,1.0000000521540642,-6.8833827526759706e-15
68401,plus_x,x logical,X,1.0,1,6,3.0,-0.15228915214538574,0.6081850528717041,0.17046958208084106,0.9999999813735485,-4.218847493575595e-15
68401,plus_x,x logical,X,1.0,0,7,3.5,0.23522701859474182,0.510769784450531,0.15089282393455505,0.9999999273568392,9.547918011776346e-15
68401,plus_x,x logical,X,1.0,1,7,3.5,-0.02031388133764267,0.5835422277450562,0.15089282393455505,1.0000000037252903,5.329070518200751e-15
68401,plus_x,x logical,X,1.0,0,8,4.0,0.4560946524143219,0.5707802176475525,0.15539199113845825,1.0000000279396772,0.0
68401,plus_x,x logical,X,1.0,1,8,4.0,-0.32121187448501587,0.569238543510437,0.15539199113845825,0.9999998994171619,-1.2878587085651816e-14
68401,plus_x,x logical,X,1.0,0,9,4.5,0.18170475959777832,0.4515584707260132,0.24034087359905243,1.0000000204890966,-6.217248937900877e-15
68401,plus_x,x logical,X,1.0,1,9,4.5,-0.27149730920791626,0.5773278474807739,0.24034087359905243,1.0000000894069672,3.552713678800501e-15
68401,plus_x,x logical,X,1.0,0,10,5.0,0.48643237352371216,0.47108691930770874,0.19473887979984283,1.0000000335276127,-1.9984014443252818e-15
68401,plus_x,x logical,X,1.0,1,10,5.0,-0.2759929299354553,0.6638405919075012,0.19473887979984283,1.0000000093132257,-7.105427357601002e-15
68401,plus_x,x logical,X,1.0,0,11,5.5,0.3437422811985016,0.540386974811554,0.14465372264385223,1.0000000968575478,9.992007221626409e-16
68401,plus_x,x logical,X,1.0,1,11,5.5,-0.301383912563324,0.60755854845047,0.14465372264385223,0.999999986961484,2.7200464103316335e-15
68401,plus_x,x logical,X,1.0,0,12,6.0,0.1438402533531189,0.4282388389110565,0.2191779911518097,1.0000000223517418,1.8318679906315083e-15
68401,plus_x,x logical,X,1.0,1,12,6.0,-0.24521178007125854,0.6437063217163086,0.2191779911518097,0.9999999441206455,2.220446049250313e-16
68401,plus_x,x logical,X,1.0,0,13,6.5,0.29325512051582336,0.560796856880188,0.11642898619174957,0.9999999888241291,7.105427357601002e-15
68401,plus_x,x logical,X,1.0,1,13,6.5,-0.38814806938171387,0.40574100613594055,0.11642898619174957,0.9999999888241291,4.440892098500626e-15
68401,plus_x,x logical,X,1.0,0,14,7.0,0.18866904079914093,0.38240349292755127,0.18791480362415314,1.0000000298023224,-7.105427357601002e-15
68401,plus_x,x logical,X,1.0,1,14,7.0,-0.20119503140449524,0.6818692684173584,0.18791480362415314,0.9999999683350325,-4.440892098500626e-16
68401,plus_x,x logical,X,1.0,0,15,7.5,0.19243471324443817,0.5584318041801453,0.05507304146885872,0.9999999962747097,1.9984014443252818e-15
68401,plus_x,x logical,X,1.0,1,15,7.5,-0.4987720549106598,0.7483311891555786,0.05507304146885872,0.999999949708581,-3.1086244689504383e-15
68401,plus_x,x logical,X,1.0,0,16,8.0,0.4665857255458832,0.6021190285682678,0.1594117432832718,1.0000000316649675,2.0872192862952943e-14
68401,plus_x,x logical,X,1.0,1,16,8.0,-0.3505324721336365,0.2838744521141052,0.1594117432832718,0.9999999701976776,-1.1379786002407855e-14
68401,plus_x,x logical,X,1.0,0,17,8.5,0.13592451810836792,0.44124871492385864,0.2475837916135788,1.000000026077032,-1.865174681370263e-14
68401,plus_x,x logical,X,1.0,1,17,8.5,-0.4231741428375244,0.6049638986587524,0.2475837916135788,1.0000000316649675,-3.3306690738754696e-15
68401,plus_x,x logical,X,1.0,0,18,9.0,0.3900983929634094,0.5670156478881836,0.15425419807434082,1.0000000689178705,5.329070518200751e-15
68401,plus_x,x logical,X,1.0,1,18,9.0,-0.17055654525756836,0.6651603579521179,0.15425419807434082,0.9999999590218067,4.6629367034256575e-15
68401,plus_x,x logical,X,1.0,0,19,9.5,0.3804716169834137,0.56247478723526,0.13744187355041504,1.0000000474974513,-5.329070518200751e-15
68401,plus_x,x logical,X,1.0,1,19,9.5,-0.3860141932964325,0.3458847999572754,0.13744187355041504,0.9999999422580004,1.865174681370263e-14
68401,plus_x,x logical,X,1.0,0,20,10.0,0.19787201285362244,0.5432580709457397,0.22067497670650482,0.9999999906867743,-3.774758283725532e-15
68401,plus_x,x logical,X,1.0,1,20,10.0,0.11288629472255707,0.36939123272895813,0.22067497670650482,0.9999999813735485,6.217248937900877e-15
68401,plus_x,x logical,X,1.0,0,21,10.5,0.5070673227310181,0.4379327893257141,0.22811198234558105,1.0000000074505806,5.662137425588298e-15
68401,plus_x,x logical,X,1.0,1,21,10.5,-0.07189641892910004,0.5429350137710571,0.22811198234558105,1.0000000298023224,8.881784197001252e-16
68401,minus_x,-x logical,X,-1.0,0,1,0.5,0.003087744116783142,0.5944246053695679,0.6169562935829163,0.9999999636784196,-8.881784197001252e-16
68401,minus_x,-x logical,X,-1.0,1,1,0.5,0.003087744116783142,0.5944246053695679,0.6169562935829163,0.9999999636784196,-8.881784197001252e-16
68401,minus_x,-x logical,X,-1.0,0,2,1.0,0.1280043125152588,0.6291696429252625,0.05981837213039398,1.0000000484287739,1.3322676295501878e-15
68401,minus_x,-x logical,X,-1.0,1,2,1.0,0.1280043125152588,0.6291696429252625,0.05981837213039398,1.0000000484287739,1.3322676295501878e-15
68401,minus_x,-x logical,X,-1.0,0,3,1.5,0.2569056451320648,0.49912941455841064,0.026565521955490112,1.000000011175871,1.5543122344752192e-15
68401,minus_x,-x logical,X,-1.0,1,3,1.5,0.2569056451320648,0.49912941455841064,0.026565521955490112,1.000000011175871,1.5543122344752192e-15
68401,minus_x,-x logical,X,-1.0,0,4,2.0,0.17881622910499573,0.5858397483825684,0.1748839169740677,0.9999999757856131,8.881784197001252e-16
68401,minus_x,-x logical,X,-1.0,1,4,2.0,0.17881622910499573,0.5858397483825684,0.1748839169740677,0.9999999757856131,8.881784197001252e-16
68401,minus_x,-x logical,X,-1.0,0,5,2.5,0.18354181945323944,0.32555103302001953,0.383561909198761,1.000000013038516,-4.440892098500626e-16
68401,minus_x,-x logical,X,-1.0,1,5,2.5,0.18354181945323944,0.6744489669799805,0.383561909198761,1.0000000447034836,-2.6645352591003757e-15
68401,minus_x,-x logical,X,-1.0,0,6,3.0,-0.09951324015855789,0.5226713418960571,0.11655943095684052,0.999999888241291,-2.6645352591003757e-15
68401,minus_x,-x logical,X,-1.0,1,6,3.0,0.18297363817691803,0.5562628507614136,0.11655943095684052,1.0000000447034836,-1.3322676295501878e-15
