claim_id,source_group,source_state,publication_state,assertion_polarity,lane_id,evidence_grade,current_layers_json,required_layers_json,placements_json,report_artifacts_json,raw_artifacts_json,code_artifacts_json,artifact_hashes_json,selectors_json,display_target,safe_wording_en,boundary_zh,current_result_json,upgrade_or_revocation_condition,forbidden_wording_json
CONTRACT_SYSTEM_INTEGRATION,V4_FINAL_GATE,SUPPORTED_RESTRICTED_PREBOARD,ALLOWED_RESTRICTED,POSITIVE,,PROJECT_NATIVE_PREBOARD,"[""PROJECT_NATIVE_SIMULATION"",""FIXED_POINT_INTEGER_REFERENCE"",""CXXRTL_PREBOARD""]","[""BOARD_MEASURED""]","{""abstract"":true,""conclusion"":true,""related_work"":false,""results"":true,""supplement"":false,""title"":true}","[""v4_report""]","[""v4_source""]","[""v4_code""]","{""v4_code"":""45e1ec5995546c2c54305df2989d7b40fead4a9074c2648f59c19de41278f762"",""v4_report"":""45d159f0a5075e8d4f20d0e6a0f7909becf0456e86fe3fc3151d47fa6f899191"",""v4_source"":""efdf9de35dffa5e3379a4d06110c0a3764af3ce6eca743f42d1c8f72d4f6ed4c""}","[""claims.CONTRACT_SYSTEM_INTEGRATION"",""upstream:T6.7.4:promotion_decision"",""upstream:T6.7.4:scientific_results.rtl"",""upstream:T6.9.1:pareto_decision"",""upstream:T6.9.1:profiles.route_a_core_no_student""]",Fig. 1; Table 1,Route-A integrates a locked MAP fast path with regime-aware contract/FSM safety and passes preregistered simulator plus one-million-cycle preboard correctness gates.,仅限预板系统集成与确定性执行合同，不代表新 V5 性能或真板结果。,"{""measured_board_latency"":false,""promotion_verdict"":""GO_ROUTE_A_CONTRACT_SYSTEM_RESTRICTED_SIMULATOR_AND_PREBOARD_CLAIMS"",""rtl_cycles"":1000000,""rtl_mismatches"":0}",T6.9.2 board evidence plus stronger full-system performance is required for a full cross-lane paper.,"[""overall best decoder"",""broad tail improvement"",""measured closed-loop hardware""]"
SMOOTH_LOCKED_EWMA_ADVANTAGE,V4_FINAL_GATE,SUPPORTED_PAIRED_OUTCOME,ALLOWED_RESTRICTED,POSITIVE,,PROJECT_NATIVE_MATCHED,"[""PROJECT_NATIVE_SIMULATION""]",[],"{""abstract"":true,""conclusion"":true,""related_work"":false,""results"":true,""supplement"":false,""title"":false}","[""v4_report""]","[""v4_source""]","[""v4_code""]","{""v4_code"":""45e1ec5995546c2c54305df2989d7b40fead4a9074c2648f59c19de41278f762"",""v4_report"":""45d159f0a5075e8d4f20d0e6a0f7909becf0456e86fe3fc3151d47fa6f899191"",""v4_source"":""efdf9de35dffa5e3379a4d06110c0a3764af3ce6eca743f42d1c8f72d4f6ed4c""}","[""claims.SMOOTH_LOCKED_EWMA_ADVANTAGE"",""upstream:T6.7.4:scientific_results.smooth.primary_contrast"",""upstream:T6.7.4:scientific_results.smooth.holm_confirmed_families""]",Fig. 3a; Table S2,"On the preregistered smooth matrix, Route-A lowers aggregate paired LER relative to the locked EWMA baseline; periodic drift is the only Holm-confirmed family.",只允许报告冻结 smooth matrix 的 aggregate paired 结果；Holm 确认仅 periodic drift。,"{""holm_confirmed_families"":[""periodic_drift""],""primary_contrast"":{""ci95_high"":2.454828332971639e-05,""ci95_low"":1.9002843786168966e-05,""contrast"":""ewma_adaptive_map_LER_minus_proposed_route_a_LER"",""estimate"":2.1687260380497668e-05,""one_sided_p_nonpositive"":4.999750012499375e-05,""passes_95_lcb_strictly_greater_than_zero"":true},""route_a_is_global_best"":false}",A new frozen method must beat the strongest deployable baselines across preregistered families before global LER wording.,"[""best smooth decoder"",""advantage over static or Window MAP"",""all-family drift advantage""]"
STATIC_GKP_SUPERIORITY,V4_FINAL_GATE,FALSIFIED,MANDATORY_NEGATIVE,NEGATIVE,,NEGATIVE,"[""PROJECT_NATIVE_SIMULATION""]",[],"{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":true,""supplement"":false,""title"":false}","[""v4_report""]","[""v4_source""]","[""v4_code""]","{""v4_code"":""45e1ec5995546c2c54305df2989d7b40fead4a9074c2648f59c19de41278f762"",""v4_report"":""45d159f0a5075e8d4f20d0e6a0f7909becf0456e86fe3fc3151d47fa6f899191"",""v4_source"":""efdf9de35dffa5e3379a4d06110c0a3764af3ce6eca743f42d1c8f72d4f6ed4c""}","[""claims.STATIC_GKP_SUPERIORITY"",""upstream:T6.8.7:claims.STATIC_GKP_SUPERIORITY""]",Fig. 3a; Table S2,Static joint MAP has lower average LER than Route-A on the frozen same-model smooth benchmark.,必须保留 static joint MAP 更优的反例，不得隐藏或改写为总体优势。,"{""route_a_average_ler"":0.000992739642107928,""route_a_worst_window_ler"":0.115234375,""static_average_ler"":0.0009681913587782118,""static_minus_route_a"":{""bootstrap_seed"":202607176999,""ci95_high"":-9.112887912326431e-06,""ci95_low"":-3.9595144766348346e-05,""cluster"":""formal seed"",""clusters"":24,""contrast"":""static_full_MAP_LER_minus_Route_A_LER"",""estimate"":-2.4548283329716452e-05,""one_sided_p_nonpositive"":0.9990000499975001,""replicates"":20000,""route_a_superiority_passes_lcb_gt_zero"":false},""static_worst_window_ler"":0.03125}",Requires a new preregistered same-model experiment with paired improvement CI above zero.,"[""Route-A outperforms static GKP"",""static-to-oracle gap closure""]"
STATIC_K4_HARD_ACTION_EQUIVALENCE,V4_FINAL_GATE,SUPPORTED_PREBOARD_NARROW,RESULTS_ONLY,POSITIVE,,PROJECT_NATIVE_PREBOARD,"[""PROJECT_NATIVE_SIMULATION"",""FIXED_POINT_INTEGER_REFERENCE""]",[],"{""abstract"":false,""conclusion"":false,""related_work"":false,""results"":true,""supplement"":true,""title"":false}","[""v4_report""]","[""v4_source""]","[""v4_code""]","{""v4_code"":""45e1ec5995546c2c54305df2989d7b40fead4a9074c2648f59c19de41278f762"",""v4_report"":""45d159f0a5075e8d4f20d0e6a0f7909becf0456e86fe3fc3151d47fa6f899191"",""v4_source"":""efdf9de35dffa5e3379a4d06110c0a3764af3ce6eca743f42d1c8f72d4f6ed4c""}","[""claims.STATIC_K4_HARD_ACTION_EQUIVALENCE"",""upstream:T6.8.7:claims.STATIC_K4_HARD_ACTION_EQUIVALENCE""]",Table S3,"For the frozen covariance/prior and complete 10-bit syndrome domain, K4/full static MAP hard actions are identical; resource reductions remain proxies until integrated implementation.",仅对冻结 covariance/prior 与完整 10-bit domain 的 hard action 等价成立。,"{""domain_points"":1048576,""hard_action_disagreements"":0,""retained_bits_full"":3200,""retained_bits_k4"":512}",Re-enumerate every changed model and integrate K4 into RTL/P&R before hardware promotion.,"[""K4 universally exact"",""measured FPGA compression advantage""]"
TAIL_SAFETY_AND_IMPROVEMENT,V4_FINAL_GATE,SAFETY_NONINFERIORITY_ONLY,ALLOWED_RESTRICTED,POSITIVE,,PROJECT_NATIVE_MATCHED,"[""PROJECT_NATIVE_SIMULATION""]",[],"{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":true,""supplement"":false,""title"":false}","[""v4_report""]","[""v4_source""]","[""v4_code""]","{""v4_code"":""45e1ec5995546c2c54305df2989d7b40fead4a9074c2648f59c19de41278f762"",""v4_report"":""45d159f0a5075e8d4f20d0e6a0f7909becf0456e86fe3fc3151d47fa6f899191"",""v4_source"":""efdf9de35dffa5e3379a4d06110c0a3764af3ce6eca743f42d1c8f72d4f6ed4c""}","[""claims.TAIL_SAFETY_AND_IMPROVEMENT"",""upstream:T6.7.4:scientific_results.tail""]",Fig. 3b; Table S4,"Abrupt/OOD gates establish locked-EWMA safety/non-inferiority under preregistered catastrophic and nominal margins, not broad tail-LER improvement.",结论是预注册 margin 下的 safety/non-inferiority，不是广义 tail-LER 改善。,"{""broad_tail_improvement_confirmed"":false,""confirmed_average_improvement_families"":[],""exact_equal_average_families"":[""step_calibration_shift"",""telegraph_drift"",""readout_reset_fault"",""leakage_persistence"",""compound_ood""],""tail_safety_gate_passes"":true}",Requires preregistered induced-error reduction plus acceptable fallback/false-update costs across abrupt/compound families.,"[""tail advantage"",""fault robustness improvement"",""low-cost fallback""]"
GENERAL_DRIFT_EXTERNAL_COMPARISON,V4_FINAL_GATE,PERFORMANCE_OUTCOME_BUDGET_FAIL,RESULTS_ONLY,POSITIVE,,PROJECT_NATIVE_MATCHED,"[""PROJECT_NATIVE_SIMULATION""]",[],"{""abstract"":false,""conclusion"":false,""related_work"":false,""results"":true,""supplement"":true,""title"":false}","[""v4_report""]","[""v4_source""]","[""v4_code""]","{""v4_code"":""45e1ec5995546c2c54305df2989d7b40fead4a9074c2648f59c19de41278f762"",""v4_report"":""45d159f0a5075e8d4f20d0e6a0f7909becf0456e86fe3fc3151d47fa6f899191"",""v4_source"":""efdf9de35dffa5e3379a4d06110c0a3764af3ce6eca743f42d1c8f72d4f6ed4c""}","[""claims.GENERAL_DRIFT_EXTERNAL_COMPARISON"",""upstream:T6.8.7:claims.GENERAL_DRIFT_BOCD_OUTCOME"",""upstream:T6.8.7:claims.GENERAL_DRIFT_MATCHED_BUDGET_SOTA""]",Table S5,"Route-A has lower paired LER than the pinned BOCD wrapper on common traces, while that external comparator fails the strict worst-update wall-clock budget; general drift-adaptive SOTA is not established.",BOCD 的 paired LER 结果必须与其 worst-update 预算失败同时报告。,"{""paired_outcome"":{""deadline_miss_count"":1,""external_equal_family_ler"":0.011969094324593593,""external_minus_route_a"":{""ci95_high"":1.2368866891571562e-05,""ci95_low"":7.667926826863132e-06,""clusters"":24,""contrast"":""external_bocd_window_ewma_router_LER_minus_proposed_route_a_LER"",""estimate"":1.0018396859217312e-05,""left_worse_if_lcb_gt_zero"":true,""replicates"":20000,""right_worse_if_ucb_lt_zero"":false},""external_update_worst_us"":13004.1,""route_a_equal_family_ler"":0.011959075927734375,""wallclock_cap_us"":5000.0},""sota_state"":""NOT_ESTABLISHED""}",At least two closest external methods must pass identical worst-case compute/wall-clock budgets.,"[""matched-budget external superiority"",""general drift-adaptive SOTA"",""Bhardwaj exact reproduction""]"
PUVIANI_NMF_SURPASS,V4_FINAL_GATE,PROHIBITED_SOURCE_INCOMPLETE,PROHIBITED_POSITIVE,NEGATIVE,,BLOCKED,[],"[""OFFICIAL_CODE_REPRODUCTION""]","{""abstract"":false,""conclusion"":true,""related_work"":true,""results"":false,""supplement"":true,""title"":false}","[""v4_report""]","[""v4_source""]","[""v4_code""]","{""v4_code"":""45e1ec5995546c2c54305df2989d7b40fead4a9074c2648f59c19de41278f762"",""v4_report"":""45d159f0a5075e8d4f20d0e6a0f7909becf0456e86fe3fc3151d47fa6f899191"",""v4_source"":""efdf9de35dffa5e3379a4d06110c0a3764af3ce6eca743f42d1c8f72d4f6ed4c""}","[""claims.PUVIANI_NMF_SURPASS"",""upstream:T6.8.7:claims.PUVIANI_NMF_SURPASS""]",Table S6 (blocked),Official GQF paper-exact reproduction is blocked by missing/inconsistent source artifacts; no same-GQF lifetime comparison or NMF-surpass claim is available.,GQF 源码/协议未闭合，不得声称超过 NMF 寿命。,"{""exact_status"":""NO_GO_SOURCE_INCOMPLETE"",""matched_branch"":""INELIGIBLE_NEGATIVE_BRANCH_NO_MATCHED_RUN"",""matched_metric_non_null_count"":0,""paper_exact_failed"":15,""paper_exact_passed"":0}",All 15 exact gates plus same-GQF matched lifetime LCB must pass; external missing artifacts are not imputed.,"[""surpasses Puviani NMF"",""longer physical lifetime than NMF"",""paper-exact reproduction""]"
FPGA_DETERMINISTIC_ARCHITECTURE,V4_FINAL_GATE,SUPPORTED_PR_ESTIMATE,ALLOWED_RESTRICTED,POSITIVE,,PROJECT_NATIVE_PREBOARD,"[""FIXED_POINT_INTEGER_REFERENCE"",""CXXRTL_PREBOARD"",""POST_ROUTE_ESTIMATE""]","[""BOARD_MEASURED""]","{""abstract"":true,""conclusion"":true,""related_work"":false,""results"":true,""supplement"":false,""title"":false}","[""v4_report""]","[""v4_source""]","[""v4_code""]","{""v4_code"":""45e1ec5995546c2c54305df2989d7b40fead4a9074c2648f59c19de41278f762"",""v4_report"":""45d159f0a5075e8d4f20d0e6a0f7909becf0456e86fe3fc3151d47fa6f899191"",""v4_source"":""efdf9de35dffa5e3379a4d06110c0a3764af3ce6eca743f42d1c8f72d4f6ed4c""}","[""claims.FPGA_DETERMINISTIC_ARCHITECTURE"",""upstream:T6.9.1:profiles.route_a_core_no_student"",""upstream:T6.9.1:evidence_boundary""]",Fig. 4a; Table 2,"The no-student Route-A profile preserves the deterministic six-cycle architecture and passes three-seed open-source P&R at 27 MHz; Fmax/resources/power are estimates, not board measurements.",六周期、II=1、Fmax/资源均为预板或 post-route estimate。,"{""clock_model_ns"":222.22222222222223,""fmax_mhz"":{""maximum"":40.402408599853516,""median"":40.26413345336914,""minimum"":39.13740921020508,""spread"":1.2649993896484375},""power_sensitivity_mw"":{""high"":48.981335040000005,""low"":2.0408889600000006,""nominal"":12.245333760000001},""resources"":{""ALU"":{""available"":15552,""used"":448},""BSRAM"":{""available"":46,""used"":8},""DFF"":{""available"":15552,""used"":1069},""IOB"":{""available"":384,""used"":18},""LUT4"":{""available"":20736,""used"":3859},""MULT18X18"":{""available"":48,""used"":1},""MULT9X9"":{""available"":96,""used"":1}}}",T6.9.2 must provide same-bitstream layered physical measurements.,"[""measured 222.222 ns"",""vendor timing closure"",""measured power"",""faster than prior FPGA decoders""]"
BOARD_MEASURED_CORRECTNESS_LATENCY,V4_FINAL_GATE,BLOCKED_ALL_FIELDS_NULL,BLOCKED,NEGATIVE,,BLOCKED,[],"[""BOARD_MEASURED""]","{""abstract"":false,""conclusion"":true,""related_work"":false,""results"":false,""supplement"":true,""title"":false}","[""v4_report""]","[""v4_source""]","[""v4_code""]","{""v4_code"":""45e1ec5995546c2c54305df2989d7b40fead4a9074c2648f59c19de41278f762"",""v4_report"":""45d159f0a5075e8d4f20d0e6a0f7909becf0456e86fe3fc3151d47fa6f899191"",""v4_source"":""efdf9de35dffa5e3379a4d06110c0a3764af3ce6eca743f42d1c8f72d4f6ed4c""}","[""claims.BOARD_MEASURED_CORRECTNESS_LATENCY"",""upstream:T6.9.2:prerequisite_ledger"",""upstream:T6.9.2:measured_results"",""upstream:T6.9.2:claim_boundary""]",Table 2 measured rows (null),"No physical-board correctness, latency, deadline, jitter, resource-readback or power result is currently available.",42 个 measured 字段保持 null；不得用 P&R 数值填充。,"{""execution_branch"":""BLOCKED_NO_PHYSICAL_BOARD_BITSTREAM_OR_TRANSPORT"",""null_measured_fields"":42,""physical_prerequisites_failed"":6}",Complete all nine T6.9.2 recovery conditions and rerun the final evidence gate.,"[""zero board deadline misses"",""measured source-to-action latency"",""measured board power""]"
FPGA_SPEED_ADVANTAGE,V4_FINAL_GATE,PROHIBITED_NO_SAME_TASK_BOARD_COMPARATOR,PROHIBITED_POSITIVE,NEGATIVE,,BLOCKED,[],"[""BOARD_MEASURED""]","{""abstract"":false,""conclusion"":true,""related_work"":true,""results"":false,""supplement"":false,""title"":false}","[""v4_report""]","[""v4_source""]","[""v4_code""]","{""v4_code"":""45e1ec5995546c2c54305df2989d7b40fead4a9074c2648f59c19de41278f762"",""v4_report"":""45d159f0a5075e8d4f20d0e6a0f7909becf0456e86fe3fc3151d47fa6f899191"",""v4_source"":""efdf9de35dffa5e3379a4d06110c0a3764af3ce6eca743f42d1c8f72d4f6ed4c""}","[""claims.FPGA_SPEED_ADVANTAGE"",""upstream:T6.8.7:claims.FPGA_SPEED_ADVANTAGE"",""upstream:T6.9.2:claim_boundary""]",Table 2 comparison row (not ranked),No FPGA speed advantage is supported because Route-A has no board measurement and the normalized literature table has zero same-task external comparator rows.,缺少同任务真板 comparator，不能声称 faster/fastest。,"{""board_measured"":false,""same_task_external_comparator_count"":0,""speed_state"":""PROHIBITED""}",Requires T6.9.2 physical measurement and a T6.8.6 same-task comparable subset.,"[""fastest"",""SOTA FPGA decoder"",""lower latency than existing FPGA decoder""]"
