figure,panel,element_id,kind,label,status,evidence_layer,value_json,unit,source_ids_json,source_hashes_json,selectors_json,claim_ids_json
Figure 1,a,f1a_plant,node,GKP plant / frozen simulator,CONTEXT_NOT_HARDWARE,PROJECT_NATIVE_SIMULATION,null,,"[""claim_report""]","{""claim_report"":""9c71acb51170c52054ed9c373e2e49485b47659f81ca0620a61c1229bed01f5a""}","[""claims.CONTRACT_SYSTEM_INTEGRATION""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 1,a,f1a_observed,node,Observed syndrome + health / integrity,IMPLEMENTED,PROJECT_NATIVE_SIMULATION,null,,"[""policy_report"",""policy_code""]","{""policy_code"":""07f860c6c5b30209c07a3d064c63a156e8ee07431ecac0ff2133bc647b231488"",""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6""}","[""contract"",""RouteACycleInput""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 1,a,f1a_fast,node,FPGA MAP-LUT + event / action fast path,PREBOARD_IMPLEMENTED,CXXRTL_PREBOARD,null,,"[""rtl_report"",""rtl_code""]","{""rtl_code"":""741df9dcf1d9afcab2730b10ee17def016e3a1c7655c5c28249cb60933c2a369"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""integer_contract"",""aggregate_python""]","[""CONTRACT_SYSTEM_INTEGRATION"",""FPGA_DETERMINISTIC_ARCHITECTURE""]"
Figure 1,a,f1a_action,node,Frame / correction / reset request,DIGITAL_ACTION_CONTRACT,CXXRTL_PREBOARD,null,,"[""rtl_report""]","{""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""aggregate_python.actions""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 1,a,f1a_host,node,Observed-only host estimator,SOFTWARE_SLOW_LOOP,PROJECT_NATIVE_SIMULATION,null,,"[""policy_report"",""policy_code""]","{""policy_code"":""07f860c6c5b30209c07a3d064c63a156e8ee07431ecac0ff2133bc647b231488"",""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6""}","[""contract"",""claim_boundary""]","[""CNN_AND_HMM_ROLE""]"
Figure 1,a,f1a_policy,node,Regime-aware typed safety policy,SOFTWARE_IMPLEMENTED,PROJECT_NATIVE_SIMULATION,null,,"[""policy_report"",""policy_code""]","{""policy_code"":""07f860c6c5b30209c07a3d064c63a156e8ee07431ecac0ff2133bc647b231488"",""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6""}","[""trace.mode_counts"",""trace.reason_counts""]","[""CONTRACT_SYSTEM_INTEGRATION"",""TAIL_SAFETY_AND_IMPROVEMENT""]"
Figure 1,a,f1a_bank,node,Versioned A/B trusted bank,PREBOARD_IMPLEMENTED,FIXED_POINT_INTEGER_REFERENCE,null,,"[""policy_report"",""rtl_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""trace.commit_versions"",""integer_contract.ewma_bank"",""integer_contract.window_bank""]","[""CONTRACT_SYSTEM_INTEGRATION"",""FPGA_DETERMINISTIC_ARCHITECTURE""]"
Figure 1,a,f1a_lkg,node,Last-known-good rollback + hysteresis,PREBOARD_IMPLEMENTED,CXXRTL_PREBOARD,null,,"[""policy_report"",""rtl_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6"",""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""trace.rollback_completed_cycles"",""integer_contract.recovery_hysteresis""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 1,a,f1a_fast_edge,edge,solid: per-round fast path,IMPLEMENTED,CXXRTL_PREBOARD,null,,"[""rtl_report""]","{""rtl_report"":""76a00242af2a61900c1151eb77c64aec070b59fb7525fdb1bded73d6eb6c508c""}","[""integer_contract""]","[""FPGA_DETERMINISTIC_ARCHITECTURE""]"
Figure 1,a,f1a_slow_edge,edge,dashed: host parameter update,SOFTWARE_ONLY,PROJECT_NATIVE_SIMULATION,null,,"[""policy_report""]","{""policy_report"":""e0024f24daa22da6d3b2807cf259aa333c1fc187e3fc3d830127bdafbce87db6""}","[""contract.parameter_update_period_cycles""]","[""CONTRACT_SYSTEM_INTEGRATION""]"
Figure 1,a,f1a_learning_sidecar,boundary,CNN / teacher / student: optional ablation sidecar,NOT_PRIMARY_NOT_FAST_ACTION,PROJECT_NATIVE_SIMULATION,null,,"[""pr_report"",""claim_report""]","{""claim_report"":""9c71acb51170c52054ed9c373e2e49485b47659f81ca0620a61c1229bed01f5a"",""pr_report"":""838f0e7fd22b9148b37ae65964c65ac0d6639b03c7e5f90134ed7c374763cd96""}","[""pareto_decision.student_profile_role"",""claims.CNN_AND_HMM_ROLE""]","[""CNN_AND_HMM_ROLE""]"
