figure,panel,record_id,metric,method,family,value_json,lower_json,upper_json,unit,status,evidence_layer,source_ids_json,source_hashes_json,selector,claim_ids_json,metadata_json
Figure 3,a,f3a_standard_binning,average_ler_equal_family_seed,standard_binning,smooth_aggregate,0.0009786111337167244,0.0009652596932870905,0.0009918212890623918,probability,DEPLOYABLE_BASELINE,PROJECT_NATIVE_SIMULATION,"[""smooth_report"",""smooth_source"",""smooth_code""]","{""smooth_code"":""bbbd9c725d3731a5bb00280cd0ba5c39ffddf24c64afdfb5b5c353d5182efd7a"",""smooth_report"":""4196ded90f032ece0a3d983d128626d551d8805a0377680ef02634bce08c29aa"",""smooth_source"":""6ce0f6793bd80bf88e4d3822304ae4ac36479e9334197f21cb8bda135025fe2b""}",analysis.method_summaries[standard_binning].p_L,"[""SMOOTH_LOCKED_EWMA_ADVANTAGE"",""STATIC_GKP_SUPERIORITY""]","{""errors"":27706,""global_worst_window_ler"":0.033203125,""p95_window_ler"":0.005859375}"
Figure 3,a,f3a_static_joint_map,average_ler_equal_family_seed,static_joint_map,smooth_aggregate,0.0009681913587782118,0.0009563587330004841,0.0009804478398075522,probability,DEPLOYABLE_BASELINE,PROJECT_NATIVE_SIMULATION,"[""smooth_report"",""smooth_source"",""smooth_code""]","{""smooth_code"":""bbbd9c725d3731a5bb00280cd0ba5c39ffddf24c64afdfb5b5c353d5182efd7a"",""smooth_report"":""4196ded90f032ece0a3d983d128626d551d8805a0377680ef02634bce08c29aa"",""smooth_source"":""6ce0f6793bd80bf88e4d3822304ae4ac36479e9334197f21cb8bda135025fe2b""}",analysis.method_summaries[static_joint_map].p_L,"[""SMOOTH_LOCKED_EWMA_ADVANTAGE"",""STATIC_GKP_SUPERIORITY""]","{""errors"":27411,""global_worst_window_ler"":0.03125,""p95_window_ler"":0.005859375}"
Figure 3,a,f3a_window_map,average_ler_equal_family_seed,window_map,smooth_aggregate,0.000896418536150897,0.0008818661725080695,0.0009117832890263022,probability,DEPLOYABLE_BASELINE,PROJECT_NATIVE_SIMULATION,"[""smooth_report"",""smooth_source"",""smooth_code""]","{""smooth_code"":""bbbd9c725d3731a5bb00280cd0ba5c39ffddf24c64afdfb5b5c353d5182efd7a"",""smooth_report"":""4196ded90f032ece0a3d983d128626d551d8805a0377680ef02634bce08c29aa"",""smooth_source"":""6ce0f6793bd80bf88e4d3822304ae4ac36479e9334197f21cb8bda135025fe2b""}",analysis.method_summaries[window_map].p_L,"[""SMOOTH_LOCKED_EWMA_ADVANTAGE"",""STATIC_GKP_SUPERIORITY""]","{""errors"":25379,""global_worst_window_ler"":0.125,""p95_window_ler"":0.00390625}"
Figure 3,a,f3a_ewma_adaptive_map,average_ler_equal_family_seed,ewma_adaptive_map,smooth_aggregate,0.001014426902488426,0.0009984616880062136,0.0010308159722222099,probability,DEPLOYABLE_BASELINE,PROJECT_NATIVE_SIMULATION,"[""smooth_report"",""smooth_source"",""smooth_code""]","{""smooth_code"":""bbbd9c725d3731a5bb00280cd0ba5c39ffddf24c64afdfb5b5c353d5182efd7a"",""smooth_report"":""4196ded90f032ece0a3d983d128626d551d8805a0377680ef02634bce08c29aa"",""smooth_source"":""6ce0f6793bd80bf88e4d3822304ae4ac36479e9334197f21cb8bda135025fe2b""}",analysis.method_summaries[ewma_adaptive_map].p_L,"[""SMOOTH_LOCKED_EWMA_ADVANTAGE"",""STATIC_GKP_SUPERIORITY""]","{""errors"":28720,""global_worst_window_ler"":0.115234375,""p95_window_ler"":0.00390625}"
Figure 3,a,f3a_kalman_adaptive_map,average_ler_equal_family_seed,kalman_adaptive_map,smooth_aggregate,0.0017857374968352142,0.0017685007165980566,0.0018023393772270717,probability,DEPLOYABLE_BASELINE,PROJECT_NATIVE_SIMULATION,"[""smooth_report"",""smooth_source"",""smooth_code""]","{""smooth_code"":""bbbd9c725d3731a5bb00280cd0ba5c39ffddf24c64afdfb5b5c353d5182efd7a"",""smooth_report"":""4196ded90f032ece0a3d983d128626d551d8805a0377680ef02634bce08c29aa"",""smooth_source"":""6ce0f6793bd80bf88e4d3822304ae4ac36479e9334197f21cb8bda135025fe2b""}",analysis.method_summaries[kalman_adaptive_map].p_L,"[""SMOOTH_LOCKED_EWMA_ADVANTAGE"",""STATIC_GKP_SUPERIORITY""]","{""errors"":50557,""global_worst_window_ler"":0.166015625,""p95_window_ler"":0.005859375}"
Figure 3,a,f3a_proposed_route_a,average_ler_equal_family_seed,proposed_route_a,smooth_aggregate,0.0009927396421079283,0.000977728101942188,0.0010086704183510735,probability,PROPOSED_RESTRICTED,PROJECT_NATIVE_SIMULATION,"[""smooth_report"",""smooth_source"",""smooth_code""]","{""smooth_code"":""bbbd9c725d3731a5bb00280cd0ba5c39ffddf24c64afdfb5b5c353d5182efd7a"",""smooth_report"":""4196ded90f032ece0a3d983d128626d551d8805a0377680ef02634bce08c29aa"",""smooth_source"":""6ce0f6793bd80bf88e4d3822304ae4ac36479e9334197f21cb8bda135025fe2b""}",analysis.method_summaries[proposed_route_a].p_L,"[""SMOOTH_LOCKED_EWMA_ADVANTAGE"",""STATIC_GKP_SUPERIORITY""]","{""errors"":28106,""global_worst_window_ler"":0.115234375,""p95_window_ler"":0.00390625}"
Figure 3,a,f3a_hidden_state_oracle,average_ler_equal_family_seed,hidden_state_oracle,smooth_aggregate,0.00016233656141493056,0.00015654387297470151,0.0001684824625649589,probability,NONDEPLOYABLE_UPPER_BOUND,PROJECT_NATIVE_SIMULATION,"[""smooth_report"",""smooth_source"",""smooth_code""]","{""smooth_code"":""bbbd9c725d3731a5bb00280cd0ba5c39ffddf24c64afdfb5b5c353d5182efd7a"",""smooth_report"":""4196ded90f032ece0a3d983d128626d551d8805a0377680ef02634bce08c29aa"",""smooth_source"":""6ce0f6793bd80bf88e4d3822304ae4ac36479e9334197f21cb8bda135025fe2b""}",analysis.method_summaries[hidden_state_oracle].p_L,"[""SMOOTH_LOCKED_EWMA_ADVANTAGE"",""STATIC_GKP_SUPERIORITY""]","{""errors"":4596,""global_worst_window_ler"":0.013671875,""p95_window_ler"":0.001953125}"
Figure 3,b,f3b_ewma_minus_route,paired_ler_difference,ewma_adaptive_map minus proposed_route_a,smooth_aggregate,2.1687260380497668e-05,1.9002843786168966e-05,2.454828332971639e-05,absolute LER,POSITIVE_RESTRICTED,PROJECT_NATIVE_SIMULATION,"[""smooth_report"",""smooth_source"",""promotion_report""]","{""promotion_report"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22"",""smooth_report"":""4196ded90f032ece0a3d983d128626d551d8805a0377680ef02634bce08c29aa"",""smooth_source"":""6ce0f6793bd80bf88e4d3822304ae4ac36479e9334197f21cb8bda135025fe2b""}",analysis.primary_contrast,"[""SMOOTH_LOCKED_EWMA_ADVANTAGE""]",{}
Figure 3,b,f3b_static_minus_route,paired_ler_difference,static_joint_map minus proposed_route_a,smooth_aggregate,-2.4548283329716452e-05,-3.9595144766348346e-05,-9.112887912326431e-06,absolute LER,NEGATIVE_RESULT,PROJECT_NATIVE_SIMULATION,"[""static_report"",""static_source"",""static_code""]","{""static_code"":""8b7724368205896c37ea69b77cd9a3db2332341fd70107b2a2199ab7d1198acb"",""static_report"":""d44912c3dc64e7ca13feb430b35c83e0dbd43817f4eb34c44e28b06f6ee55e81"",""static_source"":""885986a8cb583eff52cbaeec4a8426f461bc7f80055ea12d7ec57ffe77ff6404""}",paired_static_contrast,"[""STATIC_GKP_SUPERIORITY""]",{}
Figure 3,b,f3b_oracle_gap,static_to_oracle_gap_closure,proposed_route_a,smooth_aggregate,-0.030462415077799714,-0.04966251005211896,-0.011185313997759173,fraction,NEGATIVE_RESULT,PROJECT_NATIVE_SIMULATION,"[""static_report"",""static_source""]","{""static_report"":""d44912c3dc64e7ca13feb430b35c83e0dbd43817f4eb34c44e28b06f6ee55e81"",""static_source"":""885986a8cb583eff52cbaeec4a8426f461bc7f80055ea12d7ec57ffe77ff6404""}",oracle_gap,"[""STATIC_GKP_SUPERIORITY""]",{}
