category,figure,panel,record_id,metric,method,family,value_json,lower_json,upper_json,unit,status,evidence_layer,source_ids_json,source_hashes_json,selector,metadata_json
gradient,Supplement S1,a,gradient_step_0,relative_l2_error,Feedback-GRAPE exact gradient,finite_difference_step_sweep,1.0817199498685476e-07,null,null,relative error,NUMERICAL_VALIDATION,PROJECT_NATIVE_SIMULATION,"[""gradient_report"",""gradient_code""]","{""gradient_code"":""e7755d697b0de5b705d0f03c10f66e2173062c424be1739a623309d9241e6089"",""gradient_report"":""56bafb66ea57be98df84792ab6926c0f3c173c72460de0633bed76d108d6bf67""}",finite_difference_step_sweep[0],"{""reward_path_error"":2.189940269629434e-07,""score_path_error"":2.547028562422608e-07,""step"":0.0003}"
gradient,Supplement S1,a,gradient_step_1,relative_l2_error,Feedback-GRAPE exact gradient,finite_difference_step_sweep,1.2015706658454459e-08,null,null,relative error,NUMERICAL_VALIDATION,PROJECT_NATIVE_SIMULATION,"[""gradient_report"",""gradient_code""]","{""gradient_code"":""e7755d697b0de5b705d0f03c10f66e2173062c424be1739a623309d9241e6089"",""gradient_report"":""56bafb66ea57be98df84792ab6926c0f3c173c72460de0633bed76d108d6bf67""}",finite_difference_step_sweep[1],"{""reward_path_error"":2.4335490986907207e-08,""score_path_error"":2.8297595576851225e-08,""step"":0.0001}"
gradient,Supplement S1,a,gradient_step_2,relative_l2_error,Feedback-GRAPE exact gradient,finite_difference_step_sweep,1.0850628963473802e-09,null,null,relative error,NUMERICAL_VALIDATION,PROJECT_NATIVE_SIMULATION,"[""gradient_report"",""gradient_code""]","{""gradient_code"":""e7755d697b0de5b705d0f03c10f66e2173062c424be1739a623309d9241e6089"",""gradient_report"":""56bafb66ea57be98df84792ab6926c0f3c173c72460de0633bed76d108d6bf67""}",finite_difference_step_sweep[2],"{""reward_path_error"":2.1831939237405797e-09,""score_path_error"":2.528010294470813e-09,""step"":3e-05}"
gradient,Supplement S1,a,gradient_step_3,relative_l2_error,Feedback-GRAPE exact gradient,finite_difference_step_sweep,1.6765420615741014e-10,null,null,relative error,NUMERICAL_VALIDATION,PROJECT_NATIVE_SIMULATION,"[""gradient_report"",""gradient_code""]","{""gradient_code"":""e7755d697b0de5b705d0f03c10f66e2173062c424be1739a623309d9241e6089"",""gradient_report"":""56bafb66ea57be98df84792ab6926c0f3c173c72460de0633bed76d108d6bf67""}",finite_difference_step_sweep[3],"{""reward_path_error"":2.4407101960665087e-10,""score_path_error"":3.221897023227264e-10,""step"":1e-05}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c8-b8-h2-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,0.19517130000167526,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c8-b8-h2-float64],"{""batch_size"":8,""cutoff"":8,""failure_kind"":null,""full_cycles"":2,""observed_memory_fraction"":0.0031484375,""within_memory_budget"":true,""within_runtime_budget"":true}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c12-b8-h2-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,0.20516070000303444,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c12-b8-h2-float64],"{""batch_size"":8,""cutoff"":12,""failure_kind"":null,""full_cycles"":2,""observed_memory_fraction"":0.004637583492366412,""within_memory_budget"":true,""within_runtime_budget"":true}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c16-b1-h2-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,0.19480539999494795,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c16-b1-h2-float64],"{""batch_size"":1,""cutoff"":16,""failure_kind"":null,""full_cycles"":2,""observed_memory_fraction"":0.004973043893129771,""within_memory_budget"":true,""within_runtime_budget"":true}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c16-b4-h2-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,0.19812060000549536,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c16-b4-h2-float64],"{""batch_size"":4,""cutoff"":16,""failure_kind"":null,""full_cycles"":2,""observed_memory_fraction"":0.0058099355916030535,""within_memory_budget"":true,""within_runtime_budget"":true}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c16-b8-h2-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,0.19885260000592098,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c16-b8-h2-float64],"{""batch_size"":8,""cutoff"":16,""failure_kind"":null,""full_cycles"":2,""observed_memory_fraction"":0.007104067270992366,""within_memory_budget"":true,""within_runtime_budget"":true}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c16-b8-h3-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,0.30229059999692254,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c16-b8-h3-float64],"{""batch_size"":8,""cutoff"":16,""failure_kind"":null,""full_cycles"":3,""observed_memory_fraction"":0.009233838263358779,""within_memory_budget"":true,""within_runtime_budget"":true}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c16-b8-h4-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,0.40897709999990184,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c16-b8-h4-float64],"{""batch_size"":8,""cutoff"":16,""failure_kind"":null,""full_cycles"":4,""observed_memory_fraction"":0.011367903148854962,""within_memory_budget"":true,""within_runtime_budget"":true}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c16-b8-h5-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,0.5136731000093278,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c16-b8-h5-float64],"{""batch_size"":8,""cutoff"":16,""failure_kind"":null,""full_cycles"":5,""observed_memory_fraction"":0.013506321564885496,""within_memory_budget"":true,""within_runtime_budget"":true}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c16-b8-h6-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,0.6172819999919739,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c16-b8-h6-float64],"{""batch_size"":8,""cutoff"":16,""failure_kind"":null,""full_cycles"":6,""observed_memory_fraction"":0.01564897423664122,""within_memory_budget"":true,""within_runtime_budget"":true}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c16-b8-h7-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,0.7185968999983743,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c16-b8-h7-float64],"{""batch_size"":8,""cutoff"":16,""failure_kind"":null,""full_cycles"":7,""observed_memory_fraction"":0.017795920801526716,""within_memory_budget"":true,""within_runtime_budget"":true}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c16-b8-h8-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,0.8279938000050606,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c16-b8-h8-float64],"{""batch_size"":8,""cutoff"":16,""failure_kind"":null,""full_cycles"":8,""observed_memory_fraction"":0.019947161259541983,""within_memory_budget"":true,""within_runtime_budget"":true}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c16-b8-h9-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,0.9309618999977829,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c16-b8-h9-float64],"{""batch_size"":8,""cutoff"":16,""failure_kind"":null,""full_cycles"":9,""observed_memory_fraction"":0.022102755248091605,""within_memory_budget"":true,""within_runtime_budget"":true}"
cutoff_feasibility,Supplement S1,b,feas_cuda-c16-b8-h10-float64,runtime_median_seconds,finite-cutoff differentiable SBS,cuda,1.0627668000088306,null,null,seconds,PASS,HOST_RESOURCE_MEASUREMENT,"[""feasibility_report"",""feasibility_source"",""feasibility_code""]","{""feasibility_code"":""fab96a424708d5519b0f3dfd885e7014c769014ebb5959bd64d35e04118fa0de"",""feasibility_report"":""5fb1ca9d709124834f55b3f00bd9ad40b34488895f85fc10dff0087c32b41c1c"",""feasibility_source"":""5ef12c708220c0a8cd8ac25762b04fc4eea5a5e38ce13ee2b741d22b4f0e7369""}",points[cuda-c16-b8-h10-float64],"{""batch_size"":8,""cutoff"":16,""failure_kind"":null,""full_cycles"":10,""observed_memory_fraction"":0.024262583492366412,""within_memory_budget"":true,""within_runtime_budget"":true}"
