record_id,title,first_author,year,doi,arxiv_id,primary_url,repo_url,query_ids_json,raw_records_json,artifact_records_json,dedup_key,input_match,history_match,action_match,physics_match,online_timing_match,postselection_match,denominator_match,metric_match,compute_match,code_status,data_status,official_artifact_status,eligibility_class,exclusion_code,typed_null_reasons_json,external_same_task_eligible,numeric_result,external_rank,external_sota_vote,canonical_sha256
LIT-ROYER-2020,Stabilization of Finite-Energy Gottesman-Kitaev-Preskill States,Royer,2020,10.1103/physrevlett.125.260509,2009.07941,https://doi.org/10.1103/PhysRevLett.125.260509,,"[""Q1"",""Q4""]","[""ARXIV:2009.07941"",""DOI:10.1103/PhysRevLett.125.260509""]",[],doi:10.1103/physrevlett.125.260509,False,False,False,False,False,True,False,False,False,NO_OFFICIAL_EXECUTABLE_ARTIFACT_IDENTIFIED,NOT_REQUIRED_FOR_CONTEXT,INCOMPLETE,CONDITIONAL_SYSTEM_BASELINE,INCOMPATIBLE_NO_MEASUREMENT_AUTONOMOUS_PROTOCOL,"[""NO_OFFICIAL_EXECUTABLE_ARTIFACT"",""INCOMPATIBLE_ACTION_SPACE"",""METRIC_OR_DENOMINATOR_MISMATCH""]",False,,,False,2d51a20474407aab375857142f5fb759fd9aa7c71ccf51f6106ac3a0f4d27aec
LIT-CAMPAGNE-2020,Quantum error correction of a qubit encoded in grid states of an oscillator,Campagne-Ibarcq,2020,10.1038/s41586-020-2603-3,1907.12487,https://www.nature.com/articles/s41586-020-2603-3,,"[""Q1"",""Q4""]","[""ARXIV:1907.12487"",""DOI:10.1038/s41586-020-2603-3""]",[],doi:10.1038/s41586-020-2603-3,False,False,False,False,False,True,False,False,False,CODE_ON_REQUEST,DATA_ON_REQUEST,INCOMPLETE,EXTERNAL_PHYSICAL_CONTEXT,INCOMPATIBLE_EXPERIMENTAL_DEVICE_AND_METRIC,"[""CODE_ON_REQUEST"",""DATA_ON_REQUEST"",""INCOMPATIBLE_PHYSICS_BACKEND"",""METRIC_OR_DENOMINATOR_MISMATCH""]",False,,,False,8056c7df54fa8a9f2f32f0e43ff2ee31735292418ab838b9141e7e4e8d03ad91
LIT-WAN-2020,Memory-assisted decoder for approximate Gottesman-Kitaev-Preskill codes,Wan,2020,10.1103/physrevresearch.2.043280,1912.00829,https://doi.org/10.1103/PhysRevResearch.2.043280,,"[""Q2"",""Q4""]","[""ARXIV:1912.00829"",""DOI:10.1103/PhysRevResearch.2.043280""]",[],doi:10.1103/physrevresearch.2.043280,False,True,False,False,False,True,False,False,False,NO_OFFICIAL_EXECUTABLE_ARTIFACT_IDENTIFIED,PUBLIC_PAPER_ONLY,INCOMPLETE,ADJACENT_BAYESIAN_CONTEXT,DIFFERENT_EXTRACTION_AND_FINAL_ONLY_ACTION_PROTOCOL,"[""NO_OFFICIAL_EXECUTABLE_ARTIFACT"",""INCOMPATIBLE_ACTION_SPACE"",""METRIC_OR_DENOMINATOR_MISMATCH""]",False,,,False,386c14fa747eb27f8967184d5378a467ea8d47770ded9fe18367409e65e65600
LIT-DENEEVE-2022,Error correction of a logical grid state qubit by dissipative pumping,de Neeve,2022,10.1038/s41567-021-01487-7,2010.09681,https://www.nature.com/articles/s41567-021-01487-7,,"[""Q1"",""Q4""]","[""ARXIV:2010.09681"",""DOI:10.1038/s41567-021-01487-7""]",[],doi:10.1038/s41567-021-01487-7,False,False,False,False,False,True,False,False,False,CODE_ON_REQUEST,DATASET_CONTEXT_AVAILABLE,INCOMPLETE,EXTERNAL_PHYSICAL_CONTEXT,DIFFERENT_TRAPPED_ION_DISSIPATIVE_PROTOCOL,"[""CODE_ON_REQUEST"",""INCOMPATIBLE_ACTION_SPACE"",""INCOMPATIBLE_PHYSICS_BACKEND"",""METRIC_OR_DENOMINATOR_MISMATCH""]",False,,,False,e979291ca6775b19ef4c84cee83c2057dd1b123831c66d701acab427dc8da29b
LIT-NOH-2022,Low-overhead fault-tolerant quantum error correction with the surface-GKP code,Noh,2022,10.1103/prxquantum.3.010315,2103.06994,https://doi.org/10.1103/PRXQuantum.3.010315,,"[""Q2"",""Q4""]","[""ARXIV:2103.06994"",""DOI:10.1103/PRXQuantum.3.010315""]",[],doi:10.1103/prxquantum.3.010315,False,True,False,False,False,True,False,False,False,NO_SAME_HARNESS_EXECUTABLE_IDENTIFIED,PUBLIC_PAPER_ONLY,INCOMPLETE,EXCLUDED_DIFFERENT_CODE,DIFFERENT_MULTIMODE_SURFACE_GKP_CODE_AND_TASK,"[""DIFFERENT_CODE_OR_LOGICAL_DIMENSION"",""INCOMPATIBLE_ACTION_SPACE"",""METRIC_OR_DENOMINATOR_MISMATCH""]",False,,,False,56b55afa0785241cb1658eb8563b966718d053727f79859ecd91867bd39d7dff
LIT-WANG-2022,Multidimensional Bose quantum error correction based on neural network decoder,Wang,2022,10.1038/s41534-022-00650-z,,https://www.nature.com/articles/s41534-022-00650-z,,"[""Q2""]","[""DOI:10.1038/s41534-022-00650-z""]","[""LOCAL:LITERATURE_MATRIX:B09""]",doi:10.1038/s41534-022-00650-z,False,False,False,False,False,False,False,False,False,NO_OFFICIAL_EXECUTABLE_ARTIFACT_IDENTIFIED,ON_REQUEST,INCOMPLETE,EXCLUDED_OUTER_CODE_AND_MODEL,DIFFERENT_MULTIDIMENSIONAL_SURFACE_GKP_TASK,"[""DIFFERENT_CODE_OR_LOGICAL_DIMENSION"",""NO_OFFICIAL_EXECUTABLE_ARTIFACT"",""METRIC_OR_DENOMINATOR_MISMATCH""]",False,,,False,585f216c53feda48f44084ac9856a55ef5cd879328e4230064dba8b765a0bbec
LIT-SIVAK-2023,Real-time quantum error correction beyond break-even,Sivak,2023,10.1038/s41586-023-05782-6,2211.09116,https://www.nature.com/articles/s41586-023-05782-6,,"[""Q1"",""Q4""]","[""ARXIV:2211.09116"",""DOI:10.1038/s41586-023-05782-6""]",[],doi:10.1038/s41586-023-05782-6,False,False,False,False,False,True,False,False,False,CUSTOM_CODE_ON_REQUEST,DATA_ON_REQUEST,INCOMPLETE_FOR_COMMON_HARNESS,EXTERNAL_PHYSICAL_TARGET,REAL_DEVICE_GAIN_NOT_COMMON_SIMULATOR_RANK,"[""CODE_ON_REQUEST"",""DATA_ON_REQUEST"",""INCOMPATIBLE_PHYSICS_BACKEND"",""METRIC_OR_DENOMINATOR_MISMATCH""]",False,,,False,d12635243eee7901dfe4d2fa236267f8dffb539095043af902bb0f21befd3828
LIT-LACHANCE-2024,Autonomous Quantum Error Correction of Gottesman-Kitaev-Preskill States,Lachance-Quirion,2024,10.1103/physrevlett.132.150607,2310.11400,https://doi.org/10.1103/PhysRevLett.132.150607,,"[""Q1"",""Q4""]","[""ARXIV:2310.11400"",""DOI:10.1103/PhysRevLett.132.150607""]",[],doi:10.1103/physrevlett.132.150607,False,False,False,False,False,True,False,False,False,NO_OFFICIAL_EXECUTABLE_ARTIFACT_IDENTIFIED,PUBLICATION_CONTEXT,INCOMPLETE,EXTERNAL_AUTONOMOUS_PHYSICAL_CONTEXT,AUTONOMOUS_RESERVOIR_ENGINEERING_NOT_MEASUREMENT_FEEDBACK,"[""NO_OFFICIAL_EXECUTABLE_ARTIFACT"",""INCOMPATIBLE_ACTION_SPACE"",""INCOMPATIBLE_PHYSICS_BACKEND""]",False,,,False,72b51ee301eedaea5f6c102f53f9b953ec41396f6428bbd0f3f750ecd8e24774
LIT-PUVIANI-2025,Non-Markovian feedback for optimized quantum error correction,Puviani,2025,10.1103/physrevlett.134.020601,2312.07391,https://doi.org/10.1103/PhysRevLett.134.020601,https://github.com/Matteo-Puviani/GQF,"[""Q1"",""Q2"",""Q3"",""Q4"",""Q6""]","[""ARXIV:2312.07391"",""DOI:10.1103/PhysRevLett.134.020601""]","[""GITHUB:Matteo-Puviani/GQF""]",doi:10.1103/physrevlett.134.020601,False,True,False,False,False,True,False,False,False,OFFICIAL_REPOSITORY_PINNED,PAPER_RESULTS_ONLY,MISSING_CHECKPOINT_SEEDS_SELECTION_AND_SIX_STATE_EVALUATOR,ALGORITHM_PORT_CANDIDATE_OFFICIAL_SURPASS_BLOCKED,OFFICIAL_EXACT_AND_COMMON_HARNESS_INCOMPLETE,"[""MISSING_OFFICIAL_CHECKPOINT"",""MISSING_AGENT_SEED_LEDGER"",""MISSING_SELECTION_LEDGER"",""MISSING_SIX_STATE_EVALUATOR"",""INCOMPATIBLE_ACTION_SPACE"",""METRIC_OR_DENOMINATOR_MISMATCH""]",False,,,False,e814a5085f513fe2e37bf98dc09a00432b208fc728de3ecf66a5b03f858e4d0a
LIT-BROCK-2025,Quantum error correction of qudits beyond break-even,Brock,2025,10.1038/s41586-025-08899-y,2409.15065,https://www.nature.com/articles/s41586-025-08899-y,,"[""Q1"",""Q4""]","[""ARXIV:2409.15065"",""DOI:10.1038/s41586-025-08899-y""]",[],doi:10.1038/s41586-025-08899-y,False,False,False,False,False,True,False,False,False,EXPERIMENTAL_CUSTOM_CODE_NOT_COMMON_HARNESS,PUBLIC_ARTICLE,INCOMPLETE_FOR_QUBIT_SIX_STATE_TASK,EXTERNAL_DIFFERENT_LOGICAL_DIMENSION,GKP_QUTRIT_QUQUART_NOT_QUBIT_SIX_STATE,"[""DIFFERENT_CODE_OR_LOGICAL_DIMENSION"",""INCOMPATIBLE_PHYSICS_BACKEND"",""METRIC_OR_DENOMINATOR_MISMATCH""]",False,,,False,bfb4d31027397d3791e44d0bbae98d9b81591d4d3e76ca805314c08a7fd18d56
