record_type,record_id,parent_id,payload_json,payload_sha256
analysis_field,task_id,analysis,"""T9.2.1""",c3e7db19e1b779ee462bbe1666a84b4bd9d2f3a40aa4d55933c14a921653ed76
analysis_field,schema_version,analysis,"""t9.2.1-causal-twin-contract-report-v1""",fa049dc384d58689e475e819676ea04f880e60eb85562b297e55cf28938b7384
analysis_field,config_schema_version,analysis,"""t9.2.1-causal-twin-contract-config-v1""",cba0c4a94ccbc145bb89acaf8002c7d3b0ad021240e562ccbcdd3a0d88233837
analysis_field,protocol_id,analysis,"""PHASE9-CAUSAL-TWIN-CONTRACT-V1""",ebc0c742eef334c154a7dcb8d68e4ddbfe807d673a2ebcdeafc8ad5920c47f81
analysis_field,contract_status,analysis,"""FROZEN_PRE_BACKEND_PRE_CODEBOOK_PROTOCOL_ONLY""",1ad52af6caf7a2673641d533eb3d2bd4550bfc8e700434a23949118b213c060d
analysis_field,frozen_at,analysis,"""2026-07-25T06:00:00+08:00""",df923bdb49700e164ef04d831bb87ad68c955842f2ea654a6633dd4aed3dc725
analysis_field,parent_contract,analysis,"{""t9_1_1"":{""analysis_sha256"":""c88110375c358794339e72d672e4624871425fe480e5da091ddd1d6595255e18"",""protocol_id"":""PHASE9-THREE-INDEPENDENT-TASK-SIGNATURES-V1"",""report"":{""bytes"":74510,""path"":""docs/t9_1_1_three_lane_protocol.json"",""sha256"":""255c50ce677a1cae5475c2294177ceaab551bcbb5078ee2d49b358600a58f7a5""},""task_id"":""T9.1.1"",""verdict"":""PASS_PHASE9_THREE_INDEPENDENT_LANE_PROTOCOL_FROZEN""},""t9_1_5"":{""all_current_states_null"":true,""analysis_sha256"":""4623492481ca83cb4dddf571ffd934b940846c9fff87331bfb5b600500ac5941"",""protocol_id"":""PHASE9-SCOPED-CLAIM-AMENDMENT-V2"",""release_pin"":{""bytes"":1136,""path"":""configs/phase9/t9_1_5_release_pin.json"",""sha256"":""230bb93828015074e855abef7e7da46cbf1bd4c8d0f3af674939519ef73af268""},""release_pin_payload"":{""analysis_sha256"":""4623492481ca83cb4dddf571ffd934b940846c9fff87331bfb5b600500ac5941"",""config"":{""bytes"":37296,""path"":""configs/phase9/t9_1_5_scoped_claim_amendment.json"",""sha256"":""61cf10d77682d0165059576f14545ba591031706df1ed707901ca0beb8b807d6""},""implementation"":{""bytes"":92463,""path"":""cnn_fpga/benchmark/phase9_scoped_claim_amendment.py"",""sha256"":""f8ea11bd28c5ee7e2c77e4e1f95828961422b6b3c34e24a19bfff308cc365c99""},""markdown"":{""bytes"":11868,""path"":""docs/phase9_scoped_claim_amendment.md"",""sha256"":""f6619fa3a80516fc45b3af1c945157237340e61fbcf7a8e32b035757ad6e64f7""},""protocol_id"":""PHASE9-SCOPED-CLAIM-AMENDMENT-V2"",""report"":{""bytes"":113375,""path"":""docs/t9_1_5_scoped_claim_amendment.json"",""sha256"":""ccf8daf1e69688c5e15eb8649ecba6104f768cb1ac9bcc8e80f9b7c16c561ea3""},""schema_version"":""t9.1.5-release-pin-v1"",""source_data"":{""bytes"":181360,""path"":""docs/t9_1_5_scoped_claim_amendment_source_data.csv"",""sha256"":""17b38bae5a7e091eae4cd397ef37058a75697ecf163ae684ba0ad2a09bcce056""},""task_id"":""T9.1.5""},""task_id"":""T9.1.5"",""verdict"":""PASS_T9_1_5_PARENT_BOUND_SCOPED_CLAIM_AMENDMENT""}}",0543154353d6b6b89401fde5f181170fe68687e6b3a029e26889e3e457293278
analysis_field,parent_summary,analysis,"{""ordered_consumer_checks"":{""match_t9_1_1_analysis_and_byte_binding"":true,""match_t9_1_5_release_pin_payload_and_byte_binding"":true,""retain_all_parent_claims_as_null"":true,""verify_t9_1_1_live"":true,""verify_t9_1_5_with_canonical_release_pin"":true},""t9_1_1"":{""analysis_sha256"":""c88110375c358794339e72d672e4624871425fe480e5da091ddd1d6595255e18"",""protocol_id"":""PHASE9-THREE-INDEPENDENT-TASK-SIGNATURES-V1"",""report"":{""bytes"":74510,""path"":""docs/t9_1_1_three_lane_protocol.json"",""sha256"":""255c50ce677a1cae5475c2294177ceaab551bcbb5078ee2d49b358600a58f7a5""},""task_id"":""T9.1.1"",""verdict"":""PASS_PHASE9_THREE_INDEPENDENT_LANE_PROTOCOL_FROZEN""},""t9_1_5"":{""all_current_states_null"":true,""analysis_sha256"":""4623492481ca83cb4dddf571ffd934b940846c9fff87331bfb5b600500ac5941"",""protocol_id"":""PHASE9-SCOPED-CLAIM-AMENDMENT-V2"",""release_pin"":{""bytes"":1136,""path"":""configs/phase9/t9_1_5_release_pin.json"",""sha256"":""230bb93828015074e855abef7e7da46cbf1bd4c8d0f3af674939519ef73af268""},""release_pin_payload"":{""analysis_sha256"":""4623492481ca83cb4dddf571ffd934b940846c9fff87331bfb5b600500ac5941"",""config"":{""bytes"":37296,""path"":""configs/phase9/t9_1_5_scoped_claim_amendment.json"",""sha256"":""61cf10d77682d0165059576f14545ba591031706df1ed707901ca0beb8b807d6""},""implementation"":{""bytes"":92463,""path"":""cnn_fpga/benchmark/phase9_scoped_claim_amendment.py"",""sha256"":""f8ea11bd28c5ee7e2c77e4e1f95828961422b6b3c34e24a19bfff308cc365c99""},""markdown"":{""bytes"":11868,""path"":""docs/phase9_scoped_claim_amendment.md"",""sha256"":""f6619fa3a80516fc45b3af1c945157237340e61fbcf7a8e32b035757ad6e64f7""},""protocol_id"":""PHASE9-SCOPED-CLAIM-AMENDMENT-V2"",""report"":{""bytes"":113375,""path"":""docs/t9_1_5_scoped_claim_amendment.json"",""sha256"":""ccf8daf1e69688c5e15eb8649ecba6104f768cb1ac9bcc8e80f9b7c16c561ea3""},""schema_version"":""t9.1.5-release-pin-v1"",""source_data"":{""bytes"":181360,""path"":""docs/t9_1_5_scoped_claim_amendment_source_data.csv"",""sha256"":""17b38bae5a7e091eae4cd397ef37058a75697ecf163ae684ba0ad2a09bcce056""},""task_id"":""T9.1.5""},""task_id"":""T9.1.5"",""verdict"":""PASS_T9_1_5_PARENT_BOUND_SCOPED_CLAIM_AMENDMENT""}}",fc9f622f48a05c337bfb95899b4f865d1c2a6aa0d07d3d7cc20f55897dfff546
analysis_field,model_scope,analysis,"{""codebook_released"":false,""frontend_released"":false,""kind"":""EXECUTABLE_CAUSAL_INTERFACE_AND_TOTAL_RECURRENCE"",""performance_evaluated"":false,""physics_backend_qualified"":false,""rtl_adapter_qualified"":false}",3f488bdf2f9125123a17c108a89f996d13043265b5be074e85c5f9cec415c7d6
analysis_field,claim_boundary,analysis,"{""allowed"":""finite observed-only interface contract; exhaustive factorised map totality; deterministic fail-closed semantics"",""forbidden"":[""high_fidelity_twin_qualified"",""final_recovery_codebook"",""current_rtl_wire_compatibility"",""measured_fpga_or_hil"",""logical_error_rate_or_lifetime_gain"",""official_or_puviani_surpass"",""external_sota_or_rank""]}",81a95ee622ec3afe74c8453426bccec40d2fdbf65daabd7b1ab38e86883fba8e
