section,key,value,unit_or_scope
metric,choi_dimension,6,synthetic qualification
metric,choi_minimum_eigenvalue,-2.512790289381488e-19,synthetic qualification
metric,choi_trace,6.0,synthetic qualification
metric,choi_tp_frobenius,0.0,synthetic qualification
metric,choi_hermiticity_frobenius,0.0,synthetic qualification
metric,full_round_trace_error,1.1102230246251565e-16,synthetic qualification
metric,full_round_hermiticity_frobenius,0.0,synthetic qualification
metric,full_round_minimum_eigenvalue,-5.910709039511469e-17,synthetic qualification
metric,measurement_completeness_frobenius,0.0,synthetic qualification
metric,reset_completeness_frobenius,0.0,synthetic qualification
metric,full_round_posterior_sum_error,0.0,synthetic qualification
metric,full_round_code_survival,0.9933041874403618,synthetic qualification
metric,zero_noise_idle_trace_distance,0.0,synthetic qualification
metric,ideal_action_trace_distance,1.1359626789360622e-05,synthetic qualification
metric,large_reset_g_probability,1.0,synthetic qualification
metric,failed_reset_f_probability,1.0,synthetic qualification
metric,no_reset_f_persistence_probability,1.0,synthetic qualification
metric,measurement_coherence_before,0.5000000000000001,synthetic qualification
metric,measurement_coherence_after,4.800892238919265e-61,synthetic qualification
metric,measurement_posterior_peak,1.0,synthetic qualification
metric,syndrome_fock0_vs_fock1_level_tv,0.16485388000772538,synthetic qualification
metric,syndrome_oscillator_backaction_trace_distance,0.20950402581306124,synthetic qualification
metric,action_induced_f_population_difference,0.5149209876071686,synthetic qualification
metric,action_intervention_state_trace_distance,0.12514125204297571,synthetic qualification
metric,action_intervention_drift_l2,0.0034263683398023624,synthetic qualification
metric,action_intervention_shared_exogenous,True,synthetic qualification
metric,seed_repeat_density_max_error,0.0,synthetic qualification
metric,seed_repeat_iq_max_error,0.0,synthetic qualification
metric,different_seed_iq_max_difference,1.4224970346068746,synthetic qualification
metric,step_size_8_vs_16_trace_distance,0.0005483024791109953,synthetic qualification
metric,step_size_16_vs_32_trace_distance,0.00013649778174586633,synthetic qualification
metric,step_size_error_ratio,0.24894613273895935,synthetic qualification
metric,fock_cutoff_8_vs_12_trace_distance,1.209910083970294e-10,synthetic qualification
metric,six_state_initial_minimum_fidelity,0.9999999999999998,synthetic qualification
check,gksl_channel_cp,true,boolean
check,gksl_channel_tp,true,boolean
check,gksl_choi_hermitian,true,boolean
check,full_round_trace,true,boolean
check,full_round_hermiticity,true,boolean
check,full_round_positive,true,boolean
check,measurement_instrument_complete,true,boolean
check,reset_instrument_complete,true,boolean
check,probabilities_normalized,true,boolean
check,logical_tracking_finite,true,boolean
check,zero_noise_idle_limit,true,boolean
check,ideal_action_limit,true,boolean
check,large_reset_limit,true,boolean
check,reset_failure_preserves_f,true,boolean
check,f_state_persistence,true,boolean
check,iq_drives_measurement_backaction,true,boolean
check,ramsey_syndrome_state_dependence,true,boolean
check,syndrome_measurement_backacts_on_oscillator,true,boolean
check,action_induces_physical_f_population,true,boolean
check,action_changes_quantum_transition,true,boolean
check,action_changes_latent_drift,true,boolean
check,intervention_uses_common_randomness,true,boolean
check,seed_determinism,true,boolean
check,different_seed_changes_observation,true,boolean
check,step_size_convergence,true,boolean
check,fock_cutoff_convergence,true,boolean
check,six_state_logical_projection,true,boolean
gate,G01_identity,true,boolean
gate,G02_parent_live,true,boolean
gate,G03_config_live,true,boolean
gate,G04_source_live,true,boolean
gate,G05_backend_verdict,true,boolean
gate,G06_all_physics_checks,true,boolean
gate,G07_cp_tp,true,boolean
gate,G08_density_physical,true,boolean
gate,G09_instruments_complete,true,boolean
gate,G10_physical_limits,true,boolean
gate,G11_iq_backaction,true,boolean
gate,G12_leakage_reset,true,boolean
gate,G13_action_quantum,true,boolean
gate,G14_action_drift,true,boolean
gate,G15_rng_causal,true,boolean
gate,G16_convergence,true,boolean
gate,G17_logical_evaluator,true,boolean
gate,G18_analog_boundary,true,boolean
gate,G19_claims_null,true,boolean
gate,G20_backend_a_only,true,boolean
mutation,M01_identity,true,G01_identity
mutation,M02_parent_hash,true,G02_parent_live
mutation,M03_config_hash,true,G03_config_live
mutation,M04_source_hash,true,G04_source_live
mutation,M05_verdict,true,G05_backend_verdict
mutation,M06_check,true,G06_all_physics_checks
mutation,M07_cp,true,G07_cp_tp
mutation,M08_density,true,G08_density_physical
mutation,M09_reset_complete,true,G09_instruments_complete
mutation,M10_limit,true,G10_physical_limits
mutation,M11_iq_label_only,true,G11_iq_backaction
mutation,M12_f_persistence,true,G12_leakage_reset
mutation,M13_action_label_only,true,G13_action_quantum
mutation,M14_action_no_drift,true,G14_action_drift
mutation,M15_no_crn,true,G15_rng_causal
mutation,M16_no_convergence,true,G16_convergence
mutation,M17_no_six_state,true,G17_logical_evaluator
mutation,M18_relabel_live,true,G18_analog_boundary
mutation,M19_fill_claim,true,G19_claims_null
mutation,M20_dual_promote,true,G20_backend_a_only
typed_null_claim,backend_b_qualified,null,not qualified
typed_null_claim,dual_backend_agreement,null,not qualified
typed_null_claim,round_ler,null,not qualified
typed_null_claim,six_state_lifetime,null,not qualified
typed_null_claim,physical_break_even,null,not qualified
typed_null_claim,official_puviani_exact,null,not qualified
typed_null_claim,puviani_nmf_surpass,null,not qualified
typed_null_claim,external_sota,null,not qualified
typed_null_claim,hardware_measured,null,not qualified
typed_null_claim,rank,null,not qualified
