section,key,value,unit_or_scope
metric,choi_dimension,6,synthetic qualification
metric,choi_minimum_eigenvalue,-2.159762660136423e-19,synthetic qualification
metric,choi_tp_frobenius,4.440892098500626e-16,synthetic qualification
metric,choi_hermiticity_frobenius,0.0,synthetic qualification
metric,full_round_trace_error,0.0,synthetic qualification
metric,full_round_minimum_eigenvalue,-1.1934817213937223e-25,synthetic qualification
metric,full_round_hermiticity_frobenius,0.0,synthetic qualification
metric,measurement_completeness,0.0,synthetic qualification
metric,reset_completeness,0.0,synthetic qualification
metric,maximum_channel_completeness_error,5.768888059150692e-16,synthetic qualification
metric,analytic_loss_mean_error,4.440892098500626e-16,synthetic qualification
metric,analytic_relaxation_population_error,0.0,synthetic qualification
metric,zero_noise_idle_trace_distance,0.0,synthetic qualification
metric,ideal_action_trace_distance,1.1359626789373602e-05,synthetic qualification
metric,large_reset_g_probability,1.0,synthetic qualification
metric,failed_reset_f_probability,1.0,synthetic qualification
metric,no_reset_f_probability,1.0,synthetic qualification
metric,measurement_coherence_ratio,2.7677930534735533e-87,synthetic qualification
metric,measurement_posterior_peak,1.0,synthetic qualification
metric,syndrome_fock0_vs_fock1_level_tv,0.16483669996046585,synthetic qualification
metric,syndrome_oscillator_backaction_trace_distance,0.2091131444027155,synthetic qualification
metric,action_induced_f_population_difference,0.514680051403045,synthetic qualification
metric,action_intervention_state_trace_distance,0.11347382878926845,synthetic qualification
metric,action_intervention_drift_l2,0.003426368339802363,synthetic qualification
metric,action_intervention_shared_random_record,True,synthetic qualification
metric,seed_replay_density_error,0.0,synthetic qualification
metric,seed_replay_iq_error,0.0,synthetic qualification
metric,different_seed_iq_difference,1.196329398039481,synthetic qualification
metric,split_8_vs_16_trace_distance,0.0005483024791109979,synthetic qualification
metric,split_16_vs_32_trace_distance,0.00013649778174596382,synthetic qualification
metric,split_error_ratio,0.248946132739136,synthetic qualification
metric,fock_cutoff_8_vs_12_trace_distance,1.1890732783778119e-10,synthetic qualification
metric,six_state_initial_minimum_fidelity,0.9999999999999999,synthetic qualification
check,split_channel_cp,true,boolean
check,split_channel_tp,true,boolean
check,split_channel_hermitian,true,boolean
check,full_round_trace,true,boolean
check,full_round_positive,true,boolean
check,full_round_hermitian,true,boolean
check,analytic_channels_complete,true,boolean
check,measurement_instrument_complete,true,boolean
check,reset_instrument_complete,true,boolean
check,pure_loss_closed_form,true,boolean
check,relaxation_closed_form,true,boolean
check,zero_noise_idle_limit,true,boolean
check,ideal_action_limit,true,boolean
check,large_reset_limit,true,boolean
check,failed_reset_preserves_f,true,boolean
check,f_state_persistence,true,boolean
check,iq_kraus_backaction,true,boolean
check,ramsey_syndrome_state_dependence,true,boolean
check,syndrome_backacts_on_oscillator,true,boolean
check,action_induces_f_population,true,boolean
check,action_changes_quantum_state,true,boolean
check,action_changes_drift,true,boolean
check,common_random_record_intervention,true,boolean
check,seed_determinism,true,boolean
check,seed_sensitivity,true,boolean
check,split_step_convergence,true,boolean
check,fock_cutoff_convergence,true,boolean
check,independent_six_state_logical_projection,true,boolean
gate,G01_identity_and_config,true,boolean
gate,G02_parent_contract_bound,true,boolean
gate,G03_backend_a_evidence_bound,true,boolean
gate,G04_live_source_hashes,true,boolean
gate,G05_static_runtime_isolation,true,boolean
gate,G06_mechanism_ids_are_distinct,true,boolean
gate,G07_backend_b_qualification_verdict,true,boolean
gate,G08_all_physics_checks_pass,true,boolean
gate,G09_independent_closed_forms,true,boolean
gate,G10_cp_tp_and_full_physicality,true,boolean
gate,G11_instruments_complete,true,boolean
gate,G12_zero_noise_and_reset_limits,true,boolean
gate,G13_iq_is_likelihood_plus_backaction,true,boolean
gate,G14_action_changes_state_leakage_drift,true,boolean
gate,G15_rng_replay_and_sensitivity,true,boolean
gate,G16_step_and_cutoff_convergence,true,boolean
gate,G17_independent_six_state_projection,true,boolean
gate,G18_truth_future_forbidden,true,boolean
gate,G19_analog_boundary,true,boolean
gate,G20_all_claims_typed_null,true,boolean
gate,G21_negative_claims_complete,true,boolean
gate,G22_synthetic_provenance_explicit,true,boolean
mutation,M01_task,true,G01_identity_and_config
mutation,M02_parent,true,G02_parent_contract_bound
mutation,M03_a_binding,true,G03_backend_a_evidence_bound
mutation,M04_source,true,G04_live_source_hashes
mutation,M05_isolation,true,G05_static_runtime_isolation
mutation,M06_ids,true,G06_mechanism_ids_are_distinct
mutation,M07_verdict,true,G07_backend_b_qualification_verdict
mutation,M08_check,true,G08_all_physics_checks_pass
mutation,M09_formula,true,G09_independent_closed_forms
mutation,M10_cp,true,G10_cp_tp_and_full_physicality
mutation,M11_instrument,true,G11_instruments_complete
mutation,M12_limit,true,G12_zero_noise_and_reset_limits
mutation,M13_iq,true,G13_iq_is_likelihood_plus_backaction
mutation,M14_action,true,G14_action_changes_state_leakage_drift
mutation,M15_rng,true,G15_rng_replay_and_sensitivity
mutation,M16_convergence,true,G16_step_and_cutoff_convergence
mutation,M17_logical,true,G17_independent_six_state_projection
mutation,M18_truth,true,G18_truth_future_forbidden
mutation,M19_analog,true,G19_analog_boundary
mutation,M20_claim,true,G20_all_claims_typed_null
mutation,M21_negative,true,G21_negative_claims_complete
mutation,M22_provenance,true,G22_synthetic_provenance_explicit
typed_null_claim,backend_a_b_agreement,null,not qualified
typed_null_claim,dual_backend_qualified,null,not qualified
typed_null_claim,round_ler,null,not qualified
typed_null_claim,six_state_lifetime,null,not qualified
typed_null_claim,physical_break_even,null,not qualified
typed_null_claim,official_puviani_exact,null,not qualified
typed_null_claim,puviani_nmf_surpass,null,not qualified
typed_null_claim,external_sota,null,not qualified
typed_null_claim,hardware_measured,null,not qualified
typed_null_claim,rank,null,not qualified
