row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,confirmation_cutoff,convergence_member,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,density_index,integrated_i,integrated_q,log_evidence,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,leakage_resident,leakage_age,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,posterior_normalization_error,level_normalization_error,conservation_pass,exception_type,exception_message
shared|c8|vacuum_g|IDLE|A|p000,PHASE9-DUAL-BACKEND-ROUND-LEDGER-V1,shared,shared|vacuum_g|IDLE,shared|vacuum_g|IDLE|cutoff=8,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,8,False,True,920000,0,,0,True,IDLE,,,vacuum_g,,NUMPY_SEEDSEQUENCE_ADDRESSED,0,-0.8657061753650328,0.2374263021373453,-8.404255408252926,0.9999999999999986,6.601651857028477e-26,1.4902339414360963e-15,0.9999999999999986,6.601651857028477e-26,1.4902339414360963e-15,0.0,False,False,none,False,0,0.00029127243075674036,0.0007097065836785459,0.0003784524418691817,-0.0004306250184325476,-0.0009781718156009742,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,0.0,0.0,True,,
shared|c8|vacuum_g|IDLE|A|p001,PHASE9-DUAL-BACKEND-ROUND-LEDGER-V1,shared,shared|vacuum_g|IDLE,shared|vacuum_g|IDLE|cutoff=8,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,8,False,True,920001,1,,0,True,IDLE,,,vacuum_g,,NUMPY_SEEDSEQUENCE_ADDRESSED,1,-0.9670996727930379,0.10813466943951407,-6.960957728147166,1.0,1.6610621560323285e-28,4.2805022371129125e-19,1.0,1.6610621560323285e-28,4.2805022371129125e-19,0.0,False,False,none,False,0,-0.002269843716659251,0.00022273420822868368,-0.002058751562015022,-0.00421410522441858,-3.393832847711786e-05,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,True,,
shared|c8|vacuum_g|IDLE|A|p002,PHASE9-DUAL-BACKEND-ROUND-LEDGER-V1,shared,shared|vacuum_g|IDLE,shared|vacuum_g|IDLE|cutoff=8,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,8,False,True,920002,2,,0,True,IDLE,,,vacuum_g,,NUMPY_SEEDSEQUENCE_ADDRESSED,2,-0.7864762397218306,0.23470426629819555,-10.674990048918469,0.9999999999999861,7.09164086581418e-24,1.3854695899126856e-14,0.9999999999999861,7.09164086581418e-24,1.3854695899126856e-14,0.0,False,False,none,False,0,-0.0007773543230399981,0.003954284390466598,0.003541666716840357,-0.002022039317820677,0.00010835114286841953,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,0.0,0.0,True,,
shared|c8|vacuum_g|IDLE|A|p003,PHASE9-DUAL-BACKEND-ROUND-LEDGER-V1,shared,shared|vacuum_g|IDLE,shared|vacuum_g|IDLE|cutoff=8,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,8,False,True,920003,3,,0,True,IDLE,,,vacuum_g,,NUMPY_SEEDSEQUENCE_ADDRESSED,3,-0.7401641382239983,0.011631864436391508,-9.688045293232358,1.0,1.0913844165230795e-22,7.358269557318069e-18,1.0,1.0913844165230795e-22,7.358269557318069e-18,0.0,False,False,none,False,0,0.0006979663816195827,0.001100396079031045,-0.0020204826614813975,-0.0040614096403743275,0.0010320508530375881,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,True,,
shared|c8|vacuum_g|IDLE|A|p004,PHASE9-DUAL-BACKEND-ROUND-LEDGER-V1,shared,shared|vacuum_g|IDLE,shared|vacuum_g|IDLE|cutoff=8,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,8,False,True,920004,4,,0,True,IDLE,,,vacuum_g,,NUMPY_SEEDSEQUENCE_ADDRESSED,4,-0.6597475090798355,-0.022663565468355414,-8.658505770552198,1.0,1.2574573752691408e-20,2.0081453524235443e-17,1.0,1.2574573752691408e-20,2.0081453524235443e-17,0.0,False,False,none,False,0,-0.00037977865983546756,0.0006693824578775709,0.0053467136258481,-0.001461962342565595,0.000985080221913541,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,True,,
shared|c8|vacuum_g|IDLE|A|p005,PHASE9-DUAL-BACKEND-ROUND-LEDGER-V1,shared,shared|vacuum_g|IDLE,shared|vacuum_g|IDLE|cutoff=8,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,8,False,True,920005,5,,0,True,IDLE,,,vacuum_g,,NUMPY_SEEDSEQUENCE_ADDRESSED,5,-0.7123065346533823,-0.3132750130069374,-15.132363708930335,1.0,5.650926026518134e-22,3.8853938350828364e-23,1.0,5.650926026518134e-22,3.8853938350828364e-23,0.0,False,False,none,False,0,0.0007415158822246591,0.0002753602576113465,-0.001447312983041559,-0.0003981436581775599,0.0014208881660948663,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,True,,
shared|c8|vacuum_g|IDLE|A|p006,PHASE9-DUAL-BACKEND-ROUND-LEDGER-V1,shared,shared|vacuum_g|IDLE,shared|vacuum_g|IDLE|cutoff=8,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,8,False,True,920006,6,,0,True,IDLE,,,vacuum_g,,NUMPY_SEEDSEQUENCE_ADDRESSED,6,-0.8729012137983624,-0.08149633506551814,-12.950241216956645,1.0,4.317224717642342e-26,3.551364961009427e-21,1.0,4.317224717642342e-26,3.551364961009427e-21,0.0,False,False,none,False,0,-0.0038169391035539554,-0.003982454962273856,0.00010566163438071006,-0.0008037519277873763,-0.0015685830455734215,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,True,,
shared|c8|vacuum_g|IDLE|A|p007,PHASE9-DUAL-BACKEND-ROUND-LEDGER-V1,shared,shared|vacuum_g|IDLE,shared|vacuum_g|IDLE|cutoff=8,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,8,False,True,920007,7,,0,True,IDLE,,,vacuum_g,,NUMPY_SEEDSEQUENCE_ADDRESSED,7,-0.8454051721474074,0.30799846121129365,-11.886688019245035,0.9999999999999546,2.188153226907551e-25,4.542579825607236e-14,0.9999999999999546,2.188153226907551e-25,4.542579825607236e-14,0.0,False,False,none,False,0,0.0007372267410003825,-0.00019445919518033906,0.00022927126588496966,0.0006147418388246582,-0.0005650772721934767,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,True,,
shared|c8|vacuum_g|IDLE|A|p008,PHASE9-DUAL-BACKEND-ROUND-LEDGER-V1,shared,shared|vacuum_g|IDLE,shared|vacuum_g|IDLE|cutoff=8,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,8,False,True,920008,8,,0,True,IDLE,,,vacuum_g,,NUMPY_SEEDSEQUENCE_ADDRESSED,8,-0.6708336094013436,-0.28500559883323934,-17.29305775792445,1.0,6.5357620628669445e-21,4.0856465089365425e-22,1.0,6.5357620628669445e-21,4.0856465089365425e-22,0.0,False,False,none,False,0,0.0027052788206369262,-0.000623368789282412,-0.00098948117402259,0.00011504557972818628,-0.0005405444864513857,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,True,,
shared|c8|vacuum_g|IDLE|A|p009,PHASE9-DUAL-BACKEND-ROUND-LEDGER-V1,shared,shared|vacuum_g|IDLE,shared|vacuum_g|IDLE|cutoff=8,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,8,False,True,920009,9,,0,True,IDLE,,,vacuum_g,,NUMPY_SEEDSEQUENCE_ADDRESSED,9,-0.4349964485202965,-0.08920360408041986,-10.568725553454101,0.9999999999999917,7.262483999939164e-15,1.0707277103432548e-15,0.9999999999999917,7.262483999939164e-15,1.0707277103432548e-15,0.0,False,False,none,False,0,-0.0007044679994948443,0.0006765348537243935,-0.0023813522132863853,2.2124043972133352e-05,-0.0009521594296088089,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,0.0,0.0,True,,
shared|c8|vacuum_g|IDLE|A|p010,PHASE9-DUAL-BACKEND-ROUND-LEDGER-V1,shared,shared|vacuum_g|IDLE,shared|vacuum_g|IDLE|cutoff=8,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,8,False,True,920010,10,,0,True,IDLE,,,vacuum_g,,NUMPY_SEEDSEQUENCE_ADDRESSED,10,-0.8211420402908008,0.13507690322430776,-8.808374884856303,0.9999999999999999,9.16376085498239e-25,9.323106353822433e-17,0.9999999999999999,9.16376085498239e-25,9.323106353822433e-17,0.0,False,False,none,False,0,0.0008464283081668484,0.0011963589561489205,-0.000597826599108282,-0.00014457016902648463,0.0013378197618778424,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,0.0,0.0,True,,
shared|c8|vacuum_g|IDLE|A|p011,PHASE9-DUAL-BACKEND-ROUND-LEDGER-V1,shared,shared|vacuum_g|IDLE,shared|vacuum_g|IDLE|cutoff=8,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,8,False,True,920011,11,,0,True,IDLE,,,vacuum_g,,NUMPY_SEEDSEQUENCE_ADDRESSED,11,-0.9489792630708404,0.032281783005605275,-12.224608027622859,1.0,4.840726288632134e-28,3.5346394654900663e-20,1.0,4.840726288632134e-28,3.5346394654900663e-20,0.0,False,False,none,False,0,0.0006525912911955333,0.002033565483637382,0.0027431599815722083,-0.001261882516145153,-0.00024715743617222845,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,True,,
