case,detection_wilson_lcb,detection_wilson_ucb,deterministic,effect_ratio,family,metric,point,power_gate_pass,round_count,row_type,stage,successes,trajectory_count,trials,wilson_lcb,wilson_ucb
same_backend_a,,,,0.0,all,,0.32375,,128,null_power,,1295,96,4000,0.3094247853538528,0.33841341840576705
same_backend_b,,,,0.0,all,,0.32675,,128,null_power,,1307,96,4000,0.31238727924325815,0.3414451678566235
ab_zero_effect,,,,0.0,all,,0.33225,,128,null_power,,1329,96,4000,0.317820266980664,0.3470016262430309
ancilla_label_permutation,0.9990405567102987,1.0,,1.5,reset_leakage,,0.0,True,128,alternative_power,,0,96,4000,5.421010862427522e-20,0.0009594432897014865
cutoff_tail_not_converged,0.9981786448985418,0.9998628712550467,,1.25,cutoff_mapping,,0.0005,True,128,alternative_power,,2,96,4000,0.00013712874495346754,0.0018213551014583176
density_amplitude_factor_two,0.9990405567102987,1.0,,2.0,likelihood_score_posterior,,0.0,True,128,alternative_power,,0,96,4000,5.421010862427522e-20,0.0009594432897014865
gain_jacobian_omitted,0.9990405567102987,1.0,,1.5,likelihood_score_posterior,,0.0,True,128,alternative_power,,0,96,4000,5.421010862427522e-20,0.0009594432897014865
normalization_missing_sample_count,0.9990405567102987,1.0,,2.0,likelihood_score_posterior,,0.0,True,128,alternative_power,,0,96,4000,5.421010862427522e-20,0.0009594432897014865
per_sample_latent_redraw,0.9990405567102987,1.0,,1.5,iq_conditional_distribution,,0.0,True,128,alternative_power,,0,96,4000,5.421010862427522e-20,0.0009594432897014865
posterior_temperature,0.9981786448985418,0.9998628712550467,,1.25,likelihood_score_posterior,,0.0005,True,128,alternative_power,,2,96,4000,0.00013712874495346754,0.0018213551014583176
readout_center_axis_swap,0.9990405567102987,1.0,,1.5,iq_conditional_distribution,,0.0,True,128,alternative_power,,0,96,4000,5.421010862427522e-20,0.0009594432897014865
sigma_as_variance,0.9990405567102987,1.0,,1.5,iq_conditional_distribution,,0.0,True,128,alternative_power,,0,96,4000,5.421010862427522e-20,0.0009594432897014865
terminal_unit_mixing,0.9990405567102987,1.0,,1.5,fault_trajectory_tail,,0.0,True,128,alternative_power,,0,96,4000,5.421010862427522e-20,0.0009594432897014865
all_power_gates,,,,,all,,,False,128,candidate_decision,,,96,4000,,
same_backend_a,,,,0.0,all,,0.421,,128,null_power,,1684,192,4000,0.40578270339965505,0.4363688886401178
same_backend_b,,,,0.0,all,,0.42325,,128,null_power,,1693,192,4000,0.40801956643462983,0.4386277081103395
ab_zero_effect,,,,0.0,all,,0.422,,128,null_power,,1688,192,4000,0.40677682461542924,0.4373728485377643
ancilla_label_permutation,0.9990405567102987,1.0,,1.5,reset_leakage,,0.0,True,128,alternative_power,,0,192,4000,5.421010862427522e-20,0.0009594432897014865
