record_type,record_id,family,metric,passed,detail
audit_gate,G01_task_and_schema_identity,,,True,
audit_gate,G02_manifest_execution_self_hash,,,True,
audit_gate,G03_report_verification_self_hash,,,True,
audit_gate,G04_release_and_lineage_self_hash,,,True,
audit_gate,G05_report_byte_bindings_live,,,True,
audit_gate,G06_verification_byte_bindings_live,,,True,
audit_gate,G07_manifest_input_bindings_live,,,True,
audit_gate,G08_complete_row_denominator,,,True,
audit_gate,G09_ledger_binding_recomputed,,,True,
audit_gate,G10_zero_exception_rows,,,True,
audit_gate,G11_all_rows_conserve_and_finite,,,True,
audit_gate,G12_ledger_header_independently_bound,,,True,
audit_gate,G13_attempt_hash_chain_complete,,,True,
audit_gate,G14_attempt_chunks_complete,,,True,
audit_gate,G15_attempt_prefix_manifest_binding,,,True,
audit_gate,G16_final_event_binds_outputs,,,True,
audit_gate,G17_archive_manifest_and_crc,,,True,
audit_gate,G18_archive_chunk_and_row_accounting,,,True,
audit_gate,G19_every_archived_chunk_hash_live,,,True,
audit_gate,G20_gate_ledger_complete_unique,,,True,
audit_gate,G21_gate_blueprint_exact,,,True,
audit_gate,G22_gate_bound_and_direction_recomputed,,,True,
audit_gate,G23_exact_gate_outcome,,,True,
audit_gate,G24_family_totals_exact,,,True,
audit_gate,G25_failure_family_counts_exact,,,True,
audit_gate,G26_failed_gate_ids_exact,,,True,
audit_gate,G27_no_postselection,,,True,
audit_gate,G28_raw_log_evidence_diagnostic_only,,,True,
audit_gate,G29_scientific_no_go_not_incomplete,,,True,
audit_gate,G30_no_go_releases_nothing,,,True,
audit_gate,G31_all_claims_literal_null,,,True,
audit_gate,G32_qualified_claim_literal_null,,,True,
audit_gate,G33_no_go_release_analysis_null,,,True,
audit_gate,G34_verification_binds_qualification_analysis,,,True,
audit_gate,G35_release_pin_byte_identical,,,True,
audit_gate,G36_historical_no_go_preserved,,,True,
audit_gate,G37_no_old_cell_or_runtime_import,,,True,
audit_gate,G38_independent_semantic_receipt_complete,,,True,
audit_gate,G39_gate_source_copy_byte_identical,,,True,
audit_gate,G40_large_evidence_lfs_tracked,,,True,
semantic_mutation,M01_manifest_hash,,manifest_self_hash,True,G02_manifest_execution_self_hash
semantic_mutation,M02_report_hash,,qualification_self_hash,True,G03_report_verification_self_hash
semantic_mutation,M03_release_hash,,release_self_hash,True,G04_release_and_lineage_self_hash
semantic_mutation,M04_binding_tamper,,report_bindings_match,True,G05_report_byte_bindings_live
semantic_mutation,M05_drop_row,,row_count,True,G08_complete_row_denominator
semantic_mutation,M06_duplicate_row,,row_unique,True,G08_complete_row_denominator
semantic_mutation,M07_hide_exception,,ledger_exception_rows,True,G10_zero_exception_rows
semantic_mutation,M08_conservation_failure,,ledger_conservation_rows,True,G11_all_rows_conserve_and_finite
semantic_mutation,M09_nan_row,,ledger_mandatory_nonfinite,True,G11_all_rows_conserve_and_finite
semantic_mutation,M10_header_drift,,ledger_header_sha256,True,G12_ledger_header_independently_bound
semantic_mutation,M11_attempt_chain,,attempt_chain_valid,True,G13_attempt_hash_chain_complete
semantic_mutation,M12_attempt_index,,attempt_indexes_valid,True,G13_attempt_hash_chain_complete
semantic_mutation,M13_run_error,,attempt_run_errors,True,G13_attempt_hash_chain_complete
semantic_mutation,M14_drop_chunk,,attempt_chunk_count,True,G14_attempt_chunks_complete
semantic_mutation,M15_chunk_rows,,attempt_chunk_rows,True,G14_attempt_chunks_complete
semantic_mutation,M16_prefix_hash,,attempt_prefix_sha256,True,G15_attempt_prefix_manifest_binding
semantic_mutation,M17_final_binding,,final_bindings_match,True,G16_final_event_binds_outputs
semantic_mutation,M18_archive_crc,,archive_bad_crc_member,True,G17_archive_manifest_and_crc
semantic_mutation,M19_archive_duplicate,,archive_duplicate_names,True,G17_archive_manifest_and_crc
semantic_mutation,M20_archive_drop,,archive_entry_count,True,G18_archive_chunk_and_row_accounting
semantic_mutation,M21_archive_row,,archive_entry_rows,True,G18_archive_chunk_and_row_accounting
semantic_mutation,M22_archive_member_hash,,archive_member_hash_failures,True,G19_every_archived_chunk_hash_live
semantic_mutation,M23_archive_size,,archive_member_size_failures,True,G19_every_archived_chunk_hash_live
semantic_mutation,M24_archive_attempt,,archive_attempt_binding_failures,True,G19_every_archived_chunk_hash_live
semantic_mutation,M25_archive_mapping,,archive_mapping_hash_valid,True,G19_every_archived_chunk_hash_live
semantic_mutation,M26_drop_gate,,gate_count,True,G20_gate_ledger_complete_unique
semantic_mutation,M27_duplicate_gate,,gate_unique,True,G20_gate_ledger_complete_unique
semantic_mutation,M28_blueprint_switch,,gate_blueprint_matches,True,G21_gate_blueprint_exact
semantic_mutation,M29_blueprint_hash,,blueprint_hash_matches,True,G21_gate_blueprint_exact
semantic_mutation,M30_bound_factor,,gate_arithmetic_failures,True,G22_gate_bound_and_direction_recomputed
semantic_mutation,M31_bound_direction,,gate_declared_pass_failures,True,G22_gate_bound_and_direction_recomputed
semantic_mutation,M32_nonfinite_gate,,gate_nonfinite_rows,True,G22_gate_bound_and_direction_recomputed
semantic_mutation,M33_promote_gate,,gate_failed,True,G23_exact_gate_outcome
semantic_mutation,M34_family_total,,gate_family_totals,True,G24_family_totals_exact
semantic_mutation,M35_failure_family,,gate_family_failures,True,G25_failure_family_counts_exact
semantic_mutation,M36_failed_id,,failed_ids_match,True,G26_failed_gate_ids_exact
semantic_mutation,M37_postselection,,config_no_postselection,True,G27_no_postselection
semantic_mutation,M38_raw_score_primary,,raw_log_evidence_primary,True,G28_raw_log_evidence_diagnostic_only
semantic_mutation,M39_promote_verdict,,qualification_verdict,True,G29_scientific_no_go_not_incomplete
semantic_mutation,M40_incomplete_verdict,,verification_verdict,True,G29_scientific_no_go_not_incomplete
semantic_mutation,M41_release_task,,release_all_false,True,G30_no_go_releases_nothing
semantic_mutation,M42_promote_claim,,claims_all_null,True,G31_all_claims_literal_null
semantic_mutation,M43_qualified_claim,,qualified_claims,True,G32_qualified_claim_literal_null
semantic_mutation,M44_release_analysis,,release_qualification_analysis_null,True,G33_no_go_release_analysis_null
semantic_mutation,M45_release_pin,,release_pin_byte_identical,True,G35_release_pin_byte_identical
semantic_mutation,M46_rewrite_old_no_go,,historical_verdict,True,G36_historical_no_go_preserved
semantic_mutation,M47_old_cell_access,,old_formal_cell_data_accessed,True,G37_no_old_cell_or_runtime_import
semantic_mutation,M48_import_physics,,runner_or_physics_imported,True,G37_no_old_cell_or_runtime_import
semantic_mutation,M49_semantic_drop,,semantic_rows_checked,True,G38_independent_semantic_receipt_complete
semantic_mutation,M50_source_copy,,source_gate_byte_identical,True,G39_gate_source_copy_byte_identical
semantic_mutation,M51_lfs_removed,,lfs_tracking,True,G40_large_evidence_lfs_tracked
branch_mutation,B01_pass_claim_null,pass,qualified_claim,True,
branch_mutation,B02_pass_partial_release,pass,released,True,
branch_mutation,B03_pass_gate_fail,pass,all_gates_passed,True,
branch_mutation,B04_pass_incomplete,pass,complete,True,
branch_mutation,B05_no_go_claim,no_go,qualified_claim,True,
branch_mutation,B06_no_go_release,no_go,released,True,
branch_mutation,B07_no_go_all_pass,no_go,all_gates_passed,True,
branch_mutation,B08_no_go_incomplete,no_go,complete,True,
branch_mutation,B09_incomplete_claim,incomplete,qualified_claim,True,
branch_mutation,B10_incomplete_release,incomplete,released,True,
branch_mutation,B11_incomplete_complete,incomplete,complete,True,
branch_mutation,B12_unknown_verdict,pass,verdict,True,
branch_mutation,B13_claim_false,pass,claim_state,True,
branch_mutation,B14_claim_missing,no_go,claim_state,True,
branch_mutation,B15_claim_extra,incomplete,claim_state,True,
branch_mutation,B16_rewrite_old,pass,historical_no_go_preserved,True,
branch_mutation,B17_no_go_rewrite_old,no_go,historical_no_go_preserved,True,
branch_mutation,B18_incomplete_rewrite_old,incomplete,historical_no_go_preserved,True,
failed_formal_gate,ab/c8/shared/vacuum_f/RESET/density_trace_distance,physical_state_channel,density_trace_distance,False,direction=upper;margin=0.1
failed_formal_gate,ab/c12/shared/vacuum_f/RESET/density_trace_distance,physical_state_channel,density_trace_distance,False,direction=upper;margin=0.1
failed_formal_gate,ab/c12/fault/step/terminal_density_trace_distance,fault_trajectory_tail,terminal_density_trace_distance,False,direction=upper;margin=0.15
failed_formal_gate,ab/c12/fault/step/terminal_mean_photon_difference,fault_trajectory_tail,terminal_mean_photon_difference,False,direction=upper;margin=0.08
failed_formal_gate,ab/c12/fault/telegraph/terminal_density_trace_distance,fault_trajectory_tail,terminal_density_trace_distance,False,direction=upper;margin=0.15
failed_formal_gate,ab/c12/fault/telegraph/terminal_mean_photon_difference,fault_trajectory_tail,terminal_mean_photon_difference,False,direction=upper;margin=0.08
failed_formal_gate,ab/c12/fault/burst/terminal_density_trace_distance,fault_trajectory_tail,terminal_density_trace_distance,False,direction=upper;margin=0.15
failed_formal_gate,ab/c12/fault/burst/terminal_mean_photon_difference,fault_trajectory_tail,terminal_mean_photon_difference,False,direction=upper;margin=0.08
failed_formal_gate,ab/c12/fault/burst/terminal_level_probability_l1,fault_trajectory_tail,terminal_level_probability_l1,False,direction=upper;margin=0.1
failed_formal_gate,ab/c12/fault/compound/terminal_mean_photon_difference,fault_trajectory_tail,terminal_mean_photon_difference,False,direction=upper;margin=0.08
failed_formal_gate,ab/c16/shared/vacuum_f/RESET/density_trace_distance,physical_state_channel,density_trace_distance,False,direction=upper;margin=0.1
failed_formal_gate,ab/c16/fault/step/terminal_density_trace_distance,fault_trajectory_tail,terminal_density_trace_distance,False,direction=upper;margin=0.15
failed_formal_gate,ab/c16/fault/step/terminal_mean_photon_difference,fault_trajectory_tail,terminal_mean_photon_difference,False,direction=upper;margin=0.08
failed_formal_gate,ab/c16/fault/step/terminal_level_probability_l1,fault_trajectory_tail,terminal_level_probability_l1,False,direction=upper;margin=0.1
failed_formal_gate,ab/c16/fault/telegraph/terminal_density_trace_distance,fault_trajectory_tail,terminal_density_trace_distance,False,direction=upper;margin=0.15
failed_formal_gate,ab/c16/fault/telegraph/terminal_mean_photon_difference,fault_trajectory_tail,terminal_mean_photon_difference,False,direction=upper;margin=0.08
failed_formal_gate,ab/c16/fault/burst/terminal_density_trace_distance,fault_trajectory_tail,terminal_density_trace_distance,False,direction=upper;margin=0.15
failed_formal_gate,ab/c16/fault/burst/terminal_mean_photon_difference,fault_trajectory_tail,terminal_mean_photon_difference,False,direction=upper;margin=0.08
failed_formal_gate,ab/c16/fault/compound/terminal_mean_photon_difference,fault_trajectory_tail,terminal_mean_photon_difference,False,direction=upper;margin=0.08
failed_formal_gate,cutoff/12-16/fault/step/terminal_density,cutoff_mapping,cutoff_density_trace_distance,False,direction=upper;margin=0.1
failed_formal_gate,cutoff/12-16/fault/telegraph/terminal_density,cutoff_mapping,cutoff_density_trace_distance,False,direction=upper;margin=0.1
failed_formal_gate,cutoff/12-16/fault/burst/terminal_density,cutoff_mapping,cutoff_density_trace_distance,False,direction=upper;margin=0.1
failed_formal_gate,cutoff/12-16/fault/compound/terminal_density,cutoff_mapping,cutoff_density_trace_distance,False,direction=upper;margin=0.1
failed_formal_gate,cutoff/16-20/fault/step/terminal_density,cutoff_mapping,cutoff_density_trace_distance,False,direction=upper;margin=0.1
failed_formal_gate,cutoff/16-20/fault/telegraph/terminal_density,cutoff_mapping,cutoff_density_trace_distance,False,direction=upper;margin=0.1
failed_formal_gate,cutoff/16-20/fault/burst/terminal_density,cutoff_mapping,cutoff_density_trace_distance,False,direction=upper;margin=0.1
failed_formal_gate,cutoff/16-20/fault/compound/terminal_density,cutoff_mapping,cutoff_density_trace_distance,False,direction=upper;margin=0.1
