gate_id,family,stage,metric,direction,estimate,standard_error,bound,margin,cluster_count,passed,denominator
ab/c8/shared/vacuum_g/IDLE/density_trace_distance,physical_state_channel,round,density_trace_distance,upper,0.001302375466632118,0.007815894634715414,0.014158378104414318,0.1,768,True,ab/c8/shared/vacuum_g/IDLE: paired seed_position
ab/c8/shared/vacuum_g/IDLE/mean_photon_difference,physical_state_channel,round,mean_photon_difference,upper,0.0,0.0,0.0,0.08,768,True,ab/c8/shared/vacuum_g/IDLE: paired seed_position
ab/c8/shared/vacuum_g/IDLE/level_probability_l1,physical_state_channel,round,level_probability_l1,upper,0.0026041668119809527,0.0045125088081283534,0.010026583291681341,0.1,768,True,ab/c8/shared/vacuum_g/IDLE: paired seed_position
ab/c8/shared/vacuum_g/IDLE/predictive_mean_l2,iq_conditional_distribution,round,predictive_mean_l2,upper,5.779494062327255e-07,0.0,5.779494062327255e-07,0.12,768,True,ab/c8/shared/vacuum_g/IDLE: paired seed_position
ab/c8/shared/vacuum_g/IDLE/predictive_covariance_frobenius,iq_conditional_distribution,round,predictive_covariance_frobenius,upper,9.79126682048607e-07,5.864594573232519e-21,9.791266820486168e-07,0.18,768,True,ab/c8/shared/vacuum_g/IDLE: paired seed_position
ab/c8/shared/vacuum_g/IDLE/predictive_cdf_i_sup,iq_conditional_distribution,round,predictive_cdf_i_sup,upper,3.4044047747538997e-07,0.0,3.4044047747538997e-07,0.24,768,True,ab/c8/shared/vacuum_g/IDLE: paired seed_position
ab/c8/shared/vacuum_g/IDLE/predictive_cdf_q_sup,iq_conditional_distribution,round,predictive_cdf_q_sup,upper,1.248183778557177e-09,0.0,1.248183778557177e-09,0.24,768,True,ab/c8/shared/vacuum_g/IDLE: paired seed_position
ab/c8/shared/vacuum_g/IDLE/paired_proper_score_per_sample,likelihood_score_posterior,round,paired_proper_score_per_sample,upper,1.4188848908175863e-05,7.042220099141042e-07,1.534719103536213e-05,0.0375,768,True,ab/c8/shared/vacuum_g/IDLE: paired seed_position
ab/c8/shared/vacuum_g/IDLE/pairwise_llr_per_sample,likelihood_score_posterior,round,pairwise_llr_per_sample,upper,0.0,0.0,0.0,0.0375,768,True,ab/c8/shared/vacuum_g/IDLE: paired seed_position
ab/c8/shared/vacuum_g/IDLE/posterior_mean_l1,likelihood_score_posterior,round,posterior_mean_l1,upper,1.9699279379874123e-10,1.2671584324248532e-10,4.0542180814835737e-10,0.12,768,True,ab/c8/shared/vacuum_g/IDLE: paired seed_position
ab/c8/shared/vacuum_g/X/density_trace_distance,physical_state_channel,round,density_trace_distance,upper,0.0013023772713646358,0.007798981441387168,0.01413056018175754,0.1,768,True,ab/c8/shared/vacuum_g/X: paired seed_position
ab/c8/shared/vacuum_g/X/mean_photon_difference,physical_state_channel,round,mean_photon_difference,upper,5.78674798397431e-06,1.0025180261505185e-05,2.2276702097953423e-05,0.08,768,True,ab/c8/shared/vacuum_g/X: paired seed_position
ab/c8/shared/vacuum_g/X/level_probability_l1,physical_state_channel,round,level_probability_l1,upper,0.002604166811995412,0.004512508808128341,0.010026583291695779,0.1,768,True,ab/c8/shared/vacuum_g/X: paired seed_position
ab/c8/shared/vacuum_g/X/predictive_mean_l2,iq_conditional_distribution,round,predictive_mean_l2,upper,5.779451399854858e-07,0.0,5.779451399854858e-07,0.12,768,True,ab/c8/shared/vacuum_g/X: paired seed_position
ab/c8/shared/vacuum_g/X/predictive_covariance_frobenius,iq_conditional_distribution,round,predictive_covariance_frobenius,upper,9.791018377840756e-07,0.0,9.791018377840756e-07,0.18,768,True,ab/c8/shared/vacuum_g/X: paired seed_position
ab/c8/shared/vacuum_g/X/predictive_cdf_i_sup,iq_conditional_distribution,round,predictive_cdf_i_sup,upper,3.404429670395004e-07,0.0,3.404429670395004e-07,0.24,768,True,ab/c8/shared/vacuum_g/X: paired seed_position
ab/c8/shared/vacuum_g/X/predictive_cdf_q_sup,iq_conditional_distribution,round,predictive_cdf_q_sup,upper,1.2602725529831105e-09,0.0,1.2602725529831105e-09,0.24,768,True,ab/c8/shared/vacuum_g/X: paired seed_position
ab/c8/shared/vacuum_g/X/paired_proper_score_per_sample,likelihood_score_posterior,round,paired_proper_score_per_sample,upper,1.3959214275405021e-05,6.99370879551503e-07,1.5109577003219552e-05,0.0375,768,True,ab/c8/shared/vacuum_g/X: paired seed_position
ab/c8/shared/vacuum_g/X/pairwise_llr_per_sample,likelihood_score_posterior,round,pairwise_llr_per_sample,upper,0.0,0.0,0.0,0.0375,768,True,ab/c8/shared/vacuum_g/X: paired seed_position
ab/c8/shared/vacuum_g/X/posterior_mean_l1,likelihood_score_posterior,round,posterior_mean_l1,upper,1.181904523103001e-09,1.0894101714118288e-09,2.973824794787573e-09,0.12,768,True,ab/c8/shared/vacuum_g/X: paired seed_position
ab/c8/shared/vacuum_g/Z/density_trace_distance,physical_state_channel,round,density_trace_distance,upper,0.0013023772713646356,0.007798981441387168,0.01413056018175754,0.1,768,True,ab/c8/shared/vacuum_g/Z: paired seed_position
ab/c8/shared/vacuum_g/Z/mean_photon_difference,physical_state_channel,round,mean_photon_difference,upper,5.786747983957322e-06,1.0025180261467877e-05,2.227670209787507e-05,0.08,768,True,ab/c8/shared/vacuum_g/Z: paired seed_position
ab/c8/shared/vacuum_g/Z/level_probability_l1,physical_state_channel,round,level_probability_l1,upper,0.0026041668119954125,0.004512508808128342,0.01002658329169578,0.1,768,True,ab/c8/shared/vacuum_g/Z: paired seed_position
ab/c8/shared/vacuum_g/Z/predictive_mean_l2,iq_conditional_distribution,round,predictive_mean_l2,upper,5.779451398744642e-07,2.9322972866162594e-21,5.77945139874469e-07,0.12,768,True,ab/c8/shared/vacuum_g/Z: paired seed_position
ab/c8/shared/vacuum_g/Z/predictive_covariance_frobenius,iq_conditional_distribution,round,predictive_covariance_frobenius,upper,9.791018374093764e-07,5.864594573232519e-21,9.791018374093861e-07,0.18,768,True,ab/c8/shared/vacuum_g/Z: paired seed_position
ab/c8/shared/vacuum_g/Z/predictive_cdf_i_sup,iq_conditional_distribution,round,predictive_cdf_i_sup,upper,3.404429669284781e-07,0.0,3.404429669284781e-07,0.24,768,True,ab/c8/shared/vacuum_g/Z: paired seed_position
ab/c8/shared/vacuum_g/Z/predictive_cdf_q_sup,iq_conditional_distribution,round,predictive_cdf_q_sup,upper,1.2602725529831105e-09,0.0,1.2602725529831105e-09,0.24,768,True,ab/c8/shared/vacuum_g/Z: paired seed_position
ab/c8/shared/vacuum_g/Z/paired_proper_score_per_sample,likelihood_score_posterior,round,paired_proper_score_per_sample,upper,1.3585232917297125e-05,6.946013747200168e-07,1.4727750507790822e-05,0.0375,768,True,ab/c8/shared/vacuum_g/Z: paired seed_position
ab/c8/shared/vacuum_g/Z/pairwise_llr_per_sample,likelihood_score_posterior,round,pairwise_llr_per_sample,upper,0.0,0.0,0.0,0.0375,768,True,ab/c8/shared/vacuum_g/Z: paired seed_position
ab/c8/shared/vacuum_g/Z/posterior_mean_l1,likelihood_score_posterior,round,posterior_mean_l1,upper,1.0608323494191557e-09,5.456315582888341e-10,1.958316397049728e-09,0.12,768,True,ab/c8/shared/vacuum_g/Z: paired seed_position
ab/c8/shared/vacuum_g/XZ/density_trace_distance,physical_state_channel,round,density_trace_distance,upper,0.001302378347581832,0.007782333391857115,0.01410317765332356,0.1,768,True,ab/c8/shared/vacuum_g/XZ: paired seed_position
ab/c8/shared/vacuum_g/XZ/mean_photon_difference,physical_state_channel,round,mean_photon_difference,upper,1.1813036680892436e-05,2.04654373942649e-05,4.547568560599734e-05,0.08,768,True,ab/c8/shared/vacuum_g/XZ: paired seed_position
ab/c8/shared/vacuum_g/XZ/level_probability_l1,physical_state_channel,round,level_probability_l1,upper,0.0026041668120118985,0.00451250880812833,0.010026583291712247,0.1,768,True,ab/c8/shared/vacuum_g/XZ: paired seed_position
ab/c8/shared/vacuum_g/XZ/predictive_mean_l2,iq_conditional_distribution,round,predictive_mean_l2,upper,5.77918009320151e-07,0.0,5.77918009320151e-07,0.12,768,True,ab/c8/shared/vacuum_g/XZ: paired seed_position
ab/c8/shared/vacuum_g/XZ/predictive_covariance_frobenius,iq_conditional_distribution,round,predictive_covariance_frobenius,upper,9.790183693354063e-07,5.864594573232519e-21,9.79018369335416e-07,0.18,768,True,ab/c8/shared/vacuum_g/XZ: paired seed_position
