backend,ancilla,action,seed,sample_count,log_evidence_abs_error,posterior_l1_error,integrated_mean_abs_error
backend_a,g,IDLE,1030000,8,0.0,1.2326119152023302e-32,1.734723475976807e-18
backend_a,g,IDLE,1030001,8,0.0,5.551115123125832e-16,1.1102230246251565e-16
backend_a,g,IDLE,1030002,8,0.0,3.761582462131229e-37,1.3877787807814457e-17
backend_a,g,IDLE,1030003,8,1.7763568394002505e-15,9.244463737220028e-32,2.7755575615628914e-17
backend_a,g,IDLE,1030004,8,0.0,1.4106965359199227e-36,0.0
backend_a,g,IDLE,1030005,8,0.0,3.1777844082389515e-33,2.7755575615628914e-17
backend_a,g,IDLE,1030006,8,0.0,4.574091423936859e-34,0.0
backend_a,g,IDLE,1030007,8,1.7763568394002505e-15,2.220446049250323e-16,1.1102230246251565e-16
backend_a,g,X,1030000,8,0.0,4.2370602774577164e-32,1.734723475976807e-18
backend_a,g,X,1030001,8,8.881784197001252e-16,5.551115123125808e-16,1.1102230246251565e-16
backend_a,g,X,1030002,8,0.0,1.1754948272637654e-37,1.3877787807814457e-17
backend_a,g,X,1030003,8,1.7763568394002505e-15,6.162975872261692e-33,2.7755575615628914e-17
backend_a,g,X,1030004,8,0.0,1.1755058302593073e-36,0.0
backend_a,g,X,1030005,8,0.0,4.0444528832132103e-33,2.7755575615628914e-17
backend_a,g,X,1030006,8,0.0,1.4444483766453885e-33,0.0
backend_a,g,X,1030007,8,0.0,2.2204460492503254e-16,1.1102230246251565e-16
backend_a,g,RESET,1030000,8,0.0,5.3928742079849495e-33,1.734723475976807e-18
backend_a,g,RESET,1030001,8,0.0,5.551115123125816e-16,1.1102230246251565e-16
backend_a,g,RESET,1030002,8,0.0,1.4105933071666006e-36,1.3877787807814457e-17
backend_a,g,RESET,1030003,8,1.7763568394002505e-15,3.6977854986762254e-32,2.7755575615628914e-17
backend_a,g,RESET,1030004,8,0.0,1.2460469707456643e-36,0.0
backend_a,g,RESET,1030005,8,0.0,5.7777898331617076e-34,2.7755575615628914e-17
backend_a,g,RESET,1030006,8,0.0,1.6851889309275718e-34,0.0
backend_a,g,RESET,1030007,8,0.0,2.2204460492503155e-16,1.1102230246251565e-16
backend_a,e,IDLE,1030000,8,0.0,2.648153702231042e-34,1.734723475976807e-18
backend_a,e,IDLE,1030001,8,0.0,1.1102230246251595e-16,0.0
backend_a,e,IDLE,1030002,8,0.0,2.3121691762030198e-32,1.3877787807814457e-17
backend_a,e,IDLE,1030003,8,3.552713678800501e-15,6.661338147751117e-16,2.7755575615628914e-17
backend_a,e,IDLE,1030004,8,0.0,4.32664573049144e-36,0.0
backend_a,e,IDLE,1030005,8,0.0,1.3322676298991547e-15,2.7755575615628914e-17
backend_a,e,IDLE,1030006,8,0.0,1.3481514202485459e-33,1.1102230246251565e-16
backend_a,e,IDLE,1030007,8,0.0,3.7555633920932085e-33,2.7755575615628914e-17
backend_a,e,X,1030000,8,0.0,1.2037063766716055e-34,1.734723475976807e-18
backend_a,e,X,1030001,8,0.0,2.2204460492503146e-16,0.0
backend_a,e,X,1030002,8,0.0,9.250482264134942e-33,1.3877787807814457e-17
backend_a,e,X,1030003,8,3.552713678800501e-15,5.551115123126209e-16,2.7755575615628914e-17
backend_a,e,X,1030004,8,0.0,9.784429267160858e-36,0.0
backend_a,e,X,1030005,8,0.0,7.771561173410073e-16,2.7755575615628914e-17
backend_a,e,X,1030006,8,0.0,3.8518626438393564e-34,1.1102230246251565e-16
backend_a,e,X,1030007,8,0.0,8.088905769385933e-33,2.7755575615628914e-17
backend_a,e,RESET,1030000,8,1.7763568394002505e-15,9.1481673147605e-34,1.734723475976807e-18
backend_a,e,RESET,1030001,8,8.881784197001252e-16,3.3306690738754815e-16,0.0
backend_a,e,RESET,1030002,8,1.7763568394002505e-15,8.323026625290964e-32,1.3877787807814457e-17
