candidate_pass,case,metric_count,power,sample_count,successes,trials,wilson_lcb,wilson_ucb,worst_metric_se_over_margin
True,backend_a_a1_a2,30,1.0,128,2000,2000,0.9980829527187469,0.9999999999999998,0.0
True,backend_b_b1_b2,30,1.0,128,2000,2000,0.9980829527187469,0.9999999999999998,0.0
True,ab_pilot,30,1.0,128,2000,2000,0.9980829527187469,0.9999999999999998,0.0
True,backend_a_a1_a2,30,1.0,256,2000,2000,0.9980829527187469,0.9999999999999998,0.0
True,backend_b_b1_b2,30,1.0,256,2000,2000,0.9980829527187469,0.9999999999999998,0.0
True,ab_pilot,30,1.0,256,2000,2000,0.9980829527187469,0.9999999999999998,0.0
True,backend_a_a1_a2,30,1.0,512,2000,2000,0.9980829527187469,0.9999999999999998,0.0
True,backend_b_b1_b2,30,1.0,512,2000,2000,0.9980829527187469,0.9999999999999998,0.0
True,ab_pilot,30,1.0,512,2000,2000,0.9980829527187469,0.9999999999999998,0.0
True,backend_a_a1_a2,30,1.0,768,2000,2000,0.9980829527187469,0.9999999999999998,0.0
True,backend_b_b1_b2,30,1.0,768,2000,2000,0.9980829527187469,0.9999999999999998,0.0
True,ab_pilot,30,1.0,768,2000,2000,0.9980829527187469,0.9999999999999998,0.0
