backend_or_pair,calibrated_radius,cluster_count,contrast,cutoff_or_increment,design_pilot_only,estimate,gate_id,logical_state,margin,metric,multiplier_replicates,multiplier_seed,negative_interpretation,qualification_effect,quantization_bound,raw_radius,scenario,signal_class,signal_repeated,stage,upper_bound
A/B,0.16666667017681797,12,same_cutoff_ab,16,True,0.02005892034546977,ab/c16/step/0/terminal_density,0,0.15,density_trace_distance,199,26194387492159413691350864,inconclusive,,3.539996098078128e-07,0.16666667017681797,step,NO_LARGE_SIGNAL_INCONCLUSIVE,False,terminal,0.18672594452189753
A,0.003908617939386016,12,absolute_truncation_risk,16,True,0.008052791740434998,tail/c16/A/step/0/top1_fock_mass,0,0.005,top1_fock_mass,199,26194385409405263345166374,inconclusive,,1.770957621204622e-07,0.003908617939386016,step,CANDIDATE_EXPLORATORY_RISK_SIGNAL,False,terminal,0.011961586775583136
A,0.0086412876068302,12,absolute_truncation_risk,16,True,0.0184763704892251,tail/c16/A/step/0/top2_fock_mass,0,0.01,top2_fock_mass,199,26194384178318745065612046,inconclusive,,1.770957621204622e-07,0.0086412876068302,step,CANDIDATE_EXPLORATORY_RISK_SIGNAL,False,terminal,0.02711783519181742
A,0.027914447606438825,12,absolute_truncation_risk,16,True,0.07474838631848629,tail/c16/A/step/0/top4_fock_mass,0,0.02,top4_fock_mass,199,26194390202210153048936718,inconclusive,,1.770957621204622e-07,0.027914447606438825,step,STRONG_EXPLORATORY_RISK_SIGNAL,False,terminal,0.10266301102068724
A,0.03892408588177218,12,absolute_truncation_risk,16,True,0.255406056228099,tail/c16/A/step/0/normalized_mean_photon,0,0.25,normalized_mean_photon,199,26194377554224112795204561,inconclusive,,1.770957621204622e-07,0.03892408588177218,step,CANDIDATE_EXPLORATORY_RISK_SIGNAL,False,terminal,0.2943303192056333
A,0.06300978817873391,12,absolute_truncation_risk,16,True,0.12884466784695997,tail/c16/A/step/0/commutator_defect,0,0.05,commutator_defect,199,26194383353578859597901768,inconclusive,,2.833532193927395e-06,0.06300978817873391,step,STRONG_EXPLORATORY_RISK_SIGNAL,False,terminal,0.19185728955788783
B,0.0034968122201193496,12,absolute_truncation_risk,16,True,0.007680708040543753,tail/c16/B/step/0/top1_fock_mass,0,0.005,top1_fock_mass,199,26194381793422523992527494,inconclusive,,1.7690384768735062e-07,0.0034968122201193496,step,CANDIDATE_EXPLORATORY_RISK_SIGNAL,False,terminal,0.011177697164510789
B,0.009119392556220162,12,absolute_truncation_risk,16,True,0.01796500536743292,tail/c16/B/step/0/top2_fock_mass,0,0.01,top2_fock_mass,199,26194384087653404797838202,inconclusive,,1.7690384768735062e-07,0.009119392556220162,step,CANDIDATE_EXPLORATORY_RISK_SIGNAL,False,terminal,0.02708457482750077
B,0.027222962897173363,12,absolute_truncation_risk,16,True,0.0738454084512286,tail/c16/B/step/0/top4_fock_mass,0,0.02,top4_fock_mass,199,26194390385852313110835210,inconclusive,,1.7690384768735062e-07,0.027222962897173363,step,STRONG_EXPLORATORY_RISK_SIGNAL,False,terminal,0.10106854825224965
B,0.03796273726000782,12,absolute_truncation_risk,16,True,0.2543239407782705,tail/c16/B/step/0/normalized_mean_photon,0,0.25,normalized_mean_photon,199,26194386872045711096173190,inconclusive,,1.7690384768735062e-07,0.03796273726000782,step,CANDIDATE_EXPLORATORY_RISK_SIGNAL,False,terminal,0.292286854942126
