gate_id,family,contrast,scenario,logical_state,stage,metric,cutoff_or_increment,backend_or_pair,estimate,quantization_bound,conservative_point,margin,passed,cluster_count,statistical_role,qualification_effect
fault/density/28->32/burst/A/+,fault_density,within_backend_cutoff,burst,+,terminal,density_trace_distance,28->32,A,0.043260016034382544,4.65623249737179e-07,0.04326048165763228,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/burst/A/+i,fault_density,within_backend_cutoff,burst,+i,terminal,density_trace_distance,28->32,A,0.06197763376018681,4.74315696624962e-07,0.06197810807588343,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/burst/A/-,fault_density,within_backend_cutoff,burst,-,terminal,density_trace_distance,28->32,A,0.003087013067003228,4.883166637847883e-07,0.003087501383667013,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/burst/A/-i,fault_density,within_backend_cutoff,burst,-i,terminal,density_trace_distance,28->32,A,0.009553461842623838,4.80655732610473e-07,0.00955394249835645,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/burst/A/0,fault_density,within_backend_cutoff,burst,0,terminal,density_trace_distance,28->32,A,0.004943833668009911,4.80349737729005e-07,0.00494431401774764,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/burst/A/1,fault_density,within_backend_cutoff,burst,1,terminal,density_trace_distance,28->32,A,0.0039025034719638325,4.877991338198991e-07,0.0039029912710976523,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/burst/B/+,fault_density,within_backend_cutoff,burst,+,terminal,density_trace_distance,28->32,B,0.006521560986811349,4.741741127087647e-07,0.006522035160924058,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/burst/B/+i,fault_density,within_backend_cutoff,burst,+i,terminal,density_trace_distance,28->32,B,0.0029384495417039786,4.919383193202333e-07,0.002938941480023299,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/burst/B/-,fault_density,within_backend_cutoff,burst,-,terminal,density_trace_distance,28->32,B,0.004521104171634672,4.781126043225992e-07,0.004521582284238995,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/burst/B/-i,fault_density,within_backend_cutoff,burst,-i,terminal,density_trace_distance,28->32,B,0.017651596748401378,4.63731220701532e-07,0.01765206047962208,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/burst/B/0,fault_density,within_backend_cutoff,burst,0,terminal,density_trace_distance,28->32,B,0.0847195400610894,4.757233446047935e-07,0.084720015784434,0.075,False,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/burst/B/1,fault_density,within_backend_cutoff,burst,1,terminal,density_trace_distance,28->32,B,0.005544891194705047,4.807137768800124e-07,0.005545371908481927,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/compound/A/+,fault_density,within_backend_cutoff,compound,+,terminal,density_trace_distance,28->32,A,0.00636171024712876,4.708126260088936e-07,0.006362181059754769,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/compound/A/+i,fault_density,within_backend_cutoff,compound,+i,terminal,density_trace_distance,28->32,A,0.008760494704454717,4.757676047960374e-07,0.008760970472059513,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/compound/A/-,fault_density,within_backend_cutoff,compound,-,terminal,density_trace_distance,28->32,A,0.0032954386918682805,4.88165970202894e-07,0.003295926857838483,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/compound/A/-i,fault_density,within_backend_cutoff,compound,-i,terminal,density_trace_distance,28->32,A,0.022023349693862524,4.804315195372859e-07,0.02202383012538206,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/compound/A/0,fault_density,within_backend_cutoff,compound,0,terminal,density_trace_distance,28->32,A,0.0054864800373478516,4.806627908303695e-07,0.005486960700138682,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/compound/A/1,fault_density,within_backend_cutoff,compound,1,terminal,density_trace_distance,28->32,A,0.004501404632060725,4.872142362765269e-07,0.004501891846297001,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/compound/B/+,fault_density,within_backend_cutoff,compound,+,terminal,density_trace_distance,28->32,B,0.007257249920707082,4.739156984340867e-07,0.007257723836405516,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/compound/B/+i,fault_density,within_backend_cutoff,compound,+i,terminal,density_trace_distance,28->32,B,0.0035538944701011543,4.916152674606418e-07,0.003554386085368615,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/compound/B/-,fault_density,within_backend_cutoff,compound,-,terminal,density_trace_distance,28->32,B,0.004783470753099279,4.779226555604685e-07,0.004783948675754839,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/compound/B/-i,fault_density,within_backend_cutoff,compound,-i,terminal,density_trace_distance,28->32,B,0.01403080856815343,4.6410295257288305e-07,0.014031272671106002,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/compound/B/0,fault_density,within_backend_cutoff,compound,0,terminal,density_trace_distance,28->32,B,0.07501197374849128,4.744787841048453e-07,0.07501244822727539,0.075,False,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/compound/B/1,fault_density,within_backend_cutoff,compound,1,terminal,density_trace_distance,28->32,B,0.006314971004964978,4.805478082815609e-07,0.006315451552773259,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/step/A/+,fault_density,within_backend_cutoff,step,+,terminal,density_trace_distance,28->32,A,0.048445544654218936,4.653991311304665e-07,0.048446010053350065,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/step/A/+i,fault_density,within_backend_cutoff,step,+i,terminal,density_trace_distance,28->32,A,0.06343291066302024,4.7359012315134935e-07,0.06343338425314339,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/step/A/-,fault_density,within_backend_cutoff,step,-,terminal,density_trace_distance,28->32,A,0.006822503051058997,4.872059834720882e-07,0.006822990257042469,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/step/A/-i,fault_density,within_backend_cutoff,step,-i,terminal,density_trace_distance,28->32,A,0.010770722385594443,4.794927980643873e-07,0.010771201878392507,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/step/A/0,fault_density,within_backend_cutoff,step,0,terminal,density_trace_distance,28->32,A,0.006122299497335884,4.800382985048076e-07,0.0061227795356343885,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/step/A/1,fault_density,within_backend_cutoff,step,1,terminal,density_trace_distance,28->32,A,0.007174644175937044,4.865215989900754e-07,0.007175130697536033,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/step/B/+,fault_density,within_backend_cutoff,step,+,terminal,density_trace_distance,28->32,B,0.007582504644601456,4.75003146486444e-07,0.007582979647747942,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/step/B/+i,fault_density,within_backend_cutoff,step,+i,terminal,density_trace_distance,28->32,B,0.00434208896530173,4.910979403663463e-07,0.004342580063242096,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/step/B/-,fault_density,within_backend_cutoff,step,-,terminal,density_trace_distance,28->32,B,0.009788901960560743,4.775454572701086e-07,0.009789379506018013,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/step/B/-i,fault_density,within_backend_cutoff,step,-i,terminal,density_trace_distance,28->32,B,0.021259642568651357,4.63300418068952e-07,0.021260105869069425,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/step/B/0,fault_density,within_backend_cutoff,step,0,terminal,density_trace_distance,28->32,B,0.08513519617607111,4.754764385713431e-07,0.08513567165250968,0.075,False,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/step/B/1,fault_density,within_backend_cutoff,step,1,terminal,density_trace_distance,28->32,B,0.01033188333554837,4.80335917370851e-07,0.010332363671465741,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/telegraph/A/+,fault_density,within_backend_cutoff,telegraph,+,terminal,density_trace_distance,28->32,A,0.04701284926488555,4.6548748078728847e-07,0.04701331475236634,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/telegraph/A/+i,fault_density,within_backend_cutoff,telegraph,+i,terminal,density_trace_distance,28->32,A,0.062398440217208306,4.7410434979103225e-07,0.0623989143215581,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/telegraph/A/-,fault_density,within_backend_cutoff,telegraph,-,terminal,density_trace_distance,28->32,A,0.003692392163698567,4.882395796758036e-07,0.0036928804032782428,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/telegraph/A/-i,fault_density,within_backend_cutoff,telegraph,-i,terminal,density_trace_distance,28->32,A,0.009609620881560855,4.805353279805102e-07,0.009610101416888835,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/telegraph/A/0,fault_density,within_backend_cutoff,telegraph,0,terminal,density_trace_distance,28->32,A,0.005416534743939777,4.803997165181378e-07,0.005417015143656295,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/telegraph/A/1,fault_density,within_backend_cutoff,telegraph,1,terminal,density_trace_distance,28->32,A,0.004508685077653227,4.875303794449949e-07,0.004509172608032672,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/telegraph/B/+,fault_density,within_backend_cutoff,telegraph,+,terminal,density_trace_distance,28->32,B,0.007059279333236877,4.7423436519078897e-07,0.007059753567602068,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/telegraph/B/+i,fault_density,within_backend_cutoff,telegraph,+i,terminal,density_trace_distance,28->32,B,0.0033854588414742332,4.91784569872559e-07,0.003385950626044106,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/telegraph/B/-,fault_density,within_backend_cutoff,telegraph,-,terminal,density_trace_distance,28->32,B,0.005325548028064271,4.78068578332981e-07,0.005326026096642604,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/telegraph/B/-i,fault_density,within_backend_cutoff,telegraph,-i,terminal,density_trace_distance,28->32,B,0.017580793205293096,4.6349395413304603e-07,0.01758125669924723,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/telegraph/B/0,fault_density,within_backend_cutoff,telegraph,0,terminal,density_trace_distance,28->32,B,0.08488277693025861,4.758010298091214e-07,0.08488325273128842,0.075,False,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/28->32/telegraph/B/1,fault_density,within_backend_cutoff,telegraph,1,terminal,density_trace_distance,28->32,B,0.006402970937672875,4.8051367920097e-07,0.0064034514513520765,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/32->36/burst/A/+,fault_density,within_backend_cutoff,burst,+,terminal,density_trace_distance,32->36,A,0.01953690269638718,4.93488857482294e-07,0.019537396185244662,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/32->36/burst/A/+i,fault_density,within_backend_cutoff,burst,+i,terminal,density_trace_distance,32->36,A,0.010248314900449595,5.032856876861278e-07,0.01024881818613728,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/32->36/burst/A/-,fault_density,within_backend_cutoff,burst,-,terminal,density_trace_distance,32->36,A,0.0009221520057650801,5.198840170191963e-07,0.0009226718897820994,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/32->36/burst/A/-i,fault_density,within_backend_cutoff,burst,-i,terminal,density_trace_distance,32->36,A,0.004416680019702966,5.113602167049084e-07,0.004417191379919671,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/32->36/burst/A/0,fault_density,within_backend_cutoff,burst,0,terminal,density_trace_distance,32->36,A,0.0011523740996991648,5.113221184297427e-07,0.0011528854218175945,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/32->36/burst/A/1,fault_density,within_backend_cutoff,burst,1,terminal,density_trace_distance,32->36,A,0.0011617238194270058,5.19331844937827e-07,0.0011622431512719436,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/32->36/burst/B/+,fault_density,within_backend_cutoff,burst,+,terminal,density_trace_distance,32->36,B,0.0014423922726629374,5.046686610332523e-07,0.0014428969413239707,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/32->36/burst/B/+i,fault_density,within_backend_cutoff,burst,+i,terminal,density_trace_distance,32->36,B,0.0004279970153462672,5.23756207279418e-07,0.0004285207715535466,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/32->36/burst/B/-,fault_density,within_backend_cutoff,burst,-,terminal,density_trace_distance,32->36,B,0.0014935548679474845,5.089909010470044e-07,0.0014940638588485315,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/32->36/burst/B/-i,fault_density,within_backend_cutoff,burst,-i,terminal,density_trace_distance,32->36,B,0.00812390120595383,4.929597025408305e-07,0.00812439416565637,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
