cell_id,family,margin,cluster_count,effect_ratio,true_difference,trial_seed,multiplier_seed,estimate,raw_radius,upper_bound,covers_truth,declares_equivalent,power_primary
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,4682782,4692782,0.0008382604771153707,0.0009741598939686701,0.0018124203710840408,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,9690922,9700922,0.00045313367328662056,0.0012704804565770668,0.0017236141298636873,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,11656180,11666180,0.0013404196468342153,0.0006291139554179584,0.001969533602252174,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,12173963,12183963,0.0006071108832965595,0.0008136230078401585,0.001420733891136718,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,14298002,14308002,0.0006244950924473518,0.0008627921871164679,0.0014872872795638197,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,16857796,16867796,0.0007180249320778939,0.0008589303051379691,0.001576955237215863,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,19125189,19135189,0.0003919396293935574,0.0010807544608231693,0.0014726940902167268,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,28756160,28766160,0.00047570974950708454,0.001122379520324796,0.0015980892698318806,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,31125376,31135376,0.00023048666452132294,0.001188778712679133,0.001419265377200456,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,32281096,32291096,0.0008173397189082798,0.0008944632310752672,0.001711802949983547,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,40673282,40683282,0.0004066770003692634,0.0009706518020744029,0.0013773288024436663,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,41506479,41516479,0.0006665983278879417,0.000822740031205884,0.0014893383590938256,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,43351124,43361124,0.0007589108577928384,0.001053195052190913,0.0018121059099837516,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,51925433,51935433,0.00033328907190252957,0.0007582703203825765,0.001091559392285106,True,True,True
gaussian_balanced__m0p005000__n12__r0p000,gaussian_balanced,0.005,12,0.0,0.0,52961951,52971951,0.00040319864246551813,0.0009366103025409129,0.001339808945006431,True,True,True
