gate_id,family,contrast,scenario,logical_state,stage,metric,cutoff_or_increment,backend_or_pair,estimate,quantization_bound,conservative_point,margin,passed,cluster_count,statistical_role,qualification_effect
fault/density/36->40/burst/A/+,fault_density,within_backend_cutoff,burst,+,terminal,density_trace_distance,36->40,A,0.0006572867032363099,5.308583594624975e-07,0.0006578175615957724,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/burst/A/+i,fault_density,within_backend_cutoff,burst,+i,terminal,density_trace_distance,36->40,A,0.000126134258420967,5.433414816529385e-07,0.00012667759990261994,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/burst/A/-,fault_density,within_backend_cutoff,burst,-,terminal,density_trace_distance,36->40,A,0.00017650219095789732,5.486661029785144e-07,0.00017705085706087582,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/burst/A/-i,fault_density,within_backend_cutoff,burst,-i,terminal,density_trace_distance,36->40,A,0.0003956269375854465,5.24702392719845e-07,0.00039615163997816635,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/burst/A/0,fault_density,within_backend_cutoff,burst,0,terminal,density_trace_distance,36->40,A,0.00012011276843949473,5.406189456825309e-07,0.00012065338738517725,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/burst/A/1,fault_density,within_backend_cutoff,burst,1,terminal,density_trace_distance,36->40,A,0.00026765180010865375,5.392682455785241e-07,0.00026819106835423225,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/burst/B/+,fault_density,within_backend_cutoff,burst,+,terminal,density_trace_distance,36->40,B,0.000676689511163252,5.287379820515219e-07,0.0006772182491453035,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/burst/B/+i,fault_density,within_backend_cutoff,burst,+i,terminal,density_trace_distance,36->40,B,0.0001142627915771012,5.446917418644211e-07,0.00011480748331896562,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/burst/B/-,fault_density,within_backend_cutoff,burst,-,terminal,density_trace_distance,36->40,B,5.8366180885666177e-05,5.602241842692539e-07,5.892640506993543e-05,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/burst/B/-i,fault_density,within_backend_cutoff,burst,-i,terminal,density_trace_distance,36->40,B,0.0001902094575212918,5.333688607664072e-07,0.0001907428263820582,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/burst/B/0,fault_density,within_backend_cutoff,burst,0,terminal,density_trace_distance,36->40,B,0.00012089857532364428,5.392433953041057e-07,0.00012143781871894839,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/burst/B/1,fault_density,within_backend_cutoff,burst,1,terminal,density_trace_distance,36->40,B,0.0001776480131279476,5.491365953583634e-07,0.00017819714972330597,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/compound/A/+,fault_density,within_backend_cutoff,compound,+,terminal,density_trace_distance,36->40,A,0.004229385382274456,5.268057114080302e-07,0.004229912187985864,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/compound/A/+i,fault_density,within_backend_cutoff,compound,+i,terminal,density_trace_distance,36->40,A,9.522302242918497e-05,5.429239777569414e-07,9.576594640694191e-05,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/compound/A/-,fault_density,within_backend_cutoff,compound,-,terminal,density_trace_distance,36->40,A,0.0001870557444164799,5.483853543030196e-07,0.00018760412977078292,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/compound/A/-i,fault_density,within_backend_cutoff,compound,-i,terminal,density_trace_distance,36->40,A,0.0005156783562528192,5.244747349397264e-07,0.000516202830987759,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/compound/A/0,fault_density,within_backend_cutoff,compound,0,terminal,density_trace_distance,36->40,A,0.0002083234411761464,5.409756575074366e-07,0.00020886441683365384,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/compound/A/1,fault_density,within_backend_cutoff,compound,1,terminal,density_trace_distance,36->40,A,0.0011445975369383321,5.382451636251243e-07,0.0011451357821019572,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/compound/B/+,fault_density,within_backend_cutoff,compound,+,terminal,density_trace_distance,36->40,B,0.00026703692719122366,5.308696416668903e-07,0.00026756779683289055,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/compound/B/+i,fault_density,within_backend_cutoff,compound,+i,terminal,density_trace_distance,36->40,B,0.00010575187751183096,5.445598296555072e-07,0.00010629643734148647,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/compound/B/-,fault_density,within_backend_cutoff,compound,-,terminal,density_trace_distance,36->40,B,7.583950387457741e-05,5.600321370721976e-07,7.639953601164961e-05,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/compound/B/-i,fault_density,within_backend_cutoff,compound,-i,terminal,density_trace_distance,36->40,B,0.00029012402272394474,5.329787337667178e-07,0.00029065700145771144,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/compound/B/0,fault_density,within_backend_cutoff,compound,0,terminal,density_trace_distance,36->40,B,0.00021797849457629552,5.391837820276998e-07,0.00021851767835832323,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/compound/B/1,fault_density,within_backend_cutoff,compound,1,terminal,density_trace_distance,36->40,B,0.0001264847008273396,5.485123355046968e-07,0.0001270332131628443,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/step/A/+,fault_density,within_backend_cutoff,step,+,terminal,density_trace_distance,36->40,A,0.002587651066464168,5.322764649925997e-07,0.0025881833429291607,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/step/A/+i,fault_density,within_backend_cutoff,step,+i,terminal,density_trace_distance,36->40,A,0.0004093420355510012,5.423159031437424e-07,0.00040988435145414493,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/step/A/-,fault_density,within_backend_cutoff,step,-,terminal,density_trace_distance,36->40,A,0.00030503613339387294,5.47376809821849e-07,0.0003055835102036948,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/step/A/-i,fault_density,within_backend_cutoff,step,-i,terminal,density_trace_distance,36->40,A,0.001211336931181247,5.243377357265088e-07,0.0012118612689169736,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/step/A/0,fault_density,within_backend_cutoff,step,0,terminal,density_trace_distance,36->40,A,0.000523707732721345,5.402838298473594e-07,0.0005242480165511923,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/step/A/1,fault_density,within_backend_cutoff,step,1,terminal,density_trace_distance,36->40,A,0.0007490454787025245,5.385940033181739e-07,0.0007495840727058427,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/step/B/+,fault_density,within_backend_cutoff,step,+,terminal,density_trace_distance,36->40,B,0.002510035473837454,5.284742874447252e-07,0.002510563948124899,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/step/B/+i,fault_density,within_backend_cutoff,step,+i,terminal,density_trace_distance,36->40,B,0.001932949861609301,5.353272042167748e-07,0.0019334851888135178,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
fault/density/36->40/step/B/-,fault_density,within_backend_cutoff,step,-,terminal,density_trace_distance,36->40,B,0.0001061518379447363,5.58899562992827e-07,0.00010671073750772912,0.075,True,12,UNPOWERED_POINT_SCREEN_NO_EQUIVALENCE_CLAIM,
