row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|burst|c28|B|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c28/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|burst|c28|B|p0000,0,False,XZ,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_burst_B__4acbc51d84725792,0,-1,0,0,cf3f9e1ea60c254d85bf656005e886af5714df98c84e9d4d81236a8b015cab3a,0.0,0.0,0.9878387662297862,0.011677434306885972,0.0004837994633279361,0.9999999999999982,2.3702266227796347e-26,1.7047516690739166e-15,-0.9244184296870899,0.2833944248678364,1.1102230246251565e-16,0.0,-8.22810981498596,-8.22810981498596,1.7353286469017446,0.9999999999999982,2.3702266227796347e-26,1.7047516690739166e-15,0.9999999999999982,2.3702266227796347e-26,1.7047516690739166e-15,3.624308370606221,False,False,none,,False,1.7047516690739166e-15,0,-0.8297371321344651,0.0005563693828271265,0.06248674644501876,0.0004616403361144022,0.029439515243361046,-23.472395868814754,-2.9340494836018443,-0.19411355131263353,-5.184620593979622,-4.990507042666988,0.003538925451099133,0.0027598782060077667,0.003346575778838487,-0.002775316003456457,0.0011063163659437824,0.7847440058211873,1.098833889238152e-05,0.0,-0.002129723628635254,-0.0004865659488370925,-0.002129723628635254,0.0004865659488370925,0.7847330174822948,0.0,0.0,0.0,-2.1849739129314165e-21,,,,1.1102230246251565e-16,1.1102230246251565e-16,3.944304526851222e-31,0.0,True,,
fault|burst|c28|B|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c28/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|burst|c28|B|p0000,1,False,IDLE,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_burst_B__4acbc51d84725792,1,-1,1,1,e96600a7db4082729764c8235a15ec5433aba743ef3dae2cfa42068b24e09d63,0.003346575778838487,-0.002775316003456457,0.9882802352621753,0.011236436824030227,0.0004833279137944337,1.0,4.638365348611428e-28,2.888096048332614e-19,-0.987055202592747,0.1119684334399842,0.0,0.0,-8.317421034320095,-8.317421034320095,2.200462866638114,1.0,4.638365348611428e-28,2.888096048332614e-19,1.0,4.638365348611428e-28,2.888096048332614e-19,3.544940835575889,False,False,none,,False,2.888096048332614e-19,0,-0.827140652893585,-0.002219488902592858,0.061241758594281534,0.0004616073086172376,0.02943889222222708,-7.655346619860103,-0.9569183274825128,6.874007659948747,4.696370725199487,-2.17763693474926,0.004706351928224681,0.00042561302454079434,0.005629437208051084,-0.0035791555989715205,0.0005808813238717266,0.7502803629182682,0.75026428138906,0.0,0.0012855724032073928,0.00044897827459965367,0.0012855724032073928,-0.00044897827459965367,1.6081529208309435e-05,0.0,2.220446049250313e-16,0.0,-3.8982858187311147e-17,,,,0.0,0.0,7.703719807144367e-34,0.0,True,,
fault|burst|c28|B|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c28/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|burst|c28|B|p0000,2,False,HOLD,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_burst_B__4acbc51d84725792,2,-1,2,2,8e0de7a1706ca26f8f1e9b0f60db5883eb96d591a8c2ba87dca4e7873aea7126,0.005629437208051084,-0.0035791555989715205,0.988684151335545,0.010832877174752127,0.0004829714897029119,1.0,1.5667024748392157e-27,7.373196105094838e-26,-0.9635250416205701,-0.28469230668650775,0.0,0.0,-8.816376888288055,-8.816376888288053,1.947821168336726,1.0,1.5667024748392157e-27,7.373196105094838e-26,1.0,1.5667024748392157e-27,7.373196105094838e-26,3.470093486061167,False,False,none,,False,7.373196105094838e-26,0,-0.8255441458286228,-0.003023738385813172,0.060101527960666985,0.00046164811514106877,0.02943842130685143,-11.807437272832606,-1.4759296591040758,6.649536358422738,5.526054562244154,-1.1234817961785843,0.002977079561814424,-0.0010832208082167988,0.007460063244237697,-0.003185523263024408,0.00019252257190071264,0.7086023062298078,0.7085490865421292,0.0,-0.0006566948447052887,0.0016200211034359201,-0.0006566948447052887,-0.0016200211034359201,5.321968767860748e-05,0.0,0.0,0.0,-1.3713708435458085e-18,,,,0.0,0.0,2.5990162877525247e-40,1.7763568394002505e-15,True,,
fault|burst|c28|B|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c28/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|burst|c28|B|p0000,3,False,XZ,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_burst_B__4acbc51d84725792,3,-1,3,3,65fcc85f03be37f6d788aa1c9742d6e9451b7c0f0e41df3fb48963d0b4e18b07,0.007460063244237697,-0.003185523263024408,0.9886971732970131,0.010819788059786194,0.0004830386432006062,1.0,4.926201048263228e-25,8.907687539752332e-19,-0.8642489819703834,0.052061271007672334,0.0,6.938893903907228e-18,-12.697456490038315,-12.697456490038313,4.453819938924967,1.0,4.926201048263228e-25,8.907687539752332e-19,1.0,4.926201048263228e-25,8.907687539752332e-19,3.4686149540816507,False,False,none,,False,8.907687539752332e-19,0,-0.8237357142074052,-0.0026300288233437105,0.06006458412684639,0.0004617246326604618,0.029438510031560283,-10.872318437043416,-1.359039804630427,8.278619150819186,6.1041047441731395,-2.174514406646046,0.006869261993487387,0.0017208424705517482,0.01063082315438435,-0.005840095346301764,0.0017411038861542638,0.40393708203022904,0.000465334357772521,0.0,0.0016102820452314568,-0.006684662421407324,0.0016102820452314568,0.006684662421407324,0.4034717476724565,0.0,2.220446049250313e-16,0.0,-3.08952145353386e-17,,,,0.0,0.0,3.466681063065725e-33,1.7763568394002505e-15,True,,
fault|burst|c28|B|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c28/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|burst|c28|B|p0000,4,False,IDLE,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_burst_B__4acbc51d84725792,4,-1,4,4,27c64223a517db9b97578ce72fa91b1d6e917228c4e1b7065b02e16ac2978c54,0.17063082315438435,0.11415990465369823,0.9891113332724828,0.010406155458366385,0.00048251126915079505,1.0,7.572087430827804e-25,1.5030595763546704e-21,-0.6931277506840477,0.0036759656779508376,0.0,8.673617379884035e-18,-9.513416570092616,-9.513416570092616,2.915827264425221,1.0,7.572087430827804e-25,1.5030595763546704e-21,1.0,7.572087430827804e-25,1.5030595763546704e-21,3.3853125542809144,False,False,none,,False,1.5030595763546704e-21,0,-0.6612685779876145,0.11471479261322164,0.058894771987622024,0.0004616109612284341,0.029437813252804302,-15.599962474502718,-1.9499953093128397,-4.259956769824188,-0.4048948395337941,3.855061930290394,0.12322623367506742,-0.0975903013067551,0.16586739304306417,0.11309971443772827,0.08908649497005017,0.4247788803563809,0.42396520589731307,0.0,-0.003432576316872475,-0.009382340060245044,-0.003432576316872475,0.009382340060245044,0.0008136744590678123,0.0,1.1102230246251565e-16,0.0,-9.132824715888741e-20,,,,0.0,0.0,2.106586895719313e-35,0.0,True,,
fault|burst|c28|B|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c28/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|burst|c28|B|p0000,5,False,HOLD,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_burst_B__4acbc51d84725792,5,-1,5,5,112f26dcde17cc4776432dfe61f4777c465700d6bd943857ef7f6b16e8c9e93c,0.16586739304306417,0.11309971443772827,0.9895056492432595,0.010012185109970114,0.000482165646770384,1.0,5.176773558864748e-19,8.146582228412683e-18,-0.46962209292358364,0.049243167005198346,5.551115123125783e-17,0.0,-12.662775374697432,-12.662775374697432,4.06566410479742,1.0,5.176773558864748e-19,8.146582228412683e-18,1.0,5.176773558864748e-19,8.146582228412683e-18,3.3078991725343507,False,False,none,,False,8.146582228412683e-18,0,-0.6667020514702318,0.11365420493151421,0.057779755383030165,0.00046165184239926464,0.029437356608146132,-13.138688213047761,-1.6423360266309701,-6.175250548410968,-1.1950333297182585,4.98021721869271,0.12226490569386524,-0.09699249092373363,0.16542385272252527,0.10858084156734636,0.08658015973291394,0.4341113721721262,0.4329032929146903,0.0,-0.004910591179155815,-0.010616770907573531,-0.004910591179155815,0.010616770907573531,0.0012080792574358785,0.0,2.220446049250313e-16,0.0,-1.0255261541959033e-16,,,,0.0,0.0,3.640007594891876e-32,0.0,True,,
fault|burst|c28|B|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c28/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|burst|c28|B|p0000,6,False,XZ,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_burst_B__4acbc51d84725792,6,-1,6,6,330c406c67c8ab7b577091e342e61cccdd4a6e1f4d3c2e4f248e1b8e68345078,0.16542385272252527,0.10858084156734636,0.9894100993480762,0.010107569582086631,0.0004823310698371578,1.0,1.2242867861638981e-23,1.432643363190563e-18,-0.650688089718831,0.13468934048798575,0.0,0.0,-7.408995282262782,-7.408995282262781,2.0307766606619624,1.0,1.2242867861638981e-23,1.432643363190563e-18,1.0,1.2242867861638981e-23,1.432643363190563e-18,3.3278360105832827,False,False,none,,False,1.432643363190563e-18,0,-0.6669832975785659,0.1091355222976591,0.05804985192965931,0.0004617202060465488,0.02943757516914706,-14.680968161573508,-1.8351210201966885,-3.8906574289158415,-0.3495342524185796,3.541123176497262,0.12037842412230523,-0.09498613354983322,0.16702917444582024,0.1083723813523691,0.0855161251339118,0.26452890797836065,0.003176222521777415,0.0,-0.008104853325734076,-0.017794189593012495,-0.008104853325734076,0.017794189593012495,0.26135268545658324,0.0,0.0,0.0,-5.084850518596642e-18,,,,0.0,0.0,1.271134334446715e-32,8.881784197001252e-16,True,,
fault|burst|c28|B|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c28/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|burst|c28|B|p0000,7,False,IDLE,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_burst_B__4acbc51d84725792,7,-1,7,7,77597d1531dcd8c64ef614427f01dca126959051ca2039edf63716b327529fda,0.007029174445820241,-0.0116276186476309,0.9897553834332058,0.00976260747447616,0.00048200909231808773,1.0,7.232289851011568e-34,1.2198746418193674e-20,-1.2074912066077594,0.18962634594360234,0.0,0.0,-10.33084476741164,-10.33084476741164,2.0049399867831377,1.0,7.232289851011568e-34,1.2198746418193674e-20,1.0,7.232289851011568e-34,1.2198746418193674e-20,3.2641249466341047,False,False,none,,False,1.2198746418193674e-20,0,-0.8259646851190998,-0.0110733081914651,0.05707297835793826,0.00046173720627874185,0.029437149764508855,-21.57529740589067,-2.6969121757363337,-2.177775243046642,-5.892485321662603,-3.7147100786159606,0.0022907205640355036,0.005595916258351095,0.008979745833992166,-0.012467398083099622,-0.00316833330499376,0.2615796149011677,0.25760089669272,0.0,0.010497561350296213,-0.01764718072882245,0.010497561350296213,0.01764718072882245,0.003978718208447694,0.0,0.0,0.0,-2.6956673629359242e-17,,,,0.0,0.0,7.97455367597951e-35,0.0,True,,
fault|burst|c28|B|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c28/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|burst|c28|B|p0000,8,False,HOLD,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_burst_B__4acbc51d84725792,8,-1,8,8,6e0164ca0ce94bb618678e67ec2e4ae9c6c52d26d4841700f5e5a7875ade8fac,0.008979745833992166,-0.012467398083099622,0.9900504773393843,0.009467779110474193,0.00048174355014155533,0.9999999999999997,9.544868440796e-28,3.1174086876616086e-16,-0.9662647835932424,0.26610787095884336,0.0,0.0,-10.439201035066123,-10.439201035066123,2.695711071539253,0.9999999999999997,9.544868440796e-28,3.1174086876616086e-16,0.9999999999999997,9.544868440796e-28,3.1174086876616086e-16,3.2033697285869462,False,False,none,,False,3.1174086876616086e-16,0,-0.8245155476605814,-0.011913393000436834,0.05623753600741743,0.00046176062897150647,0.02943679892343059,-16.51569936597494,-2.0644624207468674,0.5247934231045503,-4.996776194596346,-5.521569617700896,-0.0006789447805138631,0.0025708410520140115,0.007107517108693009,-0.01308623077415001,-0.0012029738560758415,0.25738880018801524,0.25269934005327566,0.0,0.011882713519965648,-0.016071327735103585,0.011882713519965648,0.016071327735103585,0.004689460134739603,0.0,2.220446049250313e-16,0.0,-5.823163643943902e-17,,,,0.0,0.0,3.3306690738754864e-16,0.0,True,,
fault|burst|c28|B|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c28/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|burst|c28|B|p0000,9,False,XZ,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_burst_B__4acbc51d84725792,9,-1,9,9,bfaf9894c3ddd0b65e5b2cd6a2635db879bc5c9845f5fe256cd0d5aa8f57f633,0.007107517108693009,-0.01308623077415001,0.989721014628605,0.00979686814355627,0.00048211722783875855,0.9999999999662114,2.4545157210716266e-18,3.378863675033946e-11,-0.601643874262427,0.2849156865413713,0.0,5.551115123125783e-17,-17.452244572788157,-17.452244572788157,5.497442876392711,0.9999999999662114,2.4545157210716266e-18,3.378863675033946e-11,0.9999999999662114,2.4545157210716266e-18,3.378863675033946e-11,3.2795890780172394,False,False,none,,False,3.378863675033946e-11,0,-0.8258280074035983,-0.012531795962135439,0.05717008230832052,0.0004618084509532315,0.029437292635855983,-12.86293221663756,-1.607866527079695,-7.655111794655042,-1.45505293247792,6.200058862177122,0.0024732588922426477,0.005664913559429153,0.011308236119098878,-0.011922360228406623,0.0009621008150467224,0.18356716084784658,0.005711095297678688,0.0,-0.019357502920411586,-0.012236205329282423,-0.019357502920411586,0.012236205329282423,0.1778560655501679,0.0,0.0,0.0,-6.398571966605688e-19,,,,0.0,0.0,1.2212453271329086e-15,0.0,True,,
