row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|step|c28|B|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c28/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|step|c28|B|p0000,0,False,IDLE,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_step_B__1e4ce07d7ed03c9e,0,-1,0,0,b7dbdebb9b3b302763789b48504d25d54696fa629dc5bda4a463f0b96f6bccaa,0.0,0.0,0.9879739266678618,0.011542474861382273,0.0004835984707559197,0.9999999999999982,2.342512723450379e-26,1.7038103139315066e-15,-0.9244184296870899,0.2833944248678364,1.1102230246251565e-16,0.0,-8.227972999954078,-8.227972999954078,1.7353286469017446,0.9999999999999982,2.342512723450379e-26,1.7038103139315066e-15,0.9999999999999982,2.342512723450379e-26,1.7038103139315066e-15,3.6001819214886055,False,False,none,,False,1.7038103139315066e-15,0,-0.8299667340355075,0.0005561382413693076,0.06210582049931183,0.0004615762398615351,0.02943924968783119,-13.355559995744073,-1.6694449994680092,-5.543054473208712,-0.764447441926646,4.778607031282066,0.001038925451099133,0.00025987820600776684,-0.0002534242211615132,-0.0009753160034564567,-0.0012936836340562174,0.9659835019299963,0.9659802593906403,0.0,0.0004961484302546384,-0.0005699374600876016,0.0004961484302546384,0.0005699374600876016,3.2425393561209973e-06,0.0,0.0,0.0,-1.020248320124984e-18,,,,1.1102230246251565e-16,1.1102230246251565e-16,1.9721522632304608e-30,0.0,True,,
fault|step|c28|B|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c28/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|step|c28|B|p0000,1,False,X,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_step_B__1e4ce07d7ed03c9e,1,-1,1,1,4d5192fe0da7d35acc5420f9fad00557854f245bca901ba925a5cf0e15076074,-0.0002534242211615132,-0.0009753160034564567,0.9883363338777579,0.01118034629456273,0.00048331982767940067,1.0,4.6149493942073855e-28,2.887883802777738e-19,-0.9906552025927469,0.11376843343998419,0.0,0.0,-8.317364272056261,-8.317364272056261,2.200462866638114,1.0,4.6149493942073855e-28,2.887883802777738e-19,1.0,4.6149493942073855e-28,2.887883802777738e-19,3.5345107457751093,False,False,none,,False,2.887883802777738e-19,0,-0.8308360136668773,-0.000419498201625146,0.06108336353415103,0.0004616525891050758,0.029438881538677172,-12.241233901043467,-1.5301542376304333,-5.259644297737069,-1.7540486653517773,3.505595632385292,0.0047438519282246815,-0.0020368869754592055,0.0038582372080510846,-0.0026935555989715206,-0.0005591186761282731,0.825935929924777,1.558915794433388e-05,0.0,0.0016083149007135933,-0.00010501499358711109,0.0016083149007135933,0.00010501499358711109,0.8259203407668326,0.0,2.220446049250313e-16,0.0,-1.1056128398490555e-16,,,,0.0,0.0,8.666684773956999e-34,0.0,True,,
fault|step|c28|B|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c28/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|step|c28|B|p0000,2,False,Z,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_step_B__1e4ce07d7ed03c9e,2,-1,2,2,46834a7360b08613c3a9741dadc51257d74457400619ce1bcb1b0a065cba01c0,0.0038582372080510846,-0.0026935555989715206,0.9886754168959567,0.010841566155623693,0.00048301694841960816,1.0,1.5679729688971157e-27,7.373955236829266e-26,-0.9652962416205699,-0.28380670668650776,0.0,0.0,-8.816385722735495,-8.816385722735493,1.9478211683367261,1.0,1.5679729688971157e-27,7.373955236829266e-26,1.0,1.5679729688971157e-27,7.373955236829266e-26,3.4715533677643475,False,False,none,,False,7.373955236829266e-26,0,-0.8273005359212319,-0.0021380861082889715,0.06012611410499181,0.00046168334038645535,0.029438481367929852,-17.14671195957187,-2.143338994946484,-0.7558691006468647,-3.617337342363758,-2.861468241716893,0.0030140170618144246,-0.0010087833082167983,0.007413032844237697,-0.0031620080630244077,0.00022102257190071296,0.7109449202487481,0.7108986129535517,0.0,-1.1313617802828191e-05,-0.0017934271700656337,-1.1313617802828191e-05,0.0017934271700656337,4.630729519636656e-05,0.0,0.0,0.0,-9.479160412548415e-20,,,,0.0,0.0,1.02005559892675e-39,1.7763568394002505e-15,True,,
fault|step|c28|B|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c28/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|step|c28|B|p0000,3,False,XZ,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_step_B__1e4ce07d7ed03c9e,3,-1,3,3,22e272f01de99b27b8d27db9689b9c31136dffb83b8a200fdba0a5560436d06a,0.007413032844237697,-0.0031620080630244077,0.9886818168777652,0.0108351313827983,0.00048305173943641175,1.0,4.933263417838466e-25,8.908067406551005e-19,-0.8642960123703832,0.05208478620767234,1.1102230246251565e-16,0.0,-12.697472022133397,-12.697472022133397,4.453819938924967,1.0,4.933263417838466e-25,8.908067406551005e-19,1.0,4.933263417838466e-25,8.908067406551005e-19,3.470903932263938,False,False,none,,False,8.908067406551005e-19,0,-0.8237566498264842,-0.0026064985626725345,0.06010795372730858,0.00046172265512803805,0.029438527334599673,-18.523901512533325,-2.3154876890666656,-8.301916409845765,-1.31940154792939,6.982514861916376,0.006905645430987387,0.0017941634080517487,0.01058416899758435,-0.005816768267901764,0.0017688913861542645,0.405545842306413,0.00038953987290905027,0.0,0.0010240705382188729,-0.005902453105848046,0.0010240705382188729,0.005902453105848046,0.4051563024335039,0.0,2.220446049250313e-16,0.0,-2.4183515889902123e-18,,,,0.0,0.0,2.118528540791225e-33,0.0,True,,
fault|step|c28|B|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c28/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|step|c28|B|p0000,4,False,IDLE,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_step_B__1e4ce07d7ed03c9e,4,-1,4,4,a9074cc7027f4cfc9e25b2a3cf1debe550981e12ca75eaeefbd40c4b97ad8594,0.11058416899758436,-0.06581676826790177,0.9890781952872185,0.010439220836036241,0.00048258387674535267,1.0,7.596402107349803e-25,1.5033361205235872e-21,-0.7531744048408477,-0.17630070724364919,0.0,0.0,-9.513450073439785,-9.513450073439781,2.915827264425222,1.0,7.596402107349803e-25,1.5033361205235872e-21,1.0,7.596402107349803e-25,1.5033361205235872e-21,3.3933284597759137,False,False,none,,False,1.5033361205235872e-21,0,-0.7212589592859205,-0.06526179680964461,0.05898834307656399,0.0004616491939446908,0.02943790918367625,-21.027310305331184,-2.628413788166398,0.6961335183517132,-4.444824238706068,-5.140957757057781,0.07401207136100493,-0.03841808018331759,0.10630111211951855,-0.06543714510049892,0.04036358778255016,0.4096772757205172,0.40892235243382746,0.0,-0.0023667553817068383,-0.008989841830193704,-0.0023667553817068383,0.008989841830193704,0.0007549232866897507,0.0,2.220446049250313e-16,0.0,-4.1424205588139054e-17,,,,0.0,0.0,1.918737388328142e-35,3.552713678800501e-15,True,,
fault|step|c28|B|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c28/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|step|c28|B|p0000,5,False,X,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_step_B__1e4ce07d7ed03c9e,5,-1,5,5,e81b3ed0199346e11063ea0f18cbecb02f088dcfd9f9653f11abe9556afa1f28,0.10630111211951855,-0.06543714510049892,0.9891518144620528,0.010365630630797902,0.0004825549071492948,1.0,5.361438804131743e-19,8.156075610404564e-18,-0.5291883738471292,-0.12929369253302883,0.0,0.0,-12.663133026076176,-12.663133026076176,4.06566410479742,1.0,5.361438804131743e-19,8.156075610404564e-18,1.0,5.361438804131743e-19,8.156075610404564e-18,3.3790166586942716,False,False,none,,False,8.156075610404564e-18,0,-0.7256671441370481,-0.06488220695727723,0.05878017466099245,0.00046169091934640543,0.02943787090836214,-11.397174443508858,-1.4246468054386072,-6.2867576772311,-2.2868619902682044,3.999895686962896,0.07628895581451368,-0.038707853117147674,0.10804410204636802,-0.06938272309457501,0.04021532522510144,0.2861288883234488,0.004645791706125974,0.0,0.01028205486741853,0.02463003801557566,0.01028205486741853,-0.02463003801557566,0.2814830966173228,0.0,2.220446049250313e-16,0.0,-3.847223714476533e-17,,,,0.0,0.0,4.304453425705472e-32,0.0,True,,
fault|step|c28|B|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c28/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|step|c28|B|p0000,6,False,Z,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_step_B__1e4ce07d7ed03c9e,6,-1,6,6,ef449fbf3ad36421b2e4b2da3e012e8daca1655c02f0deadce19b6c374b358bc,0.10804410204636802,-0.06938272309457501,0.9893138274278235,0.010203762483386718,0.00048241008878978207,1.0,1.2360584933412103e-23,1.43301750511311e-18,-0.7080678403949882,-0.04327422417393562,0.0,6.938893903907228e-18,-7.409092589339354,-7.4090925893393536,2.030776660661963,1.0,1.2360584933412103e-23,1.43301750511311e-18,1.0,1.2360584933412103e-23,1.43301750511311e-18,3.350025990217204,False,False,none,,False,1.43301750511311e-18,0,-0.7241994531564032,-0.06882795149246676,0.058322123534301204,0.0004617050904641067,0.02943767957089398,-17.035576799978536,-2.129447099997317,6.730938254793333,4.341601426936739,-2.389336827856594,0.07259211349114394,-0.03757576531034605,0.10830846177507228,-0.0672674747922569,0.03911041148879461,0.23791368762394682,0.23452631971145185,0.0,-0.010070512087957497,0.017073061095776845,-0.010070512087957497,-0.017073061095776845,0.0033873679124949703,0.0,0.0,0.0,-6.57721162226802e-17,,,,0.0,0.0,1.3289112042207752e-32,8.881784197001252e-16,True,,
fault|step|c28|B|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c28/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|step|c28|B|p0000,7,False,XZ,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_step_B__1e4ce07d7ed03c9e,7,-1,7,7,a3f30ec178fc34cc809ce7a7203a74d10d2882b5c13033e02af369a9e952068d,0.10830846177507228,-0.0672674747922569,0.9889832345983524,0.010534019528284979,0.00048274587336264807,1.0,7.809856561449466e-34,1.2226931696769057e-20,-1.1062119192785076,0.13398648979897632,2.220446049250313e-16,0.0,-10.33162521296115,-10.331625212961152,2.0049399867831372,1.0,7.809856561449466e-34,1.2226931696769057e-20,1.0,7.809856561449466e-34,1.2226931696769057e-20,3.4211929351116925,False,False,none,,False,1.2226931696769057e-20,0,-0.723373371034485,-0.06671231703788985,0.05925654508103108,0.00046171461865042224,0.029438123217389867,-8.198468739730359,-1.0248085924662949,6.619544506173519,4.620991397742867,-1.9985531084306523,0.07592120459234163,-0.033854871025754046,0.1130487988646102,-0.06946213537856862,0.041736095891016976,0.15008886698843743,0.005243198890173229,0.0,-0.01706338387113599,-0.014134935705372905,-0.01706338387113599,0.014134935705372905,0.14484566809826419,0.0,0.0,0.0,-7.260814835268644e-17,,,,0.0,0.0,1.218752542932575e-34,1.7763568394002505e-15,True,,
fault|step|c28|B|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c28/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|step|c28|B|p0000,8,False,IDLE,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_step_B__1e4ce07d7ed03c9e,8,-1,8,8,1c1c700b3d700533f4dc93ba56bfc3b326abf7195a9cd57903ea1c33935ae92f,0.1130487988646102,-0.06946213537856862,0.9893918092380372,0.010125895533290536,0.00048229522867227387,0.9999999999999997,1.0215139436805219e-27,3.123056382351666e-16,-0.8621957305626244,0.20911313366337436,0.0,2.7755575615628914e-17,-10.439866543861326,-10.439866543861326,2.695711071539253,0.9999999999999997,1.0215139436805219e-27,3.123056382351666e-16,0.9999999999999997,1.0215139436805219e-27,3.123056382351666e-16,3.341348901552493,False,False,none,,False,3.123056382351666e-16,0,-0.7193272277844245,-0.0689074958655955,0.05810169195724983,0.00046166863403111704,0.02943752781492973,-18.41024058036285,-2.301280072545356,2.0458715937424827,-3.2212337192454994,-5.267105312987982,0.07184708198736767,-0.03628818442282955,0.11025401771506609,-0.06958001017125524,0.04251884461003463,0.16574022339364441,0.15931608241795514,0.0,0.020696115912340652,-0.013781846816651178,0.020696115912340652,0.013781846816651178,0.0064241409756892725,0.0,0.0,0.0,-9.383502630989425e-20,,,,0.0,0.0,3.330669073875477e-16,0.0,True,,
fault|step|c28|B|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c28/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,28,high_cutoff_state_design_pilot,1431000,0,fault|step|c28|B|p0000,9,False,X,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,pilot_c28_fault_step_B__1e4ce07d7ed03c9e,9,-1,9,9,4e32fe45cf6f4121b66cb2cf034383355f3bd45c341216fcdcdf20784848b30c,0.11025401771506609,-0.06958001017125524,0.9892665888162062,0.01025097212166726,0.00048243906212656646,0.9999999999661733,2.569467078898389e-18,3.382672352298729e-11,-0.49849737365605407,0.22842190714426608,0.0,2.7755575615628914e-17,-17.45270382358847,-17.452703823588475,5.497442876392711,0.9999999999661733,2.569467078898389e-18,3.382672352298729e-11,0.9999999999661733,2.569467078898389e-18,3.382672352298729e-11,3.3697978965269004,False,False,none,,False,3.382672352298729e-11,0,-0.721909256475292,-0.0690252052498097,0.05845572286639648,0.0004616882799670545,0.029437717851161522,-9.15919592188916,-1.144899490236145,6.639794523910007,4.291092536110625,-2.348701987799382,0.07391139525860596,-0.03511122653329176,0.11182956472062097,-0.06706418939033501,0.042390873819504425,0.12929436062083677,0.016680512063303902,0.0,0.03552321760494488,0.007146098313292232,0.03552321760494488,-0.007146098313292232,0.11261384855753287,0.0,1.1102230246251565e-16,0.0,-2.6866636340234632e-18,,,,0.0,0.0,1.3322676296665101e-15,3.552713678800501e-15,True,,
