row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|telegraph|c28|A|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c28/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,28,high_cutoff_state_design_pilot,1430000,0,fault|telegraph|c28|A|p0000,0,False,X,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,pilot_c28_fault_telegraph_A__21d9532750d09f30,0,-1,0,0,b17ec858b0f55ebe89746e765bf32792773cbbb6e34bdd4a82eef17e43b3910f,-0.08,0.05,0.9879033317211918,0.01161299342384005,0.0004836748549681372,0.9999999999999998,5.692404280047179e-23,1.9076504682999726e-16,-0.8724551107897593,0.181015879810108,0.0,0.0,-11.748566129667386,-11.748566129667386,3.880576455266853,0.9999999999999998,5.692404280047179e-23,1.9076504682999726e-16,0.9999999999999998,5.692404280047179e-23,1.9076504682999726e-16,3.6132175897133267,False,False,none,,False,1.9076504682999726e-16,0,-0.909846787552749,0.05055622608321336,0.06230485410566819,0.00046158242830765306,0.029439350608239715,-13.509707291412546,-1.6887134114265683,3.9165913152874183,3.7682518444222635,-0.14833947086515487,0.052441062684797514,0.03014195978217012,-0.07479659562387747,0.04885889978518987,0.03035792434093549,0.8617955755192976,1.1835937574830608e-05,0.0,0.002029528888529848,0.0005859825151795294,0.002029528888529848,-0.0005859825151795294,0.8617837395817228,0.0,2.220446049250313e-16,0.0,-8.718284635831856e-18,,,,0.0,0.0,2.220446049250328e-16,0.0,True,,
fault|telegraph|c28|A|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c28/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,28,high_cutoff_state_design_pilot,1430000,0,fault|telegraph|c28|A|p0000,1,False,Z,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,pilot_c28_fault_telegraph_A__21d9532750d09f30,1,-1,1,1,fa04e4bbbe3274f0946a092a6f078390c527ef28e071731cf48584c3562de257,-0.07479659562387747,0.04885889978518987,0.9882850584520696,0.011231602393777067,0.0004833391541533259,1.0,2.5016218603309527e-26,3.8522695920985737e-23,-0.9976338677242317,-0.10978160314920817,0.0,0.0,-8.763785317106926,-8.763785317106926,2.4254034572466177,1.0,2.5016218603309527e-26,3.8522695920985737e-23,1.0,2.5016218603309527e-26,3.8522695920985737e-23,3.543989453352813,False,False,none,,False,3.8522695920985737e-23,0,-0.9052920332734262,0.04941473981246619,0.061228115504408855,0.00046162260671598845,0.02943890707323185,-18.79608769077991,-2.3495109613474887,-5.732173271325503,-1.8826433513160916,3.8495299200094113,0.04879045766167963,0.0280746686505131,-0.07076982091733766,0.05003377786340246,0.032010878381512925,0.759516951432924,0.7594989709319064,0.0,-0.0016170594302468905,-0.00026250297498401834,-0.0016170594302468905,0.00026250297498401834,1.798050101754154e-05,0.0,0.0,0.0,-1.0301342129239065e-19,,,,0.0,0.0,1.5292905997709487e-37,0.0,True,,
fault|telegraph|c28|A|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c28/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,28,high_cutoff_state_design_pilot,1430000,0,fault|telegraph|c28|A|p0000,2,False,IDLE,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,pilot_c28_fault_telegraph_A__21d9532750d09f30,2,-1,2,2,894b344c549820219a7702e8874291c6cd5702991623a422643486ea7739da2d,-0.07076982091733766,0.05003377786340246,0.9886893766133348,0.010827681722130795,0.0004829416645344725,1.0,9.754439572422396e-32,2.2383984597417392e-23,-1.203977418174507,0.033319081597146125,0.0,0.0,-14.826538076142322,-14.82653807614232,4.819197633650433,1.0,9.754439572422396e-32,2.2383984597417392e-23,1.0,9.754439572422396e-32,2.2383984597417392e-23,3.469113768796738,False,False,none,,False,2.2383984597417392e-23,0,-0.901952261574861,0.05058916077761711,0.06008682498997652,0.00046162452613641514,0.029438381901165437,-15.985222125778362,-1.9981527657222953,-7.397447368682432,-1.5025743946491117,5.89487297403332,0.04761748334038468,0.026956744709986078,-0.07200340467039906,0.04910947776280971,0.031845587090892476,0.717091517699128,0.7170370265227961,0.0,-0.0003260238517163842,0.0012464198214439447,-0.0003260238517163842,-0.0012464198214439447,5.4491176331988626e-05,0.0,2.220446049250313e-16,0.0,-3.9417408055110344e-19,,,,0.0,0.0,5.877472323388939e-39,1.7763568394002505e-15,True,,
fault|telegraph|c28|A|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c28/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,28,high_cutoff_state_design_pilot,1430000,0,fault|telegraph|c28|A|p0000,3,False,X,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,pilot_c28_fault_telegraph_A__21d9532750d09f30,3,-1,3,3,8ee28dd7258f03ceb735c90d32a5f7992c9f60780749743db68a85a0023e12fd,0.007996595329600939,-0.0008905222371902929,0.988859568153167,0.010657581447551443,0.00048285039928152446,0.9999999999997189,7.3874753268878e-15,2.736537687653658e-13,-0.46650389563612044,0.07721281040022654,0.0,0.0,-12.065380023710842,-12.065380023710842,3.014022616591408,0.9999999999997189,7.3874753268878e-15,2.736537687653658e-13,0.9999999999997189,7.3874753268878e-15,2.736537687653658e-13,3.4367832534708507,False,False,none,,False,2.736537687653658e-13,0,-0.8234750933701722,-0.0003352442780165398,0.059605971477266456,0.0004616979024119642,0.029438261319437872,-15.944719423977762,-1.9930899279972203,-6.187722959357069,-1.4846783333263653,4.703044626030705,-0.0019410843690227816,-0.0033394209405501938,0.008158167301317142,-0.001920263508724295,0.00231722529875674,0.5115259574226477,0.0006752033718112344,0.0,-0.0015845205971356808,0.009540151753892221,-0.0015845205971356808,-0.009540151753892221,0.5108507540508365,0.0,2.220446049250313e-16,0.0,-1.259261078941466e-16,,,,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098516466e-16,0.0,True,,
fault|telegraph|c28|A|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c28/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,28,high_cutoff_state_design_pilot,1430000,0,fault|telegraph|c28|A|p0000,4,False,Z,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,pilot_c28_fault_telegraph_A__21d9532750d09f30,4,-1,4,4,c5280335765dee481d9e64aaab5ab2287e7ff83b0fbc72433ea0b5f4fc05d42a,0.008158167301317142,-0.001920263508724295,0.9890884763597173,0.01042885946178329,0.0004826641784994466,1.0,5.662409753036264e-30,1.0816124332419665e-21,-1.055603653387128,0.027175218308302086,0.0,3.469446951953614e-18,-13.517042188894129,-13.517042188894127,4.487529989669188,1.0,5.662409753036264e-30,1.0816124332419665e-21,1.0,5.662409753036264e-30,1.0816124332419665e-21,3.3943923000799288,False,False,none,,False,1.0816124332419665e-21,0,-0.8237025070619267,-0.0013651997034499317,0.058959093578963284,0.00046173575137016033,0.02943801528023759,-16.490192897209127,-2.061274112151141,-7.02367027431078,-2.1321203221243845,4.891549952186396,-0.0008936542096478282,0.0013803750172617238,0.006745359096525903,-0.0024032287558115777,0.002756793993435482,0.4032798131923202,0.4023229417236489,0.0,0.0017061960128622305,0.011082641996198569,0.0017061960128622305,-0.011082641996198569,0.0009568714686713395,0.0,2.220446049250313e-16,0.0,-5.619791055476702e-17,,,,0.0,0.0,5.266214763850719e-36,1.7763568394002505e-15,True,,
fault|telegraph|c28|A|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c28/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,28,high_cutoff_state_design_pilot,1430000,0,fault|telegraph|c28|A|p0000,5,False,IDLE,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,pilot_c28_fault_telegraph_A__21d9532750d09f30,5,-1,5,5,edfa9324bd4f48c4b963f71ad5930f349f468ba63f0dd5f5e9224d1e82afd113,0.006745359096525903,-0.0024032287558115777,0.9894305662390794,0.010087133685476821,0.0004823000754437136,1.0,1.4334986101341224e-32,1.561541227889437e-25,-1.157735816613728,-0.12029793049290623,2.220446049250313e-16,1.3877787807814457e-17,-21.423355422672145,-21.423355422672145,7.60086321404888,1.0,1.4334986101341224e-32,1.561541227889437e-25,1.0,1.4334986101341224e-32,1.561541227889437e-25,3.3274357499209257,False,False,none,,False,1.561541227889437e-25,0,-0.8256965585740363,-0.0018485836690513072,0.05799199190044878,0.00046170981964927503,0.029437534218602044,-14.685235319872511,-1.835654414984064,-1.0564499545776593,-4.553099726227707,-3.496649771650047,-0.00045082958028340437,0.0038049490672532257,0.0060868104305621925,-0.0011056659277658065,0.002484522458294143,0.3866804391463422,0.38512606193663584,0.0,-0.0013404804268812203,-0.014078184902364389,-0.0013404804268812203,0.014078184902364389,0.0015543772097063974,0.0,0.0,0.0,-2.811080602024482e-19,,,,0.0,0.0,5.510129824217694e-40,0.0,True,,
fault|telegraph|c28|A|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c28/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,28,high_cutoff_state_design_pilot,1430000,0,fault|telegraph|c28|A|p0000,6,False,X,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,pilot_c28_fault_telegraph_A__21d9532750d09f30,6,-1,6,6,7ce485d73c2d3a12f5da085bdf0fd54b29d689fa9f0cb55a42e285cb4a1f43dd,-0.0739131895694378,0.048894334072234195,0.989436112324952,0.010081580204478975,0.0004823074705689434,0.9999999999999952,8.277604589076061e-29,4.729447831384647e-15,-1.0916541778312094,0.4269382061146483,0.0,0.0,-10.257287309627982,-10.25728730962798,1.9894885084228389,0.9999999999999952,8.277604589076061e-29,4.729447831384647e-15,0.9999999999999952,8.277604589076061e-29,4.729447831384647e-15,3.3270328844533132,False,False,none,,False,4.729447831384647e-15,0,-0.9063645418718399,0.049448987663388476,0.057976278902415884,0.0004617221320157681,0.029437543989221247,-17.732571232420735,-2.216571404052592,-6.9000263870761795,-2.3392412510368796,4.5607851360393,0.05252510557675259,0.03451277296326509,-0.07573589456198683,0.04853525140192116,0.0318405199547458,0.25838075351524165,0.008076766277401684,0.0,0.018403682265245677,0.028754210684540964,0.018403682265245677,-0.028754210684540964,0.25030398723784,0.0,0.0,0.0,-7.673554163811072e-19,,,,0.0,0.0,5.551115123126153e-16,1.7763568394002505e-15,True,,
fault|telegraph|c28|A|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c28/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,28,high_cutoff_state_design_pilot,1430000,0,fault|telegraph|c28|A|p0000,7,False,Z,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,pilot_c28_fault_telegraph_A__21d9532750d09f30,7,-1,7,7,9869de99121f567e9243c3c1d35356d15105e8ffd01b56121899cfbed188ead7,-0.07573589456198683,0.04853525140192116,0.9895641729190634,0.009953631992821248,0.0004821950881153247,1.0,4.2341146722440894e-27,3.7231231361311616e-22,-1.0265983234048015,-0.03248849783986108,2.220446049250313e-16,0.0,-10.091539316498835,-10.091539316498835,3.1477005163942025,1.0,4.2341146722440894e-27,3.7231231361311616e-22,1.0,4.2341146722440894e-27,3.7231231361311616e-22,3.3054173627334906,False,False,none,,False,3.7231231361311616e-22,0,-0.9084048543492926,0.04908977575325378,0.0576140174555627,0.00046173521480086596,0.029437395506776296,-17.45256561375575,-2.1815707017194685,-7.859905184853707,-1.8205022538214166,6.03940293103229,0.04959260244185132,0.037935862180994685,-0.0721286278953769,0.05211005702929714,0.031938817452011596,0.21498027731047717,0.20898979776199317,0.0,-0.017625789806055288,0.018653597102078933,-0.017625789806055288,-0.018653597102078933,0.005990479548483999,0.0,0.0,0.0,-2.904669072181222e-18,,,,0.0,0.0,2.2570316620323715e-36,0.0,True,,
fault|telegraph|c28|A|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c28/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,28,high_cutoff_state_design_pilot,1430000,0,fault|telegraph|c28|A|p0000,8,False,IDLE,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,pilot_c28_fault_telegraph_A__21d9532750d09f30,8,-1,8,8,9c7890670538dcec0deda11b70d96053a8382e93db8d114e324f605ba111b503,-0.0721286278953769,0.05211005702929714,0.9898737113452618,0.009644413629426599,0.0004818750253116537,1.0,2.3463745725977005e-24,8.450195152468771e-19,-0.9154260411222794,0.08512671368742716,0.0,1.3877787807814457e-17,-8.369430540637204,-8.369430540637204,2.479121335115642,1.0,2.3463745725977005e-24,8.450195152468771e-19,1.0,2.3463745725977005e-24,8.450195152468771e-19,3.2427819340696997,False,False,none,,False,8.450195152468771e-19,0,-0.9053235309538368,0.052664213308405546,0.056738098811615977,0.0004617201872509616,0.029436972631792985,-14.709411330215566,-1.8386764162769458,-6.681296991445882,-2.973428708821202,3.7078682826246805,0.048543284532780846,0.03750317726206564,-0.07149547539781702,0.05553536724222865,0.031181145634950534,0.21452551670811545,0.2069344278828784,0.0,0.021187305345779072,-0.01773512984577089,0.021187305345779072,0.01773512984577089,0.007591088825237054,0.0,2.220446049250313e-16,0.0,-5.940763194536227e-17,,,,0.0,0.0,2.503742355824008e-33,0.0,True,,
fault|telegraph|c28|A|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c28/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,28,high_cutoff_state_design_pilot,1430000,0,fault|telegraph|c28|A|p0000,9,False,X,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,pilot_c28_fault_telegraph_A__21d9532750d09f30,9,-1,9,9,124e32daf959e162cf73f7baf6577f284ee68baad9846e00de70ade2308c0e1a,0.008504524602182983,0.005535367242228646,0.9897397654496921,0.009778185186105282,0.0004820493642025762,1.0,5.194920092660537e-32,8.278305114688679e-24,-1.1336315362268967,-0.0294180587522073,0.0,6.938893903907228e-18,-9.66065078950317,-9.66065078950317,2.390611701980739,1.0,5.194920092660537e-32,8.278305114688679e-24,1.0,5.194920092660537e-32,8.278305114688679e-24,3.2729282241173117,False,False,none,,False,8.278305114688679e-24,0,-0.8244628186218658,0.006089724011061609,0.05711712445663328,0.00046176108493306106,0.029437202972730756,-13.281963712065448,-1.660245464008181,0.43692071958788237,-4.004467890380075,-4.441388609967957,0.00011290640921556537,0.006714097744406114,0.00853680576176103,0.008340774555059603,0.0023966115008394124,0.15759430426523172,0.019361882287915196,0.0,0.03929825629298475,0.010851420337299097,0.03929825629298475,-0.010851420337299097,0.13823242197731653,0.0,0.0,0.0,-1.5342202702505205e-17,,,,0.0,0.0,6.759092543502499e-38,0.0,True,,
