row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|burst|c36|A|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c36/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c36|A|p0000,0,False,XZ,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_burst_A__6b19cbecdf3a88fa,0,-1,0,0,395903fff1ad7a554afe068319c45deee1d9284f11e19fd611892efb9ea61a8a,0.0,0.0,0.986961944298971,0.012553637593094726,0.0004844181079343438,1.0,1.1126575862778889e-19,8.446174147732859e-18,-0.6654111989278816,-0.0410172323185217,0.0,0.0,-14.503226812671137,-14.503226812671137,5.027253875307156,1.0,1.1126575862778889e-19,8.446174147732859e-18,1.0,1.1126575862778889e-19,8.446174147732859e-18,3.692315416799558,False,False,none,,False,8.446174147732859e-18,0,-0.8282470606999948,0.0005570808241244953,0.0649568143588366,0.000461400555153444,0.02944033260869856,-13.2086421936803,-1.6510802742100374,-5.320000065854681,-3.0187669558286903,2.301233110025991,0.004928823420025182,0.0023474478031113473,0.003059744465464675,-0.002839347353430154,0.0017213498590539587,0.7801105506350529,6.72930566386698e-06,0.0,-0.0009656025825715321,-0.00017440721128333727,-0.0009656025825715321,0.00017440721128333727,0.7801038213293889,0.0,1.1102230246251565e-16,0.0,-9.45904733647046e-20,,,,0.0,0.0,3.129636159629258e-32,0.0,True,,
fault|burst|c36|A|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c36/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c36|A|p0000,1,False,IDLE,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_burst_A__6b19cbecdf3a88fa,1,-1,1,1,b714b7f8fd2c0e100e3393876180fe9493a664bec0575675bb07652c8a12a2e1,0.003059744465464675,-0.002839347353430154,0.9876194692565469,0.011896736717608594,0.00048379402584452087,0.9999999999988597,7.151714108474025e-20,1.1402551837843104e-12,-0.6689173814886868,0.2568852976153128,0.0,0.0,-11.465951574645375,-11.465951574645375,3.120835564989636,0.9999999999988597,7.151714108474025e-20,1.1402551837843104e-12,0.9999999999988597,7.151714108474025e-20,1.1402551837843104e-12,3.5964939881947036,False,False,none,,False,1.1402551837843104e-12,0,-0.8263045781926328,-0.002282984223708955,0.0631052791182024,0.0004614277302331614,0.029439508059247263,-17.715435752914377,-2.214429469114297,-1.0908385657474096,-4.641763945118318,-3.5509253793709084,0.005033787308743832,0.0028202746553837414,0.0007640992911766807,-0.003468256853318913,0.0007573362844668057,0.7452487321351153,0.7452349020819099,0.0,0.0002079305069513207,0.0003460829742749271,0.0002079305069513207,-0.0003460829742749271,1.3830053205462178e-05,0.0,0.0,0.0,-8.546151499039427e-20,,,,0.0,0.0,1.1102230246473709e-16,0.0,True,,
fault|burst|c36|A|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c36/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c36|A|p0000,2,False,HOLD,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_burst_A__6b19cbecdf3a88fa,2,-1,2,2,63be3a14de3daa103e66ab3d99d20b194a0596a824e2c44bbffd597e743141de,0.0007640992911766807,-0.003468256853318913,0.9881850738797874,0.01133156147312922,0.00048336464708337437,1.0,6.633873286698712e-18,1.073894615120541e-16,-0.5936351147093993,-0.03320780418244268,0.0,6.938893903907228e-18,-11.159765232248253,-11.159765232248253,3.243471379950726,1.0,6.633873286698712e-18,1.073894615120541e-16,1.0,6.633873286698712e-18,1.073894615120541e-16,3.5093411714503033,False,False,none,,False,1.073894615120541e-16,0,-0.8295613862544827,-0.002912387509173033,0.06151035709584713,0.0004615524830778755,0.02943894075504,-12.70372595904908,-1.587965744881135,-5.671320111577631,-0.21127153183237457,5.460048579745257,0.005510367249484312,0.0036404249830530953,0.00264327078310443,-0.0026373965221079525,-0.0003146127791607133,0.7042299742791052,0.7041773223126576,0.0,-0.001447330550866578,0.0014529117779923462,-0.001447330550866578,-0.0014529117779923462,5.265196644755373e-05,0.0,2.220446049250313e-16,0.0,-1.1320649482761744e-19,,,,2.220446049250313e-16,2.220446049250313e-16,1.8720039059443932e-31,0.0,True,,
fault|burst|c36|A|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c36/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c36|A|p0000,3,False,XZ,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_burst_A__6b19cbecdf3a88fa,3,-1,3,3,cd41f9662bc16e0c42fef83cd2dec1ed357bd2d8c10d1bfd6de96f8fac5e8b2d,0.00264327078310443,-0.0026373965221079525,0.988318548809701,0.01119814355205079,0.0004833076382481864,0.9999999999999986,7.007567713249628e-18,1.4554978651014012e-15,-0.5906245985482962,0.03207254442886702,0.0,0.0,-10.526008154627185,-10.526008154627185,2.9442986394791,0.9999999999999986,7.007567713249628e-18,1.4554978651014012e-15,0.9999999999999986,7.007567713249628e-18,1.4554978651014012e-15,3.4984633587126694,False,False,none,,False,1.4554978651014012e-15,0,-0.8279090736858983,-0.0020815927381225385,0.06113361332840877,0.00046162413585382894,0.029438865433736933,-16.06366233020381,-2.0079577912754765,-6.172733272797631,-1.2820211695357893,4.8907121032618415,0.005857922066884145,0.0036665444867753924,0.008478838960712207,-0.008348347188818696,0.0032325200075597124,0.4013120645383363,0.0004711987031810251,0.0,0.001985602651777747,-0.006535666900162758,0.001985602651777747,0.006535666900162758,0.4008408658351552,0.0,0.0,0.0,-1.2088928981164265e-18,,,,0.0,0.0,3.3306690738755337e-16,0.0,True,,
fault|burst|c36|A|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c36/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c36|A|p0000,4,False,IDLE,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_burst_A__6b19cbecdf3a88fa,4,-1,4,4,3c9eea8a05d2a5344c71ecfaf77652b99d6e709bf41bb1e168375f0f23624a99,0.1684788389607122,0.1116516528111813,0.9888253148746922,0.010691971513348985,0.0004827136119588806,1.0,1.6577070431269915e-26,4.368402827408012e-17,-0.7604863801281155,0.306723900539361,0.0,0.0,-10.260453289326929,-10.260453289326929,3.004787008936088,1.0,1.6577070431269915e-26,4.368402827408012e-17,1.0,1.6577070431269915e-26,4.368402827408012e-17,3.4082570746213205,False,False,none,,False,4.368402827408012e-17,0,-0.6629345028964295,0.11220677346493403,0.05970309439729937,0.00046153471787046396,0.029438080592875396,-15.813859831917648,-1.976732478989706,-2.6191887408229317,0.3222376286339914,2.941426369456923,0.12404644663277768,-0.09621189376616655,0.16622330851700215,0.10880428186681293,0.09088454392822902,0.4215958578822308,0.42075136421213477,0.0,-0.003964257444569394,-0.009445994113227107,-0.003964257444569394,0.009445994113227107,0.0008444936700960193,0.0,0.0,0.0,-1.0102922737090208e-16,,,,0.0,0.0,2.2186712966515605e-31,0.0,True,,
fault|burst|c36|A|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c36/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c36|A|p0000,5,False,HOLD,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_burst_A__6b19cbecdf3a88fa,5,-1,5,5,13534d50d5c64db70d79b7b633fd6e51dabcd3135f0db0dc906be8b4d20748dc,0.16622330851700215,0.10880428186681293,0.9892886683188029,0.010229012635998203,0.0004823190451989055,1.0,3.3331936778619277e-25,1.3983239850267488e-23,-0.7111422345969153,-0.10874619291615031,0.0,0.0,-8.003081308932813,-8.003081308932813,1.9344987210199986,1.0,3.3331936778619277e-25,1.3983239850267488e-23,1.0,3.3331936778619277e-25,1.3983239850267488e-23,3.325551152529055,False,False,none,,False,1.3983239850267488e-23,0,-0.6659773988133818,0.10935894876879167,0.05839350720865237,0.0004615941881594613,0.029437559281903402,-11.77597154351867,-1.4719964429398338,6.721368149833184,5.4812725434775835,-1.2400956063555997,0.12297512467840746,-0.09243162885750071,0.16442684334922045,0.10647867970509765,0.08813095625186403,0.43122808289299874,0.4299806269858185,0.0,-0.005354227508874771,-0.010879068385111944,-0.005354227508874771,0.010879068385111944,0.001247455907180226,0.0,0.0,0.0,-1.0675495061881185e-18,,,,0.0,0.0,5.987674349501027e-38,0.0,True,,
fault|burst|c36|A|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c36/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c36|A|p0000,6,False,XZ,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_burst_A__6b19cbecdf3a88fa,6,-1,6,6,7cbb4f0ff0ed9381ab7c804f8b680dff32a55413ecdf6f71bf20e1c890816398,0.16442684334922045,0.10647867970509765,0.989243354530942,0.010274196900967213,0.00048244856809080157,0.9999999999962178,1.711989840251572e-16,3.7819072489323906e-12,-0.3732251160111455,0.2970569323987109,0.0,0.0,-8.640860383761325,-8.640860383761325,1.541931916641628,0.9999999999962178,1.711989840251572e-16,3.7819072489323906e-12,0.9999999999962178,1.711989840251572e-16,3.7819072489323906e-12,3.341778917028561,False,False,none,,False,3.7819072489323906e-12,0,-0.6676969406362582,0.10703349555840208,0.05852143903524301,0.0004616754672668076,0.029437730410669008,-20.747675848084423,-2.593459481010553,3.570813960564581,-3.355621170575704,-6.926435131140285,0.12324759817537237,-0.08730392581927597,0.1671321631693267,0.10365011240115297,0.08672110312579254,0.26222307797407796,0.003245089422772333,0.0,-0.00810530617847914,-0.01804105535350991,-0.00810530617847914,0.01804105535350991,0.2589779885513056,0.0,1.1102230246251565e-16,0.0,-9.987117355957854e-19,,,,1.1102230246251565e-16,1.1102230246251565e-16,3.330669073956258e-16,0.0,True,,
fault|burst|c36|A|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c36/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c36|A|p0000,7,False,IDLE,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_burst_A__6b19cbecdf3a88fa,7,-1,7,7,46fc3c09c1487f87c4d7ab823988351b22b3b840e7853b7946c19726290a90b1,0.0071321631693266885,-0.01634988759884702,0.9896266371469399,0.00989118908193705,0.00048217377112303854,1.0,2.859318097715226e-32,7.691589205119285e-20,-1.1453160400175952,0.18512737164396081,0.0,2.7755575615628914e-17,-16.68383729965643,-16.68383729965643,5.262821120301211,1.0,2.859318097715226e-32,7.691589205119285e-20,1.0,2.859318097715226e-32,7.691589205119285e-20,3.2754473524290004,False,False,none,,False,7.691589205119285e-20,0,-0.8256429676859256,-0.015795387762055527,0.05743721087938079,0.00046177367414325274,0.029437367342241217,-12.43237533254975,-1.5540469165687187,-5.118467873472135,-2.325013868231629,2.7934540052405064,0.00313068777200572,0.013887356890222339,0.006481317053770947,-0.012508276037050643,-0.003542799518130158,0.2586457168647305,0.25453841041201836,0.0,0.010723653573411512,-0.017983806753904576,0.010723653573411512,0.017983806753904576,0.004107306452712099,0.0,1.1102230246251565e-16,0.0,-1.8914863472943735e-19,,,,0.0,0.0,1.1796320909372476e-33,0.0,True,,
fault|burst|c36|A|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c36/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c36|A|p0000,8,False,HOLD,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_burst_A__6b19cbecdf3a88fa,8,-1,8,8,54f677dab66428d2dec13eea5f29d4a18f6dece590aa2cabe94dbaf9758288e8,0.006481317053770947,-0.012508276037050643,0.9899490150330751,0.009569165935012785,0.00048181903191220365,1.0,3.0017418061544096e-28,2.271138297905942e-20,-0.9885431392017076,0.042089695578077846,1.1102230246251565e-16,1.3877787807814457e-17,-12.783143811280333,-12.783143811280334,4.329971406767403,1.0,3.0017418061544096e-28,2.271138297905942e-20,1.0,3.0017418061544096e-28,2.271138297905942e-20,3.212973180328243,False,False,none,,False,2.271138297905942e-20,0,-0.826841554679582,-0.01195418415035161,0.05652487719552132,0.00046173744222819074,0.029436898651884983,-14.964782358860433,-1.870597794857554,-8.368344333682572,-3.7535063638577038,4.614837969824868,0.002788162146280169,0.012716823754751794,0.003571962017532353,-0.011729170818167968,-0.005282690825619151,0.2536641385844191,0.248774619298395,0.0,0.012376367638342456,-0.01648757033786527,0.012376367638342456,0.01648757033786527,0.004889519286024113,0.0,1.1102230246251565e-16,0.0,-2.2534100748275934e-18,,,,0.0,0.0,2.106486284731652e-35,1.7763568394002505e-15,True,,
fault|burst|c36|A|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c36/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c36|A|p0000,9,False,XZ,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_burst_A__6b19cbecdf3a88fa,9,-1,9,9,54b1e059dbd46c11362f1ae1c042297aa468e5d09b2076338608346ec1cdf59b,0.003571962017532353,-0.011729170818167968,0.9896355111717657,0.009882305371366747,0.0004821834568675801,1.0,1.2380151991513025e-21,4.960866593959997e-21,-0.733948375988744,-0.18558548491561402,0.0,2.7755575615628914e-17,-11.426994788447649,-11.426994788447649,3.5539946974449457,1.0,1.2380151991513025e-21,4.960866593959997e-21,1.0,1.2380151991513025e-21,4.960866593959997e-21,3.288692237061577,False,False,none,,False,4.960866593959997e-21,0,-0.8292182629128066,-0.011174659842770251,0.0574120637128884,0.0004617913199278065,0.029437380139285537,-15.090272633086427,-1.8862840791358033,-5.828492075642222,-1.5431107438955403,4.285381331746681,0.005506386099851181,0.013736276135830155,0.009677596525507483,-0.014371063027910214,-0.002235439104922408,0.17966436854158485,0.00607662411888502,0.0,-0.020193440915672878,-0.012255223490737478,-0.020193440915672878,0.012255223490737478,0.17358774442269984,0.0,2.220446049250313e-16,0.0,-5.216506477609426e-19,,,,0.0,0.0,2.8023785323603334e-35,0.0,True,,
