row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|compound|c36|A|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c36|A|p0000,0,False,X,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_compound_A__5f7c22dc28bd7ab9,0,-1,0,0,4cf69f7cf3052520fe13bdccd9160cb4eb913a07b45deda6c6709eb4b59c2f8c,0.0,0.0,0.9870310171364726,0.012484668424444918,0.0004843144390825603,1.0,1.106467254804857e-19,8.443775667333795e-18,-0.6654111989278816,-0.0410172323185217,0.0,0.0,-14.503156829810125,-14.503156829810125,5.027253875307156,1.0,1.106467254804857e-19,8.443775667333795e-18,1.0,1.106467254804857e-19,8.443775667333795e-18,3.680287459902538,False,False,none,,False,8.443775667333795e-18,0,-0.8283643964052235,0.0005569616049449443,0.06476250958597266,0.00046136716370110325,0.029440195639457302,-20.297321381751555,-2.5371651727189444,0.3077768655965478,-3.8208225770479873,-4.128599442644536,0.004928823420025182,-0.00015255219688865292,0.0012597444654646752,-0.0019393473534301542,0.0005213498590539588,0.8645231770127805,7.460510204363952e-06,0.0,0.001133766879275097,0.00018328180323225746,0.001133766879275097,-0.00018328180323225746,0.8645157165025762,0.0,3.3306690738754696e-16,0.0,-1.0576795762482695e-16,,,,0.0,0.0,6.98149604840373e-33,0.0,True,,
fault|compound|c36|A|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c36|A|p0000,1,False,Z,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_compound_A__5f7c22dc28bd7ab9,1,-1,1,1,8cbac80eb7b7fa2aa5bff7d092a52b66bbfa29488a33e1be58ab460af9199be9,0.0012597444654646752,-0.0019393473534301542,0.9876193856890605,0.011896780506384508,0.0004838338045550163,0.9999999999988597,7.151741037207961e-20,1.140349034803657e-12,-0.6707173814886868,0.2577852976153128,0.0,0.0,-11.465951659260446,-11.465951659260446,3.120835564989636,0.9999999999988597,7.151741037207961e-20,1.140349034803657e-12,0.9999999999988597,7.151741037207961e-20,1.140349034803657e-12,3.5964829183551985,False,False,none,,False,1.140349034803657e-12,0,-0.8281044699398098,-0.0013829384781918856,0.06310542994013074,0.0004614656097001091,0.029439560615687563,-17.406255073944703,-2.175781884243088,-7.856846554249853,-3.64947994596713,4.207366608282723,0.005033787308743832,0.002857774655383741,0.0007784992911766806,-0.0034754568533189134,0.0007873362844668058,0.7493880606162094,0.7493751511724599,0.0,-0.00038816939842838843,-0.00034215205218336833,-0.00038816939842838843,0.00034215205218336833,1.2909443749493596e-05,0.0,0.0,0.0,-3.3821214385349273e-19,,,,0.0,0.0,1.1102230246716047e-16,0.0,True,,
fault|compound|c36|A|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c36|A|p0000,2,False,IDLE,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_compound_A__5f7c22dc28bd7ab9,2,-1,2,2,de6babf747944ca7591cbc7daa8ee938a03914ed70a75239e1313dc6e40132a3,0.0007784992911766806,-0.0034754568533189134,0.9881852517309431,0.011331385687106645,0.00048336258195022085,1.0,6.633769181779899e-18,1.0738898337236885e-16,-0.5936207147093994,-0.03321500418244268,0.0,6.938893903907228e-18,-11.159765052270693,-11.159765052270693,3.243471379950726,1.0,6.633769181779899e-18,1.0738898337236885e-16,1.0,6.633769181779899e-18,1.0738898337236885e-16,3.5093228460498715,False,False,none,,False,1.0738898337236885e-16,0,-0.8295472868460843,-0.002919589884076159,0.06150985941008044,0.00046155067822422637,0.02943893802654167,-13.247321805351124,-1.6559152256688905,-4.724893496432445,-1.4150133650184875,3.3098801314139576,0.005510367249484312,0.003677362483053095,0.0025675555831044293,-0.0025995389221079527,-0.00034536277916071315,0.7074502968614474,0.7074025516082365,0.0,-0.0011161096063875343,0.0015403253652099018,-0.0011161096063875343,-0.0015403253652099018,4.77452532109601e-05,0.0,1.1102230246251565e-16,0.0,-2.8441220368822735e-17,,,,2.220446049250313e-16,2.220446049250313e-16,5.315566646508771e-32,0.0,True,,
fault|compound|c36|A|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c36|A|p0000,3,False,XZ,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_compound_A__5f7c22dc28bd7ab9,3,-1,3,3,d07964aac53c0040bb298fd4f5f532f05eb9994782a70518014d94e88b548d27,0.18256755558310442,-0.14259953892210797,0.9883210835440609,0.011195720706567413,0.00048319574937178805,0.9999999999999986,7.006033578091893e-18,1.4551571758023227e-15,-0.4107003137482962,-0.10788959797113301,0.0,0.0,-10.52600558993677,-10.52600558993677,2.9442986394791,0.9999999999999986,7.006033578091893e-18,1.4551571758023227e-15,0.9999999999999986,7.006033578091893e-18,1.4551571758023227e-15,3.497911540070739,False,False,none,,False,1.4551571758023227e-15,0,-0.6479890028287649,-0.1420438638103304,0.06112669435010989,0.000461519608433098,0.02943871760371434,-13.250605941753948,-1.6563257427192435,8.801530665706636,4.501124085091248,-4.300406580615389,0.10435792206688414,0.0825029279242754,0.18696372948231219,-0.14719079244961872,0.12020253875755971,0.4048489982930257,0.0005390983367476052,0.0,0.0014610131747905572,-0.007482735653607466,0.0014610131747905572,0.007482735653607466,0.4043098999562781,0.0,0.0,0.0,-9.21340363226404e-17,,,,0.0,0.0,3.3306690738755865e-16,0.0,True,,
fault|compound|c36|A|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c36|A|p0000,4,False,RESET,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_compound_A__5f7c22dc28bd7ab9,4,-1,4,4,e3ce7fa89a1db07ff0fd6a3c2c36f981a0350e007bb84e9df2d1b87a4fd3945c,0.18696372948231219,-0.14719079244961872,0.9887855298870533,0.010731688589085731,0.0004827815238610632,1.0,1.6639318145080941e-26,4.369193200991249e-17,-0.7420014896065156,0.047881455278560976,0.0,6.938893903907228e-18,-10.260493524732949,-10.260493524732949,3.004787008936088,1.0,1.6639318145080941e-26,4.369193200991249e-17,1.0,0.0,0.0,3.4203714540921615,True,True,success,1.0,False,0.0,0,-0.6443820356209602,-0.14663559369717852,0.05981540919386509,0.0004615621316317992,0.029438170319651544,-14.631239516400932,-1.8289049395501165,-4.6276689384029694,-1.8500193323574283,2.7776496060455416,0.10286894663277768,0.07994194391977096,0.18726031991442935,-0.1493174238319007,0.118980312209479,0.391174467707337,0.38986793951514276,0.0,-0.0016866870557953372,-0.013665508321815824,-0.0016866870557953372,0.013665508321815824,0.0013065281921942403,0.0,0.0,0.0,-2.8483580593692924e-19,,,,0.0,0.0,1.0477058904928197e-31,0.0,True,,
fault|compound|c36|A|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c36|A|p0000,5,False,HOLD,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_compound_A__5f7c22dc28bd7ab9,5,-1,5,5,7fa09c7ee9fea7811afc64d4e0bb91aca27138093cbe21d7ad1f0eba4807fdca,0.18726031991442935,-0.1493174238319007,0.9891922376422766,0.010325386896242262,0.0004823754614811309,1.0,3.364925884581009e-25,1.39862387583999e-23,-0.6901052231994881,-0.3668678986148639,0.0,5.551115123125783e-17,-8.00317878844481,-8.00317878844481,1.9344987210199986,1.0,3.364925884581009e-25,1.39862387583999e-23,1.0,3.364925884581009e-25,1.39862387583999e-23,3.3490458212443817,False,False,none,,False,1.39862387583999e-23,0,-0.6447765032196998,-0.14876269205119738,0.05866620867794568,0.0004615572685079126,0.029437633820460274,-8.905495136537501,-1.1131868920671877,6.243197051439446,3.0244268845906337,-3.2187701668488122,0.10211528717840745,0.08107990126314774,0.18529555865546823,-0.14957805234802626,0.11552433032608275,0.3738099938157822,0.3713305246738415,0.0,0.000286983968496222,-0.019684670762657,0.000286983968496222,0.019684670762657,0.002479469141940774,0.0,0.0,0.0,-1.891919958583249e-19,,,,0.0,0.0,5.01880986503422e-38,0.0,True,,
fault|compound|c36|A|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c36|A|p0000,6,False,X,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_compound_A__5f7c22dc28bd7ab9,6,-1,6,6,234173de1bafe7f75330d3d09e2d93045fa0a87c0a0d34cab2ab37914e0556ac,0.36529555865546826,-0.28957805234802625,0.9891882495579075,0.010329465449599794,0.000482284992492717,0.9999999999962189,1.72129512402332e-16,3.780835590500146e-12,-0.17235640070489766,-0.098999799654413,0.0,0.0,-8.640916089475827,-8.640916089475828,1.5419319166416283,0.9999999999962189,1.72129512402332e-16,3.780835590500146e-12,0.9999999999962189,1.72129512402332e-16,3.780835590500146e-12,3.3591699971911173,False,False,none,,False,3.780835590500146e-12,0,-0.46673440783659326,-0.28902342460665964,0.05867768395214296,0.0004614669010648404,0.029437514290640125,-15.994826089621606,-1.9993532612027007,-4.26936599122794,-3.0650783979880454,1.204287593239895,0.20120065823787237,0.15990493134956274,0.3645939287531245,-0.28833816579554594,0.22922964284815578,0.23514457835288943,0.01364334665025039,0.0,0.028316695433201037,0.03287197088112572,0.028316695433201037,-0.03287197088112572,0.22150123170263905,0.0,0.0,0.0,-1.2583818377376198e-17,,,,1.1102230246251565e-16,1.1102230246251565e-16,9.992007221739508e-16,1.7763568394002505e-15,True,,
fault|compound|c36|A|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c36|A|p0000,7,False,Z,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_compound_A__5f7c22dc28bd7ab9,7,-1,7,7,a39c28bf301c3922b9af515f37d48825115a84c49d2ea5d8079925f2618cdb3a,0.3645939287531245,-0.28833816579554594,0.9893763039840824,0.010141492482874052,0.0004822035330435822,1.0,2.9324169015087845e-32,7.69401021951151e-20,-0.7878542744337975,-0.08686090655273812,1.1102230246251565e-16,0.0,-16.684090288834962,-16.684090288834962,5.262821120301211,1.0,2.9324169015087845e-32,7.69401021951151e-20,1.0,2.9324169015087845e-32,7.69401021951151e-20,3.3297380330455244,False,False,none,,False,7.69401021951151e-20,0,-0.4677556610229025,-0.28778363173254584,0.05814576834705547,0.00046156619985498294,0.02943740666442311,-25.285004304849735,-3.160625538106217,1.997232657986757,-6.36587986511382,-8.363112523100577,0.1981144519335682,0.16138808120152845,0.3628833885128984,-0.28322064800817603,0.22435302671117402,0.19120092964537452,0.17679851420410098,0.0,-0.03171151856712962,0.024353919163259744,-0.03171151856712962,-0.024353919163259744,0.01440241544127354,0.0,0.0,0.0,-8.333013842426967e-17,,,,0.0,0.0,6.740754805356913e-34,0.0,True,,
fault|compound|c36|A|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c36|A|p0000,8,False,IDLE,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_compound_A__5f7c22dc28bd7ab9,8,-1,8,8,20df07c4091983e2c3c60d80be0a76a413da81fda2928cdf6281bf5884dad045,0.3628833885128984,-0.28322064800817603,0.9896748265369474,0.009843332955496989,0.00048184050755559964,1.0,3.088600433317295e-28,2.2718687719202283e-20,-0.6321410677425802,-0.22862267639304756,0.0,0.0,-12.78342082198522,-12.78342082198522,4.329971406767402,1.0,3.088600433317295e-28,2.2718687719202283e-20,1.0,3.088600433317295e-28,2.2718687719202283e-20,3.273508943666227,False,False,none,,False,2.2718687719202283e-20,0,-0.4699733810313344,-0.28266653142448706,0.057301471657635675,0.0004614997478420567,0.02943692702605396,-18.91581355710139,-2.364476694637674,3.1276855668921826,-2.723534381005406,-5.851219947897588,0.19484716984541922,0.1580050372013883,0.35703281690498684,-0.28023084381352437,0.21685573974795244,0.1850250729259545,0.16352701660454422,0.0,0.04079514542989534,-0.023299195188104003,0.04079514542989534,0.023299195188104003,0.021498056321410247,0.0,0.0,0.0,-7.727351604266354e-17,,,,0.0,0.0,6.620384493237824e-35,0.0,True,,
fault|compound|c36|A|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c36|A|p0000,9,False,XZ,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_compound_A__5f7c22dc28bd7ab9,9,-1,9,9,27ea2275730f81bf52afbbd624df5400f3c9b1bd12fb3aa62f8e4d22c0c20e6c,0.17703281690498684,-0.14023084381352435,0.9893115671618748,0.01020605121668272,0.0004823816214424065,1.0,1.2789914284813713e-21,4.964530451124425e-21,-0.5604875211012895,-0.31408715791097036,0.0,5.551115123125783e-17,-11.427322178721324,-11.427322178721324,3.5539946974449452,1.0,1.2789914284813713e-21,4.964530451124425e-21,1.0,1.2789914284813713e-21,4.964530451124425e-21,3.358506361783558,False,False,none,,False,4.964530451124425e-21,0,-0.6552068716484265,-0.1396761049488656,0.05832858007502544,0.00046167569995208673,0.029437641959149618,-18.14197758650249,-2.2677471983128115,0.21204811252240052,-3.6076805678949593,-3.81972868041736,0.09618450868350314,0.07804516638076711,0.18175076457386233,-0.14184472263930376,0.09734953070430989,0.12553646649354536,0.029838583656928246,0.0,-0.04365207383438017,-0.001252130772039916,-0.04365207383438017,0.001252130772039916,0.0956978828366171,0.0,0.0,0.0,-4.949731965192095e-17,,,,0.0,0.0,9.592033902709866e-36,0.0,True,,
